Date,PORTUGAL MID GROWTH Mid Cap
1994-05-31,472.89
1994-06-30,439.355
1994-07-29,479.64
1994-08-31,505.795
1994-09-30,481.423
1994-10-31,477.618
1994-11-30,456.496
1994-12-30,448.794
1995-01-31,439.775
1995-02-28,440.118
1995-03-31,476.872
1995-04-28,481.887
1995-05-31,487.05
1995-06-30,483.541
1995-07-31,483.907
1995-08-31,452.881
1995-09-29,446.741
1995-10-31,493.851
1995-11-30,470.082
1995-12-29,462.977
1996-01-31,479.123
1996-02-29,474.239
1996-03-29,492.08
1996-04-30,472.196
1996-05-31,488.448
1996-06-28,541.632
1996-07-31,570.395
1996-08-30,538.896
1996-09-30,533.727
1996-10-31,540.387
1996-11-29,542.59
1996-12-31,553.74
1997-01-31,578.698
1997-02-28,556.843
1997-03-31,556.492
1997-04-30,564.317
1997-05-30,575.124
1997-06-30,621.859
1997-07-31,613.824
1997-08-29,579.367
1997-09-30,648.644
1997-10-31,637.358
1997-11-28,650.604
1997-12-31,685.416
1998-01-30,769.356
1998-02-27,838.965
1998-03-31,984.942
1998-04-30,1150.322
1998-05-29,1121.846
1998-06-30,1064.368
1998-07-31,1096.549
1998-08-31,945.268
1998-09-30,801.005
1998-10-30,982.427
1998-11-30,1028.125
1998-12-31,1075.429
1999-01-29,1073.506
1999-02-26,997.933
1999-03-31,932.857
1999-04-30,863.885
1999-05-31,883.081
1999-06-30,833.633
1999-07-30,836.933
1999-08-31,838.995
1999-09-30,849.585
1999-10-29,882.896
1999-11-30,886.164
1999-12-31,1008.438
2000-01-31,1043.651
2000-02-29,1281.864
2000-03-31,1107.619
2000-04-28,959.209
2000-05-31,917.746
2000-06-30,885.868
2000-07-31,810.782
2000-08-31,725.968
2000-09-29,668.95
2000-10-31,554.764
2000-11-30,513.278
2000-12-29,533.878
2001-01-31,584.675
2001-02-28,524.964
2001-03-30,506.625
2001-04-30,468.348
2001-05-31,418.211
2001-06-29,369.669
2001-07-31,365.284
2001-08-31,336.644
2001-09-28,298.526
2001-10-31,324.23
2001-11-30,328.399
2001-12-31,330.846
2002-01-31,332.811
2002-02-28,314.083
2002-03-29,327.016
2002-04-30,330.332
2002-05-31,341.916
2002-06-28,331.321
2002-07-31,285.205
2002-08-30,303.238
2002-09-30,210.979
2002-10-31,283.438
2002-11-29,317.85
2002-12-31,329.431
2003-01-31,329.908
2003-02-28,312.437
2003-03-31,327.273
2003-04-30,342.983
2003-05-30,363.196
2003-06-30,340.427
2003-07-31,318.696
