Date,PORTUGAL SMALL GROWTH Small Cap
2001-01-01,275.332
2001-01-02,272.805
2001-01-03,269.547
2001-01-04,269.846
2001-01-05,269.312
2001-01-08,267.961
2001-01-09,267.24
2001-01-10,268.177
2001-01-11,275.754
2001-01-12,281.503
2001-01-15,284.597
2001-01-16,280.954
2001-01-17,281.231
2001-01-18,285.657
2001-01-19,283.81
2001-01-22,280.801
2001-01-23,280.04
2001-01-24,276.519
2001-01-25,275.357
2001-01-26,274.618
2001-01-29,272.801
2001-01-30,275.208
2001-01-31,278.048
2001-02-01,279.885
2001-02-02,277.534
2001-02-05,277.263
2001-02-06,275.962
2001-02-07,275.227
2001-02-08,272.376
2001-02-09,272.885
2001-02-12,274.678
2001-02-13,273.936
2001-02-14,270.366
2001-02-15,267.984
2001-02-16,270.476
2001-02-19,269.575
2001-02-20,265.438
2001-02-21,265.471
2001-02-22,261.801
2001-02-23,262.679
2001-02-26,264.409
2001-02-27,267.025
2001-02-28,265.455
2001-03-01,267.204
2001-03-02,269.244
2001-03-05,270.155
2001-03-06,272.814
2001-03-07,271.588
2001-03-08,271.166
2001-03-09,270.237
2001-03-12,266.168
2001-03-13,263.342
2001-03-14,259.717
2001-03-15,260.317
2001-03-16,253.731
2001-03-19,251.178
2001-03-20,250.754
2001-03-21,245.92
2001-03-22,236.71
2001-03-23,241.902
2001-03-26,241.916
2001-03-27,240.416
2001-03-28,238.784
2001-03-29,237.198
2001-03-30,236.841
2001-04-02,233.478
2001-04-03,228.941
2001-04-04,235.857
2001-04-05,235.602
2001-04-06,236.656
2001-04-09,237.04
2001-04-10,233.573
2001-04-11,233.33
2001-04-12,234.11
2001-04-13,234.11
2001-04-16,231.713
2001-04-17,230.804
2001-04-18,230.623
2001-04-19,234.782
2001-04-20,236.202
2001-04-23,235.043
2001-04-24,233.94
2001-04-25,234.804
2001-04-26,236.264
2001-04-27,235.305
2001-04-30,236.28
2001-05-01,237.533
2001-05-02,238.671
2001-05-03,237.739
2001-05-04,239.851
2001-05-07,238.54
2001-05-08,237.483
2001-05-09,237.349
2001-05-10,238.097
2001-05-11,235.71
2001-05-14,235.886
2001-05-15,237.895
2001-05-16,239.191
2001-05-17,237.516
2001-05-18,237.011
2001-05-21,238.76
2001-05-22,234.948
2001-05-23,229.212
2001-05-24,228.279
2001-05-25,228.299
2001-05-28,228.192
2001-05-29,226.098
2001-05-30,228.548
2001-05-31,225.383
2001-06-01,225.903
2001-06-04,225.731
2001-06-05,226.014
2001-06-06,225.661
2001-06-07,227.089
2001-06-08,226.19
2001-06-11,222.93
2001-06-12,223.333
2001-06-13,225.806
2001-06-14,227.742
2001-06-15,224.254
2001-06-18,220.746
2001-06-19,215.452
2001-06-20,210.906
2001-06-21,210.387
2001-06-22,212.045
2001-06-25,214.647
2001-06-26,208.994
2001-06-27,203.978
2001-06-28,202.393
2001-06-29,200.374
2001-07-02,196.465
2001-07-03,197.54
2001-07-04,194.559
2001-07-05,188.871
2001-07-06,183.697
2001-07-09,185.56
2001-07-10,187.547
2001-07-11,188.026
2001-07-12,190.256
2001-07-13,190.613
2001-07-16,189.367
2001-07-17,187.728
2001-07-18,192.018
2001-07-19,192.553
2001-07-20,191.838
2001-07-23,192.347
2001-07-24,195.414
2001-07-25,196.403
2001-07-26,198.349
2001-07-27,200.094
2001-07-30,202.269
2001-07-31,200.832
2001-08-01,201.391
2001-08-02,203.764
2001-08-03,203.236
2001-08-06,201.323
2001-08-07,199.918
2001-08-08,197.367
2001-08-09,199.179
2001-08-10,200.355
2001-08-13,201.419
2001-08-14,203.993
2001-08-15,207.107
2001-08-16,206.424
