Date,PORTUGAL SMALL VALUE Small Cap
2001-01-01,167.26
2001-01-02,168.48
2001-01-03,167.782
2001-01-04,167.473
2001-01-05,170.756
2001-01-08,170.253
2001-01-09,167.304
2001-01-10,167.771
2001-01-11,170.614
2001-01-12,171.212
2001-01-15,169.263
2001-01-16,168.634
2001-01-17,167.513
2001-01-18,170.694
2001-01-19,170.552
2001-01-22,170.135
2001-01-23,170.128
2001-01-24,166.794
2001-01-25,166.161
2001-01-26,166.299
2001-01-29,164.456
2001-01-30,165.569
2001-01-31,169.257
2001-02-01,172.489
2001-02-02,169.105
2001-02-05,170.756
2001-02-06,168.402
2001-02-07,167.781
2001-02-08,165.256
2001-02-09,164.441
2001-02-12,165.589
2001-02-13,163.78
2001-02-14,163.071
2001-02-15,159.989
2001-02-16,162.035
2001-02-19,162.331
2001-02-20,161.248
2001-02-21,161.774
2001-02-22,161.003
2001-02-23,160.268
2001-02-26,160.886
2001-02-27,162.478
2001-02-28,162.064
2001-03-01,163.019
2001-03-02,164.427
2001-03-05,163.085
2001-03-06,164.273
2001-03-07,163.782
2001-03-08,164.461
2001-03-09,163.224
2001-03-12,161.718
2001-03-13,160.64
2001-03-14,159.016
2001-03-15,157.074
2001-03-16,153.977
2001-03-19,152.35
2001-03-20,154.406
2001-03-21,151.687
2001-03-22,145.981
2001-03-23,150.139
2001-03-26,151.192
2001-03-27,150.248
2001-03-28,148.185
2001-03-29,147.011
2001-03-30,148.072
2001-04-02,147.03
2001-04-03,144.957
2001-04-04,146.351
2001-04-05,150.012
2001-04-06,148.944
2001-04-09,150.969
2001-04-10,149.925
2001-04-11,148.985
2001-04-12,150.233
2001-04-13,150.233
2001-04-16,148.695
2001-04-17,147.204
2001-04-18,145.858
2001-04-19,147.233
2001-04-20,147.774
2001-04-23,146.931
2001-04-24,147.368
2001-04-25,147.912
2001-04-26,149.646
2001-04-27,147.573
2001-04-30,147.704
2001-05-01,148.487
2001-05-02,148.646
2001-05-03,149.637
2001-05-04,150.724
2001-05-07,150.335
2001-05-08,148.037
2001-05-09,147.702
2001-05-10,147.481
2001-05-11,146.408
2001-05-14,146.025
2001-05-15,148.147
2001-05-16,148.149
2001-05-17,148.507
2001-05-18,146.822
2001-05-21,145.755
2001-05-22,143.391
2001-05-23,141.046
2001-05-24,139.877
2001-05-25,140.114
2001-05-28,139.631
2001-05-29,137.602
2001-05-30,139.15
2001-05-31,137.615
2001-06-01,137.205
2001-06-04,136.955
2001-06-05,137.182
2001-06-06,137.086
2001-06-07,137.289
2001-06-08,137.22
2001-06-11,133.943
2001-06-12,132.273
2001-06-13,133.696
2001-06-14,134.843
2001-06-15,133.962
2001-06-18,134.143
2001-06-19,131.342
2001-06-20,127.199
2001-06-21,126.011
2001-06-22,127.377
2001-06-25,127.064
2001-06-26,127.317
2001-06-27,126.575
2001-06-28,127.219
2001-06-29,126.301
2001-07-02,126.157
2001-07-03,126.383
2001-07-04,126.019
2001-07-05,123.269
2001-07-06,123.093
2001-07-09,122.665
2001-07-10,122.712
2001-07-11,121.86
2001-07-12,120.381
2001-07-13,121.11
2001-07-16,121.275
2001-07-17,120.399
2001-07-18,125.759
2001-07-19,126.252
2001-07-20,125.062
2001-07-23,124.135
2001-07-24,125.641
2001-07-25,126.233
2001-07-26,127.278
2001-07-27,129.624
2001-07-30,130.107
2001-07-31,128.745
2001-08-01,129.628
2001-08-02,129.788
2001-08-03,130.666
2001-08-06,130.2
2001-08-07,129.173
2001-08-08,128.268
2001-08-09,128.946
2001-08-10,129.438
2001-08-13,130.42
2001-08-14,130.74
2001-08-15,132.736
2001-08-16,132.298
2001-08-17,132.508
2001-08-20,131.99
2001-08-21,132.15
2001-08-22,132.71
2001-08-23,131.026
2001-08-24,131.57
2001-08-27,130.549
2001-08-28,129.86
2001-08-29,129.846
2001-08-30,129.323
2001-08-31,129.613
2001-09-03,128.517
2001-09-04,125.719
2001-09-05,124.309
2001-09-06,126.059
2001-09-07,126.666
2001-09-10,124.348
2001-09-11,122.552
2001-09-12,120.07
2001-09-13,119.265
2001-09-14,118.87
2001-09-17,116.446
2001-09-18,116.749
2001-09-19,119.6
2001-09-20,118.565
2001-09-21,115.989
2001-09-24,117.097
2001-09-25,118.092
2001-09-26,118.274
2001-09-27,119.033
2001-09-28,118.07
2001-10-01,117.527
2001-10-02,117.281
2001-10-03,116.445
2001-10-04,116.626
2001-10-05,117.335
2001-10-08,117.455
2001-10-09,118.935
2001-10-10,120.946
2001-10-11,119.642
2001-10-12,121.72
2001-10-15,121.877
2001-10-16,124.874
2001-10-17,126.731
2001-10-18,128.528
2001-10-19,129.598
2001-10-22,132.068
2001-10-23,132.868
2001-10-24,133.799
2001-10-25,132.915
2001-10-26,133.949
2001-10-29,136.337
2001-10-30,134.587
2001-10-31,136.78
2001-11-01,137.654
2001-11-02,137.386
2001-11-05,138.245
2001-11-06,138.004
2001-11-07,140.496
2001-11-08,138.226
2001-11-09,138.082
2001-11-12,139.828
2001-11-13,139.713
2001-11-14,138.897
2001-11-15,138.697
2001-11-16,140.274
2001-11-19,139.981
2001-11-20,140.54
2001-11-21,138.624
2001-11-22,140.482
2001-11-23,140.189
2001-11-26,140.342
2001-11-27,140.524
2001-11-28,139.448
2001-11-29,141.187
2001-11-30,141.954
2001-12-03,139.421
2001-12-04,139.577
2001-12-05,141.839
2001-12-06,141.617
2001-12-07,141.095
2001-12-10,140.34
2001-12-11,141.214
2001-12-12,142.784
2001-12-13,144.625
2001-12-14,145.11
2001-12-17,146.056
2001-12-18,145.006
2001-12-19,142.322
2001-12-20,141.294
2001-12-21,141.693
2001-12-24,140.279
2001-12-25,140.279
2001-12-26,140.399
2001-12-27,142.373
2001-12-28,142.188
2001-12-31,143.575
2002-01-01,143.575
2002-01-02,145.352
2002-01-03,147.879
2002-01-04,146.421
2002-01-07,146.484
2002-01-08,145.888
2002-01-09,145.019
2002-01-10,145.583
2002-01-11,145.877
2002-01-14,145.967
2002-01-15,145.413
2002-01-16,143.998
2002-01-17,144.888
2002-01-18,143.317
2002-01-21,143.641
2002-01-22,143.327
2002-01-23,143.716
2002-01-24,143.677
2002-01-25,140.993
2002-01-28,141.221
2002-01-29,138.822
2002-01-30,139.173
2002-01-31,139.103
2002-02-01,139.575
2002-02-04,140.079
2002-02-05,139.837
2002-02-06,140.453
2002-02-07,139.605
2002-02-08,141.032
2002-02-11,142.619
2002-02-12,142.416
2002-02-13,141.378
2002-02-14,139.866
2002-02-15,141.387
2002-02-18,140.452
2002-02-19,140.45
2002-02-20,139.996
2002-02-21,139.551
2002-02-22,139.07
2002-02-25,136.813
2002-02-26,135.801
2002-02-27,135.998
2002-02-28,137.563
2002-03-01,139.714
2002-03-04,142.299
2002-03-05,141.787
