Date,PORTUGAL SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,377.997
2001-01-02,380.99
2001-01-03,375.151
2001-01-04,383.61
2001-01-05,379.191
2001-01-08,372.691
2001-01-09,372.539
2001-01-10,377.757
2001-01-11,389.211
2001-01-12,399.745
2001-01-15,397.146
2001-01-16,389.747
2001-01-17,394.893
2001-01-18,403.145
2001-01-19,399.149
2001-01-22,396.099
2001-01-23,396.891
2001-01-24,396.979
2001-01-25,395.408
2001-01-26,396.663
2001-01-29,395.707
2001-01-30,399.669
2001-01-31,406.335
2001-02-01,408.93
2001-02-02,404.122
2001-02-05,401.064
2001-02-06,399.971
2001-02-07,397.861
2001-02-08,388.194
2001-02-09,382.093
2001-02-12,382.762
2001-02-13,379.873
2001-02-14,373.663
2001-02-15,372.542
2001-02-16,373.706
2001-02-19,376.159
2001-02-20,369.509
2001-02-21,369.227
2001-02-22,365.305
2001-02-23,363.513
2001-02-26,368.7
2001-02-27,372.348
2001-02-28,369.97
2001-03-01,371.491
2001-03-02,375.514
2001-03-05,384.815
2001-03-06,385.137
2001-03-07,384.926
2001-03-08,385.196
2001-03-09,379.786
2001-03-12,373.459
2001-03-13,369.012
2001-03-14,363.88
2001-03-15,362.201
2001-03-16,353.188
2001-03-19,351.746
2001-03-20,353.311
2001-03-21,344.806
2001-03-22,326.713
2001-03-23,339.059
2001-03-26,340.657
2001-03-27,343.629
2001-03-28,342.763
2001-03-29,347.673
2001-03-30,350.764
2001-04-02,348.023
2001-04-03,343.94
2001-04-04,353.104
2001-04-05,354.173
2001-04-06,354.681
2001-04-09,354.999
2001-04-10,348.919
2001-04-11,337.627
2001-04-12,336.755
2001-04-13,336.755
2001-04-16,333.306
2001-04-17,326.958
2001-04-18,325.368
2001-04-19,334.843
2001-04-20,333.651
2001-04-23,330.16
2001-04-24,332.101
2001-04-25,333.327
2001-04-26,337.527
2001-04-27,330.011
2001-04-30,330.309
2001-05-01,332.06
2001-05-02,332.493
2001-05-03,331.766
2001-05-04,332.849
2001-05-07,332.133
2001-05-08,329.034
2001-05-09,326.659
2001-05-10,325.044
2001-05-11,318.313
2001-05-14,317.016
2001-05-15,317.609
2001-05-16,319.159
2001-05-17,314.598
2001-05-18,311.12
2001-05-21,310.396
2001-05-22,305.375
2001-05-23,303.591
2001-05-24,303.093
2001-05-25,311.129
2001-05-28,316.059
2001-05-29,308.378
2001-05-30,308.299
2001-05-31,300.873
2001-06-01,302.582
2001-06-04,302.388
2001-06-05,301.078
2001-06-06,299.858
2001-06-07,299.168
2001-06-08,294.866
2001-06-11,288.276
2001-06-12,287.494
2001-06-13,292.635
2001-06-14,295.144
2001-06-15,289.384
2001-06-18,281.688
2001-06-19,277.188
2001-06-20,272.082
2001-06-21,274.011
2001-06-22,274.952
2001-06-25,279.036
2001-06-26,273.48
2001-06-27,268.25
2001-06-28,266.896
2001-06-29,266.461
2001-07-02,264.278
2001-07-03,266.561
2001-07-04,264.908
2001-07-05,261.839
2001-07-06,258.504
2001-07-09,258.849
2001-07-10,261.145
2001-07-11,261.196
2001-07-12,260.451
2001-07-13,261.302
2001-07-16,260.31
2001-07-17,256.282
2001-07-18,260.474
2001-07-19,261.037
2001-07-20,259.44
2001-07-23,259.119
2001-07-24,261.745
2001-07-25,259.886
2001-07-26,260.975
2001-07-27,263.383
2001-07-30,262.945
2001-07-31,264.313
2001-08-01,264.233
2001-08-02,257.979
2001-08-03,253.288
2001-08-06,249.081
2001-08-07,246.483
2001-08-08,245.135
2001-08-09,247.16
2001-08-10,251.507
2001-08-13,256.42
2001-08-14,257.399
2001-08-15,261.328
2001-08-16,257.761
2001-08-17,255.348
2001-08-20,253.136
2001-08-21,254.933
2001-08-22,256.873
2001-08-23,253.047
2001-08-24,254.505
2001-08-27,255.03
2001-08-28,252.577
2001-08-29,252.088
2001-08-30,251.131
2001-08-31,249.339
2001-09-03,245.269
2001-09-04,239.181
2001-09-05,239.157
2001-09-06,237.525
2001-09-07,234.678
2001-09-10,228.902
2001-09-11,223.949
2001-09-12,219.065
2001-09-13,220.085
2001-09-14,215.673
2001-09-17,212.123
2001-09-18,215.621
2001-09-19,219.665
2001-09-20,215.962
2001-09-21,214.231
2001-09-24,219.51
2001-09-25,227.116
2001-09-26,227.711
2001-09-27,225.872
2001-09-28,221.321
2001-10-01,224.044
2001-10-02,225.286
2001-10-03,225.843
2001-10-04,227.199
2001-10-05,228.58
2001-10-08,230.667
2001-10-09,232.83
2001-10-10,234.711
2001-10-11,232.203
2001-10-12,232.845
2001-10-15,231.575
2001-10-16,233.869
2001-10-17,234.477
2001-10-18,235.405
2001-10-19,234.984
2001-10-22,240.024
2001-10-23,241.974
2001-10-24,242.44
2001-10-25,239.647
2001-10-26,240.405
2001-10-29,242.14
2001-10-30,241.081
2001-10-31,242.838
2001-11-01,244.388
2001-11-02,243.311
2001-11-05,246.109
2001-11-06,249.213
2001-11-07,254.541
2001-11-08,251.519
2001-11-09,249.174
2001-11-12,249.308
2001-11-13,249.664
2001-11-14,251.465
2001-11-15,248.421
2001-11-16,247.502
2001-11-19,249.18
2001-11-20,249.295
2001-11-21,244.229
2001-11-22,244.733
2001-11-23,245.082
2001-11-26,249.811
2001-11-27,251.568
2001-11-28,247.864
2001-11-29,245.574
2001-11-30,246.638
2001-12-03,242.438
2001-12-04,242.806
2001-12-05,247.366
2001-12-06,248.378
2001-12-07,249.341
2001-12-10,247.533
2001-12-11,250.776
2001-12-12,251.69
2001-12-13,251.4
2001-12-14,255.554
2001-12-17,254.697
2001-12-18,254.299
2001-12-19,251.25
2001-12-20,248.561
2001-12-21,248.746
2001-12-24,246.264
2001-12-25,246.264
2001-12-26,246.474
2001-12-27,251.369
2001-12-28,250.142
2001-12-31,252.582
2002-01-01,252.582
2002-01-02,255.85
2002-01-03,259.435
2002-01-04,257.179
2002-01-07,256.247
2002-01-08,256.267
2002-01-09,255.131
2002-01-10,253.608
2002-01-11,250.21
2002-01-14,249.159
2002-01-15,251.027
2002-01-16,252.534
2002-01-17,254.817
2002-01-18,253.385
2002-01-21,253.202
2002-01-22,253.04
2002-01-23,253.467
2002-01-24,251.801
2002-01-25,245.036
2002-01-28,246.681
2002-01-29,244.697
2002-01-30,243.804
2002-01-31,244.179
2002-02-01,246.448
2002-02-04,246.416
2002-02-05,245.506
2002-02-06,246.588
2002-02-07,242.053
2002-02-08,243.749
2002-02-11,244.172
2002-02-12,243.824
2002-02-13,239.801
2002-02-14,237.031
2002-02-15,236.601
2002-02-18,236.482
2002-02-19,234.719
2002-02-20,234.834
2002-02-21,234.751
2002-02-22,234.151
2002-02-25,231.245
2002-02-26,231.566
2002-02-27,232.284
2002-02-28,236.054
2002-03-01,236.331
2002-03-04,242.561
2002-03-05,242.907
2002-03-06,246.188
2002-03-07,249.525
2002-03-08,249.289
2002-03-11,249.877
2002-03-12,244.876
2002-03-13,248.827
2002-03-14,251.472
2002-03-15,253.221
2002-03-18,253.025
2002-03-19,252.554
2002-03-20,251.283
2002-03-21,249.173
2002-03-22,249.707
2002-03-25,247.738
2002-03-26,245.193
2002-03-27,246.936
2002-03-28,248.6
2002-03-29,248.6
2002-04-01,250.637
2002-04-02,249.647
2002-04-03,247.067
2002-04-04,247.403
2002-04-05,247.575
2002-04-08,245.74
2002-04-09,247.966
2002-04-10,249.017
2002-04-11,249.139
2002-04-12,247.408
2002-04-15,248.634
2002-04-16,251.34
2002-04-17,252.656
2002-04-18,253.052
2002-04-19,253.637
2002-04-22,256.054
2002-04-23,256.897
2002-04-24,255.491
2002-04-25,257.382
2002-04-26,256.263
2002-04-29,257.211
2002-04-30,256.513
2002-05-01,257.965
2002-05-02,249.901
2002-05-03,247.889
2002-05-06,244.899
2002-05-07,240.012
2002-05-08,246.698
2002-05-09,247.187
2002-05-10,246.471
2002-05-13,245.536
2002-05-14,246.607
2002-05-15,247.44
2002-05-16,249.615
2002-05-17,251.463
2002-05-20,249.876
2002-05-21,249.666
2002-05-22,256.261
2002-05-23,255.668
2002-05-24,256.256
2002-05-27,255.204
2002-05-28,259.899
2002-05-29,260.61
2002-05-30,262.189
2002-05-31,258.843
2002-06-03,261.471
2002-06-04,257.982
2002-06-05,257.125
2002-06-06,253.217
2002-06-07,247.645
2002-06-10,247.423
2002-06-11,248.52
2002-06-12,245.069
2002-06-13,240.8
2002-06-14,236.519
2002-06-17,241.543
2002-06-18,244.594
2002-06-19,248.8
2002-06-20,250.355
2002-06-21,251.465
2002-06-24,254.11
2002-06-25,254.673
2002-06-26,253.86
2002-06-27,256.928
2002-06-28,259.347
2002-07-01,253.313
2002-07-02,247.75
2002-07-03,238.664
2002-07-04,241.309
2002-07-05,247.091
2002-07-08,251.792
2002-07-09,253.92
2002-07-10,252.033
2002-07-11,249.388
2002-07-12,249.3
2002-07-15,249.343
2002-07-16,251.318
2002-07-17,253.751
2002-07-18,252.675
2002-07-19,246.391
2002-07-22,242.214
2002-07-23,237.82
2002-07-24,232.622
2002-07-25,238.202
2002-07-26,234.724
2002-07-29,236.45
2002-07-30,233.899
2002-07-31,233.082
2002-08-01,233.666
2002-08-02,230.134
2002-08-05,227.63
2002-08-06,221.575
2002-08-07,216.667
2002-08-08,223.164
2002-08-09,229.26
2002-08-12,228.652
2002-08-13,229.158
2002-08-14,229.154
2002-08-15,227.448
2002-08-16,227.241
2002-08-19,226.119
2002-08-20,227.21
2002-08-21,231.967
2002-08-22,239.074
2002-08-23,239.53
2002-08-26,237.106
2002-08-27,243.322
2002-08-28,241.32
2002-08-29,241.108
2002-08-30,241.559
2002-09-02,235.269
2002-09-03,237.763
2002-09-04,233.848
2002-09-05,234.036
2002-09-06,234.131
2002-09-09,232.851
2002-09-10,233.239
2002-09-11,233.983
2002-09-12,232.08
2002-09-13,228.068
2002-09-16,224.958
2002-09-17,219.127
2002-09-18,211.634
2002-09-19,212.08
2002-09-20,214.188
2002-09-23,209.475
2002-09-24,202.306
2002-09-25,203.962
2002-09-26,206.385
2002-09-27,201.721
2002-09-30,192.312
2002-10-01,192.912
2002-10-02,198.194
2002-10-03,199.547
2002-10-04,201.966
2002-10-07,201.587
2002-10-08,201.329
2002-10-09,205.054
2002-10-10,205.298
2002-10-11,213.17
2002-10-14,208.701
2002-10-15,213.289
2002-10-16,212.286
2002-10-17,211.656
2002-10-18,209.167
2002-10-21,206.588
2002-10-22,208.72
2002-10-23,206.187
2002-10-24,209.593
2002-10-25,211.696
2002-10-28,219.41
2002-10-29,212.647
2002-10-30,220.099
2002-10-31,226.621
2002-11-01,228.028
2002-11-04,230.467
2002-11-05,228.395
2002-11-06,228.256
