Date,PORTUGAL SMID VALUE SMID (Small+Mid Cap)
2001-01-01,357.217
2001-01-02,364.695
2001-01-03,361.24
2001-01-04,368.189
2001-01-05,370.786
2001-01-08,367.441
2001-01-09,363.508
2001-01-10,365.325
2001-01-11,373.435
2001-01-12,377.323
2001-01-15,374.647
2001-01-16,370.167
2001-01-17,371.922
2001-01-18,377.148
2001-01-19,376.097
2001-01-22,376.535
2001-01-23,375.811
2001-01-24,373.559
2001-01-25,373.711
2001-01-26,374.01
2001-01-29,371.488
2001-01-30,374.45
2001-01-31,379.159
2001-02-01,381.831
2001-02-02,376.592
2001-02-05,374.89
2001-02-06,370.321
2001-02-07,370.589
2001-02-08,364.445
2001-02-09,362.343
2001-02-12,367.328
2001-02-13,364.25
2001-02-14,362.348
2001-02-15,357.847
2001-02-16,359.412
2001-02-19,359.55
2001-02-20,357.5
2001-02-21,356.82
2001-02-22,356.731
2001-02-23,353.739
2001-02-26,355.044
2001-02-27,358.556
2001-02-28,357.776
2001-03-01,360.289
2001-03-02,362.438
2001-03-05,360.644
2001-03-06,364.619
2001-03-07,363.658
2001-03-08,365.02
2001-03-09,358.072
2001-03-12,355.099
2001-03-13,351.412
2001-03-14,344.989
2001-03-15,344.882
2001-03-16,333.249
2001-03-19,329.69
2001-03-20,334.209
2001-03-21,326.77
2001-03-22,309.398
2001-03-23,319.35
2001-03-26,321.287
2001-03-27,321.611
2001-03-28,317.48
2001-03-29,316.204
2001-03-30,317.273
2001-04-02,313.65
2001-04-03,307.989
2001-04-04,313.307
2001-04-05,317.977
2001-04-06,317.815
2001-04-09,320.829
2001-04-10,321.762
2001-04-11,322.995
2001-04-12,327.457
2001-04-13,327.457
2001-04-16,324.104
2001-04-17,321.176
2001-04-18,320.808
2001-04-19,324.252
2001-04-20,322.57
2001-04-23,315.404
2001-04-24,314.441
2001-04-25,315.602
2001-04-26,314.453
2001-04-27,311.841
2001-04-30,313.894
2001-05-01,315.558
2001-05-02,314.118
2001-05-03,312.626
2001-05-04,313.061
2001-05-07,310.298
2001-05-08,305.282
2001-05-09,304.374
2001-05-10,305.245
2001-05-11,302.703
2001-05-14,301.841
2001-05-15,306.5
2001-05-16,307.266
2001-05-17,307.448
2001-05-18,303.804
2001-05-21,304.98
2001-05-22,298.227
2001-05-23,294.073
2001-05-24,293.995
2001-05-25,296.282
2001-05-28,300.023
2001-05-29,298.631
2001-05-30,298.937
2001-05-31,295.833
2001-06-01,295.793
2001-06-04,295.486
2001-06-05,294.926
2001-06-06,293.78
2001-06-07,293.316
2001-06-08,292.87
2001-06-11,283.777
2001-06-12,281.711
2001-06-13,286.538
2001-06-14,288.994
2001-06-15,287.296
2001-06-18,281.846
2001-06-19,278.509
2001-06-20,270.579
2001-06-21,269.202
2001-06-22,274.811
2001-06-25,275.263
2001-06-26,276.158
2001-06-27,275.191
2001-06-28,273.875
2001-06-29,273.325
2001-07-02,271.968
2001-07-03,273.833
2001-07-04,272.659
2001-07-05,268.342
2001-07-06,266.288
2001-07-09,264.425
2001-07-10,268.735
2001-07-11,266.883
2001-07-12,263.648
2001-07-13,262.149
2001-07-16,263.385
2001-07-17,260.141
2001-07-18,266.361
2001-07-19,267.731
2001-07-20,265.855
2001-07-23,262.773
2001-07-24,265.78
2001-07-25,266.264
2001-07-26,267.724
2001-07-27,269.82
2001-07-30,269.859
2001-07-31,268.931
2001-08-01,268.766
2001-08-02,269.623
2001-08-03,268.61
2001-08-06,268.398
2001-08-07,266.662
2001-08-08,264.692
2001-08-09,266.681
2001-08-10,266.81
2001-08-13,268.001
2001-08-14,269.295
2001-08-15,273.406
2001-08-16,271.225
2001-08-17,269.801
2001-08-20,268.253
2001-08-21,269.746
2001-08-22,270.139
2001-08-23,266.517
2001-08-24,266.323
2001-08-27,264.704
2001-08-28,262.603
2001-08-29,263.52
2001-08-30,263.196
2001-08-31,261.892
2001-09-03,259.784
2001-09-04,254.153
2001-09-05,251.951
2001-09-06,253.064
2001-09-07,252.725
2001-09-10,249.055
2001-09-11,240.0
2001-09-12,234.924
2001-09-13,235.405
2001-09-14,232.209
2001-09-17,230.113
2001-09-18,236.879
2001-09-19,241.294
2001-09-20,235.219
2001-09-21,233.459
2001-09-24,234.676
2001-09-25,236.663
2001-09-26,242.392
2001-09-27,244.005
2001-09-28,242.327
2001-10-01,242.468
2001-10-02,244.864
2001-10-03,244.384
2001-10-04,244.762
2001-10-05,246.249
2001-10-08,243.626
2001-10-09,246.319
2001-10-10,248.487
2001-10-11,248.367
2001-10-12,252.168
2001-10-15,252.9
2001-10-16,258.696
2001-10-17,261.097
2001-10-18,263.215
2001-10-19,264.915
2001-10-22,267.801
2001-10-23,268.77
2001-10-24,269.13
2001-10-25,266.641
2001-10-26,265.276
2001-10-29,266.974
2001-10-30,265.801
2001-10-31,268.772
2001-11-01,270.488
2001-11-02,271.166
2001-11-05,274.897
2001-11-06,277.522
2001-11-07,279.619
2001-11-08,275.525
2001-11-09,273.794
2001-11-12,274.985
2001-11-13,274.188
2001-11-14,273.387
2001-11-15,271.998
2001-11-16,272.456
2001-11-19,274.777
2001-11-20,275.043
2001-11-21,272.652
2001-11-22,274.579
2001-11-23,272.298
2001-11-26,271.776
2001-11-27,272.007
2001-11-28,269.396
2001-11-29,271.793
2001-11-30,272.575
2001-12-03,269.834
2001-12-04,273.411
2001-12-05,275.044
2001-12-06,276.066
2001-12-07,276.557
2001-12-10,274.065
2001-12-11,275.546
2001-12-12,277.249
2001-12-13,278.637
2001-12-14,278.924
2001-12-17,279.828
2001-12-18,277.954
2001-12-19,275.478
2001-12-20,275.981
2001-12-21,271.047
2001-12-24,268.342
2001-12-25,268.342
2001-12-26,268.572
2001-12-27,274.467
2001-12-28,274.976
2001-12-31,277.657
2002-01-01,277.657
2002-01-02,280.628
2002-01-03,283.336
2002-01-04,282.64
2002-01-07,281.01
2002-01-08,280.352
2002-01-09,277.36
2002-01-10,279.17
2002-01-11,279.849
2002-01-14,278.795
2002-01-15,282.449
2002-01-16,280.521
2002-01-17,280.332
2002-01-18,281.594
2002-01-21,281.566
2002-01-22,281.804
2002-01-23,281.409
2002-01-24,279.265
2002-01-25,273.859
2002-01-28,273.025
2002-01-29,271.59
2002-01-30,271.237
2002-01-31,273.453
2002-02-01,276.737
2002-02-04,276.159
2002-02-05,277.055
2002-02-06,277.12
2002-02-07,277.317
2002-02-08,278.76
2002-02-11,282.593
2002-02-12,282.191
2002-02-13,281.236
2002-02-14,280.66
2002-02-15,281.004
2002-02-18,279.949
2002-02-19,280.118
2002-02-20,279.409
2002-02-21,278.138
2002-02-22,276.909
2002-02-25,275.869
2002-02-26,275.596
2002-02-27,273.225
2002-02-28,275.869
2002-03-01,276.75
2002-03-04,279.88
2002-03-05,280.854
2002-03-06,284.4
2002-03-07,286.093
2002-03-08,286.953
2002-03-11,286.54
2002-03-12,285.812
2002-03-13,287.318
2002-03-14,289.725
2002-03-15,290.253
2002-03-18,291.081
2002-03-19,293.455
2002-03-20,293.843
2002-03-21,292.719
2002-03-22,293.67
2002-03-25,292.445
2002-03-26,292.322
2002-03-27,292.364
2002-03-28,291.369
2002-03-29,291.369
2002-04-01,293.757
2002-04-02,292.612
2002-04-03,291.355
2002-04-04,292.126
2002-04-05,292.261
2002-04-08,291.008
2002-04-09,292.995
2002-04-10,293.875
2002-04-11,295.89
2002-04-12,293.549
2002-04-15,293.487
2002-04-16,294.454
2002-04-17,296.176
2002-04-18,298.148
2002-04-19,296.082
2002-04-22,296.437
2002-04-23,297.474
2002-04-24,298.66
2002-04-25,300.869
2002-04-26,302.59
2002-04-29,301.79
2002-04-30,302.384
2002-05-01,304.096
2002-05-02,298.27
2002-05-03,300.306
2002-05-06,300.753
2002-05-07,297.599
2002-05-08,299.625
2002-05-09,302.64
2002-05-10,306.375
2002-05-13,304.636
2002-05-14,303.573
2002-05-15,301.606
2002-05-16,299.367
2002-05-17,304.225
2002-05-20,305.23
2002-05-21,301.997
2002-05-22,307.515
2002-05-23,307.074
2002-05-24,310.83
2002-05-27,312.968
2002-05-28,317.859
2002-05-29,318.331
2002-05-30,320.251
2002-05-31,309.388
2002-06-03,312.125
2002-06-04,310.434
2002-06-05,310.47
2002-06-06,308.41
2002-06-07,307.304
2002-06-10,307.028
2002-06-11,307.074
2002-06-12,305.856
2002-06-13,301.923
2002-06-14,296.721
2002-06-17,299.505
2002-06-18,301.69
2002-06-19,303.049
2002-06-20,305.87
2002-06-21,305.223
2002-06-24,302.116
2002-06-25,303.739
2002-06-26,304.511
2002-06-27,303.429
2002-06-28,304.79
2002-07-01,303.358
2002-07-02,297.032
2002-07-03,289.779
2002-07-04,290.475
2002-07-05,293.317
2002-07-08,298.351
2002-07-09,299.36
2002-07-10,298.155
2002-07-11,295.359
2002-07-12,295.255
2002-07-15,295.078
2002-07-16,295.449
2002-07-17,295.735
2002-07-18,293.114
2002-07-19,285.705
2002-07-22,275.712
2002-07-23,267.726
2002-07-24,260.603
2002-07-25,267.674
2002-07-26,265.916
2002-07-29,268.826
2002-07-30,268.268
2002-07-31,267.94
2002-08-01,267.232
2002-08-02,263.21
2002-08-05,255.953
2002-08-06,250.785
2002-08-07,247.205
2002-08-08,251.641
2002-08-09,257.975
2002-08-12,258.764
2002-08-13,257.196
2002-08-14,258.077
2002-08-15,256.155
2002-08-16,255.081
2002-08-19,255.838
2002-08-20,255.051
2002-08-21,257.39
2002-08-22,262.51
2002-08-23,262.117
2002-08-26,260.636
2002-08-27,265.155
2002-08-28,261.558
2002-08-29,262.361
2002-08-30,262.582
2002-09-02,257.483
2002-09-03,259.825
2002-09-04,256.763
2002-09-05,254.489
2002-09-06,254.547
2002-09-09,252.994
2002-09-10,252.474
2002-09-11,253.504
2002-09-12,252.466
2002-09-13,250.364
2002-09-16,244.789
2002-09-17,237.642
2002-09-18,230.072
2002-09-19,228.671
2002-09-20,233.526
2002-09-23,224.174
2002-09-24,217.736
2002-09-25,223.135
2002-09-26,225.403
2002-09-27,217.797
2002-09-30,212.645
2002-10-01,213.142
2002-10-02,217.981
2002-10-03,217.674
2002-10-04,217.063
2002-10-07,215.444
2002-10-08,218.035
2002-10-09,219.067
2002-10-10,216.227
