Date,PORTUGAL SMID VALUE SMID (Small+Mid Cap)
1994-05-31,162.299
1994-06-30,161.05
1994-07-29,174.059
1994-08-31,181.143
1994-09-30,177.499
1994-10-31,183.812
1994-11-30,178.181
1994-12-30,178.483
1995-01-31,171.447
1995-02-28,179.799
1995-03-31,190.387
1995-04-28,191.146
1995-05-31,193.308
1995-06-30,192.001
1995-07-31,190.682
1995-08-31,179.117
1995-09-29,184.238
1995-10-31,188.283
1995-11-30,180.307
1995-12-29,186.745
1996-01-31,197.274
1996-02-29,198.413
1996-03-29,201.564
1996-04-30,196.452
1996-05-31,202.37
1996-06-28,208.311
1996-07-31,214.021
1996-08-30,218.658
1996-09-30,213.932
1996-10-31,217.036
1996-11-29,219.259
1996-12-31,224.414
1997-01-31,230.004
1997-02-28,231.793
1997-03-31,233.531
1997-04-30,233.459
1997-05-30,248.823
1997-06-30,267.259
1997-07-31,293.958
1997-08-29,280.333
1997-09-30,315.544
1997-10-31,307.825
1997-11-28,300.457
1997-12-31,306.132
1998-01-30,341.656
1998-02-27,401.218
1998-03-31,473.038
1998-04-30,510.508
1998-05-29,491.826
1998-06-30,427.333
1998-07-31,465.291
1998-08-31,401.539
1998-09-30,370.922
1998-10-30,414.731
1998-11-30,413.756
1998-12-31,412.018
1999-01-29,396.238
1999-02-26,378.408
1999-03-31,366.418
1999-04-30,347.015
1999-05-31,345.286
1999-06-30,327.572
1999-07-30,338.964
1999-08-31,340.859
1999-09-30,341.101
1999-10-29,345.922
1999-11-30,339.312
1999-12-31,358.382
2000-01-31,359.86
2000-02-29,360.385
2000-03-31,340.339
2000-04-28,321.61
2000-05-31,329.695
2000-06-30,349.762
2000-07-31,357.416
2000-08-31,348.254
2000-09-29,350.194
2000-10-31,333.498
2000-11-30,342.085
2000-12-29,357.217
2001-01-31,379.159
2001-02-28,357.776
2001-03-30,317.273
2001-04-30,313.894
2001-05-31,295.833
2001-06-29,273.325
2001-07-31,268.931
2001-08-31,261.892
2001-09-28,242.327
2001-10-31,268.772
2001-11-30,272.575
2001-12-31,277.657
2002-01-31,273.453
2002-02-28,275.869
2002-03-29,291.369
2002-04-30,302.384
2002-05-31,309.388
2002-06-28,304.79
2002-07-31,267.94
2002-08-30,262.582
2002-09-30,212.645
2002-10-31,228.948
2002-11-29,263.559
2002-12-31,256.41
2003-01-31,247.604
2003-02-28,221.938
2003-03-31,231.218
2003-04-30,245.633
2003-05-30,276.474
2003-06-30,287.135
2003-07-31,284.679
2003-08-29,285.902
2003-09-30,314.643
2003-10-31,312.925
2003-11-28,334.478
2003-12-31,358.966
2004-01-30,356.975
2004-02-27,393.31
2004-03-31,388.812
2004-04-30,381.947
2004-05-31,381.497
2004-06-30,396.196
2004-07-30,382.622
2004-08-31,396.488
2004-09-30,424.246
2004-10-29,428.074
2004-11-30,451.03
2004-12-31,461.68
2005-01-31,455.109
2005-02-28,450.566
2005-03-31,429.006
2005-04-29,427.956
2005-05-31,404.528
2005-06-30,403.029
2005-07-29,420.875
2005-08-31,446.033
2005-09-30,451.504
2005-10-31,444.129
2005-11-30,460.434
2005-12-30,489.091
2006-01-31,522.747
2006-02-28,543.579
2006-03-31,609.666
2006-04-28,623.428
2006-05-31,600.503
2006-06-30,585.422
2006-07-31,594.042
2006-08-31,625.624
2006-09-29,638.018
2006-10-31,656.018
2006-11-30,698.319
