Date,PORTUGAL Standard (Large+Mid Cap)
2001-01-01,170.085
2001-01-02,172.008
2001-01-03,171.014
2001-01-04,173.888
2001-01-05,174.605
2001-01-08,173.153
2001-01-09,171.94
2001-01-10,173.368
2001-01-11,177.875
2001-01-12,179.683
2001-01-15,180.313
2001-01-16,177.057
2001-01-17,178.179
2001-01-18,180.537
2001-01-19,177.653
2001-01-22,177.622
2001-01-23,177.31
2001-01-24,176.166
2001-01-25,176.619
2001-01-26,177.652
2001-01-29,176.59
2001-01-30,179.409
2001-01-31,180.776
2001-02-01,182.555
2001-02-02,180.631
2001-02-05,179.91
2001-02-06,180.496
2001-02-07,179.455
2001-02-08,174.945
2001-02-09,173.144
2001-02-12,175.627
2001-02-13,174.304
2001-02-14,172.613
2001-02-15,169.917
2001-02-16,169.819
2001-02-19,169.045
2001-02-20,168.351
2001-02-21,167.916
2001-02-22,165.943
2001-02-23,165.149
2001-02-26,166.311
2001-02-27,167.956
2001-02-28,169.717
2001-03-01,171.478
2001-03-02,171.719
2001-03-05,172.564
2001-03-06,173.372
2001-03-07,173.681
2001-03-08,174.075
2001-03-09,171.564
2001-03-12,169.5
2001-03-13,168.348
2001-03-14,164.457
2001-03-15,164.059
2001-03-16,159.093
2001-03-19,158.004
2001-03-20,159.222
2001-03-21,156.135
2001-03-22,148.486
2001-03-23,153.487
2001-03-26,154.956
2001-03-27,155.289
2001-03-28,154.987
2001-03-29,154.39
2001-03-30,154.26
2001-04-02,153.183
2001-04-03,151.694
2001-04-04,156.931
2001-04-05,158.649
2001-04-06,158.482
2001-04-09,160.516
2001-04-10,159.948
2001-04-11,158.643
2001-04-12,159.381
2001-04-13,159.381
2001-04-16,157.749
2001-04-17,157.731
2001-04-18,158.171
2001-04-19,159.482
2001-04-20,159.911
2001-04-23,154.517
2001-04-24,153.546
2001-04-25,154.113
2001-04-26,155.576
2001-04-27,153.471
2001-04-30,154.705
2001-05-01,155.525
2001-05-02,155.0
2001-05-03,154.011
2001-05-04,155.685
2001-05-07,154.913
2001-05-08,153.449
2001-05-09,152.489
2001-05-10,153.421
2001-05-11,151.652
2001-05-14,150.629
2001-05-15,153.496
2001-05-16,153.672
2001-05-17,152.789
2001-05-18,150.623
2001-05-21,148.115
2001-05-22,144.343
2001-05-23,142.079
2001-05-24,141.113
2001-05-25,142.084
2001-05-28,143.439
2001-05-29,141.608
2001-05-30,142.129
2001-05-31,139.588
2001-06-01,139.185
2001-06-04,139.201
2001-06-05,139.325
2001-06-06,138.638
2001-06-07,137.785
2001-06-08,137.414
2001-06-11,134.295
2001-06-12,133.042
2001-06-13,134.808
2001-06-14,135.963
2001-06-15,133.952
2001-06-18,130.402
2001-06-19,129.235
2001-06-20,125.517
2001-06-21,125.85
2001-06-22,128.378
2001-06-25,131.343
2001-06-26,129.608
2001-06-27,128.654
2001-06-28,129.334
2001-06-29,129.874
2001-07-02,130.012
2001-07-03,132.031
2001-07-04,132.167
2001-07-05,130.683
2001-07-06,128.773
2001-07-09,128.148
2001-07-10,129.485
2001-07-11,127.49
2001-07-12,126.29
2001-07-13,126.439
2001-07-16,127.168
2001-07-17,126.573
2001-07-18,129.84
2001-07-19,132.401
2001-07-20,131.648
2001-07-23,130.184
2001-07-24,131.463
2001-07-25,131.999
2001-07-26,132.536
2001-07-27,133.02
2001-07-30,134.134
2001-07-31,134.677
2001-08-01,134.485
2001-08-02,134.134
2001-08-03,134.468
2001-08-06,134.492
2001-08-07,133.511
2001-08-08,132.326
2001-08-09,132.446
2001-08-10,132.874
2001-08-13,133.635
2001-08-14,135.158
2001-08-15,137.221
2001-08-16,135.728
2001-08-17,134.334
2001-08-20,133.222
2001-08-21,133.438
2001-08-22,132.672
2001-08-23,132.734
2001-08-24,132.956
2001-08-27,132.07
2001-08-28,130.303
2001-08-29,131.617
2001-08-30,130.188
2001-08-31,130.057
2001-09-03,128.768
2001-09-04,127.763
2001-09-05,128.02
2001-09-06,126.99
2001-09-07,126.894
2001-09-10,125.631
2001-09-11,121.142
2001-09-12,117.614
2001-09-13,119.162
2001-09-14,115.657
2001-09-17,115.828
2001-09-18,119.136
2001-09-19,122.179
2001-09-20,119.743
2001-09-21,120.087
2001-09-24,123.144
2001-09-25,126.727
2001-09-26,128.382
2001-09-27,129.508
2001-09-28,129.646
2001-10-01,130.233
2001-10-02,128.961
2001-10-03,129.052
2001-10-04,129.776
2001-10-05,130.565
2001-10-08,129.012
2001-10-09,130.235
2001-10-10,132.305
2001-10-11,131.157
2001-10-12,131.181
2001-10-15,129.934
2001-10-16,132.132
2001-10-17,134.157
2001-10-18,133.785
2001-10-19,130.953
2001-10-22,132.941
2001-10-23,135.119
2001-10-24,136.443
2001-10-25,135.407
2001-10-26,133.739
2001-10-29,134.907
2001-10-30,133.771
2001-10-31,134.179
2001-11-01,135.036
2001-11-02,135.081
2001-11-05,135.666
2001-11-06,136.24
2001-11-07,137.517
2001-11-08,137.235
2001-11-09,136.46
2001-11-12,137.088
2001-11-13,136.166
2001-11-14,136.321
2001-11-15,134.159
2001-11-16,133.907
2001-11-19,133.702
2001-11-20,132.982
2001-11-21,130.76
2001-11-22,131.763
2001-11-23,130.898
2001-11-26,130.109
2001-11-27,130.78
2001-11-28,129.534
2001-11-29,130.976
2001-11-30,132.912
2001-12-03,130.205
2001-12-04,131.205
2001-12-05,131.842
2001-12-06,135.171
2001-12-07,134.69
2001-12-10,132.947
2001-12-11,134.403
2001-12-12,135.257
2001-12-13,134.678
2001-12-14,134.046
2001-12-17,133.792
2001-12-18,133.113
2001-12-19,130.887
2001-12-20,130.424
2001-12-21,129.261
2001-12-24,127.971
2001-12-25,127.971
2001-12-26,128.08
2001-12-27,131.321
2001-12-28,131.466
2001-12-31,132.748
2002-01-01,132.748
2002-01-02,134.36
2002-01-03,136.402
2002-01-04,136.076
2002-01-07,133.701
2002-01-08,132.57
2002-01-09,130.376
2002-01-10,130.185
2002-01-11,130.066
2002-01-14,129.418
2002-01-15,131.203
2002-01-16,130.11
2002-01-17,131.342
2002-01-18,132.347
2002-01-21,131.538
2002-01-22,131.501
2002-01-23,129.516
2002-01-24,127.971
2002-01-25,126.014
2002-01-28,127.724
2002-01-29,125.782
2002-01-30,124.264
2002-01-31,124.113
2002-02-01,124.574
2002-02-04,123.58
2002-02-05,123.528
2002-02-06,124.347
2002-02-07,123.471
2002-02-08,123.294
2002-02-11,124.078
2002-02-12,123.901
2002-02-13,122.023
2002-02-14,123.091
2002-02-15,121.926
2002-02-18,121.343
2002-02-19,119.329
2002-02-20,118.734
2002-02-21,117.582
2002-02-22,118.343
2002-02-25,117.438
2002-02-26,119.464
2002-02-27,120.201
2002-02-28,121.511
2002-03-01,122.633
2002-03-04,125.107
2002-03-05,125.622
2002-03-06,126.358
2002-03-07,128.378
2002-03-08,129.55
2002-03-11,129.876
2002-03-12,129.191
2002-03-13,128.529
2002-03-14,129.96
2002-03-15,130.878
2002-03-18,131.526
2002-03-19,131.277
2002-03-20,129.862
2002-03-21,128.364
2002-03-22,129.718
2002-03-25,128.436
2002-03-26,128.175
2002-03-27,127.936
2002-03-28,127.587
2002-03-29,127.587
2002-04-01,128.633
2002-04-02,127.347
2002-04-03,126.75
2002-04-04,127.337
2002-04-05,126.65
2002-04-08,125.847
2002-04-09,127.595
2002-04-10,127.496
2002-04-11,127.626
2002-04-12,126.548
2002-04-15,127.007
2002-04-16,128.279
2002-04-17,129.393
2002-04-18,130.064
2002-04-19,130.102
2002-04-22,129.929
2002-04-23,129.274
2002-04-24,129.07
2002-04-25,130.025
2002-04-26,129.289
2002-04-29,129.551
2002-04-30,128.666
2002-05-01,129.394
2002-05-02,124.334
2002-05-03,126.624
2002-05-06,126.175
2002-05-07,124.758
2002-05-08,127.102
2002-05-09,126.617
2002-05-10,126.575
2002-05-13,125.708
2002-05-14,125.216
2002-05-15,125.948
2002-05-16,126.444
2002-05-17,128.489
2002-05-20,128.5
2002-05-21,128.619
2002-05-22,129.666
2002-05-23,129.29
2002-05-24,130.253
2002-05-27,129.828
2002-05-28,131.748
2002-05-29,132.212
2002-05-30,132.999
2002-05-31,129.97
2002-06-03,131.104
2002-06-04,130.079
2002-06-05,130.196
2002-06-06,129.292
2002-06-07,128.054
2002-06-10,127.938
2002-06-11,128.091
2002-06-12,127.069
2002-06-13,125.051
2002-06-14,122.992
2002-06-17,124.373
2002-06-18,125.605
