Date,PORTUGAL VALUE Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,103.134
1997-02-28,106.325
1997-03-31,109.48
1997-04-30,108.734
1997-05-30,118.163
1997-06-30,129.869
1997-07-31,132.522
1997-08-29,123.665
1997-09-30,137.715
1997-10-31,135.353
1997-11-28,136.515
1997-12-31,139.321
1998-01-30,151.156
1998-02-27,174.416
1998-03-31,197.277
1998-04-30,213.074
1998-05-29,209.072
1998-06-30,186.472
1998-07-31,201.364
1998-08-31,181.209
1998-09-30,174.057
1998-10-30,193.355
1998-11-30,178.587
1998-12-31,178.172
1999-01-29,186.186
1999-02-26,169.476
1999-03-31,159.484
1999-04-30,151.675
1999-05-31,150.025
1999-06-30,145.263
1999-07-30,147.451
1999-08-31,145.796
1999-09-30,140.746
1999-10-29,140.266
1999-11-30,140.64
1999-12-31,161.021
2000-01-31,152.378
2000-02-29,177.735
2000-03-31,162.31
2000-04-28,152.592
2000-05-31,152.606
2000-06-30,164.69
2000-07-31,160.72
2000-08-31,157.34
2000-09-29,154.883
2000-10-31,138.939
2000-11-30,143.685
2000-12-29,155.406
2001-01-31,159.263
2001-02-28,151.108
2001-03-30,132.006
2001-04-30,132.558
2001-05-31,125.574
2001-06-29,118.506
2001-07-31,123.284
2001-08-31,119.135
2001-09-28,114.484
2001-10-31,115.882
2001-11-30,114.106
2001-12-31,111.208
2002-01-31,106.38
2002-02-28,104.124
2002-03-29,112.917
2002-04-30,113.479
2002-05-31,115.002
2002-06-28,112.253
2002-07-31,102.855
2002-08-30,98.335
2002-09-30,88.529
2002-10-31,91.66
2002-11-29,100.707
2002-12-31,101.67
2003-01-31,102.012
2003-02-28,95.134
2003-03-31,103.255
2003-04-30,109.949
2003-05-30,121.013
2003-06-30,126.92
2003-07-31,125.669
2003-08-29,126.2
2003-09-30,138.906
2003-10-31,138.865
2003-11-28,148.945
2003-12-31,160.957
2004-01-30,162.461
2004-02-27,177.296
2004-03-31,173.703
2004-04-30,172.214
2004-05-31,171.721
2004-06-30,175.296
2004-07-30,165.46
2004-08-31,169.011
2004-09-30,179.141
2004-10-29,185.263
2004-11-30,196.537
2004-12-31,201.346
2005-01-31,202.728
2005-02-28,203.55
2005-03-31,196.479
2005-04-29,196.997
2005-05-31,187.636
2005-06-30,186.628
2005-07-29,191.356
2005-08-31,200.934
2005-09-30,203.661
2005-10-31,198.032
2005-11-30,201.405
2005-12-30,212.009
2006-01-31,226.095
2006-02-28,235.814
2006-03-31,265.658
2006-04-28,271.996
2006-05-31,262.207
2006-06-30,261.363
2006-07-31,265.907
2006-08-31,276.276
2006-09-29,286.686
2006-10-31,295.979
2006-11-30,314.467
2006-12-29,331.599
2007-01-31,336.3
2007-02-28,334.774
2007-03-30,336.536
2007-04-30,372.675
2007-05-31,414.448
2007-06-29,429.672
2007-07-31,423.246
2007-08-31,396.673
2007-09-28,386.255
2007-10-31,435.153
2007-11-30,424.111
2007-12-31,405.077
2008-01-31,374.36
2008-02-29,382.87
2008-03-31,360.861
2008-04-30,390.367
2008-05-30,392.337
2008-06-30,343.468
2008-07-31,328.358
2008-08-29,303.856
2008-09-30,291.775
2008-10-31,205.945
2008-11-28,208.699
2008-12-31,236.056
2009-01-30,212.383
2009-02-27,195.106
2009-03-31,198.577
2009-04-30,228.591
2009-05-29,261.93
2009-06-30,259.791
2009-07-31,276.263
2009-08-31,299.278
2009-09-30,328.979
2009-10-30,331.982
2009-11-30,324.625
2009-12-31,318.833
2010-01-29,288.102
2010-02-26,260.621
2010-03-31,280.068
2010-04-30,252.864
2010-05-31,215.081
2010-06-30,211.546
2010-07-30,238.007
2010-08-31,220.44
2010-09-30,241.659
2010-10-29,264.785
2010-11-30,217.089
2010-12-31,227.123
2011-01-31,249.815
2011-02-28,257.102
2011-03-31,251.078
2011-04-29,261.925
2011-05-31,248.944
2011-06-30,230.346
2011-07-29,212.227
2011-08-31,200.365
2011-09-30,174.789
2011-10-31,170.313
2011-11-30,154.75
2011-12-30,152.327
2012-01-31,139.112
2012-02-29,147.036
2012-03-30,144.635
2012-04-30,138.273
2012-05-31,106.521
2012-06-29,123.226
2012-07-31,117.853
2012-08-31,130.309
2012-09-28,140.205
2012-10-31,146.823
2012-11-30,139.091
2012-12-31,160.268
2013-01-31,180.682
2013-02-28,161.706
2013-03-29,157.804
2013-04-30,173.275
2013-05-31,163.926
2013-06-28,155.47
2013-07-31,169.292
2013-08-30,170.391
2013-09-30,181.778
2013-10-31,189.853
2013-11-29,193.597
2013-12-31,187.671
2014-01-31,191.139
2014-02-28,213.738
2014-03-31,222.512
2014-04-30,229.107
2014-05-30,229.224
2014-06-30,242.855
2014-07-31,215.059
2014-08-29,219.21
2014-09-30,199.5
2014-10-31,191.922
2014-11-28,182.971
2014-12-31,173.238
2015-01-30,169.538
2015-02-27,175.952
2015-03-31,166.518
2015-04-30,178.073
2015-05-29,182.563
2015-06-30,176.419
2015-07-31,170.503
2015-08-31,159.785
2015-09-30,158.536
2015-10-30,164.201
2015-11-30,147.608
2015-12-31,159.266
2016-01-29,154.018
2016-02-29,139.328
2016-03-31,159.328
2016-04-29,165.623
2016-05-31,161.054
2016-06-30,147.789
2016-07-29,165.721
2016-08-31,161.664
2016-09-30,162.255
2016-10-31,159.435
2016-11-30,139.734
2016-12-30,149.799
2017-01-31,144.21
2017-02-28,150.66
2017-03-31,161.723
2017-04-28,159.717
2017-05-31,179.809
2017-06-30,159.481
2017-07-31,172.746
2017-08-31,187.261
2017-09-29,183.897
2017-10-31,174.272
2017-11-30,171.499
2017-12-29,168.379
2018-01-31,172.693
2018-02-28,164.184
2018-03-30,180.15
2018-04-30,186.099
2018-05-31,191.279
2018-06-29,194.774
2018-07-31,202.75
2018-08-31,195.936
2018-09-28,187.27
2018-10-31,174.695
2018-11-30,171.327
2018-12-31,169.275
2019-01-31,175.471
2019-02-28,177.882
2019-03-29,186.633
2019-04-30,183.006
2019-05-31,181.77
2019-06-28,190.489
2019-07-31,185.07
2019-08-30,189.5
2019-09-30,194.365
2019-10-31,206.049
2019-11-29,202.535
2019-12-31,217.09
2020-01-31,250.933
2020-02-28,232.012
2020-03-31,200.894
2020-04-30,211.062
2020-05-29,246.584
2020-06-30,246.802
2020-07-31,254.473
2020-08-31,256.057
2020-09-30,240.86
2020-10-30,233.475
2020-11-30,266.553
2020-12-31,301.057
2021-01-29,295.874
2021-02-26,284.721
2021-03-31,285.943
2021-04-30,287.514
2021-05-31,303.315
2021-06-30,277.484
2021-07-30,267.263
2021-08-31,284.454
2021-09-30,282.891
2021-10-29,294.46
2021-11-30,277.31
2021-12-31,280.847
2022-01-31,269.699
2022-02-28,268.373
2022-03-31,283.455
2022-04-29,274.922
2022-05-31,294.314
2022-06-30,271.377
2022-07-29,280.096
2022-08-31,271.745
2022-09-30,244.923
2022-10-31,249.798
2022-11-30,274.754
2022-12-30,292.451
2023-01-31,292.496
2023-02-28,285.868
2023-03-31,297.899
2023-04-28,311.52
2023-05-31,275.971
2023-06-30,280.045
2023-07-31,274.131
2023-08-31,269.246
2023-09-29,250.513
2023-10-31,251.354
2023-11-30,281.326
2023-12-29,297.103
2024-01-31,266.195
2024-02-29,236.969
2024-03-29,234.982
2024-04-30,241.135
2024-05-31,268.056
2024-06-28,244.357
2024-07-31,268.797
2024-08-30,275.427
2024-09-30,300.478
2024-10-31,249.921
2024-11-29,226.282
2024-12-31,200.388
2025-01-31,197.593
2025-02-28,202.496
2025-03-31,210.459
2025-04-30,247.382
2025-05-30,264.953
