Date,PORTUGAL VALUE Standard (Large+Mid Cap)
2001-01-01,152.337
2001-01-02,155.083
2001-01-03,154.491
2001-01-04,155.898
2001-01-05,154.222
2001-01-08,151.629
2001-01-09,150.652
2001-01-10,152.817
2001-01-11,157.021
2001-01-12,155.529
2001-01-15,155.506
2001-01-16,153.481
2001-01-17,151.95
2001-01-18,153.048
2001-01-19,151.19
2001-01-22,152.292
2001-01-23,153.367
2001-01-24,150.921
2001-01-25,152.75
2001-01-26,153.951
2001-01-29,152.086
2001-01-30,154.686
2001-01-31,156.118
2001-02-01,157.173
2001-02-02,155.036
2001-02-05,154.047
2001-02-06,155.143
2001-02-07,154.48
2001-02-08,150.335
2001-02-09,149.833
2001-02-12,151.527
2001-02-13,150.061
2001-02-14,149.576
2001-02-15,147.86
2001-02-16,147.552
2001-02-19,147.642
2001-02-20,146.429
2001-02-21,146.682
2001-02-22,145.429
2001-02-23,145.322
2001-02-26,146.287
2001-02-27,147.734
2001-02-28,148.124
2001-03-01,147.876
2001-03-02,149.868
2001-03-05,149.016
2001-03-06,149.889
2001-03-07,150.576
2001-03-08,150.239
2001-03-09,148.705
2001-03-12,147.066
2001-03-13,145.6
2001-03-14,142.45
2001-03-15,142.899
2001-03-16,137.625
2001-03-19,137.333
2001-03-20,137.245
2001-03-21,135.696
2001-03-22,128.16
2001-03-23,132.472
2001-03-26,132.362
2001-03-27,131.939
2001-03-28,130.371
2001-03-29,130.819
2001-03-30,129.399
2001-04-02,127.712
2001-04-03,127.236
2001-04-04,131.134
2001-04-05,132.885
2001-04-06,132.288
2001-04-09,133.592
2001-04-10,134.043
2001-04-11,134.912
2001-04-12,136.527
2001-04-13,136.527
2001-04-16,135.129
2001-04-17,135.035
2001-04-18,134.399
2001-04-19,134.291
2001-04-20,133.134
2001-04-23,130.39
2001-04-24,130.558
2001-04-25,131.04
2001-04-26,129.921
2001-04-27,128.472
2001-04-30,129.525
2001-05-01,130.211
2001-05-02,129.61
2001-05-03,128.428
2001-05-04,129.5
2001-05-07,127.738
2001-05-08,126.422
2001-05-09,125.974
2001-05-10,126.243
2001-05-11,124.599
2001-05-14,124.666
2001-05-15,127.364
2001-05-16,127.808
2001-05-17,126.564
2001-05-18,124.257
2001-05-21,124.542
2001-05-22,122.443
2001-05-23,121.412
2001-05-24,121.461
2001-05-25,121.214
2001-05-28,121.524
2001-05-29,120.858
2001-05-30,123.022
2001-05-31,121.959
2001-06-01,122.169
2001-06-04,122.667
2001-06-05,122.869
2001-06-06,122.618
2001-06-07,122.175
2001-06-08,122.214
2001-06-11,119.602
2001-06-12,119.038
2001-06-13,120.861
2001-06-14,121.898
2001-06-15,121.668
2001-06-18,119.574
2001-06-19,117.5
2001-06-20,112.819
2001-06-21,112.91
2001-06-22,115.478
2001-06-25,115.701
2001-06-26,115.647
2001-06-27,115.293
2001-06-28,115.928
2001-06-29,115.094
2001-07-02,114.478
2001-07-03,115.478
2001-07-04,115.262
2001-07-05,114.299
2001-07-06,112.978
2001-07-09,112.267
2001-07-10,115.214
2001-07-11,112.813
2001-07-12,113.032
2001-07-13,112.837
2001-07-16,113.683
2001-07-17,112.923
2001-07-18,115.653
2001-07-19,116.866
2001-07-20,116.19
2001-07-23,113.945
2001-07-24,115.787
2001-07-25,118.152
2001-07-26,119.26
2001-07-27,120.439
2001-07-30,119.499
2001-07-31,119.734
2001-08-01,118.638
2001-08-02,118.656
2001-08-03,118.789
2001-08-06,118.5
2001-08-07,118.399
2001-08-08,117.986
2001-08-09,118.857
2001-08-10,118.997
2001-08-13,117.282
2001-08-14,120.003
2001-08-15,121.835
2001-08-16,121.369
2001-08-17,120.369
2001-08-20,119.978
2001-08-21,120.599
2001-08-22,120.139
2001-08-23,119.209
2001-08-24,118.747
2001-08-27,117.839
2001-08-28,115.841
2001-08-29,117.531
2001-08-30,116.344
2001-08-31,115.706
2001-09-03,114.652
2001-09-04,113.748
2001-09-05,113.539
2001-09-06,113.767
2001-09-07,113.919
2001-09-10,112.462
2001-09-11,107.469
2001-09-12,104.621
2001-09-13,104.887
2001-09-14,101.039
2001-09-17,100.853
2001-09-18,104.776
2001-09-19,106.399
2001-09-20,103.124
2001-09-21,101.143
2001-09-24,104.855
2001-09-25,105.058
2001-09-26,107.656
2001-09-27,110.566
2001-09-28,111.189
2001-10-01,110.872
2001-10-02,108.693
2001-10-03,110.051
2001-10-04,112.373
2001-10-05,113.056
2001-10-08,112.125
2001-10-09,112.89
2001-10-10,113.724
2001-10-11,113.497
2001-10-12,114.025
2001-10-15,112.071
2001-10-16,114.232
2001-10-17,116.074
2001-10-18,116.678
2001-10-19,115.013
2001-10-22,116.59
2001-10-23,116.493
2001-10-24,117.298
2001-10-25,116.392
2001-10-26,115.001
2001-10-29,114.983
2001-10-30,114.154
2001-10-31,112.546
2001-11-01,113.264
2001-11-02,112.031
2001-11-05,111.981
2001-11-06,113.056
2001-11-07,113.611
2001-11-08,112.031
2001-11-09,112.49
2001-11-12,111.558
2001-11-13,111.189
2001-11-14,111.936
2001-11-15,111.821
2001-11-16,112.257
2001-11-19,112.027
2001-11-20,111.339
2001-11-21,109.626
2001-11-22,110.568
2001-11-23,109.746
2001-11-26,109.172
2001-11-27,108.998
2001-11-28,109.013
2001-11-29,109.268
2001-11-30,110.821
2001-12-03,108.743
2001-12-04,106.988
2001-12-05,106.248
2001-12-06,110.725
2001-12-07,110.241
2001-12-10,108.788
2001-12-11,109.606
2001-12-12,109.319
2001-12-13,109.785
2001-12-14,109.873
2001-12-17,110.954
2001-12-18,110.385
2001-12-19,106.415
2001-12-20,105.263
2001-12-21,105.371
2001-12-24,104.32
2001-12-25,104.32
2001-12-26,104.409
2001-12-27,107.05
2001-12-28,106.963
2001-12-31,108.006
2002-01-01,108.006
2002-01-02,108.941
2002-01-03,109.62
2002-01-04,108.594
2002-01-07,107.094
2002-01-08,108.041
2002-01-09,106.835
2002-01-10,106.262
2002-01-11,105.582
2002-01-14,105.056
2002-01-15,108.992
2002-01-16,109.268
2002-01-17,108.607
2002-01-18,109.117
2002-01-21,108.398
2002-01-22,108.746
2002-01-23,108.096
2002-01-24,106.155
2002-01-25,104.002
2002-01-28,104.939
2002-01-29,103.623
2002-01-30,103.065
2002-01-31,103.318
2002-02-01,103.79
2002-02-04,103.505
2002-02-05,103.592
2002-02-06,103.857
2002-02-07,104.156
2002-02-08,104.477
2002-02-11,105.065
2002-02-12,104.915
2002-02-13,103.77
2002-02-14,105.182
2002-02-15,103.77
2002-02-18,103.222
2002-02-19,102.927
2002-02-20,103.306
2002-02-21,102.36
2002-02-22,102.034
2002-02-25,101.047
2002-02-26,101.364
2002-02-27,100.735
2002-02-28,101.126
2002-03-01,103.422
2002-03-04,105.913
2002-03-05,105.287
2002-03-06,106.333
2002-03-07,107.475
2002-03-08,108.218
2002-03-11,107.842
2002-03-12,107.645
2002-03-13,108.664
2002-03-14,110.414
2002-03-15,111.276
2002-03-18,112.272
2002-03-19,110.198
2002-03-20,110.694
2002-03-21,110.473
2002-03-22,110.799
2002-03-25,110.718
2002-03-26,110.242
2002-03-27,110.006
2002-03-28,109.667
2002-03-29,109.667
2002-04-01,110.565
2002-04-02,111.028
2002-04-03,110.877
2002-04-04,110.952
2002-04-05,110.441
2002-04-08,109.839
2002-04-09,109.724
2002-04-10,109.565
2002-04-11,109.892
2002-04-12,108.81
2002-04-15,109.2
2002-04-16,109.765
2002-04-17,109.629
2002-04-18,110.542
2002-04-19,109.34
2002-04-22,110.327
2002-04-23,109.349
2002-04-24,109.734
2002-04-25,110.546
2002-04-26,110.892
2002-04-29,110.221
2002-04-30,109.936
2002-05-01,110.559
2002-05-02,108.287
2002-05-03,109.167
2002-05-06,108.084
2002-05-07,106.964
2002-05-08,109.033
2002-05-09,108.537
2002-05-10,109.41
2002-05-13,108.605
2002-05-14,108.472
2002-05-15,108.842
2002-05-16,109.69
2002-05-17,111.054
2002-05-20,110.533
2002-05-21,110.792
2002-05-22,111.718
2002-05-23,111.012
2002-05-24,111.152
2002-05-27,110.925
2002-05-28,111.992
2002-05-29,112.802
2002-05-30,113.474
2002-05-31,111.412
2002-06-03,112.436
2002-06-04,112.224
2002-06-05,112.931
2002-06-06,112.318
2002-06-07,112.692
2002-06-10,112.591
2002-06-11,112.908
2002-06-12,111.943
2002-06-13,111.736
2002-06-14,110.676
2002-06-17,110.47
2002-06-18,111.961
2002-06-19,111.492
2002-06-20,111.452
2002-06-21,109.681
2002-06-24,106.837
2002-06-25,107.075
2002-06-26,108.345
2002-06-27,107.558
2002-06-28,108.012
2002-07-01,107.58
2002-07-02,106.106
