Date,PORTUGAL VALUE Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,103.081
1997-02-28,106.217
1997-03-31,109.315
1997-04-30,108.522
1997-05-30,117.883
1997-06-30,129.511
1997-07-31,132.108
1997-08-29,123.229
1997-09-30,137.177
1997-10-31,134.77
1997-11-28,135.874
1997-12-31,138.617
1998-01-30,150.342
1998-02-27,173.427
1998-03-31,196.107
1998-04-30,211.757
1998-05-29,207.721
1998-06-30,185.207
1998-07-31,199.937
1998-08-31,179.864
1998-09-30,172.697
1998-10-30,191.775
1998-11-30,177.059
1998-12-31,176.579
1999-01-29,184.454
1999-02-26,167.837
1999-03-31,157.867
1999-04-30,150.064
1999-05-31,148.359
1999-06-30,143.578
1999-07-30,145.666
1999-08-31,143.957
1999-09-30,138.895
1999-10-29,138.349
1999-11-30,138.648
1999-12-31,158.67
2000-01-31,150.085
2000-02-29,174.992
2000-03-31,159.738
2000-04-28,150.107
2000-05-31,150.051
2000-06-30,161.86
2000-07-31,157.891
2000-08-31,154.504
2000-09-29,152.028
2000-10-31,136.317
2000-11-30,140.911
2000-12-29,152.337
2001-01-31,156.118
2001-02-28,148.124
2001-03-30,129.399
2001-04-30,129.525
2001-05-31,121.959
2001-06-29,115.094
2001-07-31,119.734
2001-08-31,115.706
2001-09-28,111.189
2001-10-31,112.546
2001-11-30,110.821
2001-12-31,108.006
2002-01-31,103.318
2002-02-28,101.126
2002-03-29,109.667
2002-04-30,109.936
2002-05-31,111.412
2002-06-28,108.012
2002-07-31,98.969
2002-08-30,94.62
2002-09-30,85.185
2002-10-31,88.197
2002-11-29,96.902
2002-12-31,97.829
2003-01-31,98.158
2003-02-28,91.54
2003-03-31,99.355
2003-04-30,105.335
2003-05-30,115.935
2003-06-30,120.996
2003-07-31,119.803
2003-08-29,120.309
2003-09-30,132.422
2003-10-31,132.383
2003-11-28,141.992
2003-12-31,153.443
2004-01-30,154.877
2004-02-27,169.02
2004-03-31,165.594
2004-04-30,163.047
2004-05-31,162.459
2004-06-30,165.84
2004-07-30,156.535
2004-08-31,159.895
2004-09-30,169.478
2004-10-29,175.27
2004-11-30,185.716
2004-12-31,190.259
2005-01-31,191.565
2005-02-28,192.342
2005-03-31,185.66
2005-04-29,184.841
2005-05-31,175.973
2005-06-30,175.028
2005-07-29,179.461
2005-08-31,188.444
2005-09-30,191.002
2005-10-31,185.546
2005-11-30,188.706
2005-12-30,198.642
2006-01-31,211.84
2006-02-28,220.946
2006-03-31,248.909
2006-04-28,253.852
2006-05-31,244.419
2006-06-30,243.632
2006-07-31,247.868
2006-08-31,257.533
2006-09-29,267.237
2006-10-31,275.899
2006-11-30,292.837
2006-12-29,308.791
2007-01-31,313.169
2007-02-28,311.748
2007-03-30,313.389
2007-04-30,346.551
2007-05-31,384.378
2007-06-29,398.097
2007-07-31,392.143
2007-08-31,367.522
2007-09-28,357.87
2007-10-31,403.175
2007-11-30,392.603
2007-12-31,374.983
2008-01-31,346.548
2008-02-29,354.426
2008-03-31,334.052
2008-04-30,357.649
2008-05-30,359.454
2008-06-30,314.345
2008-07-31,300.517
2008-08-29,278.092
2008-09-30,267.035
2008-10-31,188.482
2008-11-28,191.003
2008-12-31,216.041
2009-01-30,194.375
2009-02-27,178.563
2009-03-31,181.585
2009-04-30,207.053
2009-05-29,237.25
2009-06-30,235.039
2009-07-31,249.94
2009-08-31,270.763
2009-09-30,297.634
2009-10-30,300.323
2009-11-30,293.667
2009-12-31,288.427
2010-01-29,260.627
2010-02-26,235.766
2010-03-31,253.359
2010-04-30,228.072
2010-05-31,193.074
2010-06-30,189.901
2010-07-30,213.654
2010-08-31,197.885
2010-09-30,216.933
2010-10-29,237.692
2010-11-30,194.877
2010-12-31,203.884
2011-01-31,224.254
2011-02-28,230.795
2011-03-31,225.388
2011-04-29,234.77
2011-05-31,221.162
2011-06-30,204.64
2011-07-29,188.543
2011-08-31,178.004
2011-09-30,155.283
2011-10-31,151.306
2011-11-30,137.48
2011-12-30,134.843
2012-01-31,123.145
2012-02-29,130.16
2012-03-30,128.034
2012-04-30,122.402
2012-05-31,92.375
2012-06-29,106.861
2012-07-31,102.202
2012-08-31,113.004
2012-09-28,121.585
2012-10-31,127.325
2012-11-30,120.619
2012-12-31,138.984
2013-01-31,156.687
2013-02-28,140.231
2013-03-29,136.847
2013-04-30,150.264
2013-05-31,139.82
2013-06-28,132.608
2013-07-31,144.397
2013-08-30,145.335
2013-09-30,155.048
2013-10-31,161.935
2013-11-29,165.128
2013-12-31,160.074
2014-01-31,163.032
2014-02-28,182.308
2014-03-31,189.791
2014-04-30,195.417
2014-05-30,193.147
2014-06-30,204.633
2014-07-31,181.212
2014-08-29,184.709
2014-09-30,168.101
2014-10-31,161.716
2014-11-28,154.174
2014-12-31,145.973
2015-01-30,142.855
2015-02-27,148.26
2015-03-31,140.31
2015-04-30,150.046
2015-05-29,151.899
2015-06-30,146.787
2015-07-31,141.865
2015-08-31,132.948
2015-09-30,131.908
2015-10-30,136.622
2015-11-30,122.816
2015-12-31,132.516
2016-01-29,128.149
2016-02-29,115.926
2016-03-31,132.567
2016-04-29,137.805
2016-05-31,132.698
2016-06-30,121.768
2016-07-29,136.543
2016-08-31,133.201
2016-09-30,133.687
2016-10-31,131.364
2016-11-30,115.131
2016-12-30,123.425
2017-01-31,118.819
2017-02-28,124.134
2017-03-31,133.249
2017-04-28,131.596
2017-05-31,146.481
2017-06-30,129.921
2017-07-31,140.727
2017-08-31,152.552
2017-09-29,149.811
2017-10-31,141.97
2017-11-30,139.712
2017-12-29,137.17
2018-01-31,140.684
2018-02-28,133.752
2018-03-30,146.759
2018-04-30,150.149
2018-05-31,154.086
2018-06-29,156.902
2018-07-31,163.327
2018-08-31,157.839
2018-09-28,150.696
2018-10-31,140.576
2018-11-30,137.866
2018-12-31,136.214
2019-01-31,141.201
2019-02-28,143.141
2019-03-29,150.182
2019-04-30,147.264
2019-05-31,144.443
2019-06-28,151.371
2019-07-31,147.065
2019-08-30,150.585
2019-09-30,154.451
2019-10-31,163.736
2019-11-29,160.944
2019-12-31,172.51
2020-01-31,199.402
2020-02-28,184.367
2020-03-31,159.639
2020-04-30,167.719
2020-05-29,193.668
2020-06-30,193.839
2020-07-31,199.864
2020-08-31,201.108
2020-09-30,189.172
2020-10-30,183.372
2020-11-30,209.352
2020-12-31,236.452
2021-01-29,232.381
2021-02-26,223.621
2021-03-31,224.581
2021-04-30,224.243
2021-05-31,235.995
2021-06-30,215.898
2021-07-30,207.945
2021-08-31,221.321
2021-09-30,219.759
2021-10-29,228.746
2021-11-30,215.423
2021-12-31,218.171
2022-01-31,209.511
2022-02-28,208.481
2022-03-31,220.197
2022-04-29,212.181
2022-05-31,226.793
2022-06-30,209.118
2022-07-29,215.836
2022-08-31,209.401
2022-09-30,188.445
2022-10-31,192.196
2022-11-30,211.397
2022-12-30,225.013
2023-01-31,225.048
2023-02-28,219.948
2023-03-31,229.205
2023-04-28,238.252
2023-05-31,210.749
2023-06-30,213.861
2023-07-31,209.344
2023-08-31,205.471
2023-09-29,191.175
2023-10-31,191.817
2023-11-30,214.69
2023-12-29,226.729
2024-01-31,203.142
2024-02-29,180.839
2024-03-29,179.323
2024-04-30,184.019
2024-05-31,202.653
2024-06-28,184.737
2024-07-31,203.214
2024-08-30,208.226
2024-09-30,227.165
2024-10-31,188.943
2024-11-29,171.072
2024-12-31,151.496
2025-01-31,149.382
2025-02-28,153.09
2025-03-31,159.11
2025-04-30,187.024
2025-05-30,197.382
2025-06-30,214.094
2025-07-31,214.647
2025-08-29,218.37
2025-09-30,231.787
2025-10-31,239.188
2025-11-28,227.918
2025-12-31,232.931
2026-01-30,256.722
