Date,SINGAPORE IMI IMI (Large+Mid+Small Cap)
2001-01-01,394.087
2001-01-02,386.949
2001-01-03,381.553
2001-01-04,390.938
2001-01-05,401.547
2001-01-08,395.034
2001-01-09,398.99
2001-01-10,395.484
2001-01-11,386.461
2001-01-12,389.617
2001-01-15,390.555
2001-01-16,388.442
2001-01-17,387.444
2001-01-18,383.792
2001-01-19,389.859
2001-01-22,388.21
2001-01-23,387.446
2001-01-24,387.46
2001-01-25,387.812
2001-01-26,385.332
2001-01-29,389.967
2001-01-30,392.735
2001-01-31,400.129
2001-02-01,399.973
2001-02-02,399.123
2001-02-05,395.567
2001-02-06,395.207
2001-02-07,394.941
2001-02-08,403.682
2001-02-09,400.814
2001-02-12,404.344
2001-02-13,404.807
2001-02-14,399.041
2001-02-15,399.298
2001-02-16,399.306
2001-02-19,395.194
2001-02-20,400.504
2001-02-21,397.836
2001-02-22,393.591
2001-02-23,393.751
2001-02-26,396.65
2001-02-27,392.207
2001-02-28,393.951
2001-03-01,387.298
2001-03-02,387.028
2001-03-05,384.37
2001-03-06,384.691
2001-03-07,384.837
2001-03-08,383.864
2001-03-09,383.607
2001-03-12,374.504
2001-03-13,364.004
2001-03-14,361.519
2001-03-15,359.45
2001-03-16,354.258
2001-03-19,346.978
2001-03-20,346.524
2001-03-21,344.354
2001-03-22,336.09
2001-03-23,344.475
2001-03-26,340.006
2001-03-27,328.613
2001-03-28,324.289
2001-03-29,316.293
2001-03-30,322.963
2001-04-02,314.381
2001-04-03,315.042
2001-04-04,312.185
2001-04-05,322.053
2001-04-06,319.984
2001-04-09,306.248
2001-04-10,309.793
2001-04-11,311.9
2001-04-12,308.348
2001-04-13,308.338
2001-04-16,307.456
2001-04-17,302.764
2001-04-18,311.966
2001-04-19,317.154
2001-04-20,318.208
2001-04-23,323.574
2001-04-24,322.057
2001-04-25,319.815
2001-04-26,320.04
2001-04-27,322.761
2001-04-30,329.376
2001-05-01,330.752
2001-05-02,333.315
2001-05-03,331.293
2001-05-04,326.964
2001-05-07,326.534
2001-05-08,324.445
2001-05-09,321.856
2001-05-10,325.194
2001-05-11,327.994
2001-05-14,322.534
2001-05-15,324.214
2001-05-16,320.633
2001-05-17,325.438
2001-05-18,323.396
2001-05-21,323.099
2001-05-22,326.259
2001-05-23,328.462
2001-05-24,330.489
2001-05-25,327.145
2001-05-28,324.45
2001-05-29,325.77
2001-05-30,321.287
2001-05-31,321.591
2001-06-01,320.783
2001-06-04,323.813
2001-06-05,327.537
2001-06-06,328.198
2001-06-07,329.184
2001-06-08,334.209
2001-06-11,329.467
2001-06-12,326.615
2001-06-13,330.233
2001-06-14,330.876
2001-06-15,333.777
2001-06-18,334.656
2001-06-19,332.898
2001-06-20,329.033
2001-06-21,328.99
2001-06-22,335.607
2001-06-25,333.884
2001-06-26,334.545
2001-06-27,332.469
2001-06-28,333.202
2001-06-29,337.159
2001-07-02,332.446
2001-07-03,331.724
2001-07-04,329.463
2001-07-05,328.336
2001-07-06,322.823
2001-07-09,321.343
2001-07-10,324.665
2001-07-11,321.244
2001-07-12,323.451
2001-07-13,320.113
2001-07-16,320.553
2001-07-17,317.638
2001-07-18,315.197
2001-07-19,316.403
2001-07-20,319.403
2001-07-23,317.21
2001-07-24,319.912
2001-07-25,319.599
2001-07-26,322.747
2001-07-27,324.995
2001-07-30,326.821
2001-07-31,329.975
2001-08-01,332.059
2001-08-02,335.235
2001-08-03,332.66
2001-08-06,332.976
2001-08-07,334.009
2001-08-08,332.381
2001-08-09,332.399
2001-08-10,335.688
2001-08-13,333.253
2001-08-14,337.184
2001-08-15,339.149
2001-08-16,337.343
2001-08-17,335.036
2001-08-20,331.225
2001-08-21,337.123
2001-08-22,338.552
2001-08-23,339.359
2001-08-24,338.074
2001-08-27,341.534
2001-08-28,339.597
2001-08-29,340.089
2001-08-30,332.652
2001-08-31,336.035
2001-09-03,334.978
2001-09-04,335.733
2001-09-05,333.737
2001-09-06,329.357
2001-09-07,322.833
2001-09-10,319.134
2001-09-11,321.803
2001-09-12,306.739
2001-09-13,304.675
2001-09-14,295.816
2001-09-17,279.624
2001-09-18,278.166
2001-09-19,282.354
2001-09-20,277.072
2001-09-21,261.805
2001-09-24,268.607
2001-09-25,266.573
2001-09-26,271.759
2001-09-27,278.648
2001-09-28,282.521
2001-10-01,283.45
2001-10-02,284.352
2001-10-03,281.299
2001-10-04,289.701
2001-10-05,289.402
2001-10-08,280.742
2001-10-09,287.609
2001-10-10,281.548
2001-10-11,286.568
2001-10-12,290.595
2001-10-15,292.06
2001-10-16,292.686
2001-10-17,296.686
2001-10-18,289.527
2001-10-19,285.729
2001-10-22,284.499
2001-10-23,288.676
2001-10-24,290.875
2001-10-25,290.244
2001-10-26,289.862
2001-10-29,286.478
2001-10-30,285.716
2001-10-31,282.744
2001-11-01,276.914
2001-11-02,275.987
2001-11-05,276.302
2001-11-06,276.601
2001-11-07,274.955
2001-11-08,277.289
2001-11-09,281.686
2001-11-12,283.251
2001-11-13,281.964
2001-11-14,281.959
2001-11-15,293.634
2001-11-16,290.431
2001-11-19,296.501
2001-11-20,295.89
2001-11-21,298.392
2001-11-22,295.365
2001-11-23,296.883
2001-11-26,300.307
2001-11-27,304.788
2001-11-28,301.206
2001-11-29,297.323
2001-11-30,300.658
2001-12-03,301.157
2001-12-04,310.73
2001-12-05,319.721
2001-12-06,324.666
2001-12-07,326.449
2001-12-10,324.857
2001-12-11,322.723
2001-12-12,323.185
2001-12-13,318.787
2001-12-14,316.163
2001-12-17,315.884
2001-12-18,319.155
2001-12-19,322.613
2001-12-20,320.926
2001-12-21,316.941
2001-12-24,317.856
2001-12-25,317.849
2001-12-26,316.753
2001-12-27,320.299
2001-12-28,323.055
2001-12-31,323.831
2002-01-01,323.831
2002-01-02,324.22
2002-01-03,330.413
2002-01-04,336.295
2002-01-07,338.419
2002-01-08,338.834
2002-01-09,335.809
2002-01-10,340.544
2002-01-11,339.552
2002-01-14,344.525
2002-01-15,339.989
2002-01-16,335.569
2002-01-17,333.566
2002-01-18,330.988
2002-01-21,333.139
2002-01-22,330.087
2002-01-23,330.309
2002-01-24,330.264
2002-01-25,342.703
2002-01-28,349.931
2002-01-29,349.107
2002-01-30,346.024
2002-01-31,351.48
2002-02-01,349.872
2002-02-04,346.398
