Date,SINGAPORE IMI IMI (Large+Mid+Small Cap)
1994-05-31,469.261
1994-06-30,458.016
1994-07-29,467.982
1994-08-31,485.198
1994-09-30,491.653
1994-10-31,507.489
1994-11-30,475.453
1994-12-30,469.746
1995-01-31,445.292
1995-02-28,455.637
1995-03-31,461.631
1995-04-28,465.344
1995-05-31,496.688
1995-06-30,479.626
1995-07-31,491.063
1995-08-31,473.326
1995-09-29,482.17
1995-10-31,483.556
1995-11-30,492.466
1995-12-29,523.228
1996-01-31,572.554
1996-02-29,573.124
1996-03-29,559.976
1996-04-30,562.087
1996-05-31,557.653
1996-06-28,551.949
1996-07-31,506.998
1996-08-30,523.727
1996-09-30,518.132
1996-10-31,500.593
1996-11-29,528.813
1996-12-31,538.89
1997-01-31,557.26
1997-02-28,548.942
1997-03-31,496.141
1997-04-30,469.714
1997-05-30,497.07
1997-06-30,491.363
1997-07-31,493.604
1997-08-29,392.53
1997-09-30,406.606
1997-10-31,334.953
1997-11-28,353.263
1997-12-31,321.206
1998-01-30,283.169
1998-02-27,342.155
1998-03-31,334.478
1998-04-30,311.398
1998-05-29,256.911
1998-06-30,228.693
1998-07-31,226.994
1998-08-31,193.221
1998-09-30,225.511
1998-10-30,286.804
1998-11-30,322.281
1998-12-31,318.09
1999-01-29,305.565
1999-02-26,301.024
1999-03-31,311.022
1999-04-30,405.388
1999-05-31,399.081
1999-06-30,449.196
1999-07-30,438.957
1999-08-31,431.602
1999-09-30,417.53
1999-10-29,434.231
1999-11-30,457.933
1999-12-31,507.51
2000-01-31,468.156
2000-02-29,457.348
2000-03-31,453.651
2000-04-28,450.726
2000-05-31,381.659
2000-06-30,430.854
2000-07-31,426.011
2000-08-31,449.99
2000-09-29,412.203
2000-10-31,406.953
2000-11-30,396.8
2000-12-29,394.148
2001-01-31,400.129
2001-02-28,393.951
2001-03-30,322.963
2001-04-30,329.376
2001-05-31,321.591
2001-06-29,337.159
2001-07-31,329.975
2001-08-31,336.035
2001-09-28,282.521
2001-10-31,282.744
2001-11-30,300.658
2001-12-31,323.831
2002-01-31,351.48
2002-02-28,340.996
2002-03-29,355.504
2002-04-30,346.783
2002-05-31,343.903
2002-06-28,322.411
2002-07-31,314.942
2002-08-30,313.991
2002-09-30,278.464
2002-10-31,304.804
2002-11-29,290.869
2002-12-31,284.026
2003-01-31,274.151
2003-02-28,271.967
2003-03-31,267.778
2003-04-30,270.206
2003-05-30,295.036
2003-06-30,311.849
2003-07-31,335.318
2003-08-29,347.508
2003-09-30,360.555
2003-10-31,380.614
2003-11-28,378.879
2003-12-31,396.529
2004-01-30,417.089
2004-02-27,423.891
2004-03-31,421.501
2004-04-30,412.429
2004-05-31,406.673
2004-06-30,411.364
2004-07-30,421.3
2004-08-31,430.92
2004-09-30,453.327
2004-10-29,455.439
2004-11-30,468.507
2004-12-31,481.948
2005-01-31,492.168
2005-02-28,495.084
2005-03-31,492.133
2005-04-29,493.604
2005-05-31,497.657
2005-06-30,505.95
2005-07-29,549.144
2005-08-31,529.02
2005-09-30,534.016
2005-10-31,514.866
2005-11-30,537.605
2005-12-30,557.443
2006-01-31,591.002
2006-02-28,610.729
2006-03-31,629.427
2006-04-28,666.247
2006-05-31,614.263
2006-06-30,627.999
2006-07-31,630.323
2006-08-31,651.437
