Date,SINGAPORE IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,696.212
1994-06-30,683.053
1994-07-29,697.442
1994-08-31,706.856
1994-09-30,702.552
1994-10-31,712.883
1994-11-30,659.165
1994-12-30,643.498
1995-01-31,622.688
1995-02-28,626.044
1995-03-31,629.413
1995-04-28,640.067
1995-05-31,678.625
1995-06-30,655.499
1995-07-31,671.233
1995-08-31,653.953
1995-09-29,668.636
1995-10-31,679.249
1995-11-30,694.252
1995-12-29,746.399
1996-01-31,816.084
1996-02-29,821.62
1996-03-29,809.69
1996-04-30,808.694
1996-05-31,829.696
1996-06-28,809.743
1996-07-31,738.763
1996-08-30,752.064
1996-09-30,734.364
1996-10-31,719.285
1996-11-29,750.426
1996-12-31,772.924
1997-01-31,793.297
1997-02-28,787.87
1997-03-31,706.404
1997-04-30,650.465
1997-05-30,697.527
1997-06-30,697.803
1997-07-31,701.647
1997-08-29,544.565
1997-09-30,581.554
1997-10-31,488.245
1997-11-28,539.503
1997-12-31,488.255
1998-01-30,470.944
1998-02-27,538.377
1998-03-31,506.39
1998-04-30,484.055
1998-05-29,398.692
1998-06-30,369.474
1998-07-31,380.474
1998-08-31,356.255
1998-09-30,409.979
1998-10-30,462.692
1998-11-30,489.078
1998-12-31,475.444
1999-01-29,454.097
1999-02-26,441.709
1999-03-31,458.531
1999-04-30,595.156
1999-05-31,586.586
1999-06-30,661.137
1999-07-30,659.148
1999-08-31,648.191
1999-09-30,625.668
1999-10-29,644.915
1999-11-30,686.294
1999-12-31,756.312
2000-01-31,731.141
2000-02-29,720.971
2000-03-31,723.474
2000-04-28,680.999
2000-05-31,615.548
2000-06-30,651.237
2000-07-31,617.208
2000-08-31,672.965
2000-09-29,607.91
2000-10-31,581.18
2000-11-30,556.956
2000-12-29,538.391
2001-01-31,557.315
2001-02-28,546.373
2001-03-30,429.072
2001-04-30,432.076
2001-05-31,420.217
2001-06-29,430.821
2001-07-31,420.872
2001-08-31,417.268
2001-09-28,351.352
2001-10-31,346.662
2001-11-30,365.794
2001-12-31,382.758
2002-01-31,411.698
2002-02-28,399.039
2002-03-29,411.491
2002-04-30,399.635
2002-05-31,392.781
2002-06-28,379.889
2002-07-31,361.03
2002-08-30,348.359
2002-09-30,300.573
2002-10-31,329.973
2002-11-29,329.629
2002-12-31,317.066
2003-01-31,307.789
2003-02-28,305.626
2003-03-31,304.322
2003-04-30,305.768
2003-05-30,328.009
2003-06-30,349.327
2003-07-31,372.045
2003-08-29,380.002
2003-09-30,393.624
2003-10-31,410.849
2003-11-28,407.878
2003-12-31,426.218
2004-01-30,451.164
2004-02-27,446.663
2004-03-31,442.094
2004-04-30,432.828
2004-05-31,427.079
2004-06-30,427.664
2004-07-30,439.268
2004-08-31,448.395
2004-09-30,473.834
2004-10-29,476.668
2004-11-30,487.031
2004-12-31,499.929
2005-01-31,511.086
2005-02-28,516.444
2005-03-31,505.356
2005-04-29,511.897
2005-05-31,515.369
2005-06-30,533.249
2005-07-29,567.213
2005-08-31,543.397
2005-09-30,549.691
2005-10-31,523.504
2005-11-30,543.416
2005-12-30,565.758
2006-01-31,604.245
2006-02-28,630.262
2006-03-31,655.506
2006-04-28,689.716
2006-05-31,625.379
2006-06-30,638.451
2006-07-31,639.586
2006-08-31,662.307
2006-09-29,670.04
2006-10-31,722.031
2006-11-30,783.11
2006-12-29,828.904
2007-01-31,878.349
2007-02-28,871.438
2007-03-30,925.514
2007-04-30,972.845
2007-05-31,1000.0
2007-06-29,1045.456
2007-07-31,1051.349
2007-08-31,1037.785
2007-09-28,1179.931
2007-10-31,1257.179
2007-11-30,1172.587
2007-12-31,1167.965
2008-01-31,1001.68
2008-02-29,1041.293
2008-03-31,1009.324
2008-04-30,1069.424
2008-05-30,1107.35
2008-06-30,1016.109
2008-07-31,967.255
2008-08-29,867.881
2008-09-30,715.505
2008-10-31,507.936
2008-11-28,496.222
2008-12-31,533.468
2009-01-30,507.951
2009-02-27,459.962
2009-03-31,501.656
2009-04-30,594.611
2009-05-29,743.285
2009-06-30,726.705
2009-07-31,852.013
2009-08-31,846.897
2009-09-30,892.981
2009-10-30,887.642
2009-11-30,913.69
2009-12-31,975.554
2010-01-29,915.26
2010-02-26,920.42
2010-03-31,963.409
2010-04-30,1005.973
