Date,SINGAPORE IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,341.449
1994-06-30,331.435
1994-07-29,338.913
1994-08-31,359.433
1994-09-30,370.849
1994-10-31,388.896
1994-11-30,368.643
1994-12-30,368.501
1995-01-31,342.144
1995-02-28,356.341
1995-03-31,363.783
1995-04-28,363.498
1995-05-31,390.418
1995-06-30,376.791
1995-07-31,385.704
1995-08-31,367.88
1995-09-29,373.359
1995-10-31,369.4
1995-11-30,374.81
1995-12-29,393.56
1996-01-31,431.016
1996-02-29,428.952
1996-03-29,415.431
1996-04-30,419.117
1996-05-31,401.241
1996-06-28,402.559
1996-07-31,372.136
1996-08-30,389.747
1996-09-30,390.239
1996-10-31,372.301
1996-11-29,397.797
1996-12-31,400.575
1997-01-31,417.485
1997-02-28,407.756
1997-03-31,371.605
1997-04-30,361.808
1997-05-30,377.75
1997-06-30,368.613
1997-07-31,369.845
1997-08-29,301.446
1997-09-30,302.53
1997-10-31,244.235
1997-11-28,244.266
1997-12-31,223.103
1998-01-30,177.619
1998-02-27,229.126
1998-03-31,231.801
1998-04-30,210.466
1998-05-29,173.846
1998-06-30,148.063
1998-07-31,140.748
1998-08-31,105.294
1998-09-30,125.295
1998-10-30,185.308
1998-11-30,221.735
1998-12-31,221.991
1999-01-29,214.39
1999-02-26,213.666
1999-03-31,219.821
1999-04-30,287.603
1999-05-31,282.792
1999-06-30,317.857
1999-07-30,304.603
1999-08-31,299.432
1999-09-30,290.396
1999-10-29,304.895
1999-11-30,318.429
1999-12-31,354.845
2000-01-31,311.956
2000-02-29,300.785
2000-03-31,296.023
2000-04-28,304.643
2000-05-31,247.053
2000-06-30,296.503
2000-07-31,303.989
2000-08-31,312.523
2000-09-29,289.79
2000-10-31,293.881
2000-11-30,290.394
2000-12-29,295.855
2001-01-31,295.072
2001-02-28,291.653
2001-03-30,248.253
2001-04-30,255.834
2001-05-31,250.539
2001-06-29,268.708
2001-07-31,263.288
2001-08-31,272.841
2001-09-28,227.636
2001-10-31,232.961
2001-11-30,249.177
2001-12-31,276.129
2002-01-31,302.28
2002-02-28,293.516
2002-03-29,309.12
2002-04-30,302.745
2002-05-31,302.638
2002-06-28,276.341
2002-07-31,276.06
2002-08-30,282.268
2002-09-30,255.437
2002-10-31,279.002
2002-11-29,257.159
2002-12-31,254.695
2003-01-31,244.539
2003-02-28,242.376
2003-03-31,236.09
2003-04-30,239.223
2003-05-30,265.524
2003-06-30,278.432
2003-07-31,302.421
2003-08-29,318.126
2003-09-30,330.611
2003-10-31,352.978
2003-11-28,352.288
2003-12-31,369.251
2004-01-30,385.954
2004-02-27,402.285
2004-03-31,401.742
2004-04-30,392.871
2004-05-31,387.122
2004-06-30,395.589
2004-07-30,403.993
2004-08-31,414.453
2004-09-30,433.431
2004-10-29,434.844
2004-11-30,451.61
2004-12-31,465.577
2005-01-31,474.918
2005-02-28,475.535
2005-03-31,480.227
2005-04-29,476.913
2005-05-31,481.501
2005-06-30,480.998
2005-07-29,532.584
2005-08-31,515.808
2005-09-30,519.606
2005-10-31,506.797
2005-11-30,532.049
2005-12-30,549.58
2006-01-31,578.593
2006-02-28,592.494
2006-03-31,605.169
2006-04-28,644.357
2006-05-31,603.755
2006-06-30,618.168
2006-07-31,621.619
2006-08-31,641.164
2006-09-29,674.665
2006-10-31,729.781
2006-11-30,773.142
2006-12-29,828.267
2007-01-31,850.836
2007-02-28,865.736
2007-03-30,910.325
2007-04-30,942.775
2007-05-31,1000.0
2007-06-29,985.002
2007-07-31,987.081
2007-08-31,919.557
2007-09-28,1007.574
2007-10-31,1040.455
2007-11-30,951.145
2007-12-31,965.204
2008-01-31,855.98
2008-02-29,898.708
2008-03-31,936.851
2008-04-30,998.236
2008-05-30,991.079
2008-06-30,924.395
2008-07-31,939.597
2008-08-29,871.07
2008-09-30,756.551
2008-10-31,524.608
2008-11-28,503.858
2008-12-31,546.115
2009-01-30,513.444
2009-02-27,450.599
2009-03-31,481.616
2009-04-30,562.124
2009-05-29,730.298
2009-06-30,735.39
2009-07-31,842.176
2009-08-31,818.59
2009-09-30,870.227
2009-10-30,870.953
2009-11-30,921.954
2009-12-31,967.664
2010-01-29,919.809
2010-02-26,928.658
2010-03-31,968.824
2010-04-30,1039.259
2010-05-31,941.675
2010-06-30,976.846
2010-07-30,1049.25
2010-08-31,1034.968
2010-09-30,1110.847
2010-10-29,1121.324
2010-11-30,1106.325
2010-12-31,1149.126
2011-01-31,1172.631
2011-02-28,1112.382
2011-03-31,1153.033
2011-04-29,1216.654
2011-05-31,1213.986
2011-06-30,1205.379
2011-07-29,1272.307
2011-08-31,1169.207
2011-09-30,1020.128
2011-10-31,1098.889
2011-11-30,1018.006
2011-12-30,977.989
2012-01-31,1122.34
2012-02-29,1193.926
2012-03-30,1193.971
2012-04-30,1217.02
2012-05-31,1115.987
2012-06-29,1185.399
2012-07-31,1284.362
2012-08-31,1276.21
2012-09-28,1320.334
2012-10-31,1304.398
2012-11-30,1332.964
2012-12-31,1372.988
2013-01-31,1395.372
2013-02-28,1405.657
2013-03-29,1432.899
2013-04-30,1515.436
2013-05-31,1430.876
2013-06-28,1356.692
2013-07-31,1403.582
2013-08-30,1328.15
2013-09-30,1413.535
2013-10-31,1461.879
2013-11-29,1436.745
2013-12-31,1418.011
2014-01-31,1344.682
2014-02-28,1386.041
2014-03-31,1423.381
2014-04-30,1479.718
2014-05-30,1521.257
2014-06-30,1513.996
2014-07-31,1572.608
2014-08-29,1579.023
2014-09-30,1516.377
2014-10-31,1498.356
2014-11-28,1520.196
2014-12-31,1506.393
2015-01-30,1503.949
2015-02-27,1515.428
2015-03-31,1527.354
2015-04-30,1610.608
