Date,SINGAPORE MID CAP Mid Cap
1994-05-31,648.865
1994-06-30,631.451
1994-07-29,638.915
1994-08-31,663.373
1994-09-30,683.089
1994-10-31,725.184
1994-11-30,659.671
1994-12-30,665.952
1995-01-31,622.026
1995-02-28,630.902
1995-03-31,634.97
1995-04-28,638.506
1995-05-31,682.684
1995-06-30,675.354
1995-07-31,689.94
1995-08-31,668.061
1995-09-29,674.663
1995-10-31,663.727
1995-11-30,676.15
1995-12-29,729.257
1996-01-31,760.513
1996-02-29,760.983
1996-03-29,744.958
1996-04-30,751.158
1996-05-31,721.932
1996-06-28,704.686
1996-07-31,624.824
1996-08-30,644.265
1996-09-30,645.248
1996-10-31,623.938
1996-11-29,669.172
1996-12-31,677.122
1997-01-31,702.951
1997-02-28,705.589
1997-03-31,647.506
1997-04-30,642.792
1997-05-30,696.165
1997-06-30,670.633
1997-07-31,667.001
1997-08-29,583.976
1997-09-30,608.024
1997-10-31,473.367
1997-11-28,483.234
1997-12-31,421.711
1998-01-30,344.928
1998-02-27,444.458
1998-03-31,468.002
1998-04-30,422.363
1998-05-29,348.526
1998-06-30,306.003
1998-07-31,289.638
1998-08-31,222.436
1998-09-30,248.425
1998-10-30,346.509
1998-11-30,418.231
1998-12-31,410.901
1999-01-29,421.865
1999-02-26,389.782
1999-03-31,409.069
1999-04-30,473.867
1999-05-31,492.634
1999-06-30,558.165
1999-07-30,562.494
1999-08-31,549.326
1999-09-30,500.903
1999-10-29,525.139
1999-11-30,555.509
1999-12-31,670.398
2000-01-31,639.061
2000-02-29,657.468
2000-03-31,652.088
2000-04-28,564.721
2000-05-31,460.654
2000-06-30,539.805
2000-07-31,548.924
2000-08-31,588.656
2000-09-29,524.9
2000-10-31,487.661
2000-11-30,465.9
2000-12-29,451.427
2001-01-31,494.059
2001-02-28,461.252
2001-03-30,367.062
2001-04-30,390.529
2001-05-31,391.594
2001-06-29,424.22
2001-07-31,414.384
2001-08-31,392.535
2001-09-28,313.283
2001-10-31,322.426
2001-11-30,344.864
2001-12-31,383.141
2002-01-31,393.088
2002-02-28,386.733
2002-03-29,399.127
2002-04-30,385.217
2002-05-31,365.043
2002-06-28,345.492
2002-07-31,327.118
2002-08-30,329.992
2002-09-30,290.161
2002-10-31,309.612
2002-11-29,310.121
2002-12-31,288.049
2003-01-31,282.123
2003-02-28,287.126
2003-03-31,288.368
2003-04-30,295.662
2003-05-30,319.323
2003-06-30,337.904
2003-07-31,359.088
2003-08-29,374.946
2003-09-30,375.022
2003-10-31,396.219
2003-11-28,395.885
2003-12-31,412.63
2004-01-30,438.694
2004-02-27,436.798
2004-03-31,430.983
2004-04-30,426.938
2004-05-31,418.756
2004-06-30,425.671
2004-07-30,429.752
2004-08-31,444.211
2004-09-30,471.092
2004-10-29,471.429
2004-11-30,494.671
