Date,SINGAPORE MID GROWTH Mid Cap
2001-01-01,523.469
2001-01-02,506.412
2001-01-03,495.179
2001-01-04,529.072
2001-01-05,561.067
2001-01-08,543.973
2001-01-09,561.355
2001-01-10,561.717
2001-01-11,530.967
2001-01-12,544.014
2001-01-15,562.927
2001-01-16,557.946
2001-01-17,552.529
2001-01-18,572.041
2001-01-19,624.839
2001-01-22,627.514
2001-01-23,617.775
2001-01-24,617.775
2001-01-25,618.184
2001-01-26,607.367
2001-01-29,624.194
2001-01-30,631.582
2001-01-31,653.893
2001-02-01,645.652
2001-02-02,643.827
2001-02-05,622.931
2001-02-06,615.101
2001-02-07,597.46
2001-02-08,612.739
2001-02-09,602.722
2001-02-12,606.553
2001-02-13,618.268
2001-02-14,607.766
2001-02-15,622.444
2001-02-16,629.528
2001-02-19,612.88
2001-02-20,626.517
2001-02-21,609.413
2001-02-22,596.031
2001-02-23,600.255
2001-02-26,601.026
2001-02-27,582.302
2001-02-28,577.869
2001-03-01,545.826
2001-03-02,531.949
2001-03-05,532.752
2001-03-06,533.092
2001-03-07,550.168
2001-03-08,549.361
2001-03-09,543.62
2001-03-12,526.758
2001-03-13,522.644
2001-03-14,513.902
2001-03-15,526.116
2001-03-16,524.618
2001-03-19,516.446
2001-03-20,516.861
2001-03-21,508.758
2001-03-22,488.417
2001-03-23,507.912
2001-03-26,509.004
2001-03-27,492.848
2001-03-28,479.714
2001-03-29,467.646
2001-03-30,483.086
2001-04-02,464.23
2001-04-03,457.955
2001-04-04,443.288
2001-04-05,463.518
2001-04-06,451.628
2001-04-09,432.696
2001-04-10,443.553
2001-04-11,452.499
2001-04-12,449.454
2001-04-13,449.454
2001-04-16,441.25
2001-04-17,418.873
2001-04-18,452.127
2001-04-19,479.321
2001-04-20,487.968
2001-04-23,492.652
2001-04-24,493.276
2001-04-25,487.396
2001-04-26,490.297
2001-04-27,494.576
2001-04-30,509.447
2001-05-01,510.993
2001-05-02,529.793
2001-05-03,527.84
2001-05-04,518.211
2001-05-07,517.682
2001-05-08,521.629
2001-05-09,512.329
2001-05-10,522.685
2001-05-11,519.643
2001-05-14,507.287
2001-05-15,508.876
2001-05-16,495.823
2001-05-17,511.911
2001-05-18,504.88
2001-05-21,503.885
2001-05-22,521.858
2001-05-23,527.225
2001-05-24,527.675
2001-05-25,523.688
2001-05-28,517.524
2001-05-29,514.415
2001-05-30,498.648
2001-05-31,502.606
2001-06-01,493.401
2001-06-04,499.482
2001-06-05,498.465
2001-06-06,502.577
2001-06-07,504.157
2001-06-08,518.581
2001-06-11,510.193
2001-06-12,503.501
2001-06-13,505.008
2001-06-14,494.63
2001-06-15,498.497
2001-06-18,494.888
2001-06-19,500.645
2001-06-20,488.275
2001-06-21,487.846
2001-06-22,499.608
2001-06-25,497.773
2001-06-26,494.562
2001-06-27,487.74
2001-06-28,475.386
2001-06-29,492.554
2001-07-02,488.175
2001-07-03,485.282
2001-07-04,479.682
2001-07-05,478.893
2001-07-06,470.465
2001-07-09,478.48
2001-07-10,483.189
2001-07-11,469.697
2001-07-12,476.488
2001-07-13,470.004
2001-07-16,465.188
2001-07-17,461.89
2001-07-18,456.471
2001-07-19,462.874
2001-07-20,461.912
2001-07-23,454.93
2001-07-24,460.84
2001-07-25,458.055
2001-07-26,458.665
2001-07-27,471.187
2001-07-30,476.446
2001-07-31,480.08
2001-08-01,498.131
2001-08-02,514.845
2001-08-03,505.182
2001-08-06,502.342
2001-08-07,494.731
2001-08-08,487.906
2001-08-09,487.93
2001-08-10,493.522
2001-08-13,486.601
2001-08-14,503.696
2001-08-15,503.356
2001-08-16,495.059
2001-08-17,492.002
2001-08-20,477.546
2001-08-21,481.072
2001-08-22,489.467
2001-08-23,485.29
2001-08-24,487.433
2001-08-27,492.3
2001-08-28,488.165
2001-08-29,483.215
2001-08-30,475.346
2001-08-31,474.135
2001-09-03,471.365
2001-09-04,482.889
2001-09-05,473.297
2001-09-06,464.025
2001-09-07,449.623
2001-09-10,440.72
2001-09-11,448.549
2001-09-12,413.165
2001-09-13,403.348
2001-09-14,394.271
2001-09-17,370.471
2001-09-18,369.593
2001-09-19,388.246
2001-09-20,374.778
2001-09-21,349.358
2001-09-24,355.547
2001-09-25,357.149
2001-09-26,363.358
2001-09-27,368.658
2001-09-28,374.042
2001-10-01,367.514
2001-10-02,370.913
2001-10-03,363.528
2001-10-04,382.142
2001-10-05,383.217
2001-10-08,365.238
2001-10-09,377.665
2001-10-10,373.355
2001-10-11,386.705
2001-10-12,395.334
2001-10-15,393.469
2001-10-16,397.115
2001-10-17,410.403
2001-10-18,398.833
2001-10-19,391.786
2001-10-22,387.563
2001-10-23,397.557
2001-10-24,405.646
2001-10-25,412.686
2001-10-26,408.92
2001-10-29,401.185
2001-10-30,396.854
2001-10-31,394.614
2001-11-01,370.178
2001-11-02,365.223
2001-11-05,370.705
2001-11-06,374.172
2001-11-07,370.419
2001-11-08,380.782
2001-11-09,386.105
2001-11-12,385.969
2001-11-13,388.888
2001-11-14,388.888
2001-11-15,413.244
2001-11-16,410.496
2001-11-19,421.359
2001-11-20,416.516
2001-11-21,414.756
2001-11-22,409.904
2001-11-23,419.882
2001-11-26,423.568
2001-11-27,423.911
2001-11-28,419.412
2001-11-29,418.689
2001-11-30,418.434
2001-12-03,417.555
2001-12-04,437.153
2001-12-05,456.52
2001-12-06,460.024
2001-12-07,457.817
2001-12-10,461.789
2001-12-11,464.785
2001-12-12,475.27
2001-12-13,466.529
2001-12-14,468.804
2001-12-17,468.424
2001-12-18,472.617
2001-12-19,476.851
2001-12-20,469.175
2001-12-21,454.833
2001-12-24,456.927
2001-12-25,456.927
2001-12-26,454.765
2001-12-27,460.325
2001-12-28,463.831
2001-12-31,464.893
2002-01-01,464.893
