Date,SINGAPORE SMALL GROWTH Small Cap
2001-01-01,238.09
2001-01-02,233.371
2001-01-03,230.699
2001-01-04,236.002
2001-01-05,238.949
2001-01-08,235.651
2001-01-09,238.523
2001-01-10,236.193
2001-01-11,231.635
2001-01-12,232.644
2001-01-15,228.97
2001-01-16,228.661
2001-01-17,227.545
2001-01-18,228.138
2001-01-19,231.251
2001-01-22,228.343
2001-01-23,228.561
2001-01-24,228.631
2001-01-25,228.864
2001-01-26,225.559
2001-01-29,228.389
2001-01-30,229.107
2001-01-31,233.555
2001-02-01,237.708
2001-02-02,242.029
2001-02-05,241.164
2001-02-06,240.248
2001-02-07,237.653
2001-02-08,241.771
2001-02-09,239.954
2001-02-12,241.663
2001-02-13,241.711
2001-02-14,238.832
2001-02-15,240.338
2001-02-16,239.893
2001-02-19,238.102
2001-02-20,242.417
2001-02-21,241.467
2001-02-22,239.808
2001-02-23,239.124
2001-02-26,237.884
2001-02-27,236.796
2001-02-28,238.396
2001-03-01,234.792
2001-03-02,234.579
2001-03-05,232.821
2001-03-06,233.02
2001-03-07,233.619
2001-03-08,233.481
2001-03-09,233.852
2001-03-12,228.773
2001-03-13,226.063
2001-03-14,223.877
2001-03-15,224.545
2001-03-16,222.591
2001-03-19,220.524
2001-03-20,219.649
2001-03-21,218.384
2001-03-22,214.039
2001-03-23,218.894
2001-03-26,216.69
2001-03-27,213.863
2001-03-28,209.87
2001-03-29,204.615
2001-03-30,206.597
2001-04-02,201.095
2001-04-03,201.13
2001-04-04,199.541
2001-04-05,205.323
2001-04-06,204.905
2001-04-09,200.55
2001-04-10,203.404
2001-04-11,205.437
2001-04-12,205.3
2001-04-13,205.276
2001-04-16,203.43
2001-04-17,199.85
2001-04-18,205.059
2001-04-19,207.37
2001-04-20,208.091
2001-04-23,210.293
2001-04-24,210.265
2001-04-25,209.947
2001-04-26,210.991
2001-04-27,212.012
2001-04-30,215.739
2001-05-01,216.801
2001-05-02,222.162
2001-05-03,217.49
2001-05-04,219.052
2001-05-07,218.776
2001-05-08,218.691
2001-05-09,217.746
2001-05-10,220.592
2001-05-11,220.698
2001-05-14,217.417
2001-05-15,219.312
2001-05-16,217.644
2001-05-17,221.69
2001-05-18,220.791
2001-05-21,221.867
2001-05-22,225.484
2001-05-23,228.452
2001-05-24,231.108
2001-05-25,231.935
2001-05-28,228.684
2001-05-29,226.693
2001-05-30,223.297
2001-05-31,224.171
2001-06-01,221.954
2001-06-04,223.157
2001-06-05,222.643
2001-06-06,223.672
2001-06-07,223.143
2001-06-08,223.433
2001-06-11,221.511
2001-06-12,219.933
2001-06-13,223.682
2001-06-14,223.132
2001-06-15,224.255
2001-06-18,227.083
2001-06-19,226.165
2001-06-20,223.892
2001-06-21,226.607
2001-06-22,229.961
2001-06-25,231.423
2001-06-26,232.62
2001-06-27,233.702
2001-06-28,231.332
2001-06-29,234.782
2001-07-02,231.331
2001-07-03,229.851
2001-07-04,227.34
2001-07-05,226.987
2001-07-06,223.643
2001-07-09,222.909
2001-07-10,224.33
2001-07-11,221.693
2001-07-12,225.701
2001-07-13,225.159
2001-07-16,225.627
2001-07-17,223.786
2001-07-18,221.375
2001-07-19,222.032
2001-07-20,222.105
2001-07-23,221.073
2001-07-24,223.124
2001-07-25,222.925
2001-07-26,224.66
2001-07-27,226.803
2001-07-30,225.797
2001-07-31,226.76
2001-08-01,227.557
2001-08-02,231.551
2001-08-03,230.158
2001-08-06,229.556
2001-08-07,229.389
2001-08-08,229.735
2001-08-09,229.748
2001-08-10,230.26
2001-08-13,227.911
2001-08-14,229.748
2001-08-15,229.837
2001-08-16,228.246
2001-08-17,227.58
2001-08-20,223.859
2001-08-21,233.586
2001-08-22,234.48
2001-08-23,235.216
2001-08-24,234.8
2001-08-27,235.385
2001-08-28,233.321
2001-08-29,234.392
2001-08-30,221.944
2001-08-31,221.084
2001-09-03,220.12
2001-09-04,218.709
2001-09-05,218.891
2001-09-06,217.874
2001-09-07,215.446
2001-09-10,213.887
2001-09-11,213.816
2001-09-12,204.851
2001-09-13,201.621
2001-09-14,193.713
2001-09-17,182.956
2001-09-18,183.638
2001-09-19,187.8
2001-09-20,184.973
2001-09-21,178.739
2001-09-24,178.814
2001-09-25,177.756
2001-09-26,194.536
2001-09-27,200.416
2001-09-28,204.214
2001-10-01,203.563
2001-10-02,199.71
2001-10-03,198.465
2001-10-04,204.703
2001-10-05,203.83
2001-10-08,197.8
2001-10-09,203.256
2001-10-10,199.578
2001-10-11,202.288
2001-10-12,203.694
2001-10-15,202.461
2001-10-16,202.075
2001-10-17,207.245
2001-10-18,203.718
2001-10-19,202.85
2001-10-22,201.501
2001-10-23,203.784
2001-10-24,205.885
2001-10-25,207.164
2001-10-26,207.05
2001-10-29,205.543
2001-10-30,204.779
2001-10-31,204.681
2001-11-01,202.162
2001-11-02,202.107
2001-11-05,203.765
2001-11-06,204.328
2001-11-07,205.063
2001-11-08,207.318
2001-11-09,209.636
2001-11-12,211.214
2001-11-13,210.6
2001-11-14,210.571
2001-11-15,217.287
2001-11-16,216.012
2001-11-19,220.096
2001-11-20,221.116
2001-11-21,221.144
2001-11-22,219.135
2001-11-23,219.097
2001-11-26,220.858
2001-11-27,221.328
2001-11-28,221.519
2001-11-29,220.33
2001-11-30,220.889
2001-12-03,218.053
2001-12-04,224.059
2001-12-05,226.544
2001-12-06,225.571
2001-12-07,226.198
2001-12-10,225.682
2001-12-11,225.249
2001-12-12,226.743
2001-12-13,223.935
2001-12-14,223.874
2001-12-17,223.622
2001-12-18,225.586
2001-12-19,228.356
2001-12-20,226.281
2001-12-21,223.438
2001-12-24,224.778
2001-12-25,224.808
2001-12-26,224.258
2001-12-27,225.793
2001-12-28,227.402
2001-12-31,228.082
2002-01-01,228.082
2002-01-02,229.33
2002-01-03,234.003
2002-01-04,239.294
2002-01-07,239.32
2002-01-08,239.066
2002-01-09,239.112
2002-01-10,242.515
2002-01-11,244.343
2002-01-14,245.204
2002-01-15,243.596
2002-01-16,242.284
2002-01-17,242.605
2002-01-18,242.155
2002-01-21,242.681
2002-01-22,240.022
2002-01-23,240.683
2002-01-24,241.604
2002-01-25,248.917
2002-01-28,254.825
2002-01-29,256.781
2002-01-30,255.099
2002-01-31,260.1
2002-02-01,257.4
2002-02-04,257.071
2002-02-05,255.491
2002-02-06,259.399
2002-02-07,254.788
2002-02-08,255.201
2002-02-11,257.172
2002-02-12,257.33
2002-02-13,257.382
2002-02-14,263.497
2002-02-15,260.866
2002-02-18,259.886
2002-02-19,260.523
2002-02-20,261.986
2002-02-21,258.418
2002-02-22,254.899
2002-02-25,253.03
2002-02-26,253.557
2002-02-27,255.972
2002-02-28,258.046
2002-03-01,258.998
2002-03-04,267.536
2002-03-05,267.527
2002-03-06,271.251
2002-03-07,273.095
2002-03-08,272.216
2002-03-11,272.207
2002-03-12,267.753
2002-03-13,269.102
2002-03-14,270.345
2002-03-15,271.504
2002-03-18,273.21
2002-03-19,274.373
2002-03-20,273.066
2002-03-21,272.631
2002-03-22,273.875
2002-03-25,269.831
2002-03-26,268.141
2002-03-27,268.355
2002-03-28,267.03
2002-03-29,267.03
2002-04-01,264.044
2002-04-02,263.692
2002-04-03,264.166
2002-04-04,261.577
2002-04-05,262.944
2002-04-08,260.828
2002-04-09,260.427
2002-04-10,259.871
2002-04-11,261.846
2002-04-12,261.962
2002-04-15,260.749
2002-04-16,263.56
2002-04-17,267.087
2002-04-18,267.526
2002-04-19,266.285
2002-04-22,267.433
2002-04-23,269.715
2002-04-24,268.754
2002-04-25,266.678
2002-04-26,268.171
2002-04-29,265.726
2002-04-30,266.836
2002-05-01,267.119
2002-05-02,269.228
2002-05-03,270.511
2002-05-06,268.765
2002-05-07,267.693
2002-05-08,269.266
2002-05-09,268.223
2002-05-10,270.343
2002-05-13,270.461
2002-05-14,268.575
2002-05-15,268.831
2002-05-16,267.891
2002-05-17,270.801
2002-05-20,273.266
2002-05-21,272.591
2002-05-22,271.302
2002-05-23,269.638
2002-05-24,268.001
2002-05-27,268.198
2002-05-28,269.092
2002-05-29,266.569
2002-05-30,268.3
2002-05-31,267.494
2002-06-03,267.212
2002-06-04,266.594
2002-06-05,269.127
2002-06-06,267.908
2002-06-07,268.124
2002-06-10,269.647
2002-06-11,269.958
2002-06-12,267.933
2002-06-13,268.261
2002-06-14,264.63
2002-06-17,263.424
2002-06-18,263.27
2002-06-19,259.541
2002-06-20,261.454
2002-06-21,259.767
2002-06-24,259.918
2002-06-25,264.183
2002-06-26,258.653
2002-06-27,260.957
2002-06-28,264.207
2002-07-01,263.937
2002-07-02,263.188
2002-07-03,266.712
2002-07-04,267.37
2002-07-05,274.578
2002-07-08,272.976
2002-07-09,277.944
2002-07-10,277.206
2002-07-11,274.723
2002-07-12,277.669
2002-07-15,277.101
2002-07-16,272.862
2002-07-17,273.017
2002-07-18,271.236
2002-07-19,269.107
2002-07-22,263.524
2002-07-23,265.367
2002-07-24,257.493
2002-07-25,255.612
2002-07-26,249.399
2002-07-29,251.615
2002-07-30,254.83
2002-07-31,252.997
2002-08-01,253.707
2002-08-02,255.072
2002-08-05,249.1
2002-08-06,245.542
2002-08-07,249.327
2002-08-08,247.262
2002-08-09,247.662
2002-08-12,245.661
2002-08-13,247.545
2002-08-14,248.942
2002-08-15,243.988
2002-08-16,242.438
2002-08-19,241.476
2002-08-20,245.293
2002-08-21,248.015
2002-08-22,243.557
2002-08-23,241.059
2002-08-26,241.295
2002-08-27,241.566
2002-08-28,239.385
2002-08-29,236.148
2002-08-30,236.404
2002-09-02,228.483
2002-09-03,228.513
2002-09-04,228.832
2002-09-05,228.446
2002-09-06,225.541
2002-09-09,220.474
2002-09-10,223.828
2002-09-11,221.314
2002-09-12,218.315
2002-09-13,213.657
2002-09-16,212.035
2002-09-17,215.592
2002-09-18,211.947
2002-09-19,213.549
2002-09-20,210.015
2002-09-23,206.445
2002-09-24,201.903
2002-09-25,199.513
2002-09-26,202.232
2002-09-27,205.231
2002-09-30,200.207
2002-10-01,200.605
2002-10-02,199.985
2002-10-03,200.206
2002-10-04,201.726
2002-10-07,198.456
2002-10-08,202.436
2002-10-09,200.273
2002-10-10,200.331
2002-10-11,201.645
2002-10-14,200.021
2002-10-15,205.949
2002-10-16,208.955
2002-10-17,215.253
2002-10-18,214.751
2002-10-21,212.351
2002-10-22,211.828
2002-10-23,215.81
2002-10-24,215.231
2002-10-25,218.797
2002-10-28,220.427
2002-10-29,218.683
2002-10-30,217.547
2002-10-31,218.136
2002-11-01,214.673
2002-11-04,214.863
2002-11-05,216.271
2002-11-06,217.017
2002-11-07,215.546
2002-11-08,215.741
2002-11-11,212.182
2002-11-12,212.131
2002-11-13,209.398
2002-11-14,211.826
2002-11-15,217.537
2002-11-18,215.633
2002-11-19,216.367
2002-11-20,215.548
2002-11-21,217.941
2002-11-22,222.896
2002-11-25,225.244
2002-11-26,224.46
2002-11-27,223.634
2002-11-28,226.284
2002-11-29,222.187
2002-12-02,219.736
2002-12-03,217.423
2002-12-04,211.635
2002-12-05,212.319
2002-12-06,213.296
2002-12-09,212.285
2002-12-10,212.683
2002-12-11,210.228
2002-12-12,210.878
2002-12-13,210.59
2002-12-16,208.987
2002-12-17,210.873
2002-12-18,210.195
2002-12-19,213.349
2002-12-20,212.006
2002-12-23,210.781
2002-12-24,211.214
2002-12-25,211.214
2002-12-26,210.208
2002-12-27,211.522
2002-12-30,210.28
2002-12-31,211.358
2003-01-01,211.358
2003-01-02,211.484
2003-01-03,213.573
2003-01-06,216.002
2003-01-07,214.091
2003-01-08,214.003
2003-01-09,214.569
2003-01-10,218.842
2003-01-13,224.711
2003-01-14,225.827
2003-01-15,227.119
2003-01-16,224.889
2003-01-17,223.364
2003-01-20,221.497
2003-01-21,224.315
2003-01-22,223.33
2003-01-23,224.162
2003-01-24,221.997
2003-01-27,216.835
2003-01-28,216.289
2003-01-29,213.016
2003-01-30,211.91
2003-01-31,211.089
2003-02-03,210.767
2003-02-04,213.869
2003-02-05,215.818
2003-02-06,217.354
2003-02-07,216.878
2003-02-10,214.579
2003-02-11,216.894
2003-02-12,216.286
2003-02-13,216.05
2003-02-14,215.85
2003-02-17,219.746
2003-02-18,218.343
2003-02-19,221.548
2003-02-20,222.248
2003-02-21,222.03
2003-02-24,221.945
2003-02-25,218.667
2003-02-26,218.461
2003-02-27,216.502
2003-02-28,216.81
2003-03-03,219.192
2003-03-04,219.049
2003-03-05,219.355
2003-03-06,217.117
2003-03-07,215.342
2003-03-10,211.03
2003-03-11,208.587
2003-03-12,209.858
2003-03-13,209.326
2003-03-14,210.387
2003-03-17,206.85
2003-03-18,212.59
2003-03-19,213.926
2003-03-20,215.341
2003-03-21,217.978
2003-03-24,216.052
2003-03-25,216.758
2003-03-26,218.755
2003-03-27,217.404
2003-03-28,218.972
2003-03-31,215.001
2003-04-01,214.722
2003-04-02,214.85
2003-04-03,215.361
2003-04-04,218.931
2003-04-07,225.085
2003-04-08,223.787
2003-04-09,220.737
2003-04-10,222.776
2003-04-11,223.506
2003-04-14,220.055
2003-04-15,220.687
2003-04-16,224.972
2003-04-17,228.121
2003-04-18,228.121
2003-04-21,224.98
2003-04-22,222.169
2003-04-23,220.205
2003-04-24,216.462
2003-04-25,215.912
2003-04-28,218.335
2003-04-29,220.937
2003-04-30,222.266
2003-05-01,223.145
2003-05-02,224.392
2003-05-05,228.873
2003-05-06,231.674
2003-05-07,233.211
2003-05-08,234.148
2003-05-09,234.84
2003-05-12,240.561
2003-05-13,236.662
2003-05-14,237.366
2003-05-15,239.15
2003-05-16,236.038
2003-05-19,231.902
2003-05-20,234.37
2003-05-21,234.329
2003-05-22,237.792
2003-05-23,241.345
2003-05-26,245.634
2003-05-27,245.289
2003-05-28,249.013
2003-05-29,245.667
2003-05-30,244.298
2003-06-02,249.404
2003-06-03,246.73
2003-06-04,249.823
2003-06-05,254.326
2003-06-06,255.755
2003-06-09,256.834
2003-06-10,258.791
2003-06-11,256.952
2003-06-12,262.562
2003-06-13,263.318
2003-06-16,259.779
2003-06-17,263.715
2003-06-18,263.049
2003-06-19,266.396
2003-06-20,266.314
2003-06-23,263.671
2003-06-24,261.982
2003-06-25,265.013
2003-06-26,259.872
2003-06-27,262.884
2003-06-30,258.712
2003-07-01,261.861
2003-07-02,265.336
2003-07-03,268.393
2003-07-04,268.625
2003-07-07,274.323
2003-07-08,274.521
2003-07-09,277.375
2003-07-10,274.594
2003-07-11,279.448
2003-07-14,282.904
2003-07-15,282.918
2003-07-16,283.214
2003-07-17,278.712
2003-07-18,279.846
2003-07-21,278.1
2003-07-22,278.244
2003-07-23,277.1
2003-07-24,276.41
2003-07-25,277.947
2003-07-28,282.687
2003-07-29,277.781
2003-07-30,277.714
2003-07-31,275.596
2003-08-01,276.285
2003-08-04,273.399
2003-08-05,266.59
2003-08-06,266.595
2003-08-07,272.979
2003-08-08,272.107
2003-08-11,275.458
2003-08-12,277.311
2003-08-13,280.048
2003-08-14,281.402
2003-08-15,281.515
2003-08-18,287.873
2003-08-19,287.348
2003-08-20,285.998
2003-08-21,287.501
2003-08-22,287.299
2003-08-25,282.975
2003-08-26,278.999
