Date,SINGAPORE SMID CAP SMID (Small+Mid Cap)
1994-05-31,391.374
1994-06-30,381.985
1994-07-29,388.535
1994-08-31,406.422
1994-09-30,416.199
1994-10-31,436.436
1994-11-30,399.535
1994-12-30,397.775
1995-01-31,368.693
1995-02-28,375.749
1995-03-31,376.698
1995-04-28,373.446
1995-05-31,395.884
1995-06-30,396.103
1995-07-31,414.332
1995-08-31,409.647
1995-09-29,408.654
1995-10-31,396.328
1995-11-30,399.99
1995-12-29,425.925
1996-01-31,445.21
1996-02-29,446.639
1996-03-29,438.091
1996-04-30,439.509
1996-05-31,426.139
1996-06-28,417.605
1996-07-31,377.68
1996-08-30,387.844
1996-09-30,386.039
1996-10-31,376.927
1996-11-29,401.167
1996-12-31,404.793
1997-01-31,420.775
1997-02-28,428.984
1997-03-31,395.741
1997-04-30,391.758
1997-05-30,414.108
1997-06-30,401.596
1997-07-31,404.672
1997-08-29,351.961
1997-09-30,361.284
1997-10-31,279.738
1997-11-28,280.25
1997-12-31,237.323
1998-01-30,195.952
1998-02-27,255.152
1998-03-31,264.007
1998-04-30,241.702
1998-05-29,199.42
1998-06-30,173.428
1998-07-31,159.946
1998-08-31,126.881
1998-09-30,146.703
1998-10-30,213.734
1998-11-30,243.91
1998-12-31,231.416
1999-01-29,235.723
1999-02-26,224.251
1999-03-31,236.752
1999-04-30,302.39
1999-05-31,334.626
1999-06-30,396.232
1999-07-30,368.492
1999-08-31,358.66
1999-09-30,327.208
1999-10-29,336.805
1999-11-30,357.794
1999-12-31,398.3
2000-01-31,366.314
2000-02-29,362.33
2000-03-31,362.361
2000-04-28,332.459
2000-05-31,277.039
2000-06-30,316.71
2000-07-31,318.641
2000-08-31,337.072
2000-09-29,304.346
2000-10-31,291.858
2000-11-30,283.793
2000-12-29,280.776
2001-01-31,289.721
2001-02-28,286.86
2001-03-30,244.372
2001-04-30,255.487
2001-05-31,260.784
2001-06-29,279.268
2001-07-31,270.609
2001-08-31,262.647
2001-09-28,230.304
2001-10-31,233.936
2001-11-30,248.705
2001-12-31,266.772
2002-01-31,286.155
2002-02-28,281.768
2002-03-29,290.001
2002-04-30,285.274
2002-05-31,279.636
2002-06-28,270.611
2002-07-31,258.755
2002-08-30,254.136
2002-09-30,221.762
2002-10-31,238.254
2002-11-29,239.67
2002-12-31,228.484
2003-01-31,228.881
2003-02-28,234.178
2003-03-31,231.97
2003-04-30,236.934
2003-05-30,262.728
2003-06-30,277.476
2003-07-31,297.536
2003-08-29,306.884
2003-09-30,320.221
2003-10-31,336.305
2003-11-28,335.054
2003-12-31,350.48
2004-01-30,372.785
2004-02-27,376.158
2004-03-31,377.178
2004-04-30,365.678
2004-05-31,364.681
2004-06-30,369.102
2004-07-30,371.308
2004-08-31,380.149
2004-09-30,402.691
2004-10-29,405.26
2004-11-30,423.913
2004-12-31,441.838
2005-01-31,454.07
2005-02-28,462.059
2005-03-31,458.162
2005-04-29,467.761
2005-05-31,475.917
2005-06-30,486.777
2005-07-29,529.898
2005-08-31,515.939
2005-09-30,530.533
2005-10-31,510.138
2005-11-30,524.075
2005-12-30,545.006
2006-01-31,587.239
2006-02-28,613.701
2006-03-31,652.144
2006-04-28,676.032
2006-05-31,614.191
2006-06-30,613.525
2006-07-31,620.597
2006-08-31,648.131
2006-09-29,674.124
2006-10-31,717.817
2006-11-30,765.893
2006-12-29,803.153
2007-01-31,868.081
2007-02-28,878.642
2007-03-30,934.271
2007-04-30,984.165
2007-05-31,1000.0
2007-06-29,1070.857
2007-07-31,1053.507
2007-08-31,999.595
2007-09-28,1133.162
2007-10-31,1216.12
2007-11-30,1119.137
2007-12-31,1139.296
2008-01-31,989.35
2008-02-29,1049.787
2008-03-31,1038.041
2008-04-30,1080.181
2008-05-30,1092.564
2008-06-30,1002.164
2008-07-31,963.508
2008-08-29,856.733
2008-09-30,701.781
2008-10-31,484.481
2008-11-28,461.274
2008-12-31,515.372
2009-01-30,497.372
2009-02-27,443.654
2009-03-31,488.005
2009-04-30,571.755
2009-05-29,754.416
2009-06-30,757.841
2009-07-31,869.681
2009-08-31,883.515
2009-09-30,949.138
