Date,SINGAPORE SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,505.323
1994-06-30,489.05
1994-07-29,497.334
1994-08-31,520.773
1994-09-30,536.611
1994-10-31,556.998
1994-11-30,504.763
1994-12-30,494.213
1995-01-31,458.621
1995-02-28,462.581
1995-03-31,462.634
1995-04-28,459.834
1995-05-31,490.537
1995-06-30,498.367
1995-07-31,528.261
1995-08-31,532.706
1995-09-29,537.429
1995-10-31,522.567
1995-11-30,533.45
1995-12-29,579.986
1996-01-31,595.295
1996-02-29,596.911
1996-03-29,585.052
1996-04-30,588.146
1996-05-31,572.294
1996-06-28,551.838
1996-07-31,488.505
1996-08-30,500.748
1996-09-30,494.566
1996-10-31,482.886
1996-11-29,515.53
1996-12-31,528.079
1997-01-31,556.972
1997-02-28,570.084
1997-03-31,519.732
1997-04-30,527.964
1997-05-30,568.902
1997-06-30,550.367
1997-07-31,578.047
1997-08-29,489.766
1997-09-30,514.413
1997-10-31,402.379
1997-11-28,398.889
1997-12-31,325.511
1998-01-30,279.969
1998-02-27,365.033
1998-03-31,382.16
1998-04-30,363.539
1998-05-29,296.254
1998-06-30,258.536
1998-07-31,244.589
1998-08-31,219.128
1998-09-30,246.886
1998-10-30,322.206
1998-11-30,353.314
1998-12-31,337.673
1999-01-29,346.547
1999-02-26,327.043
1999-03-31,336.665
1999-04-30,422.288
1999-05-31,466.69
1999-06-30,545.388
1999-07-30,525.823
1999-08-31,511.526
1999-09-30,479.155
1999-10-29,490.52
1999-11-30,525.916
1999-12-31,596.331
2000-01-31,564.791
2000-02-29,557.323
2000-03-31,569.576
2000-04-28,517.117
2000-05-31,424.738
2000-06-30,467.964
2000-07-31,453.48
2000-08-31,472.812
2000-09-29,416.873
2000-10-31,389.269
2000-11-30,369.103
2000-12-29,353.189
2001-01-31,377.886
2001-02-28,365.727
2001-03-30,313.027
2001-04-30,328.154
2001-05-31,334.744
2001-06-29,340.047
2001-07-31,329.786
2001-08-31,323.464
2001-09-28,278.151
2001-10-31,285.216
2001-11-30,305.321
2001-12-31,327.901
2002-01-31,363.799
2002-02-28,357.772
2002-03-29,371.708
2002-04-30,362.459
2002-05-31,350.367
2002-06-28,333.228
2002-07-31,310.022
2002-08-30,303.001
2002-09-30,263.817
2002-10-31,286.705
2002-11-29,293.243
2002-12-31,274.716
2003-01-31,273.048
2003-02-28,279.09
2003-03-31,280.616
2003-04-30,290.349
2003-05-30,314.222
2003-06-30,329.752
2003-07-31,350.795
2003-08-29,361.644
2003-09-30,373.768
2003-10-31,387.376
2003-11-28,388.635
2003-12-31,403.328
2004-01-30,430.48
2004-02-27,432.48
2004-03-31,431.532
2004-04-30,418.222
2004-05-31,413.032
2004-06-30,413.613
2004-07-30,412.323
