Date,SINGAPORE Standard (Large+Mid Cap)
2001-01-01,3789.328
2001-01-02,3723.763
2001-01-03,3665.189
2001-01-04,3763.648
2001-01-05,3883.112
2001-01-08,3827.208
2001-01-09,3868.318
2001-01-10,3829.949
2001-01-11,3737.878
2001-01-12,3760.816
2001-01-15,3776.705
2001-01-16,3747.971
2001-01-17,3730.923
2001-01-18,3649.545
2001-01-19,3680.475
2001-01-22,3681.082
2001-01-23,3669.55
2001-01-24,3669.55
2001-01-25,3672.924
2001-01-26,3638.383
2001-01-29,3693.212
2001-01-30,3738.787
2001-01-31,3800.727
2001-02-01,3790.629
2001-02-02,3768.703
2001-02-05,3719.875
2001-02-06,3714.444
2001-02-07,3708.008
2001-02-08,3793.204
2001-02-09,3779.637
2001-02-12,3818.176
2001-02-13,3811.897
2001-02-14,3769.416
2001-02-15,3776.65
2001-02-16,3773.03
2001-02-19,3721.887
2001-02-20,3771.682
2001-02-21,3741.253
2001-02-22,3706.919
2001-02-23,3713.092
2001-02-26,3758.469
2001-02-27,3706.75
2001-02-28,3711.956
2001-03-01,3651.982
2001-03-02,3650.949
2001-03-05,3618.233
2001-03-06,3621.325
2001-03-07,3622.605
2001-03-08,3622.775
2001-03-09,3626.929
2001-03-12,3529.349
2001-03-13,3412.12
2001-03-14,3391.925
2001-03-15,3382.653
2001-03-16,3312.594
2001-03-19,3232.428
2001-03-20,3235.067
2001-03-21,3198.941
2001-03-22,3111.159
2001-03-23,3196.223
2001-03-26,3188.187
2001-03-27,3109.916
2001-03-28,3056.176
2001-03-29,2999.309
2001-03-30,3086.16
2001-04-02,3013.295
2001-04-03,3014.525
2001-04-04,2988.205
2001-04-05,3086.198
2001-04-06,3065.961
2001-04-09,2902.211
2001-04-10,2935.546
2001-04-11,2952.54
2001-04-12,2898.766
2001-04-13,2898.766
2001-04-16,2898.56
2001-04-17,2858.79
2001-04-18,2944.652
2001-04-19,3001.136
2001-04-20,3008.788
2001-04-23,3075.842
2001-04-24,3054.585
2001-04-25,3019.306
2001-04-26,3018.053
2001-04-27,3055.318
2001-04-30,3122.165
2001-05-01,3135.073
2001-05-02,3138.478
2001-05-03,3128.607
2001-05-04,3077.227
2001-05-07,3073.013
2001-05-08,3051.682
2001-05-09,3010.739
