Date,SINGAPORE VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,161.771
1975-02-28,201.658
1975-03-31,218.843
1975-04-30,212.186
1975-05-30,198.208
1975-06-30,180.803
1975-07-31,169.665
1975-08-29,162.004
1975-09-30,157.552
1975-10-31,178.615
1975-11-28,173.318
1975-12-31,183.148
1976-01-30,235.718
1976-02-27,229.172
1976-03-31,213.329
1976-04-30,219.428
1976-05-31,211.413
1976-06-30,216.567
1976-07-30,213.574
1976-08-31,222.183
1976-09-30,228.095
1976-10-29,212.836
1976-11-30,205.793
1976-12-31,221.661
1977-01-31,221.677
1977-02-28,220.274
1977-03-31,216.543
1977-04-29,212.31
1977-05-31,211.361
1977-06-30,226.018
1977-07-29,237.663
1977-08-31,239.343
1977-09-30,233.87
1977-10-31,235.358
1977-11-30,244.903
1977-12-30,249.362
1978-01-31,247.558
1978-02-28,249.04
1978-03-31,274.984
1978-04-28,294.013
1978-05-31,305.945
1978-06-30,344.042
1978-07-31,362.173
1978-08-31,426.494
1978-09-29,381.081
1978-10-31,440.918
1978-11-30,357.342
1978-12-29,370.387
1979-01-31,412.463
1979-02-28,378.322
1979-03-30,399.879
1979-04-30,412.821
1979-05-31,434.291
1979-06-29,415.816
1979-07-31,424.532
1979-08-31,447.017
1979-09-28,471.104
1979-10-31,428.799
1979-11-30,438.92
1979-12-31,470.076
1980-01-31,539.588
1980-02-29,562.004
1980-03-31,490.102
1980-04-30,529.803
1980-05-30,586.642
1980-06-30,612.436
1980-07-31,643.716
1980-08-29,673.849
1980-09-30,633.251
1980-10-31,673.833
1980-11-28,706.042
1980-12-31,703.266
1981-01-30,806.596
1981-02-27,852.65
1981-03-31,878.925
1981-04-30,978.645
1981-05-29,927.942
1981-06-30,1020.069
1981-07-31,871.712
1981-08-31,689.646
1981-09-30,720.369
1981-10-30,735.693
1981-11-30,859.04
1981-12-31,876.88
1982-01-29,847.712
1982-02-26,776.662
1982-03-31,759.297
1982-04-30,812.423
1982-05-31,810.556
1982-06-30,725.426
1982-07-30,670.821
1982-08-31,630.347
1982-09-30,647.914
1982-10-29,696.775
1982-11-30,711.102
1982-12-31,751.242
1983-01-31,831.074
1983-02-28,893.178
1983-03-31,912.308
1983-04-29,985.883
1983-05-31,981.537
1983-06-30,985.755
1983-07-29,929.045
1983-08-31,949.638
1983-09-30,939.831
1983-10-31,909.713
1983-11-30,899.69
1983-12-30,982.222
