Date,SPAIN IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,387.457
2001-01-02,387.813
2001-01-03,390.41
2001-01-04,411.397
2001-01-05,415.42
2001-01-08,413.017
2001-01-09,405.019
2001-01-10,406.153
2001-01-11,415.549
2001-01-12,426.583
2001-01-15,423.74
2001-01-16,415.577
2001-01-17,427.392
2001-01-18,434.189
2001-01-19,425.33
2001-01-22,428.728
2001-01-23,433.288
2001-01-24,428.991
2001-01-25,425.338
2001-01-26,423.79
2001-01-29,417.434
2001-01-30,421.134
2001-01-31,425.782
2001-02-01,429.757
2001-02-02,415.105
2001-02-05,416.682
2001-02-06,414.562
2001-02-07,411.65
2001-02-08,409.97
2001-02-09,406.249
2001-02-12,414.823
2001-02-13,406.913
2001-02-14,388.225
2001-02-15,388.698
2001-02-16,392.056
2001-02-19,396.691
2001-02-20,382.255
2001-02-21,377.809
2001-02-22,369.164
2001-02-23,365.835
2001-02-26,374.809
2001-02-27,382.583
2001-02-28,382.353
2001-03-01,385.033
2001-03-02,394.046
2001-03-05,397.521
2001-03-06,408.266
2001-03-07,406.119
2001-03-08,400.336
2001-03-09,396.57
2001-03-12,383.822
2001-03-13,380.28
2001-03-14,372.631
2001-03-15,373.788
2001-03-16,362.472
2001-03-19,361.267
2001-03-20,361.966
2001-03-21,344.169
2001-03-22,322.87
2001-03-23,338.302
2001-03-26,351.929
2001-03-27,361.436
2001-03-28,352.05
2001-03-29,351.505
2001-03-30,355.579
2001-04-02,354.839
2001-04-03,342.485
2001-04-04,356.304
2001-04-05,362.616
2001-04-06,362.938
2001-04-09,369.18
2001-04-10,372.448
2001-04-11,372.303
2001-04-12,377.881
2001-04-13,377.881
2001-04-16,374.011
2001-04-17,367.953
2001-04-18,375.851
2001-04-19,383.714
2001-04-20,377.332
2001-04-23,362.832
2001-04-24,367.528
2001-04-25,365.23
2001-04-26,375.142
2001-04-27,376.38
2001-04-30,379.596
2001-05-01,381.608
2001-05-02,376.618
2001-05-03,371.436
2001-05-04,374.341
2001-05-07,374.307
2001-05-08,374.329
2001-05-09,373.872
2001-05-10,379.816
2001-05-11,371.83
2001-05-14,366.529
2001-05-15,371.77
2001-05-16,370.591
2001-05-17,372.056
2001-05-18,371.809
2001-05-21,369.683
2001-05-22,364.016
2001-05-23,361.49
2001-05-24,358.704
2001-05-25,352.554
2001-05-28,357.51
2001-05-29,352.942
2001-05-30,350.972
2001-05-31,350.076
2001-06-01,344.403
2001-06-04,351.51
2001-06-05,352.878
2001-06-06,349.845
2001-06-07,350.302
2001-06-08,352.109
2001-06-11,349.148
2001-06-12,345.472
2001-06-13,349.433
2001-06-14,350.313
2001-06-15,346.964
2001-06-18,332.719
2001-06-19,332.47
2001-06-20,329.224
2001-06-21,327.033
2001-06-22,327.272
2001-06-25,331.448
2001-06-26,324.085
2001-06-27,323.89
2001-06-28,323.293
2001-06-29,323.895
2001-07-02,332.725
2001-07-03,330.168
2001-07-04,324.237
2001-07-05,316.312
2001-07-06,307.844
2001-07-09,310.134
2001-07-10,311.698
2001-07-11,304.103
2001-07-12,296.078
2001-07-13,300.23
2001-07-16,301.419
2001-07-17,303.417
2001-07-18,303.583
2001-07-19,308.52
2001-07-20,308.071
2001-07-23,308.818
2001-07-24,311.093
2001-07-25,303.6
2001-07-26,305.791
2001-07-27,303.235
2001-07-30,312.182
2001-07-31,314.815
2001-08-01,318.359
2001-08-02,322.179
2001-08-03,322.481
2001-08-06,324.038
2001-08-07,319.96
2001-08-08,314.692
2001-08-09,312.329
2001-08-10,309.672
2001-08-13,316.283
2001-08-14,321.049
2001-08-15,325.95
2001-08-16,322.302
2001-08-17,318.147
2001-08-20,316.178
2001-08-21,316.229
2001-08-22,321.939
2001-08-23,322.586
2001-08-24,327.813
2001-08-27,326.293
2001-08-28,320.049
2001-08-29,323.194
2001-08-30,315.484
2001-08-31,318.339
2001-09-03,310.16
2001-09-04,310.683
2001-09-05,302.268
2001-09-06,293.507
2001-09-07,289.747
2001-09-10,286.358
2001-09-11,272.26
2001-09-12,274.555
2001-09-13,276.907
2001-09-14,265.533
2001-09-17,276.292
2001-09-18,276.108
2001-09-19,275.124
2001-09-20,267.202
2001-09-21,256.12
2001-09-24,272.285
2001-09-25,279.801
2001-09-26,281.058
2001-09-27,285.735
2001-09-28,285.968
2001-10-01,281.319
2001-10-02,285.415
2001-10-03,283.858
2001-10-04,290.704
2001-10-05,282.178
2001-10-08,284.032
2001-10-09,288.364
2001-10-10,296.8
2001-10-11,295.701
2001-10-12,297.013
2001-10-15,295.142
2001-10-16,301.378
2001-10-17,311.151
2001-10-18,304.912
2001-10-19,294.777
2001-10-22,301.247
2001-10-23,307.624
2001-10-24,314.866
2001-10-25,307.26
2001-10-26,308.894
2001-10-29,305.287
2001-10-30,295.525
2001-10-31,301.759
2001-11-01,303.146
2001-11-02,300.459
2001-11-05,308.774
2001-11-06,313.703
2001-11-07,319.433
2001-11-08,325.763
2001-11-09,320.575
2001-11-12,314.846
2001-11-13,324.926
2001-11-14,331.444
2001-11-15,335.086
2001-11-16,338.262
2001-11-19,342.222
2001-11-20,336.156
2001-11-21,328.38
2001-11-22,331.484
2001-11-23,331.985
2001-11-26,335.579
2001-11-27,331.609
2001-11-28,328.511
2001-11-29,324.655
2001-11-30,331.742
2001-12-03,327.519
2001-12-04,336.199
2001-12-05,349.147
2001-12-06,350.346
2001-12-07,345.853
2001-12-10,338.652
2001-12-11,342.187
2001-12-12,340.764
2001-12-13,332.604
2001-12-14,332.075
2001-12-17,343.269
2001-12-18,340.495
2001-12-19,332.089
2001-12-20,327.29
2001-12-21,325.262
2001-12-24,322.016
2001-12-25,322.016
2001-12-26,322.291
2001-12-27,330.816
2001-12-28,325.727
2001-12-31,328.904
2002-01-01,328.904
2002-01-02,334.8
2002-01-03,342.43
2002-01-04,337.821
2002-01-07,326.308
2002-01-08,326.897
2002-01-09,320.909
2002-01-10,316.725
2002-01-11,316.671
2002-01-14,310.242
2002-01-15,314.964
2002-01-16,307.043
2002-01-17,312.693
2002-01-18,316.091
2002-01-21,311.457
2002-01-22,316.736
2002-01-23,319.747
2002-01-24,323.603
2002-01-25,316.528
2002-01-28,318.232
2002-01-29,314.564
2002-01-30,308.333
2002-01-31,309.784
2002-02-01,314.535
2002-02-04,310.307
2002-02-05,303.594
2002-02-06,298.05
2002-02-07,305.048
2002-02-08,303.897
2002-02-11,305.993
2002-02-12,303.542
2002-02-13,305.6
2002-02-14,310.822
2002-02-15,307.374
2002-02-18,303.016
2002-02-19,299.417
2002-02-20,299.313
2002-02-21,299.337
2002-02-22,298.562
2002-02-25,300.975
2002-02-26,303.454
2002-02-27,311.821
2002-02-28,312.999
2002-03-01,316.168
2002-03-04,323.751
2002-03-05,321.6
2002-03-06,325.187
2002-03-07,329.288
2002-03-08,326.607
2002-03-11,322.758
2002-03-12,317.733
2002-03-13,318.315
2002-03-14,323.318
2002-03-15,326.017
2002-03-18,328.19
2002-03-19,331.652
2002-03-20,329.117
2002-03-21,326.333
2002-03-22,325.976
2002-03-25,317.776
2002-03-26,315.76
2002-03-27,315.803
2002-03-28,319.463
