Date,SPAIN IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,96.73
1994-06-30,92.758
1994-07-29,98.943
1994-08-31,98.426
1994-09-30,95.882
1994-10-31,98.985
1994-11-30,97.505
1994-12-30,92.718
1995-01-31,91.932
1995-02-28,94.278
1995-03-31,92.399
1995-04-28,98.269
1995-05-31,103.365
1995-06-30,104.702
1995-07-31,112.692
1995-08-31,107.965
1995-09-29,108.829
1995-10-31,106.495
1995-11-30,113.667
1995-12-29,118.707
1996-01-31,120.506
1996-02-29,127.485
1996-03-29,123.821
1996-04-30,126.849
1996-05-31,126.963
1996-06-28,132.175
1996-07-31,128.255
1996-08-30,131.448
1996-09-30,135.047
1996-10-31,141.145
1996-11-29,149.082
1996-12-31,166.11
1997-01-31,164.513
1997-02-28,159.58
1997-03-31,164.78
1997-04-30,174.574
1997-05-30,189.632
1997-06-30,201.916
1997-07-31,190.321
1997-08-29,187.175
1997-09-30,214.766
1997-10-31,197.246
1997-11-28,209.966
1997-12-31,216.161
1998-01-30,234.99
1998-02-27,262.556
1998-03-31,297.391
1998-04-30,302.454
1998-05-29,308.027
1998-06-30,303.649
1998-07-31,304.913
1998-08-31,268.625
1998-09-30,281.556
1998-10-30,302.759
1998-11-30,322.481
1998-12-31,335.815
1999-01-29,331.562
1999-02-26,317.038
1999-03-31,301.311
1999-04-30,288.382
1999-05-31,289.657
1999-06-30,293.324
1999-07-30,287.197
1999-08-31,295.929
1999-09-30,287.672
1999-10-29,288.595
1999-11-30,287.964
1999-12-31,299.149
2000-01-31,265.862
2000-02-29,289.415
2000-03-31,301.983
2000-04-28,285.734
2000-05-31,286.017
2000-06-30,289.359
2000-07-31,281.264
2000-08-31,284.902
2000-09-29,282.831
2000-10-31,256.81
2000-11-30,250.503
2000-12-29,266.436
2001-01-31,285.151
2001-02-28,275.347
2001-03-30,262.65
2001-04-30,271.303
2001-05-31,257.601
2001-06-29,252.317
2001-07-31,261.449
2001-08-31,267.602
2001-09-28,243.055
2001-10-31,250.698
2001-11-30,254.673
2001-12-31,254.615
2002-01-31,240.168
2002-02-28,246.846
2002-03-29,253.884
2002-04-30,264.137
2002-05-31,270.003
2002-06-28,259.523
2002-07-31,228.09
2002-08-30,237.601
2002-09-30,203.526
2002-10-31,221.094
2002-11-29,244.041
2002-12-31,244.932
2003-01-31,248.71
2003-02-28,254.34
2003-03-31,260.825
2003-04-30,287.189
2003-05-30,311.811
2003-06-30,329.032
2003-07-31,336.306
2003-08-29,328.383
2003-09-30,327.756
2003-10-31,355.434
2003-11-28,378.581
2003-12-31,429.072
2004-01-30,427.75
2004-02-27,440.864
2004-03-31,426.007
2004-04-30,423.565
2004-05-31,424.901
2004-06-30,430.631
2004-07-30,409.882
2004-08-31,415.931
2004-09-30,426.969
2004-10-29,457.932
2004-11-30,499.224
2004-12-31,528.329
2005-01-31,519.02
2005-02-28,546.486
2005-03-31,536.442
2005-04-29,517.895
2005-05-31,516.777
2005-06-30,529.694
2005-07-29,551.744
2005-08-31,551.364
2005-09-30,596.805
2005-10-31,576.624
2005-11-30,580.407
2005-12-30,592.199
2006-01-31,632.882
2006-02-28,670.43
2006-03-31,671.836
2006-04-28,703.958
2006-05-31,677.907
2006-06-30,688.228
2006-07-31,713.046
2006-08-31,734.199
2006-09-29,782.659
2006-10-31,849.164
2006-11-30,901.132
2006-12-29,912.149
2007-01-31,931.992
2007-02-28,925.024
2007-03-30,929.111
2007-04-30,938.075
2007-05-31,1000.0
2007-06-29,984.679
2007-07-31,1004.005
2007-08-31,969.577
2007-09-28,1012.474
2007-10-31,1121.143
2007-11-30,1115.069
2007-12-31,1087.852
2008-01-31,938.371
2008-02-29,963.02
2008-03-31,1039.032
2008-04-30,1095.816
2008-05-30,1078.463
2008-06-30,948.282
2008-07-31,940.195
2008-08-29,857.531
2008-09-30,773.515
2008-10-31,560.43
2008-11-28,501.659
2008-12-31,565.916
2009-01-30,479.612
2009-02-27,384.414
2009-03-31,424.345
2009-04-30,562.4
2009-05-29,637.627
2009-06-30,669.759
2009-07-31,789.132
2009-08-31,858.413
2009-09-30,892.744
2009-10-30,884.601
2009-11-30,920.362
2009-12-31,899.712
2010-01-29,790.731
2010-02-26,718.093
2010-03-31,746.371
2010-04-30,716.445
2010-05-31,586.332
2010-06-30,586.499
2010-07-30,717.286
2010-08-31,675.753
2010-09-30,743.537
2010-10-29,777.583
2010-11-30,612.217
2010-12-31,675.482
2011-01-31,776.316
2011-02-28,787.353
2011-03-31,772.887
2011-04-29,832.361
2011-05-31,783.642
2011-06-30,778.8
2011-07-29,716.092
2011-08-31,650.761
2011-09-30,592.754
2011-10-31,645.581
2011-11-30,589.037
2011-12-30,578.151
2012-01-31,587.891
2012-02-29,596.957
2012-03-30,553.425
2012-04-30,480.972
2012-05-31,396.492
2012-06-29,479.866
2012-07-31,439.507
2012-08-31,504.971
2012-09-28,529.772
2012-10-31,545.731
2012-11-30,554.875
2012-12-31,583.052
2013-01-31,628.449
2013-02-28,586.747
2013-03-29,545.776
2013-04-30,609.11
2013-05-31,593.806
2013-06-28,548.677
2013-07-31,623.645
2013-08-30,608.419
2013-09-30,695.699
2013-10-31,762.63
2013-11-29,762.25
2013-12-31,779.092
2014-01-31,783.821
2014-02-28,830.654
2014-03-31,856.359
2014-04-30,875.213
2014-05-30,895.001
2014-06-30,915.156
2014-07-31,892.879
2014-08-29,879.103
2014-09-30,851.885
2014-10-31,811.182
2014-11-28,836.236
2014-12-31,774.55
2015-01-30,726.875
2015-02-27,767.598
2015-03-31,750.731
2015-04-30,786.499
2015-05-29,754.092
2015-06-30,741.289
2015-07-31,763.202
2015-08-31,701.52
2015-09-30,630.885
2015-10-30,679.937
2015-11-30,656.244
2015-12-31,609.889
2016-01-29,559.687
2016-02-29,537.675
2016-03-31,581.47
2016-04-29,620.569
2016-05-31,599.323
2016-06-30,535.431
2016-07-29,571.025
2016-08-31,582.305
2016-09-30,586.226
2016-10-31,620.14
2016-11-30,560.014
2016-12-30,616.564
2017-01-31,636.018
2017-02-28,640.915
2017-03-31,712.245
2017-04-28,740.422
2017-05-31,769.066
2017-06-30,756.745
2017-07-31,798.553
2017-08-31,789.738
2017-09-29,799.5
2017-10-31,798.651
2017-11-30,793.293
2017-12-29,785.289
2018-01-31,859.488
2018-02-28,799.168
