Date,SPAIN LARGE VALUE Large Cap
1994-05-31,117.301
1994-06-30,111.131
1994-07-29,119.855
1994-08-31,118.907
1994-09-30,117.197
1994-10-31,122.391
1994-11-30,121.278
1994-12-30,114.83
1995-01-31,114.864
1995-02-28,117.511
1995-03-31,115.096
1995-04-28,119.273
1995-05-31,126.211
1995-06-30,127.371
1995-07-31,137.031
1995-08-31,131.625
1995-09-29,132.942
1995-10-31,130.222
1995-11-30,140.764
1995-12-29,147.863
1996-01-31,151.797
1996-02-29,161.641
1996-03-29,155.701
1996-04-30,159.902
1996-05-31,160.219
1996-06-28,165.825
1996-07-31,160.375
1996-08-30,165.676
1996-09-30,172.071
1996-10-31,180.089
1996-11-29,192.088
1996-12-31,210.955
1997-01-31,211.182
1997-02-28,206.387
1997-03-31,213.705
1997-04-30,230.349
1997-05-30,250.154
1997-06-30,265.687
1997-07-31,248.675
1997-08-29,243.977
1997-09-30,284.294
1997-10-31,255.493
1997-11-28,273.839
1997-12-31,284.77
1998-01-30,312.977
1998-02-27,353.108
1998-03-31,400.303
1998-04-30,406.687
1998-05-29,418.822
1998-06-30,413.392
1998-07-31,414.739
1998-08-31,353.562
1998-09-30,377.423
1998-10-30,406.893
1998-11-30,438.768
1998-12-31,458.14
1999-01-29,455.153
1999-02-26,428.596
1999-03-31,413.239
1999-04-30,390.959
1999-05-31,397.331
1999-06-30,411.704
1999-07-30,397.719
1999-08-31,408.399
1999-09-30,391.862
1999-10-29,402.144
1999-11-30,406.489
1999-12-31,414.468
2000-01-31,363.637
2000-02-29,393.291
2000-03-31,419.621
2000-04-28,394.631
2000-05-31,399.826
2000-06-30,404.814
2000-07-31,395.637
2000-08-31,403.029
2000-09-29,400.438
2000-10-31,353.506
2000-11-30,343.947
2000-12-29,365.212
2001-01-31,387.87
2001-02-28,364.306
2001-03-30,347.562
2001-04-30,357.874
2001-05-31,332.985
2001-06-29,322.441
2001-07-31,330.24
2001-08-31,337.918
2001-09-28,306.79
2001-10-31,310.852
2001-11-30,312.603
2001-12-31,312.663
2002-01-31,284.359
2002-02-28,291.032
2002-03-29,293.893
2002-04-30,295.515
2002-05-31,293.497
2002-06-28,278.824
2002-07-31,236.875
2002-08-30,253.453
2002-09-30,213.037
2002-10-31,230.514
2002-11-29,259.16
2002-12-31,261.612
2003-01-31,264.083
2003-02-28,269.76
2003-03-31,276.449
2003-04-30,306.169
2003-05-30,330.722
2003-06-30,350.221
2003-07-31,357.132
2003-08-29,347.563
2003-09-30,342.992
2003-10-31,375.29
2003-11-28,399.543
2003-12-31,456.626
2004-01-30,450.787
2004-02-27,464.254
2004-03-31,445.81
2004-04-30,442.249
2004-05-31,444.016
2004-06-30,448.942
2004-07-30,426.493
2004-08-31,431.921
2004-09-30,440.76
2004-10-29,475.319
2004-11-30,517.943
2004-12-31,546.252
2005-01-31,530.614
2005-02-28,556.715
2005-03-31,547.653
2005-04-29,526.734
2005-05-31,522.081
2005-06-30,536.407
2005-07-29,559.609
2005-08-31,558.247
2005-09-30,608.732
2005-10-31,587.973
2005-11-30,591.793
2005-12-30,603.602
2006-01-31,642.5
2006-02-28,681.587
2006-03-31,679.875
2006-04-28,711.098
2006-05-31,684.128
2006-06-30,695.694
2006-07-31,718.679
2006-08-31,738.704
2006-09-29,788.296
2006-10-31,856.227
2006-11-30,906.118
2006-12-29,916.496
2007-01-31,932.782
2007-02-28,922.703
2007-03-30,922.418
2007-04-30,932.083
2007-05-31,1000.0
2007-06-29,985.35
2007-07-31,1003.444
2007-08-31,968.985
2007-09-28,1011.729
2007-10-31,1121.22
2007-11-30,1114.626
2007-12-31,1093.088
2008-01-31,940.154
2008-02-29,963.206
2008-03-31,1038.38
2008-04-30,1097.715
2008-05-30,1078.296
2008-06-30,949.301
2008-07-31,944.31
2008-08-29,855.925
2008-09-30,775.461
2008-10-31,554.382
2008-11-28,491.609
2008-12-31,560.447
2009-01-30,473.831
2009-02-27,372.735
2009-03-31,414.521
2009-04-30,556.715
2009-05-29,627.332
2009-06-30,665.661
2009-07-31,791.955
2009-08-31,860.212
2009-09-30,890.366
2009-10-30,890.318
2009-11-30,931.369
2009-12-31,910.355
2010-01-29,794.257
2010-02-26,720.183
2010-03-31,747.154
2010-04-30,717.549
2010-05-31,586.239
2010-06-30,585.566
2010-07-30,717.895
2010-08-31,677.242
2010-09-30,745.241
2010-10-29,779.422
2010-11-30,610.757
2010-12-31,672.481
2011-01-31,772.858
2011-02-28,782.491
2011-03-31,763.857
2011-04-29,824.036
2011-05-31,773.248
2011-06-30,770.682
2011-07-29,705.67
2011-08-31,639.322
2011-09-30,586.196
2011-10-31,637.242
2011-11-30,579.361
2011-12-30,566.64
2012-01-31,575.29
2012-02-29,587.175
2012-03-30,543.268
2012-04-30,467.993
2012-05-31,387.75
2012-06-29,472.627
2012-07-31,429.959
2012-08-31,491.054
2012-09-28,517.084
2012-10-31,535.809
2012-11-30,542.45
2012-12-31,569.639
2013-01-31,611.307
2013-02-28,568.806
2013-03-29,529.117
2013-04-30,590.997
2013-05-31,574.272
2013-06-28,526.048
2013-07-31,597.336
2013-08-30,579.896
2013-09-30,665.849
2013-10-31,733.249
2013-11-29,731.103
2013-12-31,737.544
2014-01-31,728.211
2014-02-28,767.984
2014-03-31,796.158
2014-04-30,820.164
2014-05-30,847.505
2014-06-30,864.457
2014-07-31,843.305
2014-08-29,831.508
2014-09-30,808.563
2014-10-31,767.397
2014-11-28,794.78
2014-12-31,731.119
2015-01-30,674.634
2015-02-27,711.737
2015-03-31,695.458
2015-04-30,730.417
2015-05-29,698.104
2015-06-30,686.748
2015-07-31,707.164
2015-08-31,644.001
2015-09-30,572.431
2015-10-30,616.317
2015-11-30,596.427
2015-12-31,551.341
2016-01-29,506.077
2016-02-29,483.616
2016-03-31,522.883
2016-04-29,559.284
2016-05-31,539.012
2016-06-30,477.262
2016-07-29,509.209
2016-08-31,523.365
2016-09-30,525.014
2016-10-31,563.652
2016-11-30,506.807
2016-12-30,561.683
2017-01-31,581.169
2017-02-28,587.087
2017-03-31,655.265
2017-04-28,680.237
2017-05-31,700.698
2017-06-30,694.681
2017-07-31,735.674
2017-08-31,725.183
2017-09-29,741.17
2017-10-31,737.219
2017-11-30,729.233
2017-12-29,717.204
2018-01-31,788.184
2018-02-28,730.267
2018-03-30,706.568
2018-04-30,728.617
2018-05-31,634.007
2018-06-29,653.055
2018-07-31,683.627
2018-08-31,625.509
2018-09-28,628.602
2018-10-31,588.1
2018-11-30,601.351
2018-12-31,587.845
2019-01-31,626.357
2019-02-28,635.805
2019-03-29,620.083
2019-04-30,650.008
2019-05-31,609.33
2019-06-28,636.344
2019-07-31,602.244
2019-08-30,573.52
2019-09-30,609.322
2019-10-31,617.479
2019-11-29,604.933
2019-12-31,625.533
2020-01-31,611.207
2020-02-28,571.381
2020-03-31,437.157
2020-04-30,435.077
2020-05-29,450.508
2020-06-30,479.146
2020-07-31,476.986
2020-08-31,474.642
2020-09-30,440.721
2020-10-30,430.751
2020-11-30,571.134
2020-12-31,592.853
2021-01-29,574.612
2021-02-26,606.924
2021-03-31,604.892
2021-04-30,650.894
2021-05-31,685.866
2021-06-30,641.765
2021-07-30,635.92
2021-08-31,647.318
2021-09-30,609.521
2021-10-29,649.534
2021-11-30,573.041
2021-12-31,616.778
2022-01-31,633.571
2022-02-28,622.725
2022-03-31,622.879
2022-04-29,604.677
2022-05-31,636.74
2022-06-30,566.318
2022-07-29,545.657
2022-08-31,531.582
2022-09-30,493.725
2022-10-31,541.901
2022-11-30,597.673
2022-12-30,617.185
2023-01-31,677.708
2023-02-28,711.807
2023-03-31,710.209
2023-04-28,728.378
2023-05-31,677.486
2023-06-30,744.841
2023-07-31,769.002
2023-08-31,744.655
2023-09-29,729.335
2023-10-31,713.599
2023-11-30,810.323
2023-12-29,814.574
2024-01-31,805.037
2024-02-29,807.93
2024-03-29,916.175
2024-04-30,907.992
2024-05-31,955.418
2024-06-28,891.861
2024-07-31,935.87
2024-08-30,973.198
2024-09-30,1020.64
2024-10-31,980.272
2024-11-29,934.658
2024-12-31,926.331
2025-01-31,1017.318
2025-02-28,1154.911
2025-03-31,1227.022
2025-04-30,1318.659
2025-05-30,1421.295
2025-06-30,1465.859
2025-07-31,1502.837
2025-08-29,1622.012
2025-09-30,1694.091
2025-10-31,1748.077
2025-11-28,1840.642
