Date,SPAIN MID CAP Mid Cap
2001-01-01,189.372
2001-01-02,193.547
2001-01-03,195.23
2001-01-04,198.328
2001-01-05,198.398
2001-01-08,197.741
2001-01-09,194.562
2001-01-10,194.594
2001-01-11,198.625
2001-01-12,199.768
2001-01-15,197.366
2001-01-16,196.997
2001-01-17,197.407
2001-01-18,200.622
2001-01-19,197.471
2001-01-22,198.785
2001-01-23,201.715
2001-01-24,198.954
2001-01-25,200.984
2001-01-26,202.596
2001-01-29,200.249
2001-01-30,204.969
2001-01-31,206.936
2001-02-01,210.71
2001-02-02,204.81
2001-02-05,205.176
2001-02-06,203.956
2001-02-07,203.919
2001-02-08,204.292
2001-02-09,205.854
2001-02-12,211.354
2001-02-13,208.765
2001-02-14,204.836
2001-02-15,203.176
2001-02-16,204.918
2001-02-19,207.083
2001-02-20,204.11
2001-02-21,203.691
2001-02-22,201.382
2001-02-23,200.116
2001-02-26,200.474
2001-02-27,202.985
2001-02-28,204.679
2001-03-01,203.062
2001-03-02,205.526
2001-03-05,205.877
2001-03-06,209.394
2001-03-07,209.784
2001-03-08,209.736
2001-03-09,210.076
2001-03-12,206.219
2001-03-13,202.383
2001-03-14,198.758
2001-03-15,198.026
2001-03-16,193.036
2001-03-19,193.826
2001-03-20,196.545
2001-03-21,189.798
2001-03-22,179.249
2001-03-23,186.048
2001-03-26,189.88
2001-03-27,190.999
2001-03-28,187.749
2001-03-29,186.814
2001-03-30,188.969
2001-04-02,188.797
2001-04-03,185.323
2001-04-04,191.87
2001-04-05,192.89
2001-04-06,192.39
2001-04-09,194.949
2001-04-10,192.946
2001-04-11,191.75
2001-04-12,193.062
2001-04-13,193.062
2001-04-16,191.085
2001-04-17,190.055
2001-04-18,191.481
2001-04-19,194.822
2001-04-20,195.79
2001-04-23,193.784
2001-04-24,196.097
2001-04-25,197.72
2001-04-26,199.665
2001-04-27,198.902
2001-04-30,199.969
2001-05-01,201.029
2001-05-02,201.361
2001-05-03,200.543
2001-05-04,199.813
2001-05-07,199.433
2001-05-08,198.661
2001-05-09,199.301
2001-05-10,199.966
2001-05-11,198.673
2001-05-14,197.992
2001-05-15,198.737
2001-05-16,199.191
