Date,SPAIN SMALL VALUE Small Cap
2001-01-01,132.625
2001-01-02,135.208
2001-01-03,135.136
2001-01-04,137.169
2001-01-05,139.67
2001-01-08,139.576
2001-01-09,137.931
2001-01-10,138.613
2001-01-11,140.881
2001-01-12,142.86
2001-01-15,141.847
2001-01-16,140.873
2001-01-17,140.567
2001-01-18,143.817
2001-01-19,142.349
2001-01-22,142.47
2001-01-23,143.319
2001-01-24,141.096
2001-01-25,140.956
2001-01-26,141.812
2001-01-29,141.827
2001-01-30,143.252
2001-01-31,145.91
2001-02-01,148.954
2001-02-02,147.547
2001-02-05,148.755
2001-02-06,148.105
2001-02-07,146.887
2001-02-08,145.29
2001-02-09,145.795
2001-02-12,147.074
2001-02-13,146.111
2001-02-14,145.069
2001-02-15,143.557
2001-02-16,145.201
2001-02-19,146.712
2001-02-20,144.783
2001-02-21,145.681
2001-02-22,145.486
2001-02-23,145.362
2001-02-26,145.071
2001-02-27,146.207
2001-02-28,147.002
2001-03-01,148.479
2001-03-02,150.504
2001-03-05,149.306
2001-03-06,150.171
2001-03-07,149.173
2001-03-08,150.186
2001-03-09,149.891
2001-03-12,149.218
2001-03-13,146.779
2001-03-14,144.99
2001-03-15,145.032
2001-03-16,142.759
2001-03-19,142.035
2001-03-20,142.607
2001-03-21,140.067
2001-03-22,134.857
2001-03-23,137.304
2001-03-26,138.834
2001-03-27,139.513
2001-03-28,137.743
2001-03-29,136.745
2001-03-30,138.525
2001-04-02,140.873
2001-04-03,140.095
2001-04-04,142.562
2001-04-05,142.063
2001-04-06,143.889
2001-04-09,143.966
2001-04-10,142.126
2001-04-11,141.164
2001-04-12,142.518
2001-04-13,142.518
2001-04-16,141.058
2001-04-17,140.479
2001-04-18,139.569
2001-04-19,141.335
2001-04-20,143.492
2001-04-23,143.064
2001-04-24,143.008
2001-04-25,144.206
2001-04-26,145.216
2001-04-27,143.577
2001-04-30,143.276
2001-05-01,144.036
2001-05-02,144.308
2001-05-03,144.612
2001-05-04,144.583
2001-05-07,144.212
2001-05-08,143.463
2001-05-09,142.84
2001-05-10,143.463
2001-05-11,142.572
2001-05-14,142.078
2001-05-15,143.083
2001-05-16,143.852
2001-05-17,143.376
2001-05-18,142.745
2001-05-21,142.369
2001-05-22,141.287
2001-05-23,140.105
2001-05-24,139.848
2001-05-25,139.508
2001-05-28,140.497
2001-05-29,139.216
2001-05-30,140.053
2001-05-31,138.998
2001-06-01,139.079
2001-06-04,139.989
2001-06-05,140.191
2001-06-06,139.797
2001-06-07,140.141
2001-06-08,140.134
2001-06-11,138.897
2001-06-12,139.711
2001-06-13,140.201
2001-06-14,141.906
2001-06-15,142.339
2001-06-18,141.198
2001-06-19,140.795
2001-06-20,139.379
2001-06-21,139.129
2001-06-22,139.641
2001-06-25,140.853
2001-06-26,140.801
2001-06-27,140.199
2001-06-28,138.415
2001-06-29,138.726
2001-07-02,139.591
2001-07-03,140.183
2001-07-04,140.105
2001-07-05,138.547
2001-07-06,138.85
2001-07-09,138.766
2001-07-10,140.132
2001-07-11,139.88
2001-07-12,138.36
2001-07-13,138.377
2001-07-16,139.168
2001-07-17,138.486
2001-07-18,142.03
2001-07-19,142.249
2001-07-20,142.834
2001-07-23,141.995
2001-07-24,143.015
2001-07-25,143.424
2001-07-26,142.914
2001-07-27,143.539
2001-07-30,144.359
2001-07-31,144.75
2001-08-01,145.925
2001-08-02,146.364
2001-08-03,147.216
2001-08-06,146.126
2001-08-07,145.525
2001-08-08,145.072
2001-08-09,146.361
2001-08-10,146.932
2001-08-13,147.885
2001-08-14,147.885
2001-08-15,150.142
2001-08-16,150.076
2001-08-17,150.8
2001-08-20,149.842
2001-08-21,150.368
2001-08-22,151.834
2001-08-23,150.803
2001-08-24,150.774
2001-08-27,149.868
2001-08-28,149.802
2001-08-29,149.989
2001-08-30,149.237
2001-08-31,148.815
2001-09-03,147.92
2001-09-04,145.344
2001-09-05,144.757
2001-09-06,144.22
2001-09-07,146.175
2001-09-10,144.236
2001-09-11,140.817
2001-09-12,139.688
2001-09-13,140.749
2001-09-14,139.863
2001-09-17,137.866
2001-09-18,138.136
2001-09-19,140.137
2001-09-20,137.461
2001-09-21,131.475
2001-09-24,133.841
2001-09-25,135.89
2001-09-26,137.492
2001-09-27,137.551
2001-09-28,137.244
2001-10-01,137.779
2001-10-02,139.238
2001-10-03,139.989
2001-10-04,139.894
2001-10-05,140.69
2001-10-08,140.581
2001-10-09,141.186
2001-10-10,140.293
2001-10-11,139.919
2001-10-12,140.54
2001-10-15,141.019
2001-10-16,141.948
2001-10-17,142.166
2001-10-18,141.365
2001-10-19,139.998
2001-10-22,139.74
2001-10-23,139.872
2001-10-24,140.551
2001-10-25,141.369
2001-10-26,141.56
2001-10-29,144.018
2001-10-30,143.288
2001-10-31,141.933
2001-11-01,142.731
2001-11-02,142.38
