Date,SPAIN SMALL VALUE Small Cap
1994-05-31,81.437
1994-06-30,80.93
1994-07-29,82.057
1994-08-31,82.497
1994-09-30,80.67
1994-10-31,80.724
1994-11-30,78.891
1994-12-30,76.512
1995-01-31,75.098
1995-02-28,76.8
1995-03-31,75.172
1995-04-28,81.933
1995-05-31,84.804
1995-06-30,85.2
1995-07-31,89.151
1995-08-31,84.594
1995-09-29,85.105
1995-10-31,83.33
1995-11-30,84.013
1995-12-29,84.776
1996-01-31,84.487
1996-02-29,88.221
1996-03-29,87.402
1996-04-30,86.559
1996-05-31,85.627
1996-06-28,87.896
1996-07-31,88.245
1996-08-30,89.813
1996-09-30,88.046
1996-10-31,91.08
1996-11-29,92.834
1996-12-31,101.35
1997-01-31,101.594
1997-02-28,99.235
1997-03-31,101.531
1997-04-30,103.776
1997-05-30,113.131
1997-06-30,121.924
1997-07-31,119.581
1997-08-29,119.163
1997-09-30,129.925
1997-10-31,125.029
1997-11-28,127.766
1997-12-31,131.878
1998-01-30,142.068
1998-02-27,159.662
1998-03-31,172.616
1998-04-30,180.559
1998-05-29,182.627
1998-06-30,180.222
1998-07-31,180.26
1998-08-31,173.131
1998-09-30,167.986
1998-10-30,175.612
1998-11-30,184.142
1998-12-31,184.736
1999-01-29,177.455
1999-02-26,173.431
1999-03-31,166.728
1999-04-30,161.136
1999-05-31,158.902
1999-06-30,153.555
1999-07-30,154.669
1999-08-31,156.17
1999-09-30,157.211
1999-10-29,151.58
1999-11-30,140.959
1999-12-31,138.596
2000-01-31,130.59
2000-02-29,137.299
2000-03-31,145.401
2000-04-28,138.197
2000-05-31,137.632
2000-06-30,137.971
2000-07-31,134.029
2000-08-31,131.793
2000-09-29,130.752
2000-10-31,125.612
2000-11-30,125.777
2000-12-29,132.625
2001-01-31,145.91
2001-02-28,147.002
2001-03-30,138.525
2001-04-30,143.276
2001-05-31,138.998
2001-06-29,138.726
2001-07-31,144.75
2001-08-31,148.815
2001-09-28,137.244
2001-10-31,141.933
2001-11-30,147.653
2001-12-31,145.924
2002-01-31,147.22
2002-02-28,154.179
2002-03-29,163.938
2002-04-30,179.692
2002-05-31,188.499
2002-06-28,190.12
2002-07-31,180.194
2002-08-30,177.938
2002-09-30,164.872
2002-10-31,176.3
2002-11-29,184.719
2002-12-31,188.506
2003-01-31,195.071
2003-02-28,203.077
2003-03-31,207.296
2003-04-30,217.486
2003-05-30,238.928
2003-06-30,248.787
2003-07-31,262.12
2003-08-29,261.178
2003-09-30,271.118
2003-10-31,285.53
2003-11-28,309.45
2003-12-31,335.356
2004-01-30,351.904
2004-02-27,370.662
2004-03-31,366.0
2004-04-30,364.43
