Date,SPAIN SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,208.406
1994-06-30,199.83
1994-07-29,203.095
1994-08-31,206.822
1994-09-30,199.13
1994-10-31,195.985
1994-11-30,192.557
1994-12-30,183.89
1995-01-31,177.842
1995-02-28,178.218
1995-03-31,172.452
1995-04-28,189.888
1995-05-31,200.362
1995-06-30,200.392
1995-07-31,210.632
1995-08-31,201.54
1995-09-29,197.908
1995-10-31,191.333
1995-11-30,188.664
1995-12-29,190.967
1996-01-31,185.208
1996-02-29,193.541
1996-03-29,194.705
1996-04-30,193.137
1996-05-31,191.672
1996-06-28,197.337
1996-07-31,191.84
1996-08-30,196.489
1996-09-30,194.481
1996-10-31,198.444
1996-11-29,202.763
1996-12-31,217.04
1997-01-31,211.002
1997-02-28,206.538
1997-03-31,211.348
1997-04-30,215.453
1997-05-30,234.846
1997-06-30,256.932
1997-07-31,247.684
1997-08-29,244.862
1997-09-30,264.247
1997-10-31,243.968
1997-11-28,250.34
1997-12-31,251.316
1998-01-30,265.175
1998-02-27,288.669
1998-03-31,325.512
1998-04-30,330.515
1998-05-29,343.51
1998-06-30,337.504
1998-07-31,341.113
1998-08-31,301.765
1998-09-30,293.553
1998-10-30,317.903
1998-11-30,338.848
1998-12-31,362.681
1999-01-29,342.082
1999-02-26,335.458
1999-03-31,306.257
1999-04-30,298.357
1999-05-31,293.116
1999-06-30,288.979
1999-07-30,283.474
1999-08-31,295.38
1999-09-30,287.015
1999-10-29,275.825
1999-11-30,274.87
1999-12-31,315.651
2000-01-31,286.721
2000-02-29,340.603
2000-03-31,326.536
2000-04-28,295.699
2000-05-31,275.503
2000-06-30,275.08
2000-07-31,264.459
2000-08-31,262.585
2000-09-29,256.621
2000-10-31,236.111
2000-11-30,221.252
2000-12-29,224.339
2001-01-31,245.439
2001-02-28,229.427
2001-03-30,205.376
2001-04-30,218.016
2001-05-31,208.499
2001-06-29,204.489
2001-07-31,204.319
2001-08-31,211.296
2001-09-28,178.195
2001-10-31,185.335
2001-11-30,195.477
2001-12-31,195.026
2002-01-31,193.077
2002-02-28,196.031
2002-03-29,209.121
2002-04-30,218.91
2002-05-31,228.441
2002-06-28,225.793
2002-07-31,205.646
2002-08-30,202.615
2002-09-30,189.11
2002-10-31,194.111
2002-11-29,206.57
2002-12-31,207.074
2003-01-31,212.088
2003-02-28,216.794
2003-03-31,219.01
2003-04-30,237.956
2003-05-30,261.842
2003-06-30,259.0
2003-07-31,258.313
2003-08-29,251.666
2003-09-30,266.171
2003-10-31,273.877
2003-11-28,287.248
2003-12-31,311.844
2004-01-30,320.188
2004-02-27,339.269
2004-03-31,330.635
2004-04-30,324.918
2004-05-31,330.921
2004-06-30,336.28
2004-07-30,335.88
2004-08-31,341.822
2004-09-30,362.125
2004-10-29,378.452
2004-11-30,409.295
2004-12-31,441.957
2005-01-31,456.119
2005-02-28,478.673
2005-03-31,470.688
2005-04-29,461.407
2005-05-31,482.403
2005-06-30,504.969
2005-07-29,519.609
2005-08-31,532.505
2005-09-30,565.954
2005-10-31,543.288
2005-11-30,542.541
2005-12-30,546.975
2006-01-31,591.208
2006-02-28,619.584
2006-03-31,653.501
2006-04-28,689.29
2006-05-31,669.529
2006-06-30,667.341
2006-07-31,683.995
2006-08-31,703.291
2006-09-29,739.642
2006-10-31,776.008
2006-11-30,831.811
2006-12-29,859.295
2007-01-31,893.003
2007-02-28,912.806
2007-03-30,963.889
2007-04-30,969.824
2007-05-31,1000.0
2007-06-29,965.596
2007-07-31,957.843
2007-08-31,914.145
2007-09-28,930.049
2007-10-31,1013.103
2007-11-30,981.667
2007-12-31,914.266
2008-01-31,818.371
2008-02-29,849.735
2008-03-31,902.805
2008-04-30,904.037
2008-05-30,902.237
2008-06-30,796.706
2008-07-31,735.29
2008-08-29,720.328
2008-09-30,610.382
2008-10-31,467.075
2008-11-28,445.874
2008-12-31,483.564
2009-01-30,438.622
2009-02-27,396.926
2009-03-31,403.267
2009-04-30,471.053
2009-05-29,536.81
2009-06-30,524.572
2009-07-31,553.619
2009-08-31,579.338
2009-09-30,617.728
2009-10-30,570.824
2009-11-30,589.152
2009-12-31,589.863
2010-01-29,552.759
2010-02-26,516.651
2010-03-31,544.459
2010-04-30,503.177
2010-05-31,408.914
2010-06-30,393.518
2010-07-30,467.623
2010-08-31,448.578
2010-09-30,503.705
2010-10-29,540.651
2010-11-30,452.521
2010-12-31,496.232
2011-01-31,533.217
2011-02-28,536.779
2011-03-31,559.528
2011-04-29,607.5
2011-05-31,577.056
2011-06-30,568.895
2011-07-29,544.1
2011-08-31,510.66
2011-09-30,456.88
2011-10-31,503.652
2011-11-30,469.639
2011-12-30,458.569
2012-01-31,480.985
2012-02-29,501.606
2012-03-30,488.751
2012-04-30,474.48
2012-05-31,389.424
2012-06-29,434.255
2012-07-31,446.599
2012-08-31,459.818
2012-09-28,487.875
2012-10-31,511.043
2012-11-30,493.762
2012-12-31,522.7
2013-01-31,553.391
2013-02-28,562.386
2013-03-29,555.153
2013-04-30,593.148
2013-05-31,586.808
2013-06-28,566.897
2013-07-31,624.205
2013-08-30,608.813
2013-09-30,680.709
2013-10-31,728.337
2013-11-29,738.605
2013-12-31,779.405
2014-01-31,786.8
2014-02-28,844.592
2014-03-31,833.036
2014-04-30,831.649
2014-05-30,848.147
2014-06-30,841.474
2014-07-31,764.036
2014-08-29,764.024
2014-09-30,731.953
2014-10-31,718.47
2014-11-28,733.329
2014-12-31,701.08
2015-01-30,674.723
2015-02-27,723.409
2015-03-31,737.009
2015-04-30,756.389
2015-05-29,737.183
2015-06-30,725.001
2015-07-31,733.216
2015-08-31,706.133
2015-09-30,674.791
2015-10-30,717.204
2015-11-30,700.117
2015-12-31,687.197
2016-01-29,648.32
2016-02-29,635.239
2016-03-31,692.361
2016-04-29,723.543
2016-05-31,701.483
2016-06-30,646.456
2016-07-29,691.563
2016-08-31,694.469
2016-09-30,699.437
2016-10-31,672.958
2016-11-30,622.375
2016-12-30,649.323
2017-01-31,679.895
2017-02-28,686.663
2017-03-31,725.386
2017-04-28,755.974
2017-05-31,800.901
2017-06-30,784.887
2017-07-31,794.683
2017-08-31,788.811
2017-09-29,783.921
2017-10-31,783.896
2017-11-30,773.466
2017-12-29,786.957
2018-01-31,849.241
2018-02-28,791.21
2018-03-30,804.506
2018-04-30,814.225
2018-05-31,792.039
2018-06-29,791.449
2018-07-31,795.995
2018-08-31,780.703
2018-09-28,770.274
2018-10-31,708.547
2018-11-30,710.149
2018-12-31,670.771
2019-01-31,702.059
2019-02-28,698.524
2019-03-29,711.595
2019-04-30,729.505
2019-05-31,704.556
2019-06-28,751.599
2019-07-31,749.295
2019-08-30,732.477
2019-09-30,731.856
2019-10-31,790.137
2019-11-29,802.252
2019-12-31,826.236
2020-01-31,830.507
2020-02-28,789.838
2020-03-31,687.803
2020-04-30,749.138
2020-05-29,765.731
2020-06-30,804.902
2020-07-31,858.943
2020-08-31,904.844
2020-09-30,888.266
2020-10-30,869.465
2020-11-30,1041.141
2020-12-31,1154.054
2021-01-29,1173.924
2021-02-26,1154.189
2021-03-31,1180.111
2021-04-30,1182.148
2021-05-31,1117.366
2021-06-30,1087.202
2021-07-30,1048.386
2021-08-31,1073.325
2021-09-30,1026.509
2021-10-29,1084.486
2021-11-30,1021.455
2021-12-31,1039.269
2022-01-31,932.077
2022-02-28,962.674
2022-03-31,935.808
2022-04-29,898.739
2022-05-31,925.072
2022-06-30,846.417
2022-07-29,812.389
2022-08-31,793.15
2022-09-30,715.8
2022-10-31,758.527
2022-11-30,821.815
2022-12-30,843.187
2023-01-31,921.018
2023-02-28,898.275
2023-03-31,888.468
2023-04-28,858.347
2023-05-31,812.351
2023-06-30,862.614
2023-07-31,895.485
2023-08-31,868.419
2023-09-29,809.076
2023-10-31,760.77
2023-11-30,884.033
2023-12-29,954.847
2024-01-31,858.885
2024-02-29,807.084
2024-03-29,848.802
2024-04-30,839.817
2024-05-31,945.129
2024-06-28,876.734
2024-07-31,907.641
2024-08-30,927.678
2024-09-30,950.0
2024-10-31,929.649
2024-11-29,871.595
2024-12-31,867.037
2025-01-31,898.706
2025-02-28,917.541
2025-03-31,916.429
2025-04-30,974.638
2025-05-30,1079.118
2025-06-30,1144.736
2025-07-31,1182.815
2025-08-29,1233.071
