Date,SPAIN SMID VALUE SMID (Small+Mid Cap)
1994-05-31,75.791
1994-06-30,74.145
1994-07-29,77.2
1994-08-31,77.106
1994-09-30,73.574
1994-10-31,74.122
1994-11-30,72.192
1994-12-30,69.208
1995-01-31,67.124
1995-02-28,68.96
1995-03-31,67.663
1995-04-28,75.3
1995-05-31,78.274
1995-06-30,79.818
1995-07-31,85.34
1995-08-31,81.375
1995-09-29,81.73
1995-10-31,79.563
1995-11-30,82.951
1995-12-29,85.751
1996-01-31,84.82
1996-02-29,88.611
1996-03-29,87.321
1996-04-30,88.861
1996-05-31,88.763
1996-06-28,93.165
1996-07-31,90.511
1996-08-30,91.418
1996-09-30,92.008
1996-10-31,95.666
1996-11-29,99.073
1996-12-31,113.402
1997-01-31,109.503
1997-02-28,104.631
1997-03-31,107.414
1997-04-30,109.622
1997-05-30,119.142
1997-06-30,127.244
1997-07-31,121.266
1997-08-29,119.843
1997-09-30,133.211
1997-10-31,127.695
1997-11-28,134.06
1997-12-31,134.954
1998-01-30,142.55
1998-02-27,155.577
1998-03-31,175.752
1998-04-30,178.877
1998-05-29,177.692
1998-06-30,174.545
1998-07-31,175.061
1998-08-31,161.274
1998-09-30,164.898
1998-10-30,176.691
1998-11-30,184.987
1998-12-31,191.883
1999-01-29,187.161
1999-02-26,183.011
1999-03-31,170.249
1999-04-30,165.686
1999-05-31,163.547
1999-06-30,159.837
1999-07-30,159.782
1999-08-31,165.706
1999-09-30,164.969
1999-10-29,158.613
1999-11-30,154.465
1999-12-31,164.578
2000-01-31,148.072
2000-02-29,163.064
2000-03-31,163.368
2000-04-28,156.299
2000-05-31,152.936
2000-06-30,154.349
2000-07-31,146.422
2000-08-31,145.717
2000-09-29,144.308
2000-10-31,142.48
2000-11-30,140.001
2000-12-29,148.769
2001-01-31,161.504
2001-02-28,166.042
2001-03-30,158.332
2001-04-30,164.596
2001-05-31,160.75
2001-06-29,159.933
2001-07-31,167.541
2001-08-31,171.542
2001-09-28,155.888
2001-10-31,164.192
2001-11-30,168.786
2001-12-31,168.637
2002-01-31,167.707
2002-02-28,173.39
2002-03-29,183.05
2002-04-30,197.421
2002-05-31,207.674
2002-06-28,207.884
2002-07-31,202.422
2002-08-30,193.011
2002-09-30,176.149
2002-10-31,193.559
2002-11-29,200.751
2002-12-31,197.577
2003-01-31,203.385
2003-02-28,208.353
2003-03-31,214.153
2003-04-30,231.142
2003-05-30,254.964
2003-06-30,263.272
2003-07-31,270.59
2003-08-29,268.161
2003-09-30,282.423
2003-10-31,293.346
2003-11-28,311.997
2003-12-31,335.821
2004-01-30,352.898
2004-02-27,364.204
2004-03-31,364.378
2004-04-30,366.27
2004-05-31,364.87
2004-06-30,375.642
2004-07-30,357.951
2004-08-31,366.235
2004-09-30,389.549
2004-10-29,404.352
2004-11-30,439.396
2004-12-31,474.958
2005-01-31,495.153
2005-02-28,529.633
2005-03-31,513.759
2005-04-29,506.423
2005-05-31,521.882
2005-06-30,527.596
2005-07-29,539.733
2005-08-31,544.956
2005-09-30,554.192
2005-10-31,535.19
2005-11-30,536.831
2005-12-30,549.32
2006-01-31,601.149
2006-02-28,626.665
2006-03-31,650.888
2006-04-28,691.166
2006-05-31,666.008
2006-06-30,669.365
2006-07-31,693.372
2006-08-31,718.076
2006-09-29,760.676
2006-10-31,819.868
2006-11-30,880.995
2006-12-29,901.327
2007-01-31,958.779
2007-02-28,983.467
2007-03-30,1045.892
2007-04-30,1045.845
2007-05-31,1000.0
2007-06-29,973.558
2007-07-31,987.709
2007-08-31,942.404
2007-09-28,986.036
2007-10-31,1075.415
2007-11-30,1064.531
2007-12-31,973.069
2008-01-31,857.062
2008-02-29,890.171
2008-03-31,973.106
2008-04-30,969.936
2008-05-30,951.966
2008-06-30,831.444
2008-07-31,783.216
2008-08-29,754.855
2008-09-30,650.084
2008-10-31,533.565
2008-11-28,524.409
2008-12-31,554.157
2009-01-30,471.175
2009-02-27,417.31
2009-03-31,441.321
2009-04-30,537.814
2009-05-29,619.912
2009-06-30,602.296
2009-07-31,643.225
2009-08-31,701.459
2009-09-30,760.287
2009-10-30,686.555
2009-11-30,677.874
2009-12-31,653.537
2010-01-29,627.948
2010-02-26,573.115
2010-03-31,608.576
2010-04-30,576.609
2010-05-31,468.958
2010-06-30,472.996
2010-07-30,556.002
2010-08-31,508.535
2010-09-30,558.57
2010-10-29,574.957
2010-11-30,468.603
2010-12-31,524.898
2011-01-31,593.53
2011-02-28,612.303
2011-03-31,633.29
2011-04-29,667.807
2011-05-31,623.018
2011-06-30,605.681
2011-07-29,568.113
2011-08-31,521.936
2011-09-30,453.709
2011-10-31,496.578
2011-11-30,453.669
2011-12-30,455.713
2012-01-31,460.866
2012-02-29,452.288
2012-03-30,424.366
2012-04-30,379.758
2012-05-31,291.682
2012-06-29,338.837
2012-07-31,315.239
2012-08-31,373.981
2012-09-28,384.924
2012-10-31,379.533
2012-11-30,393.969
2012-12-31,414.164
2013-01-31,449.46
2013-02-28,426.801
2013-03-29,396.736
2013-04-30,434.925
2013-05-31,431.082
2013-06-28,412.969
2013-07-31,469.32
2013-08-30,467.118
2013-09-30,525.362
2013-10-31,565.33
2013-11-29,565.414
2013-12-31,593.17
2014-01-31,618.166
2014-02-28,660.941
2014-03-31,674.831
2014-04-30,680.035
2014-05-30,682.461
2014-06-30,703.209
2014-07-31,684.837
2014-08-29,669.812
2014-09-30,638.818
2014-10-31,617.602
2014-11-28,623.283
2014-12-31,594.964
2015-01-30,598.1
2015-02-27,634.166
2015-03-31,622.662
2015-04-30,645.121
2015-05-29,622.917
2015-06-30,610.328
2015-07-31,626.654
2015-08-31,597.479
2015-09-30,562.714
2015-10-30,608.739
2015-11-30,581.427
2015-12-31,560.568
2016-01-29,511.813
2016-02-29,506.869
2016-03-31,548.571
2016-04-29,574.302
2016-05-31,555.355
2016-06-30,516.083
2016-07-29,545.695
2016-08-31,536.359
2016-09-30,548.766
2016-10-31,539.851
2016-11-30,498.311
2016-12-30,531.954
2017-01-31,538.347
2017-02-28,536.107
2017-03-31,583.095
2017-04-28,608.047
2017-05-31,656.51
2017-06-30,621.976
2017-07-31,645.15
2017-08-31,646.035
2017-09-29,624.255
2017-10-31,634.811
2017-11-30,643.175
2017-12-29,650.285
2018-01-31,699.286
2018-02-28,658.853
2018-03-30,662.001
2018-04-30,684.722
2018-05-31,630.76
2018-06-29,642.221
2018-07-31,654.319
2018-08-31,640.865
2018-09-28,637.726
2018-10-31,572.102
2018-11-30,573.4
2018-12-31,556.887
2019-01-31,593.116
2019-02-28,598.259
2019-03-29,584.599
2019-04-30,606.438
2019-05-31,573.409
2019-06-28,578.672
2019-07-31,541.498
2019-08-30,525.574
2019-09-30,542.523
2019-10-31,566.907
2019-11-29,576.516
2019-12-31,593.62
2020-01-31,553.962
2020-02-28,518.234
2020-03-31,401.695
2020-04-30,426.626
2020-05-29,424.416
2020-06-30,444.959
2020-07-31,463.383
2020-08-31,482.918
2020-09-30,457.612
2020-10-30,433.356
2020-11-30,541.343
2020-12-31,564.807
2021-01-29,550.897
2021-02-26,595.52
2021-03-31,607.861
2021-04-30,621.656
2021-05-31,666.182
2021-06-30,625.922
2021-07-30,619.833
2021-08-31,633.744
2021-09-30,643.874
2021-10-29,643.781
2021-11-30,591.811
2021-12-31,629.257
2022-01-31,630.447
2022-02-28,638.122
2022-03-31,648.215
2022-04-29,646.813
2022-05-31,690.644
2022-06-30,630.322
2022-07-29,592.933
2022-08-31,576.333
2022-09-30,517.417
2022-10-31,569.309
2022-11-30,628.034
2022-12-30,646.543
2023-01-31,706.0
2023-02-28,699.512
2023-03-31,674.014
2023-04-28,679.292
2023-05-31,640.94
2023-06-30,685.922
2023-07-31,721.761
2023-08-31,708.61
2023-09-29,711.688
2023-10-31,683.374
2023-11-30,750.475
2023-12-29,744.816
2024-01-31,736.939
2024-02-29,734.571
2024-03-29,793.841
2024-04-30,804.019
2024-05-31,864.907
2024-06-28,827.296
2024-07-31,848.669
2024-08-30,867.29
2024-09-30,875.728
2024-10-31,823.705
2024-11-29,812.927
2024-12-31,803.303
2025-01-31,857.356
2025-02-28,924.161
2025-03-31,979.045
2025-04-30,1022.271
2025-05-30,1097.816
2025-06-30,1141.917
2025-07-31,1214.717
2025-08-29,1271.822
2025-09-30,1311.509
2025-10-31,1300.242
