Date,SPAIN Standard (Large+Mid Cap)
2001-01-01,2061.685
2001-01-02,2078.461
2001-01-03,2108.158
2001-01-04,2198.558
2001-01-05,2221.193
2001-01-08,2220.711
2001-01-09,2190.996
2001-01-10,2189.376
2001-01-11,2235.355
2001-01-12,2282.198
2001-01-15,2265.182
2001-01-16,2223.327
2001-01-17,2261.865
2001-01-18,2299.804
2001-01-19,2246.202
2001-01-22,2259.569
2001-01-23,2286.304
2001-01-24,2243.741
2001-01-25,2241.485
2001-01-26,2239.155
2001-01-29,2200.986
2001-01-30,2225.44
2001-01-31,2259.843
2001-02-01,2294.32
2001-02-02,2220.279
2001-02-05,2239.439
2001-02-06,2236.59
2001-02-07,2229.76
2001-02-08,2231.874
2001-02-09,2226.524
2001-02-12,2272.427
2001-02-13,2237.846
2001-02-14,2168.256
2001-02-15,2151.774
2001-02-16,2168.704
2001-02-19,2198.122
2001-02-20,2126.498
2001-02-21,2116.676
2001-02-22,2068.369
2001-02-23,2055.337
2001-02-26,2087.533
2001-02-27,2129.049
2001-02-28,2131.849
2001-03-01,2143.404
2001-03-02,2175.244
2001-03-05,2181.468
2001-03-06,2225.967
2001-03-07,2227.913
2001-03-08,2216.542
2001-03-09,2198.926
2001-03-12,2142.902
2001-03-13,2117.862
2001-03-14,2078.758
2001-03-15,2088.66
2001-03-16,2024.712
2001-03-19,2019.479
2001-03-20,2019.816
2001-03-21,1941.695
2001-03-22,1836.935
2001-03-23,1911.178
2001-03-26,1971.723
2001-03-27,2027.623
2001-03-28,1989.249
2001-03-29,1988.879
2001-03-30,2013.156
2001-04-02,2011.174
2001-04-03,1956.847
2001-04-04,2027.047
2001-04-05,2049.462
2001-04-06,2063.008
2001-04-09,2087.918
2001-04-10,2095.192
2001-04-11,2081.243
2001-04-12,2112.928
2001-04-13,2112.928
2001-04-16,2091.289
2001-04-17,2058.365
2001-04-18,2090.114
2001-04-19,2126.905
2001-04-20,2099.282
2001-04-23,2029.771
2001-04-24,2052.29
2001-04-25,2044.114
2001-04-26,2095.045
2001-04-27,2098.134
2001-04-30,2112.748
2001-05-01,2123.948
2001-05-02,2094.037
2001-05-03,2067.495
2001-05-04,2081.282
2001-05-07,2081.894
2001-05-08,2081.292
2001-05-09,2079.042
2001-05-10,2108.02
2001-05-11,2071.078
2001-05-14,2049.738
2001-05-15,2077.938
2001-05-16,2074.481
2001-05-17,2080.528
2001-05-18,2083.341
2001-05-21,2068.87
2001-05-22,2039.536
2001-05-23,2024.435
2001-05-24,2014.519
2001-05-25,1981.895
2001-05-28,2007.107
2001-05-29,1980.818
2001-05-30,1977.989
2001-05-31,1970.445
2001-06-01,1946.465
2001-06-04,1982.996
2001-06-05,1990.663
2001-06-06,1973.682
2001-06-07,1974.335
2001-06-08,1989.713
2001-06-11,1973.794
2001-06-12,1959.013
2001-06-13,1981.069
2001-06-14,1990.949
2001-06-15,1977.445
2001-06-18,1900.963
2001-06-19,1896.355
2001-06-20,1878.316
2001-06-21,1857.662
2001-06-22,1860.16
2001-06-25,1882.463
2001-06-26,1849.216
2001-06-27,1836.325
2001-06-28,1826.541
2001-06-29,1831.187
2001-07-02,1876.636
2001-07-03,1866.525
2001-07-04,1838.509
2001-07-05,1802.596
2001-07-06,1759.454
2001-07-09,1770.515
2001-07-10,1774.937
2001-07-11,1744.43
2001-07-12,1706.853
2001-07-13,1738.849
2001-07-16,1743.096
2001-07-17,1750.887
2001-07-18,1759.852
2001-07-19,1787.492
2001-07-20,1783.15
2001-07-23,1790.151
2001-07-24,1800.269
2001-07-25,1765.172
2001-07-26,1778.363
2001-07-27,1767.063
2001-07-30,1810.538
2001-07-31,1826.662
2001-08-01,1849.529
2001-08-02,1861.785
2001-08-03,1856.109
2001-08-06,1859.953
2001-08-07,1840.186
2001-08-08,1812.823
2001-08-09,1805.337
2001-08-10,1797.167
2001-08-13,1837.36
2001-08-14,1861.542
2001-08-15,1889.961
2001-08-16,1864.719
2001-08-17,1840.371
2001-08-20,1827.566
2001-08-21,1829.552
2001-08-22,1871.337
2001-08-23,1881.148
2001-08-24,1911.57
2001-08-27,1900.16
2001-08-28,1866.13
2001-08-29,1881.446
2001-08-30,1839.581
2001-08-31,1858.235
2001-09-03,1819.152
2001-09-04,1819.417
2001-09-05,1778.417
2001-09-06,1738.259
2001-09-07,1721.541
2001-09-10,1704.135
2001-09-11,1655.269
2001-09-12,1648.034
2001-09-13,1653.069
2001-09-14,1578.156
2001-09-17,1619.549
2001-09-18,1616.844
2001-09-19,1606.89
2001-09-20,1557.541
2001-09-21,1486.573
2001-09-24,1567.143
2001-09-25,1598.286
2001-09-26,1602.925
2001-09-27,1639.828
2001-09-28,1646.731
2001-10-01,1626.828
2001-10-02,1658.123
2001-10-03,1649.892
2001-10-04,1685.222
2001-10-05,1627.074
2001-10-08,1632.625
2001-10-09,1649.593
2001-10-10,1694.728
2001-10-11,1678.251
2001-10-12,1685.694
2001-10-15,1679.385
2001-10-16,1714.314
2001-10-17,1768.415
2001-10-18,1733.978
2001-10-19,1678.329
2001-10-22,1707.514
2001-10-23,1740.142
2001-10-24,1781.774
2001-10-25,1744.708
2001-10-26,1749.87
2001-10-29,1735.295
2001-10-30,1693.857
2001-10-31,1722.36
2001-11-01,1733.793
2001-11-02,1712.049
2001-11-05,1752.33
2001-11-06,1773.876
2001-11-07,1800.151
2001-11-08,1836.693
2001-11-09,1806.511
2001-11-12,1774.167
2001-11-13,1815.816
2001-11-14,1835.719
2001-11-15,1836.947
2001-11-16,1850.607
2001-11-19,1864.752
2001-11-20,1841.303
2001-11-21,1805.766
2001-11-22,1823.886
2001-11-23,1826.759
2001-11-26,1834.961
2001-11-27,1815.645
2001-11-28,1806.732
2001-11-29,1795.331
2001-11-30,1837.37
2001-12-03,1813.15
2001-12-04,1859.748
2001-12-05,1924.042
2001-12-06,1930.649
2001-12-07,1902.217
2001-12-10,1864.26
2001-12-11,1880.445
2001-12-12,1872.26
2001-12-13,1831.443
2001-12-14,1832.619
2001-12-17,1893.98
2001-12-18,1872.867
2001-12-19,1829.762
2001-12-20,1806.79
2001-12-21,1797.265
2001-12-24,1779.332
2001-12-25,1779.332
2001-12-26,1780.851
2001-12-27,1832.414
2001-12-28,1817.018
2001-12-31,1834.739
2002-01-01,1834.739
2002-01-02,1863.812
2002-01-03,1892.898
2002-01-04,1857.514
2002-01-07,1786.065
2002-01-08,1785.126
2002-01-09,1753.151
2002-01-10,1733.916
2002-01-11,1743.492
2002-01-14,1707.166
2002-01-15,1739.074
2002-01-16,1687.114
2002-01-17,1718.691
2002-01-18,1730.289
2002-01-21,1706.487
2002-01-22,1735.972
2002-01-23,1749.18
2002-01-24,1767.661
2002-01-25,1733.592
2002-01-28,1744.684
2002-01-29,1723.631
2002-01-30,1690.56
2002-01-31,1697.943
2002-02-01,1723.384
2002-02-04,1698.692
2002-02-05,1663.154
2002-02-06,1632.249
2002-02-07,1673.718
2002-02-08,1670.585
2002-02-11,1678.341
2002-02-12,1668.465
2002-02-13,1676.432
2002-02-14,1704.784
2002-02-15,1686.84
2002-02-18,1663.267
2002-02-19,1643.658
2002-02-20,1642.351
2002-02-21,1642.65
2002-02-22,1639.278
2002-02-25,1653.062
2002-02-26,1665.115
2002-02-27,1712.083
2002-02-28,1722.046
2002-03-01,1744.116
2002-03-04,1787.998
2002-03-05,1773.597
2002-03-06,1788.12
2002-03-07,1813.502
2002-03-08,1797.925
2002-03-11,1782.978
2002-03-12,1759.463
2002-03-13,1760.063
2002-03-14,1784.192
2002-03-15,1801.489
2002-03-18,1812.716
2002-03-19,1833.336
2002-03-20,1819.489
2002-03-21,1800.62
2002-03-22,1799.401
2002-03-25,1754.308
2002-03-26,1741.832
2002-03-27,1739.741
2002-03-28,1758.147
2002-03-29,1758.147
2002-04-01,1772.556
2002-04-02,1765.989
2002-04-03,1777.161
2002-04-04,1765.981
2002-04-05,1760.446
2002-04-08,1710.252
2002-04-09,1726.43
2002-04-10,1749.089
2002-04-11,1731.235
2002-04-12,1733.376
2002-04-15,1755.427
2002-04-16,1815.395
2002-04-17,1836.48
2002-04-18,1829.872
2002-04-19,1843.312
2002-04-22,1829.891
2002-04-23,1829.646
2002-04-24,1826.205
2002-04-25,1802.756
2002-04-26,1806.505
2002-04-29,1802.707
2002-04-30,1807.514
2002-05-01,1817.744
2002-05-02,1789.302
2002-05-03,1803.609
2002-05-06,1791.575
2002-05-07,1776.979
2002-05-08,1811.031
2002-05-09,1798.803
2002-05-10,1772.527
2002-05-13,1790.898
2002-05-14,1797.088
2002-05-15,1823.152
2002-05-16,1806.813
2002-05-17,1833.448
2002-05-20,1814.796
2002-05-21,1795.084
2002-05-22,1787.875
2002-05-23,1786.853
2002-05-24,1800.109
2002-05-27,1806.421
2002-05-28,1807.919
2002-05-29,1816.908
2002-05-30,1804.553
2002-05-31,1815.727
2002-06-03,1811.576
2002-06-04,1764.659
2002-06-05,1741.752
2002-06-06,1744.213
2002-06-07,1720.881
2002-06-10,1720.024
2002-06-11,1731.376
2002-06-12,1696.087
2002-06-13,1671.822
2002-06-14,1637.064
2002-06-17,1678.687
2002-06-18,1693.484
2002-06-19,1671.339
2002-06-20,1651.653
2002-06-21,1625.174
2002-06-24,1572.021
2002-06-25,1589.794
2002-06-26,1600.357
2002-06-27,1591.347
2002-06-28,1649.614
2002-07-01,1651.638
2002-07-02,1601.733
2002-07-03,1565.714
2002-07-04,1586.323
2002-07-05,1681.088
2002-07-08,1720.318
2002-07-09,1691.972
2002-07-10,1651.094
2002-07-11,1602.297
2002-07-12,1622.684
2002-07-15,1570.185
2002-07-16,1579.85
2002-07-17,1640.641
2002-07-18,1662.792
2002-07-19,1586.804
2002-07-22,1531.829
2002-07-23,1487.225
2002-07-24,1451.154
2002-07-25,1546.159
2002-07-26,1524.251
2002-07-29,1592.968
2002-07-30,1512.172
2002-07-31,1476.909
2002-08-01,1437.733
2002-08-02,1459.418
2002-08-05,1420.918
2002-08-06,1442.973
2002-08-07,1433.415
2002-08-08,1514.526
2002-08-09,1522.585
2002-08-12,1483.005
2002-08-13,1493.912
2002-08-14,1462.481
2002-08-15,1451.588
2002-08-16,1514.706
2002-08-19,1570.266
2002-08-20,1543.99
2002-08-21,1566.062
2002-08-22,1589.524
2002-08-23,1567.752
2002-08-26,1551.338
2002-08-27,1610.25
2002-08-28,1552.972
2002-08-29,1532.934
2002-08-30,1543.224
2002-09-02,1524.253
2002-09-03,1492.406
2002-09-04,1494.132
2002-09-05,1471.122
2002-09-06,1508.883
2002-09-09,1470.438
2002-09-10,1498.274
2002-09-11,1546.595
2002-09-12,1490.629
2002-09-13,1466.696
2002-09-16,1441.045
2002-09-17,1436.932
2002-09-18,1404.619
2002-09-19,1391.514
2002-09-20,1372.738
2002-09-23,1326.571
2002-09-24,1276.2
2002-09-25,1287.091
2002-09-26,1346.329
2002-09-27,1328.979
2002-09-30,1293.435
2002-10-01,1274.633
2002-10-02,1336.332
2002-10-03,1326.057
2002-10-04,1303.373
2002-10-07,1295.69
2002-10-08,1286.883
2002-10-09,1277.905
2002-10-10,1298.57
2002-10-11,1350.489
2002-10-14,1334.579
2002-10-15,1405.087
2002-10-16,1399.528
2002-10-17,1424.17
2002-10-18,1418.655
2002-10-21,1428.927
2002-10-22,1437.062
2002-10-23,1395.267
2002-10-24,1436.237
2002-10-25,1450.11
2002-10-28,1478.744
2002-10-29,1443.087
2002-10-30,1450.328
2002-10-31,1485.34
2002-11-01,1494.564
2002-11-04,1554.993
2002-11-05,1565.787
2002-11-06,1546.032
2002-11-07,1509.842
2002-11-08,1504.125
2002-11-11,1499.035
2002-11-12,1516.389
2002-11-13,1511.004
2002-11-14,1543.039
2002-11-15,1543.176
2002-11-18,1572.445
2002-11-19,1561.347
2002-11-20,1539.953
2002-11-21,1596.143
2002-11-22,1606.21
2002-11-25,1604.015
2002-11-26,1576.125
2002-11-27,1629.181
2002-11-28,1638.811
2002-11-29,1636.203
2002-12-02,1652.516
2002-12-03,1618.626
2002-12-04,1601.55
2002-12-05,1580.182
2002-12-06,1591.79
2002-12-09,1554.832
2002-12-10,1568.444
2002-12-11,1577.974
2002-12-12,1557.282
2002-12-13,1534.143
2002-12-16,1581.107
2002-12-17,1585.105
2002-12-18,1551.394
2002-12-19,1551.669
2002-12-20,1567.025
2002-12-23,1577.474
2002-12-24,1584.003
2002-12-25,1584.003
2002-12-26,1587.998
2002-12-27,1557.327
2002-12-30,1554.685
2002-12-31,1560.783
2003-01-01,1560.783
2003-01-02,1611.824
2003-01-03,1605.767
2003-01-06,1615.633
2003-01-07,1642.499
2003-01-08,1646.319
2003-01-09,1675.43
2003-01-10,1689.585
2003-01-13,1721.431
2003-01-14,1742.363
2003-01-15,1736.517
2003-01-16,1747.28
2003-01-17,1713.724
2003-01-20,1699.04
2003-01-21,1688.516
2003-01-22,1667.786
2003-01-23,1691.744
2003-01-24,1686.968
2003-01-27,1620.273
2003-01-28,1601.881
2003-01-29,1600.587
2003-01-30,1604.486
2003-01-31,1579.736
2003-02-03,1601.96
2003-02-04,1578.474
2003-02-05,1611.912
2003-02-06,1577.598
2003-02-07,1554.047
2003-02-10,1541.52
2003-02-11,1572.676
2003-02-12,1551.917
2003-02-13,1557.192
2003-02-14,1597.102
2003-02-17,1619.796
2003-02-18,1635.595
2003-02-19,1607.958
2003-02-20,1604.888
2003-02-21,1621.63
2003-02-24,1587.991
2003-02-25,1542.321
2003-02-26,1541.828
2003-02-27,1565.315
2003-02-28,1601.893
2003-03-03,1606.616
2003-03-04,1581.429
2003-03-05,1594.093
2003-03-06,1575.333
2003-03-07,1553.647
2003-03-10,1515.288
2003-03-11,1526.985
2003-03-12,1476.881
2003-03-13,1523.508
2003-03-14,1573.276
2003-03-17,1608.931
2003-03-18,1607.087
2003-03-19,1622.332
2003-03-20,1608.872
2003-03-21,1645.241
2003-03-24,1594.614
2003-03-25,1632.06
2003-03-26,1632.175
