Date,SPAIN GROWTH Standard (Large+Mid Cap)
2001-01-01,623.294
2001-01-02,622.17
2001-01-03,628.019
2001-01-04,671.509
2001-01-05,682.862
2001-01-08,678.52
2001-01-09,666.414
2001-01-10,667.169
2001-01-11,685.381
2001-01-12,708.353
2001-01-15,704.383
2001-01-16,687.664
2001-01-17,712.703
2001-01-18,721.99
2001-01-19,702.19
2001-01-22,707.725
2001-01-23,718.71
2001-01-24,707.43
2001-01-25,701.141
2001-01-26,698.236
2001-01-29,685.642
2001-01-30,688.009
2001-01-31,697.78
2001-02-01,706.404
2001-02-02,679.826
2001-02-05,685.07
2001-02-06,680.23
2001-02-07,675.868
2001-02-08,673.857
2001-02-09,666.878
2001-02-12,680.32
2001-02-13,666.272
2001-02-14,632.413
2001-02-15,636.25
2001-02-16,644.909
2001-02-19,654.311
2001-02-20,628.173
2001-02-21,621.967
2001-02-22,605.343
2001-02-23,601.914
2001-02-26,618.079
2001-02-27,634.188
2001-02-28,635.48
2001-03-01,640.902
2001-03-02,655.674
2001-03-05,663.185
2001-03-06,680.017
2001-03-07,677.574
2001-03-08,666.553
2001-03-09,658.649
2001-03-12,635.557
2001-03-13,630.866
2001-03-14,618.66
2001-03-15,620.677
2001-03-16,600.356
2001-03-19,599.71
2001-03-20,594.316
2001-03-21,564.643
2001-03-22,527.362
2001-03-23,553.467
2001-03-26,581.028
2001-03-27,601.813
2001-03-28,585.548
2001-03-29,587.197
2001-03-30,594.03
2001-04-02,593.127
2001-04-03,571.299
2001-04-04,595.013
2001-04-05,606.364
2001-04-06,609.883
2001-04-09,618.525
2001-04-10,629.56
2001-04-11,629.376
2001-04-12,636.891
2001-04-13,636.891
2001-04-16,630.369
2001-04-17,617.558
2001-04-18,632.872
2001-04-19,649.444
2001-04-20,634.775
2001-04-23,600.898
2001-04-24,607.138
2001-04-25,602.67
2001-04-26,622.872
2001-04-27,626.571
2001-04-30,631.986
2001-05-01,635.336
2001-05-02,626.762
2001-05-03,615.302
2001-05-04,622.78
2001-05-07,621.824
2001-05-08,623.438
2001-05-09,622.038
2001-05-10,631.193
2001-05-11,616.256
2001-05-14,605.942
2001-05-15,619.623
2001-05-16,612.501
2001-05-17,612.945
2001-05-18,610.668
2001-05-21,609.138
2001-05-22,602.487
2001-05-23,597.819
2001-05-24,591.826
2001-05-25,580.521
2001-05-28,589.568
2001-05-29,579.955
2001-05-30,573.276
2001-05-31,573.078
2001-06-01,562.121
2001-06-04,576.932
2001-06-05,578.281
2001-06-06,571.13
2001-06-07,570.568
2001-06-08,576.351
2001-06-11,571.705
2001-06-12,564.355
2001-06-13,571.188
2001-06-14,573.016
2001-06-15,563.69
2001-06-18,528.257
2001-06-19,526.826
2001-06-20,521.193
2001-06-21,515.011
2001-06-22,517.633
2001-06-25,525.347
2001-06-26,512.785
2001-06-27,508.601
2001-06-28,508.561
2001-06-29,507.2
2001-07-02,526.4
2001-07-03,523.015
2001-07-04,510.736
2001-07-05,498.734
2001-07-06,478.719
2001-07-09,481.963
2001-07-10,486.902
2001-07-11,471.527
2001-07-12,457.878
2001-07-13,466.489
2001-07-16,467.151
2001-07-17,470.601
2001-07-18,468.234
2001-07-19,483.089
2001-07-20,483.175
2001-07-23,483.226
2001-07-24,483.062
2001-07-25,470.892
2001-07-26,478.041
2001-07-27,474.653
2001-07-30,492.335
2001-07-31,497.902
2001-08-01,504.943
2001-08-02,508.867
2001-08-03,507.71
2001-08-06,509.005
2001-08-07,501.544
2001-08-08,489.333
2001-08-09,482.881
2001-08-10,475.533
2001-08-13,493.111
2001-08-14,502.474
2001-08-15,510.145
2001-08-16,501.989
2001-08-17,491.238
2001-08-20,487.124
2001-08-21,484.6
2001-08-22,495.589
2001-08-23,500.897
2001-08-24,514.892
2001-08-27,512.162
2001-08-28,498.868
2001-08-29,505.191
2001-08-30,489.92
2001-08-31,492.271
2001-09-03,477.407
2001-09-04,481.592
2001-09-05,465.036
2001-09-06,446.964
2001-09-07,436.801
2001-09-10,435.315
2001-09-11,417.431
2001-09-12,419.316
2001-09-13,422.178
2001-09-14,392.648
2001-09-17,419.596
2001-09-18,418.369
2001-09-19,418.256
2001-09-20,408.495
2001-09-21,395.238
2001-09-24,421.059
2001-09-25,430.805
2001-09-26,432.07
2001-09-27,442.873
2001-09-28,445.514
2001-10-01,437.364
2001-10-02,443.999
2001-10-03,439.718
2001-10-04,450.108
2001-10-05,429.441
2001-10-08,431.748
2001-10-09,440.663
2001-10-10,452.861
2001-10-11,449.68
2001-10-12,451.675
2001-10-15,453.22
2001-10-16,464.608
2001-10-17,486.528
2001-10-18,474.054
2001-10-19,456.134
2001-10-22,467.94
2001-10-23,479.992
2001-10-24,498.827
2001-10-25,486.516
2001-10-26,489.289
2001-10-29,478.706
2001-10-30,458.969
2001-10-31,470.848
2001-11-01,472.79
2001-11-02,466.363
2001-11-05,486.191
2001-11-06,497.148
2001-11-07,509.517
2001-11-08,525.976
2001-11-09,514.49
2001-11-12,502.121
2001-11-13,524.868
2001-11-14,534.528
2001-11-15,539.597
2001-11-16,545.426
2001-11-19,548.222
2001-11-20,535.478
2001-11-21,521.23
2001-11-22,526.356
2001-11-23,526.976
2001-11-26,532.327
2001-11-27,524.015
2001-11-28,518.975
2001-11-29,512.466
2001-11-30,524.167
2001-12-03,516.054
2001-12-04,530.343
2001-12-05,551.092
2001-12-06,552.985
2001-12-07,545.3
2001-12-10,533.851
2001-12-11,537.654
2001-12-12,534.071
2001-12-13,521.908
2001-12-14,521.668
2001-12-17,538.916
2001-12-18,534.341
2001-12-19,519.61
2001-12-20,512.743
2001-12-21,510.315
2001-12-24,505.223
2001-12-25,505.223
2001-12-26,505.655
2001-12-27,519.836
2001-12-28,513.374
2001-12-31,518.381
2002-01-01,518.381
2002-01-02,527.276
2002-01-03,538.932
2002-01-04,531.851
2002-01-07,510.988
2002-01-08,511.411
2002-01-09,503.796
2002-01-10,493.918
2002-01-11,497.047
2002-01-14,486.307
2002-01-15,495.054
2002-01-16,479.018
2002-01-17,488.325
2002-01-18,493.109
2002-01-21,486.981
2002-01-22,494.549
2002-01-23,498.488
2002-01-24,507.629
2002-01-25,494.666
2002-01-28,498.197
2002-01-29,491.628
2002-01-30,479.64
2002-01-31,481.955
2002-02-01,489.112
2002-02-04,483.209
2002-02-05,472.422
2002-02-06,460.85
2002-02-07,472.535
2002-02-08,472.586
2002-02-11,476.388
2002-02-12,473.438
2002-02-13,475.557
2002-02-14,482.855
2002-02-15,475.778
2002-02-18,468.582
2002-02-19,462.824
2002-02-20,462.485
2002-02-21,462.563
2002-02-22,461.092
2002-02-25,463.931
2002-02-26,468.098
2002-02-27,482.152
2002-02-28,486.521
2002-03-01,492.676
2002-03-04,506.38
2002-03-05,502.393
2002-03-06,506.422
2002-03-07,512.373
2002-03-08,505.253
2002-03-11,499.116
2002-03-12,491.852
2002-03-13,490.647
2002-03-14,499.279
2002-03-15,504.359
2002-03-18,507.542
2002-03-19,513.456
2002-03-20,510.587
2002-03-21,505.841
2002-03-22,505.151
2002-03-25,492.159
2002-03-26,489.704
2002-03-27,489.527
2002-03-28,493.317
2002-03-29,493.317
2002-04-01,497.36
2002-04-02,492.869
2002-04-03,495.434
2002-04-04,491.597
2002-04-05,492.998
2002-04-08,480.692
2002-04-09,485.701
2002-04-10,490.606
2002-04-11,485.117
2002-04-12,486.091
2002-04-15,492.699
2002-04-16,511.632
2002-04-17,518.759
2002-04-18,515.118
2002-04-19,520.295
2002-04-22,518.12
2002-04-23,518.943
2002-04-24,517.997
2002-04-25,510.303
2002-04-26,511.94
2002-04-29,512.779
2002-04-30,512.74
2002-05-01,515.642
2002-05-02,502.051
2002-05-03,504.402
2002-05-06,501.472
2002-05-07,496.38
2002-05-08,504.901
2002-05-09,502.594
2002-05-10,493.481
2002-05-13,499.785
2002-05-14,503.081
2002-05-15,509.053
2002-05-16,506.009
2002-05-17,513.122
2002-05-20,508.31
2002-05-21,501.385
2002-05-22,499.013
2002-05-23,498.008
2002-05-24,501.005
2002-05-27,502.956
2002-05-28,504.414
2002-05-29,506.18
2002-05-30,502.869
2002-05-31,510.238
2002-06-03,509.575
2002-06-04,497.462
2002-06-05,491.213
2002-06-06,496.593
2002-06-07,490.582
2002-06-10,489.067
2002-06-11,491.134
2002-06-12,483.097
2002-06-13,480.103
2002-06-14,467.614
2002-06-17,478.346
2002-06-18,481.584
2002-06-19,475.383
2002-06-20,469.241
2002-06-21,461.535
2002-06-24,448.679
2002-06-25,454.982
2002-06-26,459.225
2002-06-27,455.404
2002-06-28,470.025
2002-07-01,469.466
2002-07-02,456.238
2002-07-03,447.059
2002-07-04,456.574
2002-07-05,482.31
2002-07-08,495.212
2002-07-09,484.814
2002-07-10,469.017
2002-07-11,453.693
2002-07-12,454.493
2002-07-15,436.888
2002-07-16,434.182
2002-07-17,450.103
2002-07-18,458.148
2002-07-19,434.985
2002-07-22,418.646
2002-07-23,408.371
2002-07-24,400.958
2002-07-25,417.684
2002-07-26,405.164
2002-07-29,429.991
2002-07-30,405.614
2002-07-31,394.488
2002-08-01,381.328
2002-08-02,386.746
2002-08-05,372.231
2002-08-06,385.574
2002-08-07,380.467
2002-08-08,403.238
2002-08-09,403.51
2002-08-12,390.648
2002-08-13,396.811
2002-08-14,386.033
2002-08-15,383.158
2002-08-16,404.152
2002-08-19,419.408
2002-08-20,411.245
2002-08-21,420.284
2002-08-22,428.819
2002-08-23,420.827
2002-08-26,415.215
2002-08-27,436.932
2002-08-28,418.652
2002-08-29,411.917
2002-08-30,415.707
2002-09-02,411.308
2002-09-03,399.689
2002-09-04,399.748
2002-09-05,393.961
2002-09-06,403.558
2002-09-09,392.948
2002-09-10,401.931
2002-09-11,419.173
2002-09-12,400.069
2002-09-13,394.203
2002-09-16,387.646
2002-09-17,388.556
2002-09-18,380.461
2002-09-19,374.995
2002-09-20,365.755
2002-09-23,351.364
2002-09-24,336.115
2002-09-25,337.063
2002-09-26,355.094
2002-09-27,350.71
2002-09-30,341.967
2002-10-01,336.611
2002-10-02,353.937
2002-10-03,349.421
2002-10-04,339.713
2002-10-07,334.466
2002-10-08,331.335
2002-10-09,331.577
2002-10-10,343.777
2002-10-11,360.117
2002-10-14,355.225
2002-10-15,377.22
2002-10-16,374.176
2002-10-17,388.161
2002-10-18,382.731
2002-10-21,386.027
2002-10-22,388.386
2002-10-23,376.11
2002-10-24,387.224
2002-10-25,392.398
2002-10-28,401.998
2002-10-29,390.826
2002-10-30,387.775
2002-10-31,398.416
2002-11-01,400.89
2002-11-04,418.842
2002-11-05,425.756
2002-11-06,421.593
2002-11-07,407.861
2002-11-08,406.354
2002-11-11,405.89
2002-11-12,406.554
2002-11-13,402.54
2002-11-14,409.948
2002-11-15,410.155
2002-11-18,419.538
2002-11-19,417.84
2002-11-20,413.739
2002-11-21,428.357
2002-11-22,431.115
2002-11-25,431.773
2002-11-26,423.591
2002-11-27,440.247
2002-11-28,441.589
2002-11-29,442.247
2002-12-02,444.843
2002-12-03,433.968
2002-12-04,430.914
2002-12-05,423.242
2002-12-06,426.351
2002-12-09,416.249
2002-12-10,419.779
2002-12-11,419.577
2002-12-12,414.872
2002-12-13,411.471
2002-12-16,420.117
2002-12-17,421.174
2002-12-18,412.875
2002-12-19,416.046
2002-12-20,419.419
2002-12-23,420.466
2002-12-24,422.206
2002-12-25,422.206
2002-12-26,423.271
2002-12-27,412.391
2002-12-30,408.411
2002-12-31,410.013
2003-01-01,410.013
2003-01-02,424.722
2003-01-03,425.244
2003-01-06,427.857
2003-01-07,438.031
2003-01-08,438.239
2003-01-09,447.112
2003-01-10,451.689
2003-01-13,461.446
2003-01-14,465.244
2003-01-15,461.593
2003-01-16,467.315
2003-01-17,458.108
2003-01-20,455.175
2003-01-21,453.988
2003-01-22,450.195
2003-01-23,456.364
2003-01-24,454.913
2003-01-27,435.95
2003-01-28,430.672
2003-01-29,429.166
2003-01-30,428.485
2003-01-31,420.24
2003-02-03,426.137
2003-02-04,419.179
2003-02-05,427.479
2003-02-06,417.292
2003-02-07,411.231
2003-02-10,408.461
2003-02-11,416.749
2003-02-12,411.183
2003-02-13,412.073
2003-02-14,423.564
2003-02-17,429.031
2003-02-18,432.308
2003-02-19,425.606
2003-02-20,423.811
2003-02-21,429.24
2003-02-24,420.608
2003-02-25,407.485
2003-02-26,408.542
2003-02-27,412.916
