Date,SPAIN VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,97.359
1975-02-28,95.906
1975-03-31,91.37
1975-04-30,98.31
1975-05-30,92.723
1975-06-30,91.783
1975-07-31,87.029
1975-08-29,87.542
1975-09-30,84.583
1975-10-31,90.844
1975-11-28,100.15
1975-12-31,97.84
1976-01-30,88.017
1976-02-27,74.909
1976-03-31,76.45
1976-04-30,76.072
1976-05-31,72.307
1976-06-30,66.914
1976-07-30,66.441
1976-08-31,66.515
1976-09-30,70.523
1976-10-29,68.248
1976-11-30,65.124
1976-12-31,62.984
1977-01-31,57.725
1977-02-28,61.403
1977-03-31,58.121
1977-04-29,59.555
1977-05-31,58.606
1977-06-30,58.634
1977-07-29,44.64
1977-08-31,46.03
1977-09-30,42.566
1977-10-31,42.776
1977-11-30,41.876
1977-12-30,46.175
1978-01-31,44.568
1978-02-28,44.618
1978-03-31,45.458
1978-04-28,45.783
1978-05-31,48.015
1978-06-30,50.493
1978-07-31,51.54
1978-08-31,52.575
1978-09-29,51.668
1978-10-31,54.974
1978-11-30,48.793
1978-12-29,49.231
1979-01-31,48.013
1979-02-28,51.313
1979-03-30,58.765
1979-04-30,55.283
1979-05-31,55.893
1979-06-29,58.381
1979-07-31,55.529
1979-08-31,55.486
1979-09-28,53.456
1979-10-31,54.353
1979-11-30,53.553
1979-12-31,56.894
1980-01-31,55.801
1980-02-29,56.095
1980-03-31,52.083
1980-04-30,53.623
1980-05-30,56.111
1980-06-30,62.655
1980-07-31,59.296
1980-08-29,60.406
1980-09-30,62.406
1980-10-31,60.932
1980-11-28,57.244
1980-12-31,60.327
1981-01-30,55.869
1981-02-27,54.911
1981-03-31,55.706
1981-04-30,55.434
1981-05-29,58.802
1981-06-30,68.686
1981-07-31,60.253
1981-08-31,66.809
1981-09-30,65.944
1981-10-30,65.524
1981-11-30,68.531
1981-12-31,65.353
1982-01-29,61.507
1982-02-26,59.985
1982-03-31,57.623
1982-04-30,61.699
1982-05-31,60.469
1982-06-30,56.037
1982-07-30,54.222
1982-08-31,50.427
1982-09-30,48.034
1982-10-29,50.496
1982-11-30,52.194
1982-12-31,49.501
1983-01-31,46.886
1983-02-28,48.147
1983-03-31,50.32
1983-04-29,52.071
1983-05-31,57.645
1983-06-30,55.685
1983-07-29,52.54
1983-08-31,50.405
1983-09-30,52.292
1983-10-31,56.874
1983-11-30,55.937
1983-12-30,46.593
1984-01-31,49.343
1984-02-29,60.747
1984-03-30,62.9
1984-04-30,61.355
1984-05-31,63.543
1984-06-29,64.663
1984-07-31,68.639
1984-08-31,73.483
1984-09-28,80.788
1984-10-31,77.543
1984-11-30,80.587
1984-12-31,81.91
1985-01-31,103.448
1985-02-28,95.695
1985-03-29,104.703
1985-04-30,100.285
1985-05-31,100.853
1985-06-28,97.155
1985-07-31,104.895
1985-08-30,104.471
1985-09-30,107.84
1985-10-31,117.993
1985-11-29,126.966
1985-12-31,131.179
1986-01-31,138.119
1986-02-28,175.04
1986-03-31,200.553
1986-04-30,235.809
1986-05-30,234.649
1986-06-30,227.209
1986-07-31,226.052
1986-08-29,247.856
1986-09-30,246.68
1986-10-31,214.629
1986-11-28,225.22
1986-12-31,233.426
1987-01-30,234.007
1987-02-27,232.425
1987-03-31,211.332
1987-04-30,205.677
1987-05-29,219.614
1987-06-30,249.692
1987-07-31,295.984
1987-08-31,340.462
1987-09-30,322.946
1987-10-30,254.986
1987-11-30,280.671
1987-12-31,294.599
1988-01-29,309.301
1988-02-29,312.745
1988-03-31,347.676
1988-04-29,344.886
1988-05-31,342.511
1988-06-30,348.145
1988-07-29,335.712
1988-08-31,315.724
1988-09-30,314.446
1988-10-31,335.634
1988-11-30,330.012
1988-12-30,326.451
1989-01-31,332.768
1989-02-28,321.067
1989-03-31,326.73
1989-04-28,349.914
1989-05-31,341.903
1989-06-30,342.359
1989-07-31,357.129
1989-08-31,363.555
1989-09-29,389.086
1989-10-31,372.843
1989-11-30,372.802
1989-12-29,389.966
1990-01-31,376.742
1990-02-28,370.209
1990-03-30,347.32
1990-04-30,385.706
1990-05-31,400.866
1990-06-29,437.317
1990-07-31,450.489
1990-08-31,396.831
1990-09-28,339.766
1990-10-31,377.907
1990-11-30,375.147
1990-12-31,374.536
1991-01-31,395.272
1991-02-28,444.946
1991-03-29,439.456
1991-04-30,418.091
1991-05-31,441.032
1991-06-28,399.837
1991-07-31,398.85
1991-08-30,413.985
1991-09-30,448.173
1991-10-31,453.178
1991-11-29,430.826
1991-12-31,468.377
1992-01-31,453.022
1992-02-28,473.429
1992-03-31,446.57
1992-04-30,432.829
1992-05-29,485.66
1992-06-30,447.907
1992-07-31,423.994
1992-08-31,414.997
1992-09-30,368.123
1992-10-30,336.893
1992-11-30,355.295
1992-12-31,353.66
1993-01-29,399.342
1993-02-26,391.098
1993-03-31,418.275
1993-04-30,414.761
1993-05-31,407.114
1993-06-30,404.01
1993-07-30,372.993
1993-08-31,456.898
1993-09-30,448.459
1993-10-29,467.538
1993-11-30,413.642
1993-12-31,450.808
1994-01-31,499.162
1994-02-28,469.286
1994-03-31,439.967
1994-04-29,468.613
1994-05-31,472.426
1994-06-30,452.367
1994-07-29,478.879
1994-08-31,471.391
1994-09-30,464.629
1994-10-31,475.024
1994-11-30,466.289
1994-12-30,439.465
1995-01-31,438.528
1995-02-28,447.442
1995-03-31,437.21
1995-04-28,459.298
1995-05-31,487.756
1995-06-30,492.622
1995-07-31,526.736
1995-08-31,512.657
1995-09-29,513.846
1995-10-31,494.259
1995-11-30,535.872
1995-12-29,560.965
1996-01-31,578.522
1996-02-29,625.752
1996-03-29,604.919
1996-04-30,636.291
1996-05-31,643.166
1996-06-28,665.745
1996-07-31,631.816
1996-08-30,656.738
1996-09-30,674.747
1996-10-31,704.25
1996-11-29,756.137
1996-12-31,856.398
1997-01-31,824.418
1997-02-28,806.56
1997-03-31,836.461
1997-04-30,888.109
1997-05-30,985.099
1997-06-30,1040.553
1997-07-31,973.773
1997-08-29,950.266
1997-09-30,1093.345
1997-10-31,1008.771
1997-11-28,1067.741
1997-12-31,1091.214
1998-01-30,1197.576
1998-02-27,1276.731
1998-03-31,1484.401
1998-04-30,1500.585
1998-05-29,1541.477
1998-06-30,1539.4
1998-07-31,1569.915
1998-08-31,1306.083
1998-09-30,1350.929
1998-10-30,1540.451
1998-11-30,1616.242
1998-12-31,1651.733
1999-01-29,1654.456
1999-02-26,1601.518
1999-03-31,1503.874
1999-04-30,1517.842
1999-05-31,1549.773
1999-06-30,1581.974
1999-07-30,1553.284
1999-08-31,1571.312
1999-09-30,1545.348
1999-10-29,1574.138
1999-11-30,1749.27
1999-12-31,1914.2
2000-01-31,1812.711
2000-02-29,2002.912
2000-03-31,1956.521
2000-04-28,1839.433
2000-05-31,1864.937
2000-06-30,1863.826
2000-07-31,1812.411
2000-08-31,1822.27
2000-09-29,1812.484
2000-10-31,1669.4
2000-11-30,1667.102
2000-12-29,1780.1
2001-01-31,1909.865
2001-02-28,1865.821
2001-03-30,1778.29
2001-04-30,1843.212
2001-05-31,1763.21
2001-06-29,1707.277
2001-07-31,1724.785
2001-08-31,1792.969
2001-09-28,1563.913
2001-10-31,1622.546
2001-11-30,1671.807
2001-12-31,1695.934
2002-01-31,1557.763
2002-02-28,1591.996
2002-03-29,1643.509
2002-04-30,1659.848
2002-05-31,1693.267
2002-06-28,1515.349
2002-07-31,1450.748
2002-08-30,1503.464
2002-09-30,1282.843
2002-10-31,1453.052
2002-11-29,1588.805
2002-12-31,1577.36
2003-01-31,1569.036
2003-02-28,1601.747
2003-03-31,1626.361
2003-04-30,1824.901
2003-05-30,1962.666
2003-06-30,2052.53
2003-07-31,2087.916
2003-08-29,2051.256
2003-09-30,2033.42
2003-10-31,2192.788
2003-11-28,2314.949
2003-12-31,2640.499
2004-01-30,2611.908
2004-02-27,2708.78
2004-03-31,2619.151
2004-04-30,2614.283
2004-05-31,2625.644
2004-06-30,2653.49
2004-07-30,2562.266
2004-08-31,2595.25
2004-09-30,2658.65
2004-10-29,2881.713
2004-11-30,3118.174
2004-12-31,3304.904
2005-01-31,3216.813
2005-02-28,3375.026
2005-03-31,3292.27
2005-04-29,3171.359
2005-05-31,3164.603
2005-06-30,3221.514
2005-07-29,3412.746
2005-08-31,3418.654
2005-09-30,3710.248
2005-10-31,3571.329
2005-11-30,3612.764
2005-12-30,3666.815
2006-01-31,4011.678
2006-02-28,4162.442
2006-03-31,4170.823
2006-04-28,4409.632
2006-05-31,4217.404
2006-06-30,4313.421
2006-07-31,4464.125
2006-08-31,4597.653
2006-09-29,4958.4
2006-10-31,5347.691
2006-11-30,5591.79
2006-12-29,5631.804
2007-01-31,5765.677
2007-02-28,5708.853
2007-03-30,5739.399
2007-04-30,5780.851
2007-05-31,6136.305
2007-06-29,6028.249
2007-07-31,6137.395
2007-08-31,5943.665
2007-09-28,6185.494
2007-10-31,6831.753
2007-11-30,6808.591
2007-12-31,6669.148
2008-01-31,5743.99
2008-02-29,5884.043
2008-03-31,6349.017
2008-04-30,6712.938
2008-05-30,6607.818
2008-06-30,5804.292
2008-07-31,5782.561
2008-08-29,5262.054
