Date,SPAIN VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,97.299
1975-02-28,95.786
1975-03-31,91.193
1975-04-30,98.064
1975-05-30,92.425
1975-06-30,91.427
1975-07-31,86.626
1975-08-29,87.072
1975-09-30,84.061
1975-10-31,90.221
1975-11-28,99.403
1975-12-31,97.039
1976-01-30,87.217
1976-02-27,74.161
1976-03-31,75.621
1976-04-30,75.178
1976-05-31,71.386
1976-06-30,65.988
1976-07-30,65.45
1976-08-31,65.452
1976-09-30,69.329
1976-10-29,67.02
1976-11-30,63.877
1976-12-31,61.701
1977-01-31,56.468
1977-02-28,59.997
1977-03-31,56.71
1977-04-29,58.034
1977-05-31,57.029
1977-06-30,56.976
1977-07-29,43.302
1977-08-31,44.581
1977-09-30,41.149
1977-10-31,41.277
1977-11-30,40.328
1977-12-30,44.394
1978-01-31,42.764
1978-02-28,42.727
1978-03-31,43.446
1978-04-28,43.673
1978-05-31,45.718
1978-06-30,47.991
1978-07-31,48.895
1978-08-31,49.781
1978-09-29,48.822
1978-10-31,51.841
1978-11-30,45.904
1978-12-29,46.209
1979-01-31,44.957
1979-02-28,47.944
1979-03-30,54.809
1979-04-30,51.441
1979-05-31,51.898
1979-06-29,54.097
1979-07-31,51.329
1979-08-31,51.168
1979-09-28,49.169
1979-10-31,49.874
1979-11-30,49.013
1979-12-31,51.948
1980-01-31,50.817
1980-02-29,50.955
1980-03-31,47.189
1980-04-30,48.459
1980-05-30,50.584
1980-06-30,56.367
1980-07-31,53.211
1980-08-29,54.081
1980-09-30,55.747
1980-10-31,54.3
1980-11-28,50.881
1980-12-31,53.5
1981-01-30,49.417
1981-02-27,48.452
1981-03-31,49.028
1981-04-30,48.673
1981-05-29,51.522
1981-06-30,60.088
1981-07-31,52.588
1981-08-31,58.21
1981-09-30,57.333
1981-10-30,56.849
1981-11-30,59.335
1981-12-31,56.456
1982-01-29,53.002
1982-02-26,51.557
1982-03-31,49.396
1982-04-30,52.757
1982-05-31,51.567
1982-06-30,47.668
1982-07-30,46.003
1982-08-31,42.656
1982-09-30,40.508
1982-10-29,42.475
1982-11-30,43.789
1982-12-31,41.407
1983-01-31,39.107
1983-02-28,40.053
1983-03-31,41.765
1983-04-29,43.117
1983-05-31,47.642
1983-06-30,45.928
1983-07-29,43.244
1983-08-31,41.398
1983-09-30,42.85
1983-10-31,46.517
1983-11-30,45.65
1983-12-30,37.902
1984-01-31,40.043
1984-02-29,49.202
1984-03-30,50.825
1984-04-30,49.451
1984-05-31,51.093
1984-06-29,51.877
1984-07-31,54.959
1984-08-31,58.735
