Date,SWEDEN IMI IMI (Large+Mid+Small Cap)
1994-05-31,146.773
1994-06-30,139.09
1994-07-29,146.665
1994-08-31,145.911
1994-09-30,146.429
1994-10-31,159.446
1994-11-30,155.44
1994-12-30,154.262
1995-01-31,157.066
1995-02-28,159.446
1995-03-31,153.429
1995-04-28,167.692
1995-05-31,168.8
1995-06-30,176.187
1995-07-31,189.145
1995-08-31,182.627
1995-09-29,206.17
1995-10-31,198.972
1995-11-30,203.842
1995-12-29,200.617
1996-01-31,194.149
1996-02-29,212.074
1996-03-29,217.615
1996-04-30,220.2
1996-05-31,229.713
1996-06-28,233.93
1996-07-31,225.424
1996-08-30,237.825
1996-09-30,248.315
1996-10-31,257.67
1996-11-29,272.407
1996-12-31,277.486
1997-01-31,281.012
1997-02-28,282.767
1997-03-31,292.297
1997-04-30,272.564
1997-05-30,293.804
1997-06-30,314.037
1997-07-31,323.873
1997-08-29,312.414
1997-09-30,345.925
1997-10-31,313.331
1997-11-28,318.995
1997-12-31,308.024
1998-01-30,311.453
1998-02-27,339.574
1998-03-31,362.765
1998-04-30,383.449
1998-05-29,393.525
1998-06-30,389.386
1998-07-31,388.515
1998-08-31,327.128
1998-09-30,300.067
1998-10-30,314.311
1998-11-30,339.713
1998-12-31,333.691
1999-01-29,353.599
1999-02-26,341.358
1999-03-31,346.761
1999-04-30,369.094
1999-05-31,361.489
1999-06-30,388.066
1999-07-30,402.163
1999-08-31,403.176
1999-09-30,402.003
1999-10-29,436.012
1999-11-30,474.979
1999-12-31,558.535
2000-01-31,563.778
2000-02-29,672.642
2000-03-31,642.24
2000-04-28,626.295
2000-05-31,599.582
2000-06-30,584.909
2000-07-31,563.841
2000-08-31,555.203
2000-09-29,490.539
2000-10-31,453.907
2000-11-30,411.809
2000-12-29,428.238
2001-01-31,459.544
2001-02-28,392.217
2001-03-30,316.488
2001-04-30,355.244
2001-05-31,337.764
2001-06-29,319.907
2001-07-31,319.749
2001-08-31,301.979
2001-09-28,256.464
2001-10-31,275.158
2001-11-30,310.795
2001-12-31,320.904
2002-01-31,294.9
2002-02-28,300.399
2002-03-29,312.683
2002-04-30,287.884
2002-05-31,284.913
2002-06-28,277.858
2002-07-31,237.015
2002-08-30,235.628
2002-09-30,197.428
2002-10-31,227.599
2002-11-29,259.955
2002-12-31,235.13
2003-01-31,230.558
2003-02-28,229.58
2003-03-31,224.33
2003-04-30,268.476
2003-05-30,281.185
2003-06-30,283.692
2003-07-31,299.277
2003-08-29,304.844
2003-09-30,317.205
2003-10-31,343.845
2003-11-28,356.442
2003-12-31,386.626
2004-01-30,399.327
2004-02-27,418.19
2004-03-31,410.074
2004-04-30,409.145
2004-05-31,415.608
2004-06-30,427.537
2004-07-30,408.88
2004-08-31,415.922
2004-09-30,448.918
2004-10-29,456.413
2004-11-30,514.891
2004-12-31,525.722
2005-01-31,501.522
2005-02-28,535.753
2005-03-31,518.55
2005-04-29,503.748
2005-05-31,516.769
2005-06-30,511.363
2005-07-29,541.432
2005-08-31,545.614
2005-09-30,569.0
2005-10-31,539.048
2005-11-30,550.833
2005-12-30,591.536
2006-01-31,628.777
2006-02-28,626.079
2006-03-31,680.67
2006-04-28,716.201
2006-05-31,671.325
2006-06-30,675.346
2006-07-31,665.667
2006-08-31,693.378
2006-09-29,722.763
2006-10-31,769.101
2006-11-30,803.791
2006-12-29,872.082
2007-01-31,888.325
2007-02-28,866.725
2007-03-30,917.816
2007-04-30,1016.401
2007-05-31,1000.0
2007-06-29,986.585
2007-07-31,988.388
2007-08-31,939.977
2007-09-28,997.692
2007-10-31,982.374
2007-11-30,911.391
2007-12-31,884.589
2008-01-31,782.05
2008-02-29,840.726
2008-03-31,858.825
2008-04-30,884.307
2008-05-30,906.673
2008-06-30,772.367
2008-07-31,757.994
2008-08-29,726.203
2008-09-30,585.32
2008-10-31,425.269
2008-11-28,403.128
2008-12-31,428.577
2009-01-30,383.237
2009-02-27,367.55
2009-03-31,402.811
2009-04-30,505.276
2009-05-29,550.103
2009-06-30,544.548
2009-07-31,641.212
2009-08-31,679.3
2009-09-30,691.864
2009-10-30,724.188
2009-11-30,728.113
2009-12-31,724.886
2010-01-29,709.364
2010-02-26,728.938
2010-03-31,782.516
2010-04-30,811.367
2010-05-31,697.744
2010-06-30,712.305
2010-07-30,798.45
2010-08-31,752.71
2010-09-30,898.116
2010-10-29,904.071
2010-11-30,875.779
2010-12-31,970.024
2011-01-31,1002.517
2011-02-28,999.135
2011-03-31,1023.032
2011-04-29,1110.678
2011-05-31,1073.865
2011-06-30,1017.153
2011-07-29,969.478
2011-08-31,864.478
2011-09-30,748.754
2011-10-31,869.425
2011-11-30,823.672
2011-12-30,818.854
2012-01-31,868.273
2012-02-29,956.811
2012-03-30,935.431
2012-04-30,919.384
2012-05-31,791.116
2012-06-29,858.026
2012-07-31,911.066
2012-08-31,912.614
2012-09-28,949.093
2012-10-31,926.373
2012-11-30,953.855
2012-12-31,995.961
2013-01-31,1075.652
2013-02-28,1096.401
2013-03-29,1093.914
2013-04-30,1113.396
2013-05-31,1102.693
2013-06-28,1030.82
2013-07-31,1144.369
2013-08-30,1113.093
2013-09-30,1193.774
2013-10-31,1199.08
2013-11-29,1213.994
2013-12-31,1260.021
2014-01-31,1213.949
2014-02-28,1306.385
2014-03-31,1299.685
2014-04-30,1307.57
2014-05-30,1320.633
2014-06-30,1299.42
2014-07-31,1250.271
2014-08-29,1245.641
2014-09-30,1206.598
2014-10-31,1192.595
2014-11-28,1223.249
2014-12-31,1174.028
2015-01-30,1195.595
2015-02-27,1281.674
2015-03-31,1234.424
2015-04-30,1265.8
2015-05-29,1248.569
2015-06-30,1202.666
2015-07-31,1222.357
2015-08-31,1157.127
2015-09-30,1117.063
2015-10-30,1176.839
2015-11-30,1185.866
2015-12-31,1169.791
2016-01-29,1072.049
2016-02-29,1092.55
2016-03-31,1172.456
2016-04-29,1185.552
2016-05-31,1164.666
2016-06-30,1108.448
2016-07-29,1157.563
2016-08-31,1174.643
2016-09-30,1200.606
2016-10-31,1131.119
2016-11-30,1123.358
2016-12-30,1174.782
2017-01-31,1234.438
2017-02-28,1235.544
2017-03-31,1271.445
2017-04-28,1335.231
2017-05-31,1379.271
2017-06-30,1387.504
2017-07-31,1403.837
2017-08-31,1419.776
2017-09-29,1458.006
2017-10-31,1451.097
2017-11-30,1409.365
2017-12-29,1415.739
2018-01-31,1498.809
2018-02-28,1417.813
2018-03-30,1381.171
2018-04-30,1374.176
2018-05-31,1352.995
2018-06-29,1342.448
2018-07-31,1414.631
2018-08-31,1396.082
2018-09-28,1428.898
2018-10-31,1287.867
2018-11-30,1267.751
2018-12-31,1227.026
2019-01-31,1301.383
2019-02-28,1321.88
2019-03-29,1322.065
2019-04-30,1382.561
2019-05-31,1273.973
2019-06-28,1390.227
2019-07-31,1337.018
2019-08-30,1284.431
2019-09-30,1326.06
2019-10-31,1411.684
2019-11-29,1433.58
2019-12-31,1514.252
2020-01-31,1478.236
2020-02-28,1381.173
2020-03-31,1172.453
2020-04-30,1283.675
2020-05-29,1399.478
2020-06-30,1447.801
2020-07-31,1601.233
2020-08-31,1688.935
2020-09-30,1693.698
2020-10-30,1601.493
2020-11-30,1856.887
2020-12-31,1948.638
2021-01-29,1963.882
2021-02-26,2018.726
2021-03-31,2107.595
2021-04-30,2227.196
2021-05-31,2306.098
2021-06-30,2249.212
2021-07-30,2383.116
2021-08-31,2372.538
2021-09-30,2214.489
2021-10-29,2346.784
2021-11-30,2224.08
2021-12-31,2359.889
2022-01-31,2088.349
2022-02-28,1919.777
2022-03-31,1979.919
2022-04-29,1814.432
2022-05-31,1796.522
2022-06-30,1517.394
2022-07-29,1700.1
2022-08-31,1518.229
2022-09-30,1361.401
2022-10-31,1457.401
2022-11-30,1615.837
2022-12-30,1612.175
2023-01-31,1734.727
2023-02-28,1774.427
2023-03-31,1769.166
2023-04-28,1835.314
2023-05-31,1677.663
2023-06-30,1728.818
2023-07-31,1760.54
2023-08-31,1632.587
2023-09-29,1614.165
2023-10-31,1515.738
2023-11-30,1757.984
2023-12-29,1979.608
2024-01-31,1893.69
2024-02-29,1968.685
2024-03-29,1993.773
2024-04-30,1936.644
2024-05-31,2086.207
2024-06-28,2039.314
2024-07-31,2071.657
2024-08-30,2165.878
2024-09-30,2228.599
2024-10-31,2026.164
2024-11-29,1964.838
2024-12-31,1915.904
2025-01-31,2090.341
2025-02-28,2193.11
2025-03-31,2132.076
2025-04-30,2222.07
2025-05-30,2292.62
