Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,723.769
2001-01-02,704.651
2001-01-03,665.652
2001-01-04,732.196
2001-01-05,741.498
2001-01-08,721.064
2001-01-09,695.778
2001-01-10,695.443
2001-01-11,730.896
2001-01-12,754.698
2001-01-15,758.237
2001-01-16,728.178
2001-01-17,765.183
2001-01-18,787.277
2001-01-19,782.509
2001-01-22,769.22
2001-01-23,749.995
2001-01-24,755.092
2001-01-25,774.705
2001-01-26,729.062
2001-01-29,740.824
2001-01-30,761.434
2001-01-31,783.324
2001-02-01,771.267
2001-02-02,755.18
2001-02-05,738.881
2001-02-06,746.289
2001-02-07,730.458
2001-02-08,714.794
2001-02-09,679.2
2001-02-12,686.008
2001-02-13,680.804
2001-02-14,639.097
2001-02-15,659.85
2001-02-16,638.965
2001-02-19,638.079
2001-02-20,629.48
2001-02-21,617.427
2001-02-22,589.008
2001-02-23,569.216
2001-02-26,598.751
2001-02-27,617.083
2001-02-28,610.784
2001-03-01,592.396
2001-03-02,603.549
2001-03-05,623.87
2001-03-06,651.793
2001-03-07,645.245
2001-03-08,632.284
2001-03-09,610.58
2001-03-12,533.656
2001-03-13,512.316
2001-03-14,507.396
2001-03-15,516.71
2001-03-16,473.348
2001-03-19,474.964
2001-03-20,506.885
2001-03-21,485.584
2001-03-22,448.427
2001-03-23,476.982
2001-03-26,502.35
2001-03-27,521.188
2001-03-28,495.397
2001-03-29,468.156
2001-03-30,465.779
2001-04-02,461.788
2001-04-03,443.552
2001-04-04,438.932
2001-04-05,479.892
2001-04-06,472.302
2001-04-09,487.577
2001-04-10,504.759
2001-04-11,505.324
2001-04-12,498.868
2001-04-13,498.868
2001-04-16,493.639
2001-04-17,482.663
2001-04-18,518.631
2001-04-19,543.749
2001-04-20,516.406
2001-04-23,495.592
2001-04-24,492.86
2001-04-25,508.643
2001-04-26,521.785
2001-04-27,529.053
2001-04-30,544.685
2001-05-01,546.964
2001-05-02,548.304
2001-05-03,533.736
2001-05-04,535.87
2001-05-07,541.952
2001-05-08,529.722
2001-05-09,519.252
2001-05-10,531.107
2001-05-11,528.025
2001-05-14,519.275
2001-05-15,517.354
2001-05-16,515.507
2001-05-17,534.155
2001-05-18,551.364
2001-05-21,567.627
2001-05-22,569.23
2001-05-23,552.888
2001-05-24,551.106
2001-05-25,545.749
2001-05-28,548.366
2001-05-29,540.893
2001-05-30,525.173
2001-05-31,508.938
2001-06-01,497.628
2001-06-04,495.037
2001-06-05,508.276
2001-06-06,500.165
2001-06-07,488.859
2001-06-08,478.077
2001-06-11,464.114
2001-06-12,450.448
2001-06-13,456.628
2001-06-14,445.988
2001-06-15,461.022
2001-06-18,458.218
2001-06-19,454.025
2001-06-20,433.114
2001-06-21,442.581
2001-06-22,443.506
2001-06-25,448.74
2001-06-26,440.102
2001-06-27,447.862
2001-06-28,457.864
2001-06-29,465.121
2001-07-02,473.182
2001-07-03,470.634
2001-07-04,455.875
2001-07-05,434.193
2001-07-06,417.159
2001-07-09,417.262
2001-07-10,422.803
2001-07-11,416.535
2001-07-12,431.727
2001-07-13,435.297
2001-07-16,443.139
2001-07-17,428.031
2001-07-18,427.257
2001-07-19,435.986
2001-07-20,430.331
2001-07-23,424.048
2001-07-24,422.535
2001-07-25,415.866
2001-07-26,419.279
2001-07-27,436.898
2001-07-30,453.682
2001-07-31,464.62
2001-08-01,464.208
2001-08-02,472.662
2001-08-03,467.544
2001-08-06,462.367
2001-08-07,467.714
2001-08-08,458.505
2001-08-09,446.512
2001-08-10,442.103
2001-08-13,447.099
2001-08-14,458.956
2001-08-15,459.85
2001-08-16,446.034
2001-08-17,435.026
2001-08-20,422.854
2001-08-21,432.253
2001-08-22,437.982
2001-08-23,442.709
2001-08-24,454.754
2001-08-27,456.281
2001-08-28,447.099
2001-08-29,440.545
2001-08-30,424.093
2001-08-31,417.844
2001-09-03,409.578
2001-09-04,386.467
2001-09-05,373.989
2001-09-06,371.6
2001-09-07,360.36
2001-09-10,360.337
2001-09-11,329.596
2001-09-12,351.459
2001-09-13,345.351
2001-09-14,343.573
2001-09-17,351.372
2001-09-18,341.544
2001-09-19,338.299
2001-09-20,321.317
2001-09-21,311.381
