Date,SWEDEN LARGE CAP Large Cap
2001-01-01,541.25
2001-01-02,535.589
2001-01-03,508.89
2001-01-04,554.446
2001-01-05,562.719
2001-01-08,553.366
2001-01-09,537.292
2001-01-10,534.659
2001-01-11,557.467
2001-01-12,569.646
2001-01-15,570.791
2001-01-16,550.899
2001-01-17,572.884
2001-01-18,587.687
2001-01-19,584.647
2001-01-22,577.367
2001-01-23,565.077
2001-01-24,568.925
2001-01-25,581.069
2001-01-26,552.704
2001-01-29,558.437
2001-01-30,572.331
2001-01-31,586.787
2001-02-01,581.806
2001-02-02,568.289
2001-02-05,557.748
2001-02-06,561.091
2001-02-07,551.82
2001-02-08,540.813
2001-02-09,520.527
2001-02-12,523.893
2001-02-13,518.826
2001-02-14,492.348
2001-02-15,508.596
2001-02-16,497.199
2001-02-19,499.922
2001-02-20,490.673
2001-02-21,483.453
2001-02-22,467.718
2001-02-23,455.777
2001-02-26,474.752
2001-02-27,486.398
2001-02-28,483.106
2001-03-01,471.331
2001-03-02,480.034
2001-03-05,491.114
2001-03-06,509.347
2001-03-07,507.221
2001-03-08,499.365
2001-03-09,485.882
2001-03-12,437.502
2001-03-13,424.042
2001-03-14,417.166
2001-03-15,424.333
2001-03-16,394.427
2001-03-19,392.454
2001-03-20,410.918
2001-03-21,394.226
2001-03-22,364.726
2001-03-23,384.36
2001-03-26,403.543
2001-03-27,415.643
2001-03-28,395.267
2001-03-29,376.135
2001-03-30,374.8
2001-04-02,366.729
2001-04-03,357.403
2001-04-04,359.571
2001-04-05,385.267
2001-04-06,379.64
2001-04-09,392.892
2001-04-10,403.185
2001-04-11,399.885
2001-04-12,394.454
2001-04-13,394.454
2001-04-16,390.32
2001-04-17,384.626
2001-04-18,407.034
2001-04-19,428.203
2001-04-20,410.371
2001-04-23,394.988
2001-04-24,393.063
2001-04-25,403.512
2001-04-26,410.426
2001-04-27,417.194
2001-04-30,426.487
2001-05-01,428.272
2001-05-02,425.726
2001-05-03,417.604
2001-05-04,423.356
2001-05-07,430.495
2001-05-08,418.828
2001-05-09,412.513
2001-05-10,423.308
2001-05-11,420.097
2001-05-14,414.992
2001-05-15,414.05
2001-05-16,413.03
2001-05-17,425.321
2001-05-18,436.093
2001-05-21,446.299
2001-05-22,444.776
2001-05-23,430.803
2001-05-24,429.414
2001-05-25,425.559
2001-05-28,426.357
2001-05-29,421.269
2001-05-30,411.893
2001-05-31,401.729
2001-06-01,395.308
2001-06-04,393.25
2001-06-05,404.197
2001-06-06,399.483
2001-06-07,390.257
2001-06-08,382.578
2001-06-11,371.859
2001-06-12,365.951
2001-06-13,373.433
2001-06-14,367.879
2001-06-15,379.997
2001-06-18,376.58
2001-06-19,372.545
2001-06-20,359.494
2001-06-21,364.281
2001-06-22,365.043
2001-06-25,369.7
2001-06-26,365.42
2001-06-27,369.889
2001-06-28,377.633
2001-06-29,382.095
2001-07-02,388.107
2001-07-03,386.95
2001-07-04,377.102
2001-07-05,362.899
2001-07-06,348.623
2001-07-09,346.21
2001-07-10,352.292
2001-07-11,347.817
2001-07-12,356.259
2001-07-13,360.557
2001-07-16,368.334
2001-07-17,355.953
2001-07-18,355.956
2001-07-19,362.853
2001-07-20,358.531
2001-07-23,356.025
2001-07-24,354.495
2001-07-25,350.515
2001-07-26,353.418
2001-07-27,365.212
2001-07-30,375.656
2001-07-31,382.61
2001-08-01,383.19
2001-08-02,387.564
2001-08-03,385.602
2001-08-06,383.008
2001-08-07,386.665
2001-08-08,381.733
2001-08-09,374.561
2001-08-10,371.841
2001-08-13,376.443
2001-08-14,384.315
2001-08-15,387.373
2001-08-16,379.725
2001-08-17,370.731
2001-08-20,360.263
2001-08-21,366.161
2001-08-22,375.153
2001-08-23,378.117
2001-08-24,388.589
2001-08-27,389.129
2001-08-28,382.262
2001-08-29,378.007
2001-08-30,366.712
2001-08-31,363.599
2001-09-03,355.223
2001-09-04,341.756
2001-09-05,335.515
2001-09-06,333.533
2001-09-07,326.295
2001-09-10,323.706
2001-09-11,299.963
2001-09-12,311.559
2001-09-13,310.613
2001-09-14,309.105
2001-09-17,312.714
2001-09-18,302.963
2001-09-19,302.15
2001-09-20,285.482
2001-09-21,273.361
2001-09-24,290.073
