Date,SWEDEN SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,107.833
2001-02-28,96.594
2001-03-30,84.011
2001-04-30,90.845
2001-05-31,91.573
2001-06-29,87.579
2001-07-31,88.048
2001-08-31,84.839
2001-09-28,70.552
2001-10-31,80.705
2001-11-30,90.42
2001-12-31,93.102
2002-01-31,95.771
2002-02-28,99.012
2002-03-29,105.194
2002-04-30,105.774
2002-05-31,111.787
2002-06-28,110.953
2002-07-31,98.771
2002-08-30,92.46
2002-09-30,80.718
2002-10-31,92.963
2002-11-29,102.867
2002-12-31,99.516
2003-01-31,94.523
2003-02-28,91.567
2003-03-31,90.346
2003-04-30,102.628
2003-05-30,111.89
2003-06-30,115.24
2003-07-31,117.546
2003-08-29,123.158
2003-09-30,130.249
2003-10-31,139.332
2003-11-28,149.971
2003-12-31,161.404
2004-01-30,165.051
2004-02-27,171.544
2004-03-31,168.632
2004-04-30,167.299
2004-05-31,173.051
2004-06-30,170.962
2004-07-30,163.002
2004-08-31,164.557
2004-09-30,180.861
2004-10-29,186.602
2004-11-30,213.315
2004-12-31,222.162
2005-01-31,215.582
2005-02-28,237.386
2005-03-31,235.552
2005-04-29,231.352
2005-05-31,237.756
2005-06-30,240.601
2005-07-29,257.047
2005-08-31,255.359
2005-09-30,267.668
2005-10-31,253.174
2005-11-30,266.855
2005-12-30,289.366
2006-01-31,327.066
2006-02-28,328.17
2006-03-31,366.723
2006-04-28,395.026
2006-05-31,376.6
2006-06-30,370.382
2006-07-31,365.377
2006-08-31,372.154
2006-09-29,394.755
2006-10-31,409.175
2006-11-30,436.835
2006-12-29,469.739
2007-01-31,466.952
2007-02-28,459.619
2007-03-30,481.384
2007-04-30,513.74
2007-05-31,520.191
2007-06-29,501.656
2007-07-31,499.414
2007-08-31,467.988
2007-09-28,486.861
2007-10-31,498.025
2007-11-30,479.713
2007-12-31,464.535
2008-01-31,415.312
2008-02-29,459.465
2008-03-31,469.92
2008-04-30,457.053
2008-05-30,477.267
2008-06-30,420.909
2008-07-31,392.33
2008-08-29,380.071
2008-09-30,289.69
2008-10-31,199.521
2008-11-28,170.937
2008-12-31,185.039
2009-01-30,173.475
2009-02-27,159.937
2009-03-31,177.086
2009-04-30,234.126
2009-05-29,261.689
2009-06-30,247.605
2009-07-31,289.182
2009-08-31,314.951
2009-09-30,337.074
2009-10-30,353.922
2009-11-30,365.862
2009-12-31,372.129
2010-01-29,370.036
2010-02-26,378.395
2010-03-31,408.808
2010-04-30,402.425
2010-05-31,344.438
2010-06-30,335.947
2010-07-30,385.022
2010-08-31,364.55
2010-09-30,453.811
2010-10-29,461.902
2010-11-30,437.223
2010-12-31,506.483
2011-01-31,517.588
2011-02-28,514.561
2011-03-31,539.361
2011-04-29,570.839
2011-05-31,552.36
2011-06-30,522.861
2011-07-29,501.682
2011-08-31,456.624
2011-09-30,392.94
2011-10-31,461.96
2011-11-30,434.74
2011-12-30,443.904
2012-01-31,477.431
2012-02-29,509.979
2012-03-30,502.114
2012-04-30,500.148
2012-05-31,444.551
2012-06-29,461.906
2012-07-31,483.569
2012-08-31,487.281
2012-09-28,510.41
2012-10-31,497.122
2012-11-30,503.88
2012-12-31,531.301
2013-01-31,570.635
2013-02-28,608.077
2013-03-29,598.921
2013-04-30,612.406
2013-05-31,612.319
2013-06-28,581.444
2013-07-31,644.59
2013-08-30,635.778
2013-09-30,696.094
2013-10-31,711.21
2013-11-29,726.122
2013-12-31,750.525
2014-01-31,736.401
2014-02-28,809.426
2014-03-31,800.84
2014-04-30,825.635
2014-05-30,848.692
2014-06-30,843.309
2014-07-31,786.178
2014-08-29,777.396
2014-09-30,727.717
2014-10-31,735.364
2014-11-28,752.074
2014-12-31,737.351
2015-01-30,738.415
2015-02-27,806.156
2015-03-31,774.385
2015-04-30,822.848
2015-05-29,802.687
2015-06-30,773.212
2015-07-31,802.232
2015-08-31,789.194
2015-09-30,793.962
2015-10-30,851.936
2015-11-30,885.199
2015-12-31,904.667
2016-01-29,814.748
2016-02-29,849.011
2016-03-31,921.425
2016-04-29,918.861
2016-05-31,931.143
2016-06-30,874.353
2016-07-29,933.022
2016-08-31,944.252
2016-09-30,970.656
2016-10-31,895.61
2016-11-30,864.264
2016-12-30,909.18
2017-01-31,935.792
2017-02-28,942.439
2017-03-31,947.412
2017-04-28,1013.817
2017-05-31,1058.438
2017-06-30,1057.618
2017-07-31,1082.787
2017-08-31,1081.892
2017-09-29,1098.614
2017-10-31,1085.856
2017-11-30,1069.67
2017-12-29,1099.403
2018-01-31,1155.272
2018-02-28,1092.27
2018-03-30,1071.508
2018-04-30,1095.877
2018-05-31,1095.004
2018-06-29,1077.624
2018-07-31,1133.899
2018-08-31,1123.767
2018-09-28,1130.759
2018-10-31,1023.534
2018-11-30,1003.337
2018-12-31,972.469
2019-01-31,1040.387
2019-02-28,1053.794
2019-03-29,1060.729
2019-04-30,1077.824
2019-05-31,1046.175
2019-06-28,1128.187
2019-07-31,1109.416
2019-08-30,1074.711
2019-09-30,1083.072
2019-10-31,1138.215
2019-11-29,1184.298
2019-12-31,1270.27
2020-01-31,1248.467
2020-02-28,1157.485
2020-03-31,945.263
2020-04-30,1071.604
2020-05-29,1209.507
2020-06-30,1254.113
2020-07-31,1419.614
2020-08-31,1505.956
2020-09-30,1551.384
2020-10-30,1435.623
2020-11-30,1650.559
2020-12-31,1812.01
2021-01-29,1760.5
2021-02-26,1809.755
2021-03-31,1819.948
2021-04-30,2010.313
2021-05-31,2074.677
2021-06-30,2011.208
2021-07-30,2192.194
2021-08-31,2226.263
2021-09-30,2014.498
2021-10-29,2159.833
2021-11-30,2088.81
2021-12-31,2165.507
2022-01-31,1830.092
2022-02-28,1683.534
2022-03-31,1777.394
2022-04-29,1592.234
2022-05-31,1563.212
2022-06-30,1260.689
2022-07-29,1443.757
2022-08-31,1257.505
2022-09-30,1069.069
2022-10-31,1151.832
2022-11-30,1271.771
2022-12-30,1278.09
2023-01-31,1383.745
2023-02-28,1420.323
2023-03-31,1413.071
2023-04-28,1452.787
2023-05-31,1324.405
2023-06-30,1333.173
2023-07-31,1372.728
2023-08-31,1254.32
2023-09-29,1195.777
2023-10-31,1119.866
2023-11-30,1339.386
2023-12-29,1530.389
2024-01-31,1454.488
2024-02-29,1468.194
2024-03-29,1518.756
2024-04-30,1458.075
2024-05-31,1618.723
2024-06-28,1568.412
2024-07-31,1647.153
2024-08-30,1720.48
2024-09-30,1763.226
2024-10-31,1579.169
2024-11-29,1524.802
2024-12-31,1520.219
2025-01-31,1617.715
2025-02-28,1654.121
2025-03-31,1628.504
2025-04-30,1724.895
2025-05-30,1764.678
