Date,SWEDEN SMALL VALUE Small Cap
2001-01-01,163.722
2001-01-02,162.177
2001-01-03,158.614
2001-01-04,160.426
2001-01-05,162.824
2001-01-08,160.369
2001-01-09,158.216
2001-01-10,158.896
2001-01-11,160.146
2001-01-12,161.836
2001-01-15,161.747
2001-01-16,160.809
2001-01-17,161.28
2001-01-18,163.64
2001-01-19,164.828
2001-01-22,163.181
2001-01-23,162.699
2001-01-24,161.553
2001-01-25,160.353
2001-01-26,160.874
2001-01-29,162.829
2001-01-30,164.686
2001-01-31,167.758
2001-02-01,168.624
2001-02-02,168.115
2001-02-05,167.516
2001-02-06,167.477
2001-02-07,167.187
2001-02-08,165.489
2001-02-09,164.268
2001-02-12,164.252
2001-02-13,163.494
2001-02-14,160.292
2001-02-15,161.331
2001-02-16,163.086
2001-02-19,163.341
2001-02-20,162.783
2001-02-21,161.419
2001-02-22,158.248
2001-02-23,157.819
2001-02-26,160.308
2001-02-27,161.604
2001-02-28,162.724
2001-03-01,163.265
2001-03-02,164.912
2001-03-05,165.349
2001-03-06,166.862
2001-03-07,166.946
2001-03-08,167.201
2001-03-09,166.163
2001-03-12,161.947
2001-03-13,156.985
2001-03-14,153.599
2001-03-15,153.313
2001-03-16,150.486
2001-03-19,150.306
2001-03-20,150.804
2001-03-21,148.184
2001-03-22,141.996
2001-03-23,145.842
2001-03-26,148.891
2001-03-27,150.878
2001-03-28,148.566
2001-03-29,146.106
2001-03-30,146.853
2001-04-02,146.563
2001-04-03,145.347
2001-04-04,146.052
2001-04-05,148.725
2001-04-06,149.451
2001-04-09,151.777
2001-04-10,152.696
2001-04-11,151.987
2001-04-12,152.958
2001-04-13,152.958
2001-04-16,151.355
2001-04-17,150.236
2001-04-18,150.574
2001-04-19,153.631
2001-04-20,154.849
2001-04-23,152.644
2001-04-24,152.811
2001-04-25,153.671
2001-04-26,155.865
2001-04-27,154.894
2001-04-30,154.831
2001-05-01,155.479
2001-05-02,156.132
2001-05-03,158.001
2001-05-04,157.745
2001-05-07,158.027
2001-05-08,156.41
2001-05-09,156.459
2001-05-10,158.335
2001-05-11,157.851
2001-05-14,157.436
2001-05-15,158.739
2001-05-16,158.519
2001-05-17,160.193
2001-05-18,160.546
2001-05-21,162.307
2001-05-22,161.823
2001-05-23,159.974
2001-05-24,159.458
2001-05-25,159.429
2001-05-28,160.49
2001-05-29,159.783
2001-05-30,160.03
2001-05-31,157.889
2001-06-01,156.363
2001-06-04,155.549
2001-06-05,156.914
2001-06-06,156.357
2001-06-07,155.242
2001-06-08,154.907
2001-06-11,153.635
2001-06-12,153.261
2001-06-13,156.009
2001-06-14,156.209
2001-06-15,157.153
2001-06-18,157.338
2001-06-19,156.323
2001-06-20,152.245
2001-06-21,152.168
2001-06-22,152.486
2001-06-25,153.206
2001-06-26,151.598
2001-06-27,151.893
2001-06-28,151.406
2001-06-29,152.675
2001-07-02,152.076
2001-07-03,151.445
2001-07-04,151.544
2001-07-05,149.007
2001-07-06,148.436
2001-07-09,148.586
2001-07-10,149.937
2001-07-11,150.057
2001-07-12,150.308
2001-07-13,150.21
2001-07-16,150.125
2001-07-17,148.206
2001-07-18,150.387
2001-07-19,150.159
2001-07-20,150.269
2001-07-23,148.739
2001-07-24,148.934
2001-07-25,148.764
2001-07-26,149.355
2001-07-27,150.29
2001-07-30,151.364
2001-07-31,152.202
2001-08-01,152.96
2001-08-02,154.645
2001-08-03,155.562
2001-08-06,154.534
2001-08-07,154.195
2001-08-08,153.255
2001-08-09,153.492
2001-08-10,153.991
2001-08-13,154.443
2001-08-14,154.925
2001-08-15,156.295
2001-08-16,155.203
2001-08-17,153.85
2001-08-20,148.021
2001-08-21,149.325
2001-08-22,149.807
2001-08-23,150.604
2001-08-24,152.191
2001-08-27,152.242
2001-08-28,151.287
2001-08-29,149.465
2001-08-30,148.313
2001-08-31,147.838
2001-09-03,146.523
2001-09-04,143.934
2001-09-05,143.001
2001-09-06,142.847
2001-09-07,142.547
2001-09-10,140.45
2001-09-11,132.761
2001-09-12,135.428
2001-09-13,136.379
2001-09-14,136.453
2001-09-17,133.437
2001-09-18,131.429
2001-09-19,131.648
2001-09-20,127.003
2001-09-21,121.518
2001-09-24,124.838
2001-09-25,128.185
2001-09-26,128.528
2001-09-27,128.136
2001-09-28,130.149
2001-10-01,131.233
2001-10-02,130.801
2001-10-03,131.218
2001-10-04,134.756
2001-10-05,136.92
2001-10-08,136.592
2001-10-09,137.669
2001-10-10,137.361
2001-10-11,141.213
2001-10-12,140.095
2001-10-15,140.955
2001-10-16,142.393
2001-10-17,142.761
2001-10-18,141.378
2001-10-19,138.861
2001-10-22,136.939
2001-10-23,138.088
2001-10-24,138.395
2001-10-25,138.311
2001-10-26,138.728
2001-10-29,140.786
2001-10-30,138.928
2001-10-31,139.311
2001-11-01,139.828
2001-11-02,139.686
2001-11-05,140.042
2001-11-06,140.505
2001-11-07,141.548
2001-11-08,141.641
2001-11-09,141.274
2001-11-12,140.739
2001-11-13,141.709
2001-11-14,142.883
2001-11-15,144.106
2001-11-16,145.173
2001-11-19,145.966
2001-11-20,145.703
2001-11-21,145.16
2001-11-22,147.486
2001-11-23,148.903
2001-11-26,150.548
2001-11-27,149.638
2001-11-28,150.598
2001-11-29,149.47
2001-11-30,149.485
2001-12-03,148.671
2001-12-04,150.64
2001-12-05,153.171
2001-12-06,153.247
2001-12-07,154.055
2001-12-10,151.594
2001-12-11,150.635
2001-12-12,151.265
2001-12-13,150.829
2001-12-14,149.735
2001-12-17,151.459
2001-12-18,150.52
2001-12-19,148.973
2001-12-20,146.781
2001-12-21,147.17
2001-12-24,145.225
2001-12-25,145.225
2001-12-26,144.732
2001-12-27,148.329
2001-12-28,150.974
2001-12-31,152.192
2002-01-01,152.192
2002-01-02,154.317
2002-01-03,157.156
2002-01-04,155.958
2002-01-07,156.883
2002-01-08,154.912
2002-01-09,155.674
2002-01-10,156.949
2002-01-11,158.677
2002-01-14,156.23
2002-01-15,156.56
2002-01-16,153.816
2002-01-17,154.221
2002-01-18,156.314
2002-01-21,155.168
2002-01-22,155.514
2002-01-23,157.071
2002-01-24,156.889
2002-01-25,154.418
2002-01-28,154.218
2002-01-29,155.766
2002-01-30,155.402
2002-01-31,158.537
2002-02-01,158.797
2002-02-04,158.898
2002-02-05,159.312
2002-02-06,161.196
2002-02-07,160.297
2002-02-08,160.811
2002-02-11,163.36
2002-02-12,162.261
2002-02-13,162.38
2002-02-14,162.027
2002-02-15,162.982
2002-02-18,163.125
2002-02-19,163.883
2002-02-20,162.873
2002-02-21,164.737
2002-02-22,165.278
2002-02-25,166.174
2002-02-26,166.68
2002-02-27,166.942
2002-02-28,167.755
2002-03-01,168.307
2002-03-04,173.643
2002-03-05,175.475
2002-03-06,175.171
2002-03-07,176.9
2002-03-08,177.055
2002-03-11,176.564
2002-03-12,175.117
2002-03-13,175.234
2002-03-14,176.309
2002-03-15,176.852
2002-03-18,177.042
