Date,SWEDEN SMID CAP SMID (Small+Mid Cap)
2001-01-01,277.077
2001-01-02,271.354
2001-01-03,260.571
2001-01-04,268.935
2001-01-05,274.366
2001-01-08,270.49
2001-01-09,266.217
2001-01-10,268.23
2001-01-11,273.54
2001-01-12,277.0
2001-01-15,276.818
2001-01-16,273.415
2001-01-17,275.665
2001-01-18,282.64
2001-01-19,284.599
2001-01-22,280.631
2001-01-23,279.609
2001-01-24,277.611
2001-01-25,276.007
2001-01-26,275.607
2001-01-29,278.312
2001-01-30,282.856
2001-01-31,290.118
2001-02-01,290.084
2001-02-02,288.283
2001-02-05,284.982
2001-02-06,287.465
2001-02-07,284.978
2001-02-08,280.688
2001-02-09,277.563
2001-02-12,276.705
2001-02-13,273.874
2001-02-14,268.971
2001-02-15,271.686
2001-02-16,271.116
2001-02-19,271.693
2001-02-20,271.645
2001-02-21,267.514
2001-02-22,261.031
2001-02-23,259.68
2001-02-26,264.343
2001-02-27,267.893
2001-02-28,268.975
2001-03-01,268.465
2001-03-02,269.109
2001-03-05,269.299
2001-03-06,273.795
2001-03-07,272.716
2001-03-08,273.583
2001-03-09,271.651
2001-03-12,262.944
2001-03-13,254.04
2001-03-14,248.608
2001-03-15,249.467
2001-03-16,240.649
2001-03-19,239.753
2001-03-20,240.628
2001-03-21,233.906
2001-03-22,221.921
2001-03-23,230.646
2001-03-26,240.377
2001-03-27,242.94
2001-03-28,237.762
2001-03-29,233.032
2001-03-30,235.545
2001-04-02,233.875
2001-04-03,230.864
2001-04-04,231.586
2001-04-05,238.263
2001-04-06,239.282
2001-04-09,244.8
2001-04-10,246.425
2001-04-11,244.865
2001-04-12,246.091
2001-04-13,246.091
2001-04-16,243.512
2001-04-17,242.653
2001-04-18,246.586
2001-04-19,255.148
2001-04-20,254.867
2001-04-23,250.09
2001-04-24,248.921
2001-04-25,250.349
2001-04-26,253.556
2001-04-27,254.6
2001-04-30,258.124
2001-05-01,259.205
2001-05-02,259.612
2001-05-03,256.822
2001-05-04,257.493
2001-05-07,257.966
2001-05-08,255.351
2001-05-09,254.181
2001-05-10,258.881
2001-05-11,256.957
2001-05-14,254.117
2001-05-15,253.996
2001-05-16,254.052
2001-05-17,258.374
2001-05-18,261.785
2001-05-21,264.292
2001-05-22,263.499
2001-05-23,260.588
2001-05-24,259.748
2001-05-25,258.586
2001-05-28,259.012
2001-05-29,257.065
2001-05-30,254.178
2001-05-31,250.74
2001-06-01,248.182
2001-06-04,246.89
2001-06-05,248.906
2001-06-06,248.212
2001-06-07,247.758
2001-06-08,246.672
2001-06-11,242.194
2001-06-12,241.798
2001-06-13,245.454
2001-06-14,242.851
2001-06-15,245.493
2001-06-18,244.634
2001-06-19,240.608
2001-06-20,233.345
2001-06-21,233.901
2001-06-22,234.39
2001-06-25,237.663
2001-06-26,232.537
2001-06-27,233.88
2001-06-28,234.697
2001-06-29,235.47
2001-07-02,235.84
2001-07-03,235.379
2001-07-04,233.554
2001-07-05,229.74
2001-07-06,226.091
2001-07-09,224.961
2001-07-10,227.318
2001-07-11,227.799
2001-07-12,229.032
2001-07-13,229.803
2001-07-16,230.875
2001-07-17,226.565
2001-07-18,229.545
2001-07-19,231.49
2001-07-20,230.327
2001-07-23,228.196
2001-07-24,228.548
2001-07-25,228.036
2001-07-26,229.18
2001-07-27,230.885
2001-07-30,233.05
2001-07-31,234.245
2001-08-01,235.515
2001-08-02,239.448
2001-08-03,240.986
2001-08-06,239.309
2001-08-07,237.98
2001-08-08,236.836
2001-08-09,235.392
2001-08-10,234.071
2001-08-13,235.113
2001-08-14,236.843
2001-08-15,237.895
2001-08-16,234.374
2001-08-17,232.703
2001-08-20,224.308
2001-08-21,225.725
2001-08-22,227.229
2001-08-23,229.197
2001-08-24,231.037
2001-08-27,230.54
2001-08-28,227.661
2001-08-29,225.083
2001-08-30,219.874
2001-08-31,218.178
2001-09-03,214.414
2001-09-04,211.767
2001-09-05,212.2
2001-09-06,210.654
2001-09-07,208.408
2001-09-10,206.319
2001-09-11,193.141
2001-09-12,200.043
2001-09-13,201.637
