Date,SWEDEN Standard (Large+Mid Cap)
2001-01-01,11486.597
2001-01-02,11320.231
2001-01-03,10742.975
2001-01-04,11673.368
2001-01-05,11859.017
2001-01-08,11681.222
2001-01-09,11347.361
2001-01-10,11293.421
2001-01-11,11735.999
2001-01-12,11956.455
2001-01-15,11974.815
2001-01-16,11573.59
2001-01-17,11996.617
2001-01-18,12297.137
2001-01-19,12254.58
2001-01-22,12084.218
2001-01-23,11865.609
2001-01-24,11921.589
2001-01-25,12175.901
2001-01-26,11629.823
2001-01-29,11760.596
2001-01-30,12050.352
2001-01-31,12379.819
2001-02-01,12262.785
2001-02-02,11998.844
2001-02-05,11763.688
2001-02-06,11881.792
2001-02-07,11717.298
2001-02-08,11469.917
2001-02-09,11057.279
2001-02-12,11143.385
2001-02-13,11040.729
2001-02-14,10545.718
2001-02-15,10883.654
2001-02-16,10658.99
2001-02-19,10690.013
2001-02-20,10501.323
2001-02-21,10355.536
2001-02-22,10033.742
2001-02-23,9810.374
2001-02-26,10177.654
2001-02-27,10424.247
2001-02-28,10365.148
2001-03-01,10121.407
2001-03-02,10272.558
2001-03-05,10491.693
2001-03-06,10848.607
2001-03-07,10806.177
2001-03-08,10659.482
2001-03-09,10400.528
2001-03-12,9441.84
2001-03-13,9103.739
2001-03-14,8939.676
2001-03-15,9055.5
2001-03-16,8435.935
2001-03-19,8396.547
2001-03-20,8734.115
2001-03-21,8381.162
2001-03-22,7745.254
2001-03-23,8197.526
2001-03-26,8634.562
2001-03-27,8869.765
2001-03-28,8455.007
2001-03-29,8075.6
2001-03-30,8060.633
2001-04-02,7917.503
2001-04-03,7733.021
2001-04-04,7766.816
2001-04-05,8291.781
2001-04-06,8217.157
2001-04-09,8497.92
2001-04-10,8670.445
2001-04-11,8594.834
2001-04-12,8502.817
2001-04-13,8502.817
2001-04-16,8413.691
2001-04-17,8332.169
2001-04-18,8771.335
2001-04-19,9215.063
2001-04-20,8882.778
2001-04-23,8578.166
2001-04-24,8541.883
2001-04-25,8778.092
2001-04-26,8959.386
2001-04-27,9105.347
2001-04-30,9298.254
2001-05-01,9337.162
2001-05-02,9294.178
2001-05-03,9111.904
2001-05-04,9208.451
2001-05-07,9341.37
2001-05-08,9112.941
2001-05-09,8978.432
2001-05-10,9233.359
2001-05-11,9156.567
2001-05-14,9046.55
2001-05-15,9020.325
2001-05-16,9015.338
2001-05-17,9265.716
2001-05-18,9500.551
2001-05-21,9710.112
2001-05-22,9682.595
2001-05-23,9407.755
2001-05-24,9377.436
2001-05-25,9304.094
2001-05-28,9320.77
2001-05-29,9221.195
2001-05-30,9003.03
2001-05-31,8789.181
2001-06-01,8657.685
2001-06-04,8612.621
2001-06-05,8823.815
2001-06-06,8739.985
2001-06-07,8572.537
2001-06-08,8432.521
2001-06-11,8187.389
2001-06-12,8082.529
2001-06-13,8246.742
2001-06-14,8106.434
2001-06-15,8340.392
2001-06-18,8259.205
2001-06-19,8143.372
2001-06-20,7863.378
2001-06-21,7987.763
2001-06-22,8004.464
2001-06-25,8130.328
2001-06-26,8026.897
2001-06-27,8122.308
2001-06-28,8258.104
2001-06-29,8310.765
2001-07-02,8432.384
2001-07-03,8412.308
2001-07-04,8227.845
2001-07-05,7947.849
2001-07-06,7644.175
2001-07-09,7590.421
2001-07-10,7710.124
2001-07-11,7636.023
2001-07-12,7799.631
2001-07-13,7894.926
2001-07-16,8058.148
2001-07-17,7788.09
2001-07-18,7805.63
2001-07-19,7966.463
2001-07-20,7887.858
2001-07-23,7835.831
2001-07-24,7810.394
2001-07-25,7751.732
2001-07-26,7816.772
2001-07-27,8045.014
2001-07-30,8247.636
2001-07-31,8383.923
2001-08-01,8390.073
2001-08-02,8512.29
2001-08-03,8479.634
2001-08-06,8420.332
2001-08-07,8479.386
2001-08-08,8385.97
2001-08-09,8234.667
2001-08-10,8151.336
2001-08-13,8241.123
2001-08-14,8400.361
2001-08-15,8457.543
2001-08-16,8307.661
2001-08-17,8144.86
2001-08-20,7913.663
2001-08-21,8023.074
2001-08-22,8219.152
2001-08-23,8304.386
2001-08-24,8506.313
2001-08-27,8513.428
2001-08-28,8366.05
2001-08-29,8254.223
2001-08-30,7994.373
2001-08-31,7910.315
2001-09-03,7732.862
2001-09-04,7469.18
2001-09-05,7391.066
2001-09-06,7331.938
2001-09-07,7182.502
2001-09-10,7138.766
2001-09-11,6626.329
2001-09-12,6864.992
2001-09-13,6843.201
2001-09-14,6835.27
2001-09-17,6900.96
2001-09-18,6670.807
2001-09-19,6639.586
2001-09-20,6261.065
2001-09-21,6021.576
2001-09-24,6353.622
2001-09-25,6598.332
2001-09-26,6496.655
2001-09-27,6439.367
2001-09-28,6634.019
2001-10-01,6550.745
2001-10-02,6605.025
2001-10-03,6542.419
2001-10-04,6881.178
2001-10-05,6955.075
2001-10-08,7004.178
2001-10-09,6999.475
