Date,SWEDEN GROWTH Standard (Large+Mid Cap)
2001-01-01,8124.487
2001-01-02,7926.627
2001-01-03,7361.838
2001-01-04,8311.726
2001-01-05,8309.792
2001-01-08,7920.579
2001-01-09,7506.873
2001-01-10,7453.97
2001-01-11,7995.284
2001-01-12,8393.96
2001-01-15,8473.517
2001-01-16,7998.479
2001-01-17,8528.62
2001-01-18,8799.341
2001-01-19,8604.561
2001-01-22,8473.847
2001-01-23,8210.807
2001-01-24,8294.06
2001-01-25,8602.107
2001-01-26,7693.604
2001-01-29,7780.014
2001-01-30,8108.321
2001-01-31,8503.959
2001-02-01,8312.634
2001-02-02,8124.359
2001-02-05,7884.935
2001-02-06,7949.592
2001-02-07,7715.766
2001-02-08,7475.359
2001-02-09,6918.941
2001-02-12,7107.698
2001-02-13,7008.008
2001-02-14,6525.939
2001-02-15,6923.337
2001-02-16,6543.128
2001-02-19,6454.001
2001-02-20,6287.343
2001-02-21,6148.876
2001-02-22,5849.854
2001-02-23,5654.005
2001-02-26,6057.969
2001-02-27,6234.171
2001-02-28,6115.164
2001-03-01,5866.435
2001-03-02,6022.406
2001-03-05,6275.091
2001-03-06,6582.539
2001-03-07,6505.505
2001-03-08,6338.204
2001-03-09,6056.55
2001-03-12,5101.689
2001-03-13,4789.898
2001-03-14,4796.178
2001-03-15,4855.208
2001-03-16,4352.259
2001-03-19,4414.026
2001-03-20,4815.632
2001-03-21,4602.584
2001-03-22,4184.321
2001-03-23,4491.065
2001-03-26,4721.289
2001-03-27,4984.404
2001-03-28,4690.952
2001-03-29,4384.343
2001-03-30,4281.478
2001-04-02,4232.406
2001-04-03,4042.828
2001-04-04,3961.938
2001-04-05,4429.201
2001-04-06,4320.374
2001-04-09,4458.193
2001-04-10,4646.609
2001-04-11,4659.414
2001-04-12,4570.555
2001-04-13,4570.555
2001-04-16,4522.647
2001-04-17,4388.002
2001-04-18,4770.176
2001-04-19,5021.344
2001-04-20,4679.906
2001-04-23,4431.48
2001-04-24,4404.424
2001-04-25,4604.61
2001-04-26,4783.186
2001-04-27,4899.164
2001-04-30,5057.736
2001-05-01,5078.9
2001-05-02,5115.338
2001-05-03,4968.245
2001-05-04,4999.324
2001-05-07,5100.426
2001-05-08,4962.711
2001-05-09,4811.531
2001-05-10,4990.891
2001-05-11,4983.334
2001-05-14,4913.871
2001-05-15,4881.058
2001-05-16,4840.862
2001-05-17,5037.198
2001-05-18,5265.008
2001-05-21,5459.319
2001-05-22,5516.099
2001-05-23,5328.608
2001-05-24,5311.435
2001-05-25,5255.047
2001-05-28,5298.475
2001-05-29,5250.732
2001-05-30,5048.005
2001-05-31,4847.978
2001-06-01,4754.24
2001-06-04,4729.494
2001-06-05,4878.17
2001-06-06,4781.572
2001-06-07,4641.026
2001-06-08,4513.995
2001-06-11,4356.734
2001-06-12,4175.674
2001-06-13,4220.8
2001-06-14,4064.978
2001-06-15,4228.447
2001-06-18,4207.813
2001-06-19,4195.692
2001-06-20,3977.056
2001-06-21,4160.336
2001-06-22,4169.035
2001-06-25,4212.59
2001-06-26,4146.794
2001-06-27,4253.149
2001-06-28,4334.804
2001-06-29,4390.905
2001-07-02,4495.727
2001-07-03,4472.147
2001-07-04,4308.4
2001-07-05,4070.597
2001-07-06,3828.656
2001-07-09,3862.877
2001-07-10,3890.952
2001-07-11,3815.633
2001-07-12,4003.645
2001-07-13,4059.441
2001-07-16,4158.056
2001-07-17,3990.703
2001-07-18,3964.061
2001-07-19,4064.963
2001-07-20,4028.415
2001-07-23,3953.568
2001-07-24,3920.394
2001-07-25,3853.523
2001-07-26,3876.448
2001-07-27,4091.789
2001-07-30,4284.181
2001-07-31,4415.94
2001-08-01,4382.349
2001-08-02,4482.668
