Date,SWEDEN VALUE Standard (Large+Mid Cap)
2001-01-01,4315.465
2001-01-02,4282.121
2001-01-03,4122.154
2001-01-04,4365.585
2001-01-05,4483.782
2001-01-08,4512.78
2001-01-09,4451.915
2001-01-10,4437.012
2001-01-11,4520.284
2001-01-12,4514.844
2001-01-15,4497.536
2001-01-16,4416.338
2001-01-17,4491.298
2001-01-18,4583.054
2001-01-19,4626.944
2001-01-22,4566.654
2001-01-23,4523.945
2001-01-24,4529.102
2001-01-25,4578.042
2001-01-26,4562.78
2001-01-29,4614.124
2001-01-30,4678.13
2001-01-31,4742.784
2001-02-01,4738.283
2001-02-02,4639.699
2001-02-05,4577.931
2001-02-06,4629.167
2001-02-07,4610.083
2001-02-08,4540.936
2001-02-09,4482.105
2001-02-12,4467.966
2001-02-13,4439.245
2001-02-14,4301.249
2001-02-15,4370.623
2001-02-16,4366.685
2001-02-19,4418.726
2001-02-20,4359.907
2001-02-21,4317.99
2001-02-22,4223.061
2001-02-23,4152.909
2001-02-26,4238.467
2001-02-27,4330.461
2001-02-28,4336.331
2001-03-01,4306.685
2001-03-02,4340.104
2001-03-05,4330.498
2001-03-06,4413.039
2001-03-07,4431.132
2001-03-08,4425.424
2001-03-09,4405.92
2001-03-12,4273.155
2001-03-13,4209.128
2001-03-14,4069.445
2001-03-15,4124.313
2001-03-16,3959.836
2001-03-19,3884.766
2001-03-20,3886.446
2001-03-21,3742.105
2001-03-22,3505.311
2001-03-23,3666.997
2001-03-26,3868.841
2001-03-27,3881.544
2001-03-28,3741.643
2001-03-29,3639.917
2001-03-30,3698.077
2001-04-02,3613.947
2001-04-03,3592.057
2001-04-04,3675.278
2001-04-05,3787.036
2001-04-06,3796.884
2001-04-09,3931.023
2001-04-10,3943.527
2001-04-11,3865.498
2001-04-12,3851.02
2001-04-13,3851.02
2001-04-16,3810.654
2001-04-17,3836.432
2001-04-18,3934.47
2001-04-19,4125.719
2001-04-20,4087.725
2001-04-23,4008.291
2001-04-24,3997.079
2001-04-25,4046.483
2001-04-26,4068.04
2001-04-27,4104.295
2001-04-30,4153.147
2001-05-01,4170.526
2001-05-02,4109.716
2001-05-03,4061.653
2001-05-04,4119.688
2001-05-07,4159.024
2001-05-08,4066.355
2001-05-09,4060.523
2001-05-10,4146.092
2001-05-11,4087.115
2001-05-14,4044.679
2001-05-15,4045.872
2001-05-16,4069.722
2001-05-17,4139.689
2001-05-18,4174.936
2001-05-21,4212.638
2001-05-22,4150.435
2001-05-23,4053.419
2001-05-24,4040.356
2001-05-25,4019.089
2001-05-28,4002.623
2001-05-29,3953.694
2001-05-30,3914.789
2001-05-31,3877.564
2001-06-01,3834.312
2001-06-04,3814.354
2001-06-05,3885.127
2001-06-06,3883.192
2001-06-07,3842.854
2001-06-08,3813.17
2001-06-11,3720.474
2001-06-12,3760.141
