Date,SWEDEN VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,111.698
1975-02-28,122.853
1975-03-31,120.146
1975-04-30,124.106
1975-05-30,117.714
1975-06-30,120.881
1975-07-31,115.497
1975-08-29,111.51
1975-09-30,113.631
1975-10-31,122.353
1975-11-28,119.913
1975-12-31,124.576
1976-01-30,131.74
1976-02-27,132.561
1976-03-31,134.427
1976-04-30,149.324
1976-05-31,136.743
1976-06-30,138.056
1976-07-30,140.623
1976-08-31,131.406
1976-09-30,126.083
1976-10-29,117.663
1976-11-30,119.082
1976-12-31,127.401
1977-01-31,115.773
1977-02-28,131.703
1977-03-31,133.526
1977-04-29,127.022
1977-05-31,123.7
1977-06-30,107.999
1977-07-29,105.149
1977-08-31,88.299
1977-09-30,96.797
1977-10-31,91.852
1977-11-30,87.489
1977-12-30,98.955
1978-01-31,108.072
1978-02-28,105.644
1978-03-31,114.523
1978-04-28,120.257
1978-05-31,110.168
1978-06-30,111.043
1978-07-31,122.701
1978-08-31,125.47
1978-09-29,121.481
1978-10-31,121.27
1978-11-30,114.045
1978-12-29,116.805
1979-01-31,127.83
1979-02-28,122.011
1979-03-30,123.472
1979-04-30,117.682
1979-05-31,116.673
1979-06-29,115.583
1979-07-31,123.408
1979-08-31,121.681
1979-09-28,125.481
1979-10-31,121.684
1979-11-30,122.714
1979-12-31,125.733
1980-01-31,140.781
1980-02-29,142.312
1980-03-31,133.903
1980-04-30,140.462
1980-05-30,138.889
1980-06-30,138.324
1980-07-31,139.164
1980-08-29,132.797
1980-09-30,133.539
1980-10-31,146.03
1980-11-28,155.701
1980-12-31,158.172
1981-01-30,154.449
1981-02-27,182.815
1981-03-31,194.041
1981-04-30,181.101
1981-05-29,185.34
1981-06-30,211.031
1981-07-31,227.986
1981-08-31,218.465
1981-09-30,186.157
1981-10-30,206.099
1981-11-30,226.865
1981-12-31,216.935
1982-01-29,216.617
1982-02-26,216.12
1982-03-31,209.323
1982-04-30,207.815
1982-05-31,211.2
1982-06-30,201.236
1982-07-30,217.75
1982-08-31,211.917
1982-09-30,245.797
1982-10-29,231.948
1982-11-30,256.936
1982-12-31,274.28
1983-01-31,325.826
1983-02-28,419.773
1983-03-31,412.041
1983-04-29,467.504
1983-05-31,456.469
1983-06-30,429.166
1983-07-29,461.182
1983-08-31,472.398
1983-09-30,461.186
1983-10-31,440.423
1983-11-30,474.067
1983-12-30,452.529
1984-01-31,509.729
1984-02-29,523.864
1984-03-30,554.293
1984-04-30,512.329
1984-05-31,462.253
1984-06-29,476.173
1984-07-31,480.204
1984-08-31,477.222
1984-09-28,436.208
1984-10-31,422.864
1984-11-30,392.347
1984-12-31,386.035
1985-01-31,425.957
1985-02-28,398.774
1985-03-29,417.623
1985-04-30,424.475
1985-05-31,405.954
1985-06-28,405.73
1985-07-31,432.711
1985-08-30,435.892
1985-09-30,453.544
1985-10-31,497.974
1985-11-29,581.036
1985-12-31,634.195
1986-01-31,650.118
1986-02-28,721.863
1986-03-31,797.911
1986-04-30,895.556
1986-05-30,925.771
1986-06-30,924.335
1986-07-31,957.917
1986-08-29,988.577
1986-09-30,970.866
1986-10-31,1019.38
1986-11-28,1005.255
1986-12-31,980.608
1987-01-30,885.393
1987-02-27,1018.936
1987-03-31,1082.667
1987-04-30,1177.991
1987-05-29,1090.629
1987-06-30,1106.249
1987-07-31,1183.852
1987-08-31,1226.351
1987-09-30,1295.824
1987-10-30,1044.336
1987-11-30,943.181
1987-12-31,965.375
1988-01-29,1063.001
1988-02-29,1096.628
1988-03-31,1207.888
1988-04-29,1248.535
1988-05-31,1282.674
1988-06-30,1215.195
1988-07-29,1233.391
1988-08-31,1176.888
1988-09-30,1258.05
1988-10-31,1367.831
1988-11-30,1413.838
1988-12-30,1515.872
1989-01-31,1580.522
1989-02-28,1646.331
1989-03-31,1721.389
1989-04-28,1730.043
1989-05-31,1715.055
1989-06-30,1806.772
1989-07-31,2010.494
1989-08-31,2014.794
1989-09-29,1970.958
1989-10-31,1842.464
1989-11-30,1769.936
1989-12-29,1926.285
1990-01-31,1889.378
1990-02-28,1810.215
1990-03-30,1723.909
1990-04-30,1787.599
1990-05-31,2009.474
1990-06-29,2132.186
1990-07-31,2246.823
1990-08-31,1927.694
1990-09-28,1537.849
1990-10-31,1505.622
1990-11-30,1398.019
1990-12-31,1470.254
1991-01-31,1762.95
1991-02-28,1911.727
1991-03-29,1892.939
1991-04-30,1769.318
1991-05-31,1935.876
1991-06-28,1910.273
1991-07-31,1980.743
1991-08-30,1888.822
1991-09-30,1886.518
1991-10-31,1781.391
1991-11-29,1785.28
1991-12-31,1817.472
1992-01-31,1841.781
1992-02-28,1765.623
1992-03-31,1877.197
1992-04-30,1877.007
1992-05-29,1908.207
1992-06-30,1789.817
1992-07-31,1688.863
1992-08-31,1457.654
1992-09-30,1189.391
1992-10-30,1050.807
1992-11-30,1265.454
1992-12-31,1194.397
1993-01-29,1187.158
1993-02-26,1221.132
1993-03-31,1212.431
1993-04-30,1333.757
1993-05-31,1444.566
1993-06-30,1363.831
1993-07-30,1480.465
1993-08-31,1635.981
1993-09-30,1559.716
1993-10-29,1758.164
1993-11-30,1611.258
1993-12-31,1786.153
1994-01-31,2259.141
1994-02-28,2138.472
1994-03-31,1987.368
1994-04-29,2176.568
1994-05-31,2065.432
1994-06-30,1933.452
1994-07-29,2074.832
1994-08-31,2017.773
