Date,SWITZERLAND IMI IMI (Large+Mid+Small Cap)
1994-05-31,205.534
1994-06-30,208.635
1994-07-29,204.428
1994-08-31,211.647
1994-09-30,210.218
1994-10-31,212.601
1994-11-30,207.28
1994-12-30,212.72
1995-01-31,209.846
1995-02-28,220.778
1995-03-31,234.793
1995-04-28,239.609
1995-05-31,251.408
1995-06-30,260.254
1995-07-31,262.323
1995-08-31,254.784
1995-09-29,275.681
1995-10-31,284.784
1995-11-30,285.841
1995-12-29,297.351
1996-01-31,282.309
1996-02-29,292.398
1996-03-29,314.003
1996-04-30,303.229
1996-05-31,294.032
1996-06-28,308.014
1996-07-31,301.471
1996-08-30,313.531
1996-09-30,306.182
1996-10-31,304.696
1996-11-29,306.704
1996-12-31,298.528
1997-01-31,304.753
1997-02-28,307.067
1997-03-31,325.214
1997-04-30,334.107
1997-05-30,359.106
1997-06-30,386.965
1997-07-31,393.448
1997-08-29,361.158
1997-09-30,396.133
1997-10-31,393.938
1997-11-28,403.406
1997-12-31,422.905
1998-01-30,437.265
1998-02-27,477.259
1998-03-31,490.211
1998-04-30,491.947
1998-05-29,516.927
1998-06-30,514.363
1998-07-31,546.965
1998-08-31,461.802
1998-09-30,421.913
1998-10-30,483.864
1998-11-30,506.216
1998-12-31,519.022
1999-01-29,507.608
1999-02-26,489.85
1999-03-31,487.174
1999-04-30,491.538
1999-05-31,469.115
1999-06-30,464.345
1999-07-30,482.14
1999-08-31,482.494
1999-09-30,482.855
1999-10-29,488.574
1999-11-30,486.894
1999-12-31,500.821
2000-01-31,459.128
2000-02-29,456.145
2000-03-31,489.561
2000-04-28,470.892
2000-05-31,496.135
2000-06-30,518.626
2000-07-31,525.653
2000-08-31,518.402
2000-09-29,498.609
2000-10-31,492.06
2000-11-30,505.136
2000-12-29,550.296
2001-01-31,537.063
2001-02-28,502.659
2001-03-30,454.495
2001-04-30,464.686
2001-05-31,459.766
2001-06-29,443.281
2001-07-31,437.141
2001-08-31,435.505
2001-09-28,404.468
2001-10-31,407.478
2001-11-30,417.484
2001-12-31,425.53
2002-01-31,402.928
2002-02-28,410.825
2002-03-29,438.344
2002-04-30,449.736
2002-05-31,467.803
2002-06-28,449.151
2002-07-31,394.809
2002-08-30,392.98
2002-09-30,365.718
2002-10-31,377.497
2002-11-29,387.663
2002-12-31,378.696
2003-01-31,365.128
2003-02-28,346.119
2003-03-31,344.566
2003-04-30,385.259
2003-05-30,410.062
2003-06-30,409.487
2003-07-31,425.452
2003-08-29,422.777
2003-09-30,442.582
2003-10-31,454.337
2003-11-28,478.294
2003-12-31,515.613
2004-01-30,530.195
2004-02-27,534.396
2004-03-31,519.969
2004-04-30,527.58
2004-05-31,532.714
2004-06-30,533.86
2004-07-30,513.9
2004-08-31,507.776
2004-09-30,520.441
2004-10-29,530.988
2004-11-30,569.893
2004-12-31,595.762
2005-01-31,579.4
2005-02-28,611.864
2005-03-31,597.176
2005-04-29,596.756
2005-05-31,596.68
2005-06-30,593.034
2005-07-29,625.224
2005-08-31,632.35
2005-09-30,653.335
2005-10-31,661.532
2005-11-30,682.982
2005-12-30,698.692
2006-01-31,742.434
2006-02-28,734.199
2006-03-31,754.149
2006-04-28,803.939
2006-05-31,779.842
2006-06-30,777.735
2006-07-31,802.389
2006-08-31,825.002
2006-09-29,838.34
2006-10-31,861.459
2006-11-30,889.936
2006-12-29,908.419
2007-01-31,928.354
2007-02-28,912.564
2007-03-30,939.577
2007-04-30,1008.394
2007-05-31,1000.0
2007-06-29,977.146
2007-07-31,961.774
2007-08-31,953.222
2007-09-28,990.583
2007-10-31,1013.004
2007-11-30,1009.428
2007-12-31,972.765
2008-01-31,913.471
2008-02-29,939.439
2008-03-31,953.769
2008-04-30,958.198
2008-05-30,958.753
2008-06-30,906.832
2008-07-31,898.035
2008-08-29,872.162
2008-09-30,784.016
2008-10-31,681.397
2008-11-28,619.473
2008-12-31,674.602
2009-01-30,592.553
2009-02-27,528.912
2009-03-31,572.365
2009-04-30,619.813
2009-05-29,680.665
2009-06-30,673.667
2009-07-31,747.217
2009-08-31,797.613
2009-09-30,828.851
2009-10-30,830.434
2009-11-30,843.941
2009-12-31,857.04
2010-01-29,830.976
2010-02-26,844.896
2010-03-31,899.363
2010-04-30,859.188
2010-05-31,766.164
2010-06-30,799.587
2010-07-30,839.203
2010-08-31,859.204
2010-09-30,908.864
2010-10-29,930.924
2010-11-30,899.097
2010-12-31,984.047
2011-01-31,980.115
2011-02-28,1014.958
2011-03-31,1003.544
2011-04-29,1100.767
2011-05-31,1122.683
2011-06-30,1072.794
2011-07-29,1068.512
2011-08-31,994.651
2011-09-30,877.672
2011-10-31,952.965
2011-11-30,897.604
2011-12-30,910.36
2012-01-31,936.747
2012-02-29,988.126
2012-03-30,1009.843
2012-04-30,1002.521
2012-05-31,896.64
2012-06-29,951.065
2012-07-31,969.569
2012-08-31,991.564
2012-09-28,1022.983
2012-10-31,1048.78
2012-11-30,1088.263
2012-12-31,1103.807
2013-01-31,1197.266
2013-02-28,1209.274
2013-03-29,1228.333
2013-04-30,1284.583
2013-05-31,1253.95
2013-06-28,1229.407
2013-07-31,1279.334
2013-08-30,1265.018
2013-09-30,1351.063
2013-10-31,1387.648
2013-11-29,1397.543
2013-12-31,1414.776
2014-01-31,1388.64
2014-02-28,1486.365
2014-03-31,1488.02
2014-04-30,1513.925
2014-05-30,1530.331
2014-06-30,1522.875
2014-07-31,1462.398
2014-08-29,1493.298
2014-09-30,1450.614
2014-10-31,1439.983
2014-11-28,1488.203
2014-12-31,1420.904
2015-01-30,1429.713
2015-02-27,1498.491
2015-03-31,1497.957
2015-04-30,1564.463
2015-05-29,1584.026
2015-06-30,1519.695
2015-07-31,1584.797
2015-08-31,1479.461
2015-09-30,1414.147
2015-10-30,1477.476
2015-11-30,1432.378
2015-12-31,1448.312
2016-01-29,1340.063
2016-02-29,1320.208
2016-03-31,1383.513
2016-04-29,1423.697
2016-05-31,1423.359
2016-06-30,1413.931
2016-07-29,1452.696
2016-08-31,1443.885
2016-09-30,1457.615
2016-10-31,1380.307
2016-11-30,1347.307
2016-12-30,1403.242
2017-01-31,1461.71
2017-02-28,1486.102
2017-03-31,1532.052
2017-04-28,1595.227
2017-05-31,1683.39
2017-06-30,1681.342
2017-07-31,1698.296
2017-08-31,1683.225
2017-09-29,1716.982
2017-10-31,1692.986
2017-11-30,1729.827
2017-12-29,1756.089
2018-01-31,1835.601
2018-02-28,1723.975
2018-03-30,1690.243
2018-04-30,1689.447
2018-05-31,1642.123
2018-06-29,1652.788
2018-07-31,1751.159
2018-08-31,1765.345
2018-09-28,1758.356
2018-10-31,1679.832
2018-11-30,1676.183
2018-12-31,1583.813
2019-01-31,1684.64
2019-02-28,1750.808
2019-03-29,1793.645
2019-04-30,1833.485
2019-05-31,1825.744
2019-06-28,1954.579
2019-07-31,1938.953
2019-08-30,1942.199
2019-09-30,1957.657
2019-10-31,1994.908
2019-11-29,2022.34
2019-12-31,2113.793
2020-01-31,2128.121
2020-02-28,1959.581
2020-03-31,1864.712
2020-04-30,1967.139
2020-05-29,2031.38
2020-06-30,2092.751
2020-07-31,2178.778
