Date,SWITZERLAND IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,177.652
1994-06-30,178.729
1994-07-29,180.301
1994-08-31,181.93
1994-09-30,181.99
1994-10-31,184.644
1994-11-30,176.703
1994-12-30,178.544
1995-01-31,176.334
1995-02-28,181.325
1995-03-31,194.138
1995-04-28,198.407
1995-05-31,211.807
1995-06-30,216.181
1995-07-31,213.302
1995-08-31,200.107
1995-09-29,223.007
1995-10-31,232.192
1995-11-30,226.265
1995-12-29,235.946
1996-01-31,222.847
1996-02-29,227.268
1996-03-29,242.146
1996-04-30,233.159
1996-05-31,224.471
1996-06-28,235.501
1996-07-31,234.184
1996-08-30,238.828
1996-09-30,231.466
1996-10-31,231.016
1996-11-29,234.349
1996-12-31,224.972
1997-01-31,224.287
1997-02-28,229.149
1997-03-31,244.774
1997-04-30,248.585
1997-05-30,273.63
1997-06-30,289.654
1997-07-31,290.302
1997-08-29,269.905
1997-09-30,302.178
1997-10-31,301.607
1997-11-28,314.222
1997-12-31,329.071
1998-01-30,334.101
1998-02-27,371.579
1998-03-31,401.771
1998-04-30,418.524
1998-05-29,443.099
1998-06-30,453.822
1998-07-31,496.175
1998-08-31,388.863
1998-09-30,308.353
1998-10-30,375.337
1998-11-30,397.704
1998-12-31,394.054
1999-01-29,394.765
1999-02-26,383.907
1999-03-31,408.225
1999-04-30,436.997
1999-05-31,405.487
1999-06-30,406.28
1999-07-30,422.918
1999-08-31,413.8
1999-09-30,414.837
1999-10-29,421.521
1999-11-30,413.043
1999-12-31,428.047
2000-01-31,390.085
2000-02-29,384.62
2000-03-31,421.321
2000-04-28,402.308
2000-05-31,428.002
2000-06-30,453.809
2000-07-31,461.043
2000-08-31,455.038
2000-09-29,431.246
2000-10-31,431.304
2000-11-30,443.244
2000-12-29,492.164
2001-01-31,501.895
2001-02-28,462.443
2001-03-30,412.753
2001-04-30,428.684
2001-05-31,416.499
2001-06-29,405.253
2001-07-31,401.042
2001-08-31,405.938
2001-09-28,356.899
2001-10-31,363.87
2001-11-30,381.083
2001-12-31,379.696
2002-01-31,351.878
2002-02-28,352.386
2002-03-29,384.074
2002-04-30,388.175
2002-05-31,409.998
2002-06-28,385.878
2002-07-31,316.973
2002-08-30,324.835
2002-09-30,288.694
2002-10-31,315.328
2002-11-29,342.895
2002-12-31,324.875
2003-01-31,305.163
2003-02-28,284.0
2003-03-31,283.295
2003-04-30,329.661
2003-05-30,364.346
2003-06-30,366.111
2003-07-31,388.231
2003-08-29,390.032
2003-09-30,400.85
2003-10-31,423.788
2003-11-28,441.226
2003-12-31,481.138
2004-01-30,499.834
2004-02-27,502.794
2004-03-31,484.646
2004-04-30,478.825
2004-05-31,475.147
2004-06-30,491.303
2004-07-30,450.859
2004-08-31,442.215
2004-09-30,452.184
