Date,SWITZERLAND LARGE GROWTH Large Cap
2001-01-01,603.115
2001-01-02,607.917
2001-01-03,608.83
2001-01-04,597.622
2001-01-05,588.317
2001-01-08,586.616
2001-01-09,580.097
2001-01-10,569.273
2001-01-11,571.161
2001-01-12,565.194
2001-01-15,564.432
2001-01-16,565.267
2001-01-17,564.333
2001-01-18,571.1
2001-01-19,556.853
2001-01-22,556.535
2001-01-23,559.369
2001-01-24,553.847
2001-01-25,557.759
2001-01-26,563.657
2001-01-29,563.303
2001-01-30,566.435
2001-01-31,566.423
2001-02-01,565.92
2001-02-02,562.185
2001-02-05,570.498
2001-02-06,567.246
2001-02-07,566.965
2001-02-08,557.672
2001-02-09,561.966
2001-02-12,564.304
2001-02-13,558.042
2001-02-14,550.676
2001-02-15,544.619
2001-02-16,542.377
2001-02-19,545.952
2001-02-20,535.869
2001-02-21,537.747
2001-02-22,535.671
2001-02-23,534.372
2001-02-26,536.396
2001-02-27,542.271
2001-02-28,543.586
2001-03-01,540.451
2001-03-02,542.253
2001-03-05,541.809
2001-03-06,542.251
2001-03-07,539.282
2001-03-08,536.361
2001-03-09,534.841
2001-03-12,526.887
2001-03-13,519.216
2001-03-14,506.059
2001-03-15,507.208
2001-03-16,492.386
2001-03-19,487.175
2001-03-20,488.657
2001-03-21,482.31
2001-03-22,456.725
2001-03-23,470.256
2001-03-26,487.168
2001-03-27,489.334
2001-03-28,484.537
2001-03-29,488.685
2001-03-30,498.402
2001-04-02,485.755
2001-04-03,479.649
2001-04-04,486.846
2001-04-05,493.565
2001-04-06,493.98
2001-04-09,500.987
2001-04-10,500.785
2001-04-11,502.984
2001-04-12,508.594
2001-04-13,508.594
2001-04-16,503.421
2001-04-17,501.051
2001-04-18,499.522
2001-04-19,502.341
2001-04-20,506.727
2001-04-23,500.252
2001-04-24,504.24
2001-04-25,502.051
2001-04-26,503.325
2001-04-27,500.024
2001-04-30,501.773
2001-05-01,503.267
2001-05-02,507.131
2001-05-03,506.028
2001-05-04,512.321
2001-05-07,519.331
2001-05-08,518.061
2001-05-09,513.288
2001-05-10,520.891
2001-05-11,521.579
2001-05-14,518.928
2001-05-15,524.09
2001-05-16,528.529
2001-05-17,528.471
2001-05-18,527.346
2001-05-21,527.63
2001-05-22,524.083
2001-05-23,521.747
2001-05-24,520.456
2001-05-25,518.259
2001-05-28,520.129
2001-05-29,513.565
2001-05-30,513.032
2001-05-31,504.965
2001-06-01,507.227
2001-06-04,508.387
2001-06-05,513.746
2001-06-06,511.266
2001-06-07,512.974
2001-06-08,508.096
2001-06-11,502.155
2001-06-12,501.2
2001-06-13,504.608
2001-06-14,503.077
2001-06-15,502.812
2001-06-18,501.554
2001-06-19,493.099
2001-06-20,489.563
2001-06-21,491.54
2001-06-22,484.796
2001-06-25,487.419
2001-06-26,480.768
2001-06-27,474.389
2001-06-28,479.446
2001-06-29,485.479
2001-07-02,490.194
2001-07-03,485.761
2001-07-04,481.494
2001-07-05,473.647
2001-07-06,471.459
2001-07-09,474.07
2001-07-10,468.612
2001-07-11,470.927
2001-07-12,474.88
2001-07-13,475.639
2001-07-16,476.539
2001-07-17,473.074
2001-07-18,485.436
2001-07-19,494.021
2001-07-20,491.748
2001-07-23,487.175
2001-07-24,477.7
2001-07-25,473.147
2001-07-26,471.258
2001-07-27,475.17
2001-07-30,478.456
2001-07-31,481.324
2001-08-01,489.753
2001-08-02,492.771
2001-08-03,491.05
2001-08-06,490.292
2001-08-07,487.982
2001-08-08,486.335
2001-08-09,482.018
2001-08-10,475.581
2001-08-13,484.909
2001-08-14,487.571
2001-08-15,490.764
2001-08-16,487.85
2001-08-17,486.877
2001-08-20,482.146
2001-08-21,491.189
2001-08-22,489.405
2001-08-23,483.756
2001-08-24,487.199
2001-08-27,489.079
2001-08-28,483.456
2001-08-29,477.192
2001-08-30,472.014
2001-08-31,477.232
2001-09-03,467.88
2001-09-04,467.358
2001-09-05,463.536
2001-09-06,460.089
2001-09-07,455.384
2001-09-10,444.339
2001-09-11,423.512
2001-09-12,438.63
2001-09-13,445.256
2001-09-14,434.565
2001-09-17,447.044
2001-09-18,445.912
2001-09-19,445.87
2001-09-20,427.503
2001-09-21,408.455
2001-09-24,424.998
2001-09-25,440.905
2001-09-26,442.978
2001-09-27,450.721
2001-09-28,464.192
2001-10-01,456.935
2001-10-02,458.86
2001-10-03,460.803
2001-10-04,466.741
2001-10-05,465.052
2001-10-08,467.984
2001-10-09,465.388
2001-10-10,464.485
2001-10-11,468.438
2001-10-12,463.548
2001-10-15,462.69
2001-10-16,460.55
2001-10-17,459.158
2001-10-18,464.868
2001-10-19,462.39
2001-10-22,467.271
2001-10-23,468.918
2001-10-24,468.762
2001-10-25,465.768
2001-10-26,467.798
2001-10-29,464.09
2001-10-30,458.514
2001-10-31,460.387
2001-11-01,464.429
2001-11-02,463.94
2001-11-05,466.403
2001-11-06,466.755
2001-11-07,468.845
2001-11-08,475.605
2001-11-09,472.46
2001-11-12,467.336
2001-11-13,468.332
2001-11-14,471.829
2001-11-15,478.43
2001-11-16,483.968
2001-11-19,485.723
2001-11-20,480.415
2001-11-21,477.984
2001-11-22,482.153
2001-11-23,472.636
2001-11-26,472.573
2001-11-27,469.416
2001-11-28,464.11
2001-11-29,463.789
2001-11-30,463.119
2001-12-03,461.603
2001-12-04,472.531
2001-12-05,474.757
2001-12-06,473.811
2001-12-07,470.986
2001-12-10,461.483
