Date,SWITZERLAND LARGE VALUE Large Cap
2001-01-01,502.701
2001-01-02,506.704
2001-01-03,504.505
2001-01-04,517.726
2001-01-05,509.97
2001-01-08,507.737
2001-01-09,501.426
2001-01-10,498.874
2001-01-11,505.181
2001-01-12,502.552
2001-01-15,497.055
2001-01-16,497.195
2001-01-17,500.634
2001-01-18,510.179
2001-01-19,504.772
2001-01-22,505.02
2001-01-23,508.014
2001-01-24,502.949
2001-01-25,503.819
2001-01-26,505.271
2001-01-29,505.734
2001-01-30,510.98
2001-01-31,514.732
2001-02-01,511.987
2001-02-02,509.871
2001-02-05,513.866
2001-02-06,508.916
2001-02-07,506.561
2001-02-08,489.883
2001-02-09,489.165
2001-02-12,486.949
2001-02-13,484.908
2001-02-14,478.956
2001-02-15,476.21
2001-02-16,472.392
2001-02-19,476.519
2001-02-20,468.018
2001-02-21,461.265
2001-02-22,462.642
2001-02-23,455.219
2001-02-26,460.833
2001-02-27,465.445
2001-02-28,465.13
2001-03-01,463.018
2001-03-02,463.493
2001-03-05,464.491
2001-03-06,470.44
2001-03-07,467.61
2001-03-08,468.429
2001-03-09,463.514
2001-03-12,452.49
2001-03-13,444.428
2001-03-14,433.129
2001-03-15,434.1
2001-03-16,416.918
2001-03-19,414.971
2001-03-20,423.567
2001-03-21,412.205
2001-03-22,373.969
2001-03-23,387.31
2001-03-26,405.089
2001-03-27,409.717
2001-03-28,401.013
2001-03-29,402.689
2001-03-30,411.333
2001-04-02,404.71
2001-04-03,395.012
2001-04-04,397.671
2001-04-05,406.378
2001-04-06,404.823
2001-04-09,416.267
2001-04-10,420.119
2001-04-11,424.884
2001-04-12,428.434
2001-04-13,428.434
2001-04-16,424.076
2001-04-17,425.052
2001-04-18,427.019
2001-04-19,435.086
2001-04-20,437.776
2001-04-23,430.778
2001-04-24,435.259
2001-04-25,433.205
2001-04-26,432.99
2001-04-27,432.328
2001-04-30,434.161
2001-05-01,435.453
2001-05-02,436.892
2001-05-03,430.692
2001-05-04,432.236
2001-05-07,436.284
2001-05-08,428.547
2001-05-09,424.601
2001-05-10,432.512
2001-05-11,430.727
2001-05-14,425.707
2001-05-15,435.355
2001-05-16,439.005
2001-05-17,444.084
2001-05-18,442.812
2001-05-21,444.83
2001-05-22,443.748
2001-05-23,443.026
2001-05-24,441.93
2001-05-25,439.43
2001-05-28,438.626
2001-05-29,433.89
2001-05-30,431.55
2001-05-31,422.649
2001-06-01,423.384
2001-06-04,424.352
2001-06-05,431.976
