Date,SWITZERLAND MID GROWTH Mid Cap
2001-01-01,665.268
2001-01-02,670.564
2001-01-03,642.313
2001-01-04,655.751
2001-01-05,652.623
2001-01-08,650.027
2001-01-09,644.438
2001-01-10,642.463
2001-01-11,652.916
2001-01-12,655.178
2001-01-15,648.414
2001-01-16,641.524
2001-01-17,643.729
2001-01-18,665.07
2001-01-19,660.43
2001-01-22,651.727
2001-01-23,645.778
2001-01-24,640.614
2001-01-25,648.426
2001-01-26,650.159
2001-01-29,647.251
2001-01-30,648.457
2001-01-31,651.371
2001-02-01,650.748
2001-02-02,643.875
2001-02-05,649.743
2001-02-06,645.552
2001-02-07,642.807
2001-02-08,631.481
2001-02-09,623.589
2001-02-12,623.611
2001-02-13,618.59
2001-02-14,607.6
2001-02-15,604.971
2001-02-16,605.653
2001-02-19,605.609
2001-02-20,600.417
2001-02-21,592.837
2001-02-22,578.353
2001-02-23,571.071
2001-02-26,577.733
2001-02-27,582.157
2001-02-28,576.403
2001-03-01,546.239
2001-03-02,555.338
2001-03-05,555.047
2001-03-06,570.095
2001-03-07,573.99
2001-03-08,578.475
2001-03-09,566.626
2001-03-12,548.597
2001-03-13,541.823
2001-03-14,522.323
2001-03-15,515.42
2001-03-16,504.936
2001-03-19,510.798
2001-03-20,518.405
2001-03-21,500.787
2001-03-22,468.934
2001-03-23,489.259
2001-03-26,503.447
2001-03-27,510.392
2001-03-28,505.468
2001-03-29,499.703
2001-03-30,509.702
2001-04-02,498.607
2001-04-03,482.535
2001-04-04,480.16
2001-04-05,489.965
2001-04-06,492.629
2001-04-09,497.517
2001-04-10,499.296
2001-04-11,507.448
2001-04-12,517.694
2001-04-13,517.694
2001-04-16,512.429
2001-04-17,512.759
2001-04-18,522.496
2001-04-19,540.043
2001-04-20,528.941
2001-04-23,519.389
2001-04-24,522.685
2001-04-25,518.252
2001-04-26,523.576
2001-04-27,515.611
2001-04-30,518.427
2001-05-01,519.971
2001-05-02,524.758
2001-05-03,523.146
2001-05-04,525.186
2001-05-07,528.885
2001-05-08,526.299
2001-05-09,523.409
2001-05-10,528.921
2001-05-11,526.281
2001-05-14,521.088
2001-05-15,524.545
2001-05-16,525.019
2001-05-17,531.988
2001-05-18,529.084
2001-05-21,527.407
2001-05-22,529.959
2001-05-23,524.181
2001-05-24,522.884
2001-05-25,516.614
2001-05-28,516.342
2001-05-29,512.566
2001-05-30,508.455
2001-05-31,503.243
2001-06-01,504.192
2001-06-04,505.345
2001-06-05,509.303
2001-06-06,506.005
2001-06-07,509.909
2001-06-08,507.597
2001-06-11,503.087
2001-06-12,496.437
2001-06-13,504.511
2001-06-14,500.924
2001-06-15,493.813
2001-06-18,489.61
2001-06-19,486.31
2001-06-20,473.125
2001-06-21,475.513
2001-06-22,476.794
2001-06-25,481.087
2001-06-26,471.691
2001-06-27,472.121
2001-06-28,473.841
2001-06-29,477.123
2001-07-02,478.485
2001-07-03,471.873
2001-07-04,467.903
2001-07-05,459.172
2001-07-06,451.845
2001-07-09,449.524
2001-07-10,454.205
2001-07-11,448.84
2001-07-12,450.362
2001-07-13,448.059
2001-07-16,446.202
2001-07-17,435.191
2001-07-18,445.619
2001-07-19,448.461
2001-07-20,447.003
2001-07-23,441.738
2001-07-24,445.088
2001-07-25,443.965
2001-07-26,438.242
2001-07-27,441.693
2001-07-30,445.484
2001-07-31,446.09
2001-08-01,453.343
2001-08-02,458.318
2001-08-03,459.049
2001-08-06,454.648
2001-08-07,451.629
2001-08-08,447.508
2001-08-09,444.923
2001-08-10,441.639
2001-08-13,441.102
2001-08-14,448.108
2001-08-15,449.801
2001-08-16,444.458
2001-08-17,438.47
2001-08-20,436.318
2001-08-21,433.821
2001-08-22,427.986
2001-08-23,428.158
2001-08-24,438.087
2001-08-27,442.492
2001-08-28,436.815
2001-08-29,435.375
2001-08-30,432.266
2001-08-31,431.465
2001-09-03,420.107
2001-09-04,418.58
2001-09-05,411.71
2001-09-06,398.627
2001-09-07,396.779
2001-09-10,385.839
2001-09-11,367.048
2001-09-12,374.096
2001-09-13,378.253
2001-09-14,368.459
2001-09-17,369.231
2001-09-18,367.748
2001-09-19,366.878
2001-09-20,349.161
2001-09-21,336.677
2001-09-24,348.509
2001-09-25,361.761
2001-09-26,360.823
2001-09-27,355.143
2001-09-28,366.556
2001-10-01,366.576
2001-10-02,364.71
2001-10-03,368.988
2001-10-04,382.804
2001-10-05,378.297
2001-10-08,382.811
2001-10-09,384.613
2001-10-10,384.899
2001-10-11,393.927
2001-10-12,395.025
2001-10-15,389.257
2001-10-16,389.894
2001-10-17,400.906
2001-10-18,393.171
2001-10-19,385.816
2001-10-22,388.312
2001-10-23,398.558
2001-10-24,404.389
2001-10-25,399.449
2001-10-26,404.711
2001-10-29,409.583
2001-10-30,400.831
