Date,SWITZERLAND MID VALUE Mid Cap
2001-01-01,1025.52
2001-01-02,1033.685
2001-01-03,1042.352
2001-01-04,1039.599
2001-01-05,1047.252
2001-01-08,1057.767
2001-01-09,1046.427
2001-01-10,1038.128
2001-01-11,1041.454
2001-01-12,1033.603
2001-01-15,1028.223
2001-01-16,1029.202
2001-01-17,1025.305
2001-01-18,1047.587
2001-01-19,1026.834
2001-01-22,1020.187
2001-01-23,1022.57
2001-01-24,1013.33
2001-01-25,1017.994
2001-01-26,1019.986
2001-01-29,1021.567
2001-01-30,1024.675
2001-01-31,1031.534
2001-02-01,1044.667
2001-02-02,1038.268
2001-02-05,1052.75
2001-02-06,1051.543
2001-02-07,1050.229
2001-02-08,1037.553
2001-02-09,1043.492
2001-02-12,1045.946
2001-02-13,1037.588
2001-02-14,1036.245
2001-02-15,1023.382
2001-02-16,1026.369
2001-02-19,1032.194
2001-02-20,1020.255
2001-02-21,1024.314
2001-02-22,1016.001
2001-02-23,1016.326
2001-02-26,1019.141
2001-02-27,1026.83
2001-02-28,1028.251
2001-03-01,1028.499
2001-03-02,1032.245
2001-03-05,1028.194
2001-03-06,1036.556
2001-03-07,1039.222
2001-03-08,1037.52
2001-03-09,1038.897
2001-03-12,1027.708
2001-03-13,1005.577
2001-03-14,981.946
2001-03-15,985.83
2001-03-16,970.352
2001-03-19,955.951
2001-03-20,959.213
2001-03-21,935.033
2001-03-22,892.386
2001-03-23,913.496
2001-03-26,932.284
2001-03-27,936.218
2001-03-28,933.71
2001-03-29,934.691
2001-03-30,943.087
2001-04-02,934.856
2001-04-03,919.765
2001-04-04,926.348
2001-04-05,935.15
2001-04-06,932.99
2001-04-09,934.784
2001-04-10,934.266
2001-04-11,929.157
2001-04-12,943.926
2001-04-13,943.926
2001-04-16,934.325
2001-04-17,929.095
2001-04-18,916.293
2001-04-19,930.847
2001-04-20,937.842
2001-04-23,931.99
2001-04-24,932.166
2001-04-25,931.226
2001-04-26,936.751
2001-04-27,931.738
2001-04-30,929.311
2001-05-01,932.078
2001-05-02,936.188
2001-05-03,929.221
2001-05-04,931.624
2001-05-07,933.49
2001-05-08,930.002
2001-05-09,928.836
2001-05-10,925.89
2001-05-11,922.657
2001-05-14,923.997
2001-05-15,934.169
2001-05-16,946.38
2001-05-17,952.032
2001-05-18,948.139
2001-05-21,943.521
2001-05-22,933.811
2001-05-23,922.588
2001-05-24,920.306
2001-05-25,912.926
2001-05-28,910.999
2001-05-29,907.248
2001-05-30,904.834
2001-05-31,899.102
2001-06-01,900.764
2001-06-04,902.824
2001-06-05,914.099
2001-06-06,913.975
2001-06-07,918.012
2001-06-08,911.699
2001-06-11,902.505
2001-06-12,898.488
2001-06-13,901.59
2001-06-14,904.567
2001-06-15,907.485
2001-06-18,897.854
2001-06-19,893.051
2001-06-20,877.01
2001-06-21,876.842
2001-06-22,874.733
2001-06-25,881.623
2001-06-26,875.819
2001-06-27,871.505
2001-06-28,865.838
2001-06-29,870.564
2001-07-02,870.609
2001-07-03,867.84
2001-07-04,862.742
2001-07-05,849.736
2001-07-06,852.286
2001-07-09,854.335
2001-07-10,850.959
2001-07-11,847.134
2001-07-12,852.18
2001-07-13,853.167
2001-07-16,849.533
2001-07-17,844.862
2001-07-18,873.68
2001-07-19,885.324
2001-07-20,882.723
2001-07-23,875.799
2001-07-24,871.54
2001-07-25,869.751
2001-07-26,868.057
2001-07-27,866.41
2001-07-30,875.532
2001-07-31,871.443
2001-08-01,879.713
2001-08-02,888.47
2001-08-03,891.667
2001-08-06,885.305
2001-08-07,885.639
2001-08-08,880.36
2001-08-09,879.41
2001-08-10,883.401
2001-08-13,893.804
2001-08-14,893.315
2001-08-15,898.486
2001-08-16,889.963
2001-08-17,887.054
