Date,SWITZERLAND SMID CAP SMID (Small+Mid Cap)
2001-01-01,476.056
2001-01-02,479.759
2001-01-03,471.652
2001-01-04,475.569
2001-01-05,475.334
2001-01-08,474.075
2001-01-09,470.257
2001-01-10,467.946
2001-01-11,472.204
2001-01-12,472.84
2001-01-15,469.133
2001-01-16,467.836
2001-01-17,469.092
2001-01-18,480.916
2001-01-19,476.106
2001-01-22,472.416
2001-01-23,470.322
2001-01-24,466.055
2001-01-25,469.48
2001-01-26,469.72
2001-01-29,468.814
2001-01-30,470.578
2001-01-31,472.281
2001-02-01,474.802
2001-02-02,469.48
2001-02-05,474.173
2001-02-06,471.016
2001-02-07,469.864
2001-02-08,463.398
2001-02-09,462.12
2001-02-12,463.592
2001-02-13,459.68
2001-02-14,454.916
2001-02-15,450.195
2001-02-16,451.241
2001-02-19,451.852
2001-02-20,447.48
2001-02-21,445.693
2001-02-22,438.867
2001-02-23,436.263
2001-02-26,439.527
2001-02-27,442.761
2001-02-28,440.442
2001-03-01,432.706
2001-03-02,435.3
2001-03-05,434.185
2001-03-06,439.96
2001-03-07,441.264
2001-03-08,442.819
2001-03-09,438.848
2001-03-12,430.725
2001-03-13,424.08
2001-03-14,413.009
2001-03-15,409.861
2001-03-16,401.842
2001-03-19,400.83
2001-03-20,404.476
2001-03-21,393.994
2001-03-22,374.743
2001-03-23,386.579
2001-03-26,394.16
2001-03-27,397.41
2001-03-28,395.233
2001-03-29,391.988
2001-03-30,396.948
2001-04-02,392.671
2001-04-03,385.545
2001-04-04,387.176
2001-04-05,390.792
2001-04-06,392.569
2001-04-09,393.87
2001-04-10,392.902
2001-04-11,395.403
2001-04-12,400.162
2001-04-13,400.162
2001-04-16,396.092
2001-04-17,394.378
2001-04-18,394.113
2001-04-19,403.721
2001-04-20,404.831
2001-04-23,401.097
2001-04-24,400.558
2001-04-25,398.732
2001-04-26,402.086
2001-04-27,398.323
2001-04-30,398.112
2001-05-01,399.297
2001-05-02,402.148
2001-05-03,402.173
2001-05-04,401.899
2001-05-07,402.688
2001-05-08,400.878
2001-05-09,399.719
2001-05-10,400.94
2001-05-11,399.507
2001-05-14,397.103
2001-05-15,399.863
2001-05-16,402.389
2001-05-17,405.329
2001-05-18,404.25
2001-05-21,403.886
2001-05-22,403.111
2001-05-23,399.477
2001-05-24,398.489
