Date,SWITZERLAND SMID CAP SMID (Small+Mid Cap)
1994-05-31,238.468
1994-06-30,240.71
1994-07-29,240.225
1994-08-31,245.045
1994-09-30,245.541
1994-10-31,246.69
1994-11-30,236.422
1994-12-30,240.033
1995-01-31,236.773
1995-02-28,244.277
1995-03-31,256.38
1995-04-28,258.43
1995-05-31,267.489
1995-06-30,276.093
1995-07-31,274.797
1995-08-31,259.917
1995-09-29,275.535
1995-10-31,273.314
1995-11-30,263.448
1995-12-29,271.469
1996-01-31,268.645
1996-02-29,275.394
1996-03-29,287.177
1996-04-30,280.917
1996-05-31,276.506
1996-06-28,276.017
1996-07-31,268.738
1996-08-30,276.678
1996-09-30,267.884
1996-10-31,267.56
1996-11-29,268.94
1996-12-31,262.863
1997-01-31,265.032
1997-02-28,263.481
1997-03-31,275.771
1997-04-30,278.439
1997-05-30,302.513
1997-06-30,314.036
1997-07-31,315.286
1997-08-29,311.37
1997-09-30,330.438
1997-10-31,328.035
1997-11-28,326.604
1997-12-31,328.061
1998-01-30,336.411
1998-02-27,367.304
1998-03-31,390.013
1998-04-30,402.683
1998-05-29,435.475
1998-06-30,419.244
1998-07-31,435.338
1998-08-31,365.834
1998-09-30,324.333
1998-10-30,366.983
1998-11-30,380.282
1998-12-31,386.867
1999-01-29,366.039
1999-02-26,359.945
1999-03-31,369.0
1999-04-30,377.762
1999-05-31,374.52
1999-06-30,372.757
1999-07-30,385.636
1999-08-31,387.263
1999-09-30,393.687
1999-10-29,396.996
1999-11-30,395.893
1999-12-31,421.108
2000-01-31,438.044
2000-02-29,458.524
2000-03-31,472.893
2000-04-28,447.255
2000-05-31,454.895
2000-06-30,482.431
2000-07-31,491.436
2000-08-31,492.816
2000-09-29,491.609
2000-10-31,462.581
2000-11-30,452.036
2000-12-29,489.607
2001-01-31,485.724
2001-02-28,452.971
2001-03-30,408.126
2001-04-30,409.053
2001-05-31,397.15
2001-06-29,380.986
2001-07-31,368.771
2001-08-31,360.452
2001-09-28,304.277
2001-10-31,319.982
2001-11-30,336.709
2001-12-31,341.466
2002-01-31,329.63
2002-02-28,326.984
2002-03-29,351.466
2002-04-30,361.502
2002-05-31,376.978
2002-06-28,360.277
2002-07-31,311.321
2002-08-30,304.767
2002-09-30,274.64
2002-10-31,285.285
2002-11-29,298.069
2002-12-31,294.701
2003-01-31,280.382
2003-02-28,261.625
2003-03-31,263.108
2003-04-30,293.464
2003-05-30,310.887
2003-06-30,307.955
2003-07-31,326.687
2003-08-29,344.181
2003-09-30,359.462
2003-10-31,384.468
2003-11-28,402.054
2003-12-31,429.23
2004-01-30,451.664
2004-02-27,451.412
2004-03-31,438.197
2004-04-30,437.368
2004-05-31,449.621
2004-06-30,462.841
2004-07-30,435.286
2004-08-31,435.706
2004-09-30,450.289
2004-10-29,465.198
2004-11-30,505.232
2004-12-31,522.576
2005-01-31,524.233
2005-02-28,557.564
2005-03-31,538.989
2005-04-29,519.713
2005-05-31,510.252
2005-06-30,512.929
2005-07-29,541.833
2005-08-31,557.664
2005-09-30,573.124
2005-10-31,552.272
2005-11-30,561.702
2005-12-30,586.117
2006-01-31,626.789
2006-02-28,633.701
