Date,SWITZERLAND SMID VALUE SMID (Small+Mid Cap)
1994-05-31,202.805
1994-06-30,206.259
1994-07-29,207.851
1994-08-31,211.23
1994-09-30,213.222
1994-10-31,215.458
1994-11-30,206.524
1994-12-30,208.794
1995-01-31,207.725
1995-02-28,213.645
1995-03-31,224.718
1995-04-28,231.032
1995-05-31,236.845
1995-06-30,245.996
1995-07-31,244.578
1995-08-31,230.272
1995-09-29,245.489
1995-10-31,244.119
1995-11-30,233.71
1995-12-29,242.994
1996-01-31,238.241
1996-02-29,242.325
1996-03-29,251.989
1996-04-30,245.6
1996-05-31,241.528
1996-06-28,242.624
1996-07-31,237.272
1996-08-30,242.852
1996-09-30,233.965
1996-10-31,233.804
1996-11-29,233.229
1996-12-31,224.576
1997-01-31,225.491
1997-02-28,226.137
1997-03-31,236.8
1997-04-30,239.665
1997-05-30,260.366
1997-06-30,271.81
1997-07-31,272.119
1997-08-29,269.405
1997-09-30,288.608
1997-10-31,289.93
1997-11-28,289.943
1997-12-31,292.387
1998-01-30,302.455
1998-02-27,332.875
1998-03-31,359.187
1998-04-30,377.596
1998-05-29,408.989
1998-06-30,399.918
1998-07-31,418.764
1998-08-31,354.046
1998-09-30,312.931
1998-10-30,353.022
1998-11-30,364.349
1998-12-31,376.057
1999-01-29,354.114
1999-02-26,343.801
1999-03-31,350.912
1999-04-30,359.397
1999-05-31,354.555
1999-06-30,353.187
1999-07-30,363.007
1999-08-31,364.986
1999-09-30,373.273
1999-10-29,373.74
1999-11-30,365.732
1999-12-31,381.715
2000-01-31,389.967
2000-02-29,393.951
2000-03-31,404.164
2000-04-28,387.788
2000-05-31,396.144
2000-06-30,414.945
2000-07-31,421.313
2000-08-31,418.978
2000-09-29,408.961
2000-10-31,393.616
2000-11-30,399.643
2000-12-29,439.295
2001-01-31,441.762
2001-02-28,434.354
2001-03-30,400.277
2001-04-30,396.655
2001-05-31,386.048
2001-06-29,374.385
2001-07-31,371.487
2001-08-31,369.223
2001-09-28,315.427
2001-10-31,322.189
2001-11-30,335.107
2001-12-31,337.294
2002-01-31,330.524
2002-02-28,329.252
2002-03-29,356.942
2002-04-30,375.201
2002-05-31,397.612
2002-06-28,393.296
2002-07-31,338.193
2002-08-30,334.248
2002-09-30,303.996
2002-10-31,303.792
2002-11-29,316.212
2002-12-31,317.695
2003-01-31,296.655
2003-02-28,279.619
2003-03-31,280.668
2003-04-30,309.967
2003-05-30,337.986
2003-06-30,336.383
2003-07-31,361.355
2003-08-29,382.975
2003-09-30,398.734
2003-10-31,418.203
2003-11-28,436.88
2003-12-31,465.475
2004-01-30,482.789
2004-02-27,482.118
2004-03-31,464.142
2004-04-30,453.694
2004-05-31,464.984
2004-06-30,481.327
2004-07-30,438.295
2004-08-31,427.596
2004-09-30,439.079
2004-10-29,460.31
2004-11-30,504.566
2004-12-31,523.733
2005-01-31,539.104
2005-02-28,569.532
2005-03-31,559.053
2005-04-29,537.213
2005-05-31,520.929
2005-06-30,517.258
2005-07-29,545.806
2005-08-31,559.328
2005-09-30,577.435
2005-10-31,559.076
2005-11-30,568.755
2005-12-30,603.7
2006-01-31,646.688
2006-02-28,662.297
2006-03-31,697.004
2006-04-28,750.922
2006-05-31,722.757
2006-06-30,715.855
2006-07-31,720.832
2006-08-31,743.298
2006-09-29,767.589
2006-10-31,795.411
2006-11-30,835.66
2006-12-29,863.01
2007-01-31,914.853
2007-02-28,909.745
2007-03-30,950.372
2007-04-30,992.829
2007-05-31,1000.0
2007-06-29,981.578
2007-07-31,957.598
2007-08-31,914.864
2007-09-28,948.702
2007-10-31,989.336
2007-11-30,947.824
2007-12-31,933.708
2008-01-31,870.28
2008-02-29,922.538
2008-03-31,966.251
2008-04-30,991.411
2008-05-30,990.348
2008-06-30,939.364
2008-07-31,901.529
2008-08-29,834.047
2008-09-30,760.26
2008-10-31,591.355
2008-11-28,552.41
2008-12-31,616.489
2009-01-30,539.303
2009-02-27,472.224
2009-03-31,514.389
2009-04-30,599.762
2009-05-29,673.534
2009-06-30,651.527
2009-07-31,713.887
2009-08-31,802.962
2009-09-30,852.009
2009-10-30,814.21
2009-11-30,814.44
2009-12-31,811.525
2010-01-29,820.775
2010-02-26,816.786
2010-03-31,888.934
2010-04-30,857.388
2010-05-31,768.202
2010-06-30,786.341
2010-07-30,853.881
2010-08-31,856.923
2010-09-30,940.621
2010-10-29,972.496
2010-11-30,940.57
2010-12-31,1086.764
2011-01-31,1114.642
2011-02-28,1128.177
2011-03-31,1139.832
2011-04-29,1233.852
2011-05-31,1230.358
2011-06-30,1164.384
2011-07-29,1134.767
2011-08-31,1008.944
2011-09-30,837.965
2011-10-31,930.528
2011-11-30,817.139
2011-12-30,786.383
2012-01-31,857.239
2012-02-29,918.526
2012-03-30,925.062
2012-04-30,922.007
2012-05-31,798.49
2012-06-29,839.924
2012-07-31,837.28
2012-08-31,871.016
2012-09-28,912.651
2012-10-31,921.652
2012-11-30,933.322
2012-12-31,972.789
2013-01-31,1043.601
2013-02-28,1057.237
2013-03-29,1036.787
2013-04-30,1086.925
2013-05-31,1089.531
2013-06-28,1069.005
2013-07-31,1156.112
2013-08-30,1167.943
2013-09-30,1239.664
2013-10-31,1296.271
2013-11-29,1308.933
2013-12-31,1353.667
2014-01-31,1357.219
2014-02-28,1457.799
2014-03-31,1452.847
2014-04-30,1481.297
2014-05-30,1470.524
2014-06-30,1457.922
2014-07-31,1412.906
2014-08-29,1441.767
2014-09-30,1350.837
2014-10-31,1345.924
2014-11-28,1377.026
2014-12-31,1354.437
2015-01-30,1380.209
2015-02-27,1463.992
2015-03-31,1456.274
2015-04-30,1538.41
2015-05-29,1519.094
2015-06-30,1458.251
2015-07-31,1473.652
2015-08-31,1401.666
2015-09-30,1316.196
2015-10-30,1396.582
2015-11-30,1369.535
2015-12-31,1409.159
2016-01-29,1303.497
2016-02-29,1321.473
2016-03-31,1415.161
2016-04-29,1427.433
2016-05-31,1414.577
2016-06-30,1336.229
2016-07-29,1400.005
2016-08-31,1419.897
2016-09-30,1441.845
2016-10-31,1427.269
2016-11-30,1429.89
2016-12-30,1480.531
2017-01-31,1544.998
2017-02-28,1580.004
2017-03-31,1610.716
2017-04-28,1705.821
2017-05-31,1775.26
2017-06-30,1788.191
2017-07-31,1845.462
2017-08-31,1820.177
2017-09-29,1852.143
2017-10-31,1847.066
2017-11-30,1869.572
2017-12-29,1949.252
2018-01-31,2069.587
2018-02-28,1987.99
2018-03-30,1924.991
2018-04-30,1933.203
2018-05-31,1886.502
2018-06-29,1870.103
2018-07-31,1885.881
2018-08-31,1897.266
2018-09-28,1863.665
2018-10-31,1757.852
2018-11-30,1754.392
2018-12-31,1672.113
2019-01-31,1801.635
2019-02-28,1842.423
2019-03-29,1853.95
2019-04-30,1939.252
2019-05-31,1903.593
2019-06-28,2040.774
2019-07-31,1980.477
2019-08-30,1986.627
2019-09-30,2026.998
2019-10-31,2086.548
2019-11-29,2100.802
2019-12-31,2206.19
2020-01-31,2201.503
2020-02-28,2031.402
2020-03-31,1650.59
2020-04-30,1790.05
2020-05-29,1840.199
2020-06-30,1889.384
2020-07-31,1934.919
2020-08-31,2062.465
2020-09-30,2006.292
2020-10-30,1881.324
2020-11-30,2222.135
2020-12-31,2345.469
2021-01-29,2355.431
2021-02-26,2372.678
2021-03-31,2393.311
2021-04-30,2469.468
2021-05-31,2615.572
2021-06-30,2542.645
2021-07-30,2605.236
2021-08-31,2572.193
2021-09-30,2425.294
2021-10-29,2513.752
2021-11-30,2411.77
2021-12-31,2560.015
2022-01-31,2507.808
2022-02-28,2460.028
2022-03-31,2470.315
2022-04-29,2328.798
2022-05-31,2311.528
2022-06-30,2094.819
2022-07-29,2240.214
2022-08-31,2141.419
2022-09-30,1924.509
2022-10-31,2019.983
2022-11-30,2212.373
2022-12-30,2269.475
2023-01-31,2502.764
2023-02-28,2483.463
2023-03-31,2494.956
2023-04-28,2627.115
2023-05-31,2419.265
2023-06-30,2463.765
2023-07-31,2706.711
2023-08-31,2607.076
2023-09-29,2453.99
2023-10-31,2399.005
2023-11-30,2540.407
2023-12-29,2687.563
2024-01-31,2651.509
2024-02-29,2581.824
2024-03-29,2584.334
2024-04-30,2537.58
2024-05-31,2702.285
2024-06-28,2673.779
2024-07-31,2834.214
2024-08-30,2942.289
2024-09-30,2985.572
2024-10-31,2870.056
2024-11-29,2816.349
2024-12-31,2686.161
2025-01-31,2865.439
2025-02-28,2898.017
2025-03-31,2951.41
2025-04-30,3204.565
2025-05-30,3383.605
2025-06-30,3476.34
