Date,SWITZERLAND Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,97.454
1970-02-27,95.793
1970-03-31,95.713
1970-04-30,86.602
1970-05-29,84.378
1970-06-30,84.823
1970-07-31,88.062
1970-08-31,91.919
1970-09-30,87.967
1970-10-30,86.844
1970-11-30,83.34
1970-12-31,86.183
1971-01-29,93.898
1971-02-26,94.412
1971-03-31,99.366
1971-04-30,102.188
1971-05-31,98.308
1971-06-30,102.935
1971-07-30,105.21
1971-08-31,106.35
1971-09-30,102.585
1971-10-29,94.927
1971-11-30,104.837
1971-12-31,109.071
1972-01-31,118.236
1972-02-29,124.206
1972-03-31,127.483
1972-04-28,127.076
1972-05-31,136.483
1972-06-30,126.592
1972-07-31,135.286
1972-08-31,139.642
1972-09-29,138.861
1972-10-31,137.428
1972-11-30,132.867
1972-12-29,139.408
1973-01-31,145.334
1973-02-28,156.807
1973-03-30,154.631
1973-04-30,146.614
1973-05-31,161.386
1973-06-29,169.405
1973-07-31,157.531
1973-08-31,150.094
1973-09-28,157.94
1973-10-31,160.649
1973-11-30,137.178
1973-12-31,133.158
1974-01-31,137.134
1974-02-28,134.334
1974-03-29,140.762
1974-04-30,140.181
1974-05-31,121.836
1974-06-28,125.513
1974-07-31,130.075
1974-08-30,114.033
1974-09-30,103.625
1974-10-31,112.795
1974-11-29,114.779
1974-12-31,115.372
1975-01-31,143.605
1975-02-28,152.524
1975-03-31,148.941
1975-04-30,156.493
1975-05-30,154.538
1975-06-30,153.642
1975-07-31,145.325
1975-08-29,138.662
1975-09-30,128.12
1975-10-31,147.347
1975-11-28,154.528
1975-12-31,161.45
1976-01-30,167.646
1976-02-27,166.735
1976-03-31,167.392
1976-04-30,165.982
1976-05-31,167.385
1976-06-30,170.717
1976-07-30,170.701
1976-08-31,170.594
1976-09-30,169.457
1976-10-29,163.49
1976-11-30,165.041
1976-12-31,176.504
1977-01-31,174.491
1977-02-28,170.122
1977-03-31,171.784
1977-04-29,173.796
1977-05-31,168.339
1977-06-30,173.396
1977-07-29,177.291
1977-08-31,183.97
1977-09-30,195.589
1977-10-31,202.953
1977-11-30,209.991
1977-12-30,225.092
1978-01-31,237.646
1978-02-28,242.533
1978-03-31,240.12
1978-04-28,221.652
1978-05-31,229.26
1978-06-30,237.41
1978-07-31,251.127
1978-08-31,266.837
1978-09-29,273.414
1978-10-31,279.006
1978-11-30,247.477
1978-12-29,271.541
1979-01-31,288.751
1979-02-28,287.719
1979-03-30,290.295
1979-04-30,287.249
1979-05-31,275.284
1979-06-29,286.098
1979-07-31,288.342
1979-08-31,295.963
1979-09-28,320.835
1979-10-31,290.678
1979-11-30,298.478
1979-12-31,301.866
1980-01-31,302.949
1980-02-29,282.999
1980-03-31,238.121
1980-04-30,272.102
1980-05-30,273.861
1980-06-30,290.744
1980-07-31,291.612
