Date,SWITZERLAND VALUE Standard (Large+Mid Cap)
2001-01-01,4252.865
2001-01-02,4286.725
2001-01-03,4280.196
2001-01-04,4337.813
2001-01-05,4284.277
2001-01-08,4310.596
2001-01-09,4254.815
2001-01-10,4200.398
2001-01-11,4235.931
2001-01-12,4200.61
2001-01-15,4176.265
2001-01-16,4183.324
2001-01-17,4208.741
2001-01-18,4271.331
2001-01-19,4185.401
2001-01-22,4176.929
2001-01-23,4214.67
2001-01-24,4171.99
2001-01-25,4174.128
2001-01-26,4211.441
2001-01-29,4219.48
2001-01-30,4255.415
2001-01-31,4277.475
2001-02-01,4259.62
2001-02-02,4233.875
2001-02-05,4278.655
2001-02-06,4247.182
2001-02-07,4231.061
2001-02-08,4095.132
2001-02-09,4108.287
2001-02-12,4087.73
2001-02-13,4072.783
2001-02-14,4049.97
2001-02-15,3993.482
2001-02-16,3947.341
2001-02-19,3972.289
2001-02-20,3906.431
2001-02-21,3867.964
2001-02-22,3876.258
2001-02-23,3849.235
2001-02-26,3890.964
2001-02-27,3928.665
2001-02-28,3947.5
2001-03-01,3882.533
2001-03-02,3861.594
2001-03-05,3854.996
2001-03-06,3914.107
2001-03-07,3897.57
2001-03-08,3905.695
2001-03-09,3872.893
2001-03-12,3784.114
2001-03-13,3732.983
2001-03-14,3642.249
2001-03-15,3639.827
2001-03-16,3511.991
2001-03-19,3484.796
2001-03-20,3544.007
2001-03-21,3444.041
2001-03-22,3158.293
2001-03-23,3266.522
2001-03-26,3398.369
2001-03-27,3429.796
2001-03-28,3358.362
2001-03-29,3380.699
2001-03-30,3470.284
2001-04-02,3417.287
2001-04-03,3334.17
2001-04-04,3352.519
2001-04-05,3395.93
2001-04-06,3397.5
2001-04-09,3449.872
2001-04-10,3477.638
2001-04-11,3530.58
2001-04-12,3568.349
2001-04-13,3568.349
2001-04-16,3532.054
2001-04-17,3522.356
2001-04-18,3525.745
2001-04-19,3583.072
2001-04-20,3614.885
2001-04-23,3555.204
2001-04-24,3594.399
2001-04-25,3565.286
2001-04-26,3555.528
2001-04-27,3541.76
2001-04-30,3574.121
2001-05-01,3584.763
2001-05-02,3610.308
2001-05-03,3581.815
2001-05-04,3608.201
2001-05-07,3649.343
2001-05-08,3591.75
2001-05-09,3562.356
2001-05-10,3652.55
2001-05-11,3624.989
2001-05-14,3585.285
2001-05-15,3655.787
2001-05-16,3673.796
2001-05-17,3700.265
2001-05-18,3679.634
2001-05-21,3686.356
2001-05-22,3662.735
2001-05-23,3651.598
2001-05-24,3642.565
2001-05-25,3632.476
2001-05-28,3624.93
2001-05-29,3587.851
2001-05-30,3558.435
2001-05-31,3520.788
2001-06-01,3541.307
2001-06-04,3549.407
2001-06-05,3594.721
2001-06-06,3548.214
2001-06-07,3556.569
2001-06-08,3529.843
2001-06-11,3498.128
2001-06-12,3462.76
2001-06-13,3490.709
2001-06-14,3459.133
2001-06-15,3455.917
2001-06-18,3430.509
2001-06-19,3461.801
2001-06-20,3389.659
2001-06-21,3407.698
2001-06-22,3425.301
2001-06-25,3456.522
2001-06-26,3406.387
2001-06-27,3368.342
2001-06-28,3383.993
2001-06-29,3386.559
2001-07-02,3427.306
2001-07-03,3403.344
2001-07-04,3383.776
2001-07-05,3312.097
2001-07-06,3265.696
2001-07-09,3281.711
2001-07-10,3289.913
2001-07-11,3269.808
2001-07-12,3326.389
2001-07-13,3323.723
2001-07-16,3350.075
2001-07-17,3306.419
2001-07-18,3375.755
2001-07-19,3424.692
2001-07-20,3414.921
2001-07-23,3401.323
2001-07-24,3365.9
2001-07-25,3349.39
2001-07-26,3332.591
2001-07-27,3349.696
2001-07-30,3386.378
2001-07-31,3397.967
2001-08-01,3436.506
2001-08-02,3459.396
2001-08-03,3438.721
2001-08-06,3425.521
2001-08-07,3420.411
2001-08-08,3418.086
2001-08-09,3398.596
2001-08-10,3370.084
2001-08-13,3390.244
2001-08-14,3485.825
2001-08-15,3559.518
2001-08-16,3517.078
2001-08-17,3494.362
2001-08-20,3470.785
2001-08-21,3487.027
2001-08-22,3465.01
2001-08-23,3409.119
2001-08-24,3481.021
2001-08-27,3488.863
2001-08-28,3419.918
2001-08-29,3388.485
2001-08-30,3358.747
2001-08-31,3374.538
2001-09-03,3300.941
2001-09-04,3296.352
2001-09-05,3267.174
2001-09-06,3199.03
2001-09-07,3154.034
2001-09-10,3077.993
2001-09-11,2828.483
2001-09-12,2850.431
2001-09-13,2894.513
2001-09-14,2784.587
2001-09-17,2932.046
2001-09-18,2903.751
2001-09-19,2884.648
2001-09-20,2731.366
2001-09-21,2600.532
2001-09-24,2763.392
2001-09-25,2887.423
2001-09-26,2922.663
2001-09-27,2965.835
2001-09-28,3070.072
2001-10-01,3019.5
2001-10-02,2979.962
2001-10-03,2973.241
2001-10-04,3025.387
2001-10-05,3014.334
2001-10-08,3011.345
2001-10-09,2989.667
2001-10-10,3006.85
2001-10-11,3062.76
2001-10-12,3060.382
2001-10-15,3033.785
2001-10-16,3051.776
2001-10-17,3070.46
2001-10-18,3072.949
2001-10-19,3018.682
2001-10-22,3065.532
2001-10-23,3122.2
2001-10-24,3139.919
2001-10-25,3124.6
2001-10-26,3160.183
2001-10-29,3153.529
2001-10-30,3085.582
2001-10-31,3100.084
2001-11-01,3108.176
2001-11-02,3118.152
2001-11-05,3148.212
2001-11-06,3150.671
2001-11-07,3190.738
2001-11-08,3270.225
2001-11-09,3252.779
2001-11-12,3201.994
2001-11-13,3232.346
2001-11-14,3253.005
2001-11-15,3327.695
2001-11-16,3364.684
2001-11-19,3394.664
2001-11-20,3348.228
2001-11-21,3319.426
2001-11-22,3367.741
2001-11-23,3313.764
2001-11-26,3330.277
2001-11-27,3318.644
2001-11-28,3283.797
2001-11-29,3266.703
2001-11-30,3258.381
2001-12-03,3244.958
2001-12-04,3313.699
2001-12-05,3371.26
2001-12-06,3408.641
2001-12-07,3390.985
2001-12-10,3341.346
2001-12-11,3334.946
2001-12-12,3347.985
2001-12-13,3324.577
2001-12-14,3300.625
2001-12-17,3375.183
2001-12-18,3340.926
2001-12-19,3286.47
2001-12-20,3320.024
2001-12-21,3307.733
2001-12-24,3236.709
2001-12-25,3236.709
2001-12-26,3236.038
2001-12-27,3282.672
2001-12-28,3265.347
2001-12-31,3301.732
2002-01-01,3301.732
2002-01-02,3325.209
2002-01-03,3344.141
2002-01-04,3358.117
2002-01-07,3351.327
2002-01-08,3289.516
2002-01-09,3303.17
2002-01-10,3309.076
2002-01-11,3326.364
2002-01-14,3258.29
2002-01-15,3227.508
2002-01-16,3186.559
2002-01-17,3226.28
2002-01-18,3204.806
2002-01-21,3163.171
2002-01-22,3171.154
2002-01-23,3167.771
2002-01-24,3206.74
2002-01-25,3158.667
2002-01-28,3165.177
2002-01-29,3103.749
2002-01-30,3020.662
2002-01-31,3013.413
2002-02-01,2993.456
2002-02-04,2972.435
2002-02-05,2958.366
2002-02-06,2927.755
2002-02-07,2999.403
2002-02-08,3019.323
2002-02-11,3041.532
2002-02-12,3008.863
2002-02-13,3019.65
2002-02-14,3082.455
2002-02-15,3098.004
2002-02-18,3055.945
2002-02-19,2987.364
2002-02-20,2935.733
2002-02-21,2951.747
2002-02-22,2933.63
2002-02-25,2951.642
2002-02-26,2932.696
2002-02-27,2981.747
2002-02-28,3002.045
2002-03-01,3032.339
2002-03-04,3130.147
2002-03-05,3128.08
2002-03-06,3161.659
2002-03-07,3239.683
2002-03-08,3265.449
2002-03-11,3240.645
2002-03-12,3188.188
2002-03-13,3221.235
2002-03-14,3289.457
2002-03-15,3300.462
2002-03-18,3320.026
2002-03-19,3321.017
2002-03-20,3312.226
2002-03-21,3284.321
2002-03-22,3284.268
2002-03-25,3275.529
2002-03-26,3282.036
2002-03-27,3272.286
2002-03-28,3281.088
2002-03-29,3281.088
2002-04-01,3319.078
2002-04-02,3324.115
2002-04-03,3368.913
2002-04-04,3371.563
2002-04-05,3336.952
2002-04-08,3269.725
2002-04-09,3305.75
2002-04-10,3341.286
2002-04-11,3325.718
2002-04-12,3275.746
2002-04-15,3283.309
2002-04-16,3321.593
2002-04-17,3361.212
2002-04-18,3355.347
2002-04-19,3341.82
2002-04-22,3332.751
2002-04-23,3316.205
2002-04-24,3324.328
2002-04-25,3293.995
2002-04-26,3248.178
2002-04-29,3283.339
2002-04-30,3282.317
2002-05-01,3314.126
2002-05-02,3284.346
2002-05-03,3339.79
2002-05-06,3331.829
2002-05-07,3258.957
2002-05-08,3340.279
2002-05-09,3349.566
2002-05-10,3337.377
2002-05-13,3352.427
2002-05-14,3365.858
2002-05-15,3421.783
2002-05-16,3438.464
2002-05-17,3476.139
2002-05-20,3470.164
2002-05-21,3465.291
2002-05-22,3460.144
2002-05-23,3418.372
2002-05-24,3413.613
2002-05-27,3421.228
2002-05-28,3430.932
2002-05-29,3442.366
2002-05-30,3435.798
2002-05-31,3450.422
2002-06-03,3438.515
2002-06-04,3384.579
2002-06-05,3366.509
2002-06-06,3363.574
2002-06-07,3303.13
2002-06-10,3301.216
2002-06-11,3326.989
2002-06-12,3236.177
2002-06-13,3186.246
2002-06-14,3152.694
2002-06-17,3220.173
2002-06-18,3175.975
2002-06-19,3139.988
2002-06-20,3062.162
2002-06-21,3100.749
2002-06-24,2998.162
2002-06-25,3074.151
2002-06-26,3047.209
2002-06-27,3069.62
2002-06-28,3226.437
2002-07-01,3230.686
2002-07-02,3146.385
2002-07-03,3035.003
2002-07-04,3105.237
2002-07-05,3210.414
2002-07-08,3234.606
2002-07-09,3223.189
2002-07-10,3098.105
2002-07-11,2957.2
2002-07-12,3009.802
2002-07-15,2911.808
2002-07-16,2882.989
2002-07-17,2965.348
2002-07-18,2975.65
2002-07-19,2816.788
2002-07-22,2598.057
2002-07-23,2508.327
2002-07-24,2456.406
2002-07-25,2642.262
2002-07-26,2687.312
2002-07-29,2807.109
2002-07-30,2803.189
2002-07-31,2759.408
2002-08-01,2709.641
2002-08-02,2641.364
2002-08-05,2529.21
2002-08-06,2617.64
2002-08-07,2574.317
2002-08-08,2655.786
2002-08-09,2739.867
2002-08-12,2716.654
2002-08-13,2750.406
2002-08-14,2759.241
2002-08-15,2839.94
2002-08-16,2850.146
2002-08-19,2919.272
2002-08-20,2864.523
2002-08-21,2937.391
2002-08-22,2948.658
2002-08-23,2921.255
2002-08-26,2893.452
2002-08-27,2977.302
2002-08-28,2836.176
2002-08-29,2750.446
2002-08-30,2757.884
2002-09-02,2694.286
2002-09-03,2644.283
2002-09-04,2644.354
2002-09-05,2631.662
2002-09-06,2710.402
2002-09-09,2665.352
2002-09-10,2689.893
2002-09-11,2743.491
2002-09-12,2642.191
2002-09-13,2574.209
2002-09-16,2561.785
2002-09-17,2511.613
2002-09-18,2444.662
2002-09-19,2399.984
2002-09-20,2405.041
2002-09-23,2298.583
2002-09-24,2303.234
2002-09-25,2357.935
2002-09-26,2484.255
2002-09-27,2492.706
2002-09-30,2468.4
2002-10-01,2416.446
2002-10-02,2468.022
2002-10-03,2411.298
2002-10-04,2297.475
2002-10-07,2212.212
2002-10-08,2191.259
2002-10-09,2197.042
2002-10-10,2264.134
2002-10-11,2423.085
2002-10-14,2409.976
2002-10-15,2581.193
2002-10-16,2555.556
2002-10-17,2616.392
2002-10-18,2621.024
2002-10-21,2610.398
2002-10-22,2604.974
2002-10-23,2528.503
2002-10-24,2613.382
2002-10-25,2629.675
2002-10-28,2651.282
2002-10-29,2559.512
2002-10-30,2638.273
2002-10-31,2711.558
2002-11-01,2695.83
2002-11-04,2782.375
2002-11-05,2817.839
2002-11-06,2770.951
2002-11-07,2732.121
2002-11-08,2710.701
2002-11-11,2655.175
2002-11-12,2694.174
2002-11-13,2663.603
2002-11-14,2742.807
2002-11-15,2813.894
2002-11-18,2829.097
2002-11-19,2821.849
2002-11-20,2818.183
2002-11-21,2893.049
2002-11-22,2922.473
2002-11-25,2905.42
2002-11-26,2846.538
2002-11-27,2900.849
2002-11-28,2915.165
2002-11-29,2897.708
2002-12-02,2924.031
2002-12-03,2853.288
2002-12-04,2836.941
2002-12-05,2806.69
2002-12-06,2812.917
2002-12-09,2746.198
2002-12-10,2776.205
2002-12-11,2787.492
2002-12-12,2782.804
2002-12-13,2784.925
2002-12-16,2834.997
2002-12-17,2842.282
2002-12-18,2785.292
2002-12-19,2766.027
