Date,UNITED KINGDOM IMI IMI (Large+Mid+Small Cap)
2001-01-01,541.245
2001-01-02,538.343
2001-01-03,530.707
2001-01-04,538.295
2001-01-05,540.228
2001-01-08,537.635
2001-01-09,530.703
2001-01-10,528.667
2001-01-11,533.598
2001-01-12,532.487
2001-01-15,533.327
2001-01-16,523.602
2001-01-17,533.09
2001-01-18,535.12
2001-01-19,533.081
2001-01-22,531.974
2001-01-23,534.198
2001-01-24,533.356
2001-01-25,533.344
2001-01-26,534.951
2001-01-29,536.783
2001-01-30,539.17
2001-01-31,536.722
2001-02-01,539.622
2001-02-02,535.922
2001-02-05,539.432
2001-02-06,536.014
2001-02-07,531.716
2001-02-08,524.806
2001-02-09,521.964
2001-02-12,529.388
2001-02-13,528.068
2001-02-14,527.042
2001-02-15,524.626
2001-02-16,517.001
2001-02-19,515.152
2001-02-20,506.528
2001-02-21,506.372
2001-02-22,508.646
2001-02-23,505.115
2001-02-26,500.684
2001-02-27,503.028
2001-02-28,502.003
2001-03-01,505.107
2001-03-02,507.923
2001-03-05,511.353
2001-03-06,517.131
2001-03-07,514.908
2001-03-08,517.103
2001-03-09,510.273
2001-03-12,501.901
2001-03-13,488.007
2001-03-14,479.625
2001-03-15,486.422
2001-03-16,469.583
2001-03-19,467.023
2001-03-20,474.473
2001-03-21,466.229
2001-03-22,445.336
2001-03-23,454.436
2001-03-26,468.686
2001-03-27,481.222
2001-03-28,472.563
2001-03-29,471.647
2001-03-30,470.48
2001-04-02,469.471
2001-04-03,459.507
2001-04-04,466.199
2001-04-05,471.498
2001-04-06,473.404
2001-04-09,481.177
2001-04-10,487.887
2001-04-11,485.581
2001-04-12,486.433
2001-04-13,486.409
2001-04-16,484.389
2001-04-17,483.331
2001-04-18,490.165
2001-04-19,494.482
2001-04-20,497.379
2001-04-23,496.104
2001-04-24,492.738
2001-04-25,493.11
2001-04-26,496.425
2001-04-27,501.52
2001-04-30,501.481
2001-05-01,499.215
2001-05-02,498.481
2001-05-03,488.53
2001-05-04,497.704
2001-05-07,498.667
2001-05-08,497.805
2001-05-09,494.528
2001-05-10,500.12
2001-05-11,494.272
2001-05-14,479.071
2001-05-15,490.596
2001-05-16,495.918
2001-05-17,498.205
2001-05-18,499.604
2001-05-21,503.919
2001-05-22,504.19
2001-05-23,497.318
2001-05-24,493.295
2001-05-25,495.089
2001-05-28,494.976
2001-05-29,492.481
2001-05-30,489.358
2001-05-31,488.443
2001-06-01,487.79
2001-06-04,491.094
2001-06-05,494.45
2001-06-06,487.849
2001-06-07,489.636
2001-06-08,486.799
2001-06-11,477.702
2001-06-12,475.253
2001-06-13,479.082
2001-06-14,478.062
2001-06-15,476.376
2001-06-18,472.869
2001-06-19,472.906
2001-06-20,471.395
2001-06-21,473.7
2001-06-22,474.108
2001-06-25,474.545
2001-06-26,466.89
2001-06-27,469.645
2001-06-28,470.168
2001-06-29,469.999
2001-07-02,478.22
2001-07-03,470.301
2001-07-04,466.839
2001-07-05,460.454
2001-07-06,456.99
2001-07-09,457.291
2001-07-10,457.99
2001-07-11,453.275
2001-07-12,457.309
2001-07-13,459.296
2001-07-16,457.574
2001-07-17,451.061
2001-07-18,454.296
2001-07-19,457.207
2001-07-20,457.348
2001-07-23,455.712
2001-07-24,449.211
2001-07-25,447.859
2001-07-26,448.656
2001-07-27,456.106
2001-07-30,460.142
2001-07-31,466.781
2001-08-01,471.188
2001-08-02,474.591
2001-08-03,471.098
2001-08-06,466.0
2001-08-07,466.108
2001-08-08,460.604
2001-08-09,457.288
2001-08-10,460.88
2001-08-13,459.738
2001-08-14,465.283
2001-08-15,468.51
2001-08-16,464.912
2001-08-17,461.901
2001-08-20,463.244
2001-08-21,470.069
2001-08-22,471.352
2001-08-23,467.38
2001-08-24,472.816
2001-08-27,471.681
2001-08-28,470.552
2001-08-29,470.286
2001-08-30,463.058
2001-08-31,463.99
2001-09-03,461.862
2001-09-04,464.846
2001-09-05,461.909
2001-09-06,452.363
2001-09-07,444.834
2001-09-10,439.148
2001-09-11,419.584
2001-09-12,426.65
2001-09-13,433.331
2001-09-14,418.688
2001-09-17,427.036
2001-09-18,420.908
2001-09-19,413.003
2001-09-20,398.085
2001-09-21,384.635
2001-09-24,401.314
2001-09-25,407.44
2001-09-26,411.959
2001-09-27,416.884
2001-09-28,426.21
2001-10-01,419.473
2001-10-02,419.026
2001-10-03,426.123
2001-10-04,437.687
2001-10-05,440.79
2001-10-08,438.088
2001-10-09,435.151
2001-10-10,441.265
2001-10-11,441.492
2001-10-12,442.702
2001-10-15,435.77
2001-10-16,437.479
2001-10-17,448.479
2001-10-18,439.119
2001-10-19,429.309
2001-10-22,429.596
2001-10-23,436.993
2001-10-24,435.731
2001-10-25,432.165
2001-10-26,441.202
2001-10-29,439.053
2001-10-30,433.311
2001-10-31,435.988
2001-11-01,440.474
2001-11-02,445.59
2001-11-05,450.197
2001-11-06,451.909
2001-11-07,454.433
2001-11-08,457.639
2001-11-09,456.398
2001-11-12,448.106
2001-11-13,454.69
2001-11-14,453.07
2001-11-15,450.567
2001-11-16,453.967
2001-11-19,453.412
2001-11-20,450.846
2001-11-21,450.192
2001-11-22,452.5
2001-11-23,447.222
2001-11-26,449.774
2001-11-27,447.419
2001-11-28,445.551
2001-11-29,444.933
2001-11-30,446.003
2001-12-03,441.366
2001-12-04,445.346
2001-12-05,454.313
2001-12-06,460.281
2001-12-07,454.605
2001-12-10,449.059
2001-12-11,447.268
2001-12-12,446.816
2001-12-13,442.948
2001-12-14,443.086
2001-12-17,450.795
2001-12-18,451.932
2001-12-19,447.301
2001-12-20,443.415
2001-12-21,446.636
2001-12-24,448.495
2001-12-25,448.483
2001-12-26,451.113
2001-12-27,455.763
2001-12-28,456.667
2001-12-31,457.626
2002-01-01,457.617
2002-01-02,454.825
2002-01-03,461.843
2002-01-04,462.903
2002-01-07,459.55
2002-01-08,457.071
2002-01-09,454.12
2002-01-10,452.697
2002-01-11,452.838
2002-01-14,448.333
2002-01-15,450.699
2002-01-16,445.286
2002-01-17,445.562
2002-01-18,444.439
2002-01-21,445.332
2002-01-22,443.499
2002-01-23,444.673
2002-01-24,447.51
2002-01-25,440.323
2002-01-28,442.133
2002-01-29,435.611
2002-01-30,432.692
2002-01-31,438.497
2002-02-01,440.353
2002-02-04,439.386
2002-02-05,433.931
2002-02-06,430.78
2002-02-07,434.202
2002-02-08,436.204
2002-02-11,440.38
2002-02-12,441.108
2002-02-13,442.519
2002-02-14,445.456
2002-02-15,445.188
2002-02-18,441.97
2002-02-19,437.202
2002-02-20,431.964
2002-02-21,434.634
2002-02-22,433.914
2002-02-25,437.451
2002-02-26,440.085
2002-02-27,441.321
2002-02-28,435.203
2002-03-01,441.667
2002-03-04,448.926
2002-03-05,446.919
2002-03-06,450.08
2002-03-07,454.737
2002-03-08,454.432
2002-03-11,452.486
2002-03-12,448.218
2002-03-13,451.097
2002-03-14,452.889
2002-03-15,456.383
2002-03-18,457.194
2002-03-19,458.293
2002-03-20,456.256
2002-03-21,455.743
2002-03-22,455.797
2002-03-25,451.932
2002-03-26,451.479
2002-03-27,451.88
2002-03-28,456.984
2002-03-29,456.98
2002-04-01,461.684
2002-04-02,461.094
2002-04-03,459.387
2002-04-04,456.295
2002-04-05,457.714
2002-04-08,452.597
2002-04-09,452.565
2002-04-10,457.784
2002-04-11,451.655
2002-04-12,452.836
2002-04-15,456.364
2002-04-16,461.212
2002-04-17,463.357
2002-04-18,462.213
2002-04-19,463.381
2002-04-22,462.665
2002-04-23,460.089
2002-04-24,462.511
2002-04-25,462.5
2002-04-26,459.153
2002-04-29,459.473
2002-04-30,460.413
2002-05-01,459.108
2002-05-02,463.854
2002-05-03,467.549
2002-05-06,467.359
2002-05-07,459.326
2002-05-08,464.807
2002-05-09,463.408
2002-05-10,462.359
2002-05-13,464.162
2002-05-14,462.993
2002-05-15,467.611
2002-05-16,466.864
2002-05-17,466.573
2002-05-20,465.21
2002-05-21,463.362
2002-05-22,460.192
2002-05-23,459.843
2002-05-24,460.92
2002-05-27,458.292
2002-05-28,454.728
2002-05-29,454.472
2002-05-30,452.593
2002-05-31,455.862
2002-06-03,455.413
2002-06-04,455.933
2002-06-05,445.911
2002-06-06,444.514
2002-06-07,441.792
2002-06-10,442.502
2002-06-11,444.491
2002-06-12,439.28
2002-06-13,433.123
2002-06-14,421.546
2002-06-17,432.312
2002-06-18,430.266
2002-06-19,426.338
2002-06-20,422.58
2002-06-21,424.726
2002-06-24,420.558
2002-06-25,426.917
2002-06-26,425.33
2002-06-27,425.569
2002-06-28,435.429
2002-07-01,439.191
2002-07-02,427.253
2002-07-03,412.176
2002-07-04,418.281
2002-07-05,429.852
2002-07-08,432.57
2002-07-09,430.447
2002-07-10,419.373
2002-07-11,402.654
2002-07-12,402.536
2002-07-15,385.581
2002-07-16,388.45
2002-07-17,402.013
2002-07-18,412.326
2002-07-19,396.822
2002-07-22,377.958
2002-07-23,371.561
2002-07-24,366.053
2002-07-25,383.663
2002-07-26,385.66
2002-07-29,400.561
2002-07-30,402.307
2002-07-31,406.346
2002-08-01,387.107
2002-08-02,393.033
2002-08-05,384.996
2002-08-06,388.809
2002-08-07,385.177
2002-08-08,396.724
2002-08-09,402.291
2002-08-12,395.509
2002-08-13,400.283
2002-08-14,396.356
2002-08-15,407.461
2002-08-16,408.997
2002-08-19,415.176
2002-08-20,409.511
2002-08-21,411.59
2002-08-22,415.938
2002-08-23,411.423
2002-08-26,412.21
2002-08-27,419.202
2002-08-28,405.714
2002-08-29,402.779
2002-08-30,403.633
2002-09-02,400.639
2002-09-03,390.661
2002-09-04,390.419
2002-09-05,389.106
2002-09-06,395.991
2002-09-09,391.461
2002-09-10,399.885
2002-09-11,401.886
2002-09-12,392.647
2002-09-13,387.238
2002-09-16,386.092
2002-09-17,381.819
2002-09-18,371.313
2002-09-19,367.494
2002-09-20,371.285
2002-09-23,361.798
2002-09-24,354.43
2002-09-25,357.803
2002-09-26,370.701
2002-09-27,374.265
2002-09-30,362.014
2002-10-01,367.513
2002-10-02,375.812
2002-10-03,374.336
2002-10-04,367.669
2002-10-07,364.59
2002-10-08,357.819
2002-10-09,359.218
2002-10-10,362.699
2002-10-11,378.204
2002-10-14,375.516
2002-10-15,393.007
2002-10-16,386.52
2002-10-17,396.12
2002-10-18,391.786
2002-10-21,391.398
2002-10-22,390.722
2002-10-23,381.501
2002-10-24,389.414
2002-10-25,386.891
2002-10-28,390.583
2002-10-29,378.008
2002-10-30,383.691
2002-10-31,389.113
2002-11-01,385.262
2002-11-04,395.937
2002-11-05,398.277
2002-11-06,394.228
2002-11-07,397.439
2002-11-08,395.51
2002-11-11,393.274
2002-11-12,399.453
2002-11-13,394.543
2002-11-14,394.996
2002-11-15,398.092
2002-11-18,401.361
2002-11-19,401.394
2002-11-20,397.883
2002-11-21,407.525
2002-11-22,407.1
2002-11-25,398.385
2002-11-26,392.364
2002-11-27,394.792
2002-11-28,401.379
2002-11-29,400.483
2002-12-02,399.08
2002-12-03,394.877
2002-12-04,393.353
2002-12-05,391.643
2002-12-06,390.899
2002-12-09,384.129
2002-12-10,382.105
2002-12-11,387.448
2002-12-12,383.576
2002-12-13,381.139
2002-12-16,390.255
2002-12-17,385.518
2002-12-18,379.524
2002-12-19,380.276
2002-12-20,385.096
2002-12-23,386.743
2002-12-24,388.185
2002-12-25,388.176
2002-12-26,388.113
2002-12-27,379.381
2002-12-30,386.513
2002-12-31,391.676
2003-01-01,391.669
2003-01-02,394.994
2003-01-03,396.196
2003-01-06,397.884
2003-01-07,392.836
2003-01-08,388.037
2003-01-09,390.626
2003-01-10,394.993
2003-01-13,391.979
2003-01-14,392.673
2003-01-15,386.081
2003-01-16,386.035
2003-01-17,382.961
2003-01-20,376.894
2003-01-21,373.351
2003-01-22,368.933
2003-01-23,365.892
2003-01-24,365.861
2003-01-27,354.001
2003-01-28,355.864
2003-01-29,356.365
2003-01-30,365.291
2003-01-31,363.674
2003-02-03,374.0
2003-02-04,366.425
2003-02-05,374.418
2003-02-06,365.438
2003-02-07,363.938
2003-02-10,361.575
2003-02-11,367.197
2003-02-12,361.85
2003-02-13,362.422
2003-02-14,360.523
2003-02-17,365.134
2003-02-18,366.685
2003-02-19,361.635
2003-02-20,363.976
2003-02-21,367.06
2003-02-24,363.432
2003-02-25,352.803
2003-02-26,353.635
2003-02-27,350.643
2003-02-28,357.715
2003-03-03,361.9
2003-03-04,356.687
2003-03-05,355.456
2003-03-06,355.21
2003-03-07,349.465
2003-03-10,342.914
2003-03-11,345.376
2003-03-12,332.343
2003-03-13,349.037
2003-03-14,355.466
2003-03-17,364.205
2003-03-18,364.196
2003-03-19,366.791
2003-03-20,367.45
2003-03-21,375.617
2003-03-24,367.995
2003-03-25,368.438
2003-03-26,371.91
2003-03-27,365.412
2003-03-28,362.962
2003-03-31,357.067
2003-04-01,361.711
2003-04-02,367.574
2003-04-03,369.531
2003-04-04,371.553
2003-04-07,380.23
2003-04-08,374.252
2003-04-09,374.946
2003-04-10,374.218
2003-04-11,374.442
2003-04-14,379.303
2003-04-15,384.888
2003-04-16,381.274
2003-04-17,385.126
2003-04-18,385.113
2003-04-21,381.49
2003-04-22,387.583
2003-04-23,394.006
2003-04-24,390.96
2003-04-25,387.345
2003-04-28,393.783
2003-04-29,392.994
