Date,UNITED KINGDOM LARGE GROWTH Large Cap
2001-01-01,803.065
2001-01-02,790.696
2001-01-03,761.145
2001-01-04,783.015
2001-01-05,785.509
2001-01-08,770.679
2001-01-09,759.486
2001-01-10,757.227
2001-01-11,768.564
2001-01-12,777.091
2001-01-15,774.277
2001-01-16,752.621
2001-01-17,772.394
2001-01-18,777.182
2001-01-19,783.504
2001-01-22,776.041
2001-01-23,771.409
2001-01-24,776.56
2001-01-25,774.558
2001-01-26,777.409
2001-01-29,779.599
2001-01-30,785.295
2001-01-31,781.274
2001-02-01,781.737
2001-02-02,766.991
2001-02-05,766.621
2001-02-06,756.064
2001-02-07,743.695
2001-02-08,732.646
2001-02-09,717.582
2001-02-12,734.442
2001-02-13,731.34
2001-02-14,720.37
2001-02-15,726.61
2001-02-16,703.702
2001-02-19,694.073
2001-02-20,677.538
2001-02-21,674.756
2001-02-22,685.158
2001-02-23,673.259
2001-02-26,674.989
2001-02-27,681.265
2001-02-28,674.588
2001-03-01,671.148
2001-03-02,673.817
2001-03-05,684.391
2001-03-06,709.827
2001-03-07,697.55
2001-03-08,705.744
2001-03-09,690.989
2001-03-12,674.588
2001-03-13,654.63
2001-03-14,645.853
2001-03-15,657.179
2001-03-16,624.772
2001-03-19,620.048
2001-03-20,635.981
2001-03-21,621.99
2001-03-22,584.219
2001-03-23,603.649
2001-03-26,633.549
2001-03-27,652.733
2001-03-28,629.196
2001-03-29,618.281
2001-03-30,612.207
2001-04-02,610.361
2001-04-03,587.493
2001-04-04,601.44
2001-04-05,611.568
2001-04-06,613.112
2001-04-09,621.183
2001-04-10,641.26
2001-04-11,636.704
2001-04-12,636.549
2001-04-13,636.549
2001-04-16,633.875
2001-04-17,629.91
2001-04-18,653.737
2001-04-19,654.911
2001-04-20,653.747
2001-04-23,649.289
2001-04-24,637.789
2001-04-25,635.374
2001-04-26,641.886
2001-04-27,652.512
2001-04-30,658.633
2001-05-01,650.924
2001-05-02,650.068
2001-05-03,633.06
2001-05-04,644.162
2001-05-07,645.508
2001-05-08,645.783
2001-05-09,637.736
2001-05-10,650.259
2001-05-11,637.579
2001-05-14,610.074
2001-05-15,628.759
2001-05-16,635.96
2001-05-17,639.399
2001-05-18,638.951
2001-05-21,649.169
2001-05-22,654.953
2001-05-23,639.364
2001-05-24,630.344
2001-05-25,632.049
2001-05-28,631.938
2001-05-29,624.071
2001-05-30,611.938
2001-05-31,612.495
2001-06-01,608.783
2001-06-04,611.831
2001-06-05,621.789
2001-06-06,613.289
2001-06-07,614.407
2001-06-08,609.426
2001-06-11,596.073
2001-06-12,591.625
2001-06-13,598.722
2001-06-14,596.205
2001-06-15,594.505
2001-06-18,587.483
2001-06-19,586.017
2001-06-20,586.134
2001-06-21,590.595
2001-06-22,591.072
2001-06-25,587.79
2001-06-26,576.651
2001-06-27,580.126
2001-06-28,588.099
2001-06-29,588.872
2001-07-02,603.014
2001-07-03,588.832
2001-07-04,581.752
2001-07-05,568.829
2001-07-06,568.167
2001-07-09,569.653
2001-07-10,572.23
2001-07-11,563.803
2001-07-12,570.214
2001-07-13,576.3
2001-07-16,569.884
2001-07-17,560.129
2001-07-18,569.945
2001-07-19,572.749
2001-07-20,571.23
2001-07-23,564.583
2001-07-24,554.721
2001-07-25,558.475
2001-07-26,560.169
2001-07-27,574.252
2001-07-30,580.381
2001-07-31,586.956
2001-08-01,592.24
2001-08-02,597.67
2001-08-03,589.399
2001-08-06,579.855
2001-08-07,581.129
2001-08-08,567.295
2001-08-09,560.999
2001-08-10,567.686
2001-08-13,560.009
2001-08-14,567.956
2001-08-15,567.172
2001-08-16,555.972
2001-08-17,548.871
2001-08-20,551.861
2001-08-21,566.387
2001-08-22,564.0
2001-08-23,558.746
2001-08-24,566.023
2001-08-27,564.653
2001-08-28,563.631
2001-08-29,562.736
2001-08-30,555.429
2001-08-31,558.706
2001-09-03,556.239
2001-09-04,558.369
2001-09-05,552.387
2001-09-06,537.25
2001-09-07,532.997
2001-09-10,527.957
2001-09-11,493.939
2001-09-12,524.906
2001-09-13,533.533
2001-09-14,510.122
2001-09-17,524.471
2001-09-18,513.876
2001-09-19,511.676
2001-09-20,500.641
2001-09-21,485.882
2001-09-24,508.384
2001-09-25,515.226
2001-09-26,518.455
2001-09-27,533.722
2001-09-28,543.178
2001-10-01,535.659
2001-10-02,533.971
2001-10-03,540.849
2001-10-04,549.816
2001-10-05,555.976
2001-10-08,557.355
2001-10-09,550.967
2001-10-10,560.811
2001-10-11,557.81
2001-10-12,556.922
2001-10-15,547.374
2001-10-16,548.356
2001-10-17,561.943
2001-10-18,554.132
2001-10-19,545.068
2001-10-22,547.361
2001-10-23,552.414
2001-10-24,548.378
2001-10-25,541.86
2001-10-26,552.051
2001-10-29,547.017
2001-10-30,544.867
2001-10-31,548.296
2001-11-01,557.997
2001-11-02,568.449
2001-11-05,573.214
2001-11-06,577.721
2001-11-07,577.057
2001-11-08,581.394
2001-11-09,579.001
2001-11-12,569.054
2001-11-13,576.375
2001-11-14,574.276
2001-11-15,575.852
2001-11-16,580.235
2001-11-19,572.128
2001-11-20,561.871
2001-11-21,562.684
2001-11-22,566.941
2001-11-23,558.09
2001-11-26,563.445
2001-11-27,556.942
2001-11-28,557.524
2001-11-29,552.329
2001-11-30,553.117
2001-12-03,547.833
2001-12-04,558.491
2001-12-05,570.699
2001-12-06,577.196
2001-12-07,566.705
2001-12-10,558.589
2001-12-11,556.817
2001-12-12,556.098
2001-12-13,549.49
2001-12-14,547.733
2001-12-17,556.561
2001-12-18,558.802
2001-12-19,551.521
2001-12-20,547.505
2001-12-21,551.802
2001-12-24,552.855
2001-12-25,552.855
2001-12-26,556.082
2001-12-27,560.008
2001-12-28,560.731
2001-12-31,562.717
2002-01-01,562.717
2002-01-02,557.049
2002-01-03,569.292
2002-01-04,566.618
2002-01-07,559.931
2002-01-08,557.709
2002-01-09,550.369
2002-01-10,545.008
2002-01-11,547.037
2002-01-14,539.122
2002-01-15,544.41
2002-01-16,536.441
2002-01-17,534.068
2002-01-18,536.697
2002-01-21,535.06
2002-01-22,533.652
2002-01-23,532.516
2002-01-24,537.38
2002-01-25,524.586
2002-01-28,522.39
2002-01-29,512.14
2002-01-30,507.365
2002-01-31,517.76
2002-02-01,520.36
2002-02-04,518.273
2002-02-05,509.61
2002-02-06,503.293
2002-02-07,512.147
2002-02-08,515.07
2002-02-11,518.509
2002-02-12,516.086
2002-02-13,516.297
2002-02-14,517.706
2002-02-15,519.333
2002-02-18,513.984
2002-02-19,507.139
2002-02-20,503.538
2002-02-21,508.7
2002-02-22,506.293
2002-02-25,507.79
2002-02-26,510.757
2002-02-27,521.292
2002-02-28,512.565
2002-03-01,520.538
2002-03-04,522.847
2002-03-05,518.562
2002-03-06,523.916
2002-03-07,527.551
2002-03-08,531.236
2002-03-11,523.174
2002-03-12,518.308
2002-03-13,523.129
2002-03-14,524.022
2002-03-15,523.792
2002-03-18,524.155
2002-03-19,522.266
2002-03-20,517.981
2002-03-21,517.908
2002-03-22,518.07
2002-03-25,511.601
2002-03-26,510.237
2002-03-27,510.276
2002-03-28,517.229
2002-03-29,517.229
2002-04-01,522.46
2002-04-02,521.587
2002-04-03,518.767
2002-04-04,514.171
2002-04-05,518.392
2002-04-08,509.187
2002-04-09,506.014
2002-04-10,511.139
2002-04-11,500.06
2002-04-12,500.658
2002-04-15,506.634
2002-04-16,513.351
2002-04-17,516.268
2002-04-18,510.202
2002-04-19,509.796
2002-04-22,504.916
2002-04-23,501.051
2002-04-24,504.825
2002-04-25,507.554
2002-04-26,502.622
2002-04-29,501.765
2002-04-30,497.741
2002-05-01,495.673
2002-05-02,498.748
2002-05-03,490.623
2002-05-06,490.355
2002-05-07,481.258
2002-05-08,493.883
2002-05-09,495.671
2002-05-10,488.213
2002-05-13,486.989
2002-05-14,489.747
2002-05-15,499.62
2002-05-16,496.248
2002-05-17,492.852
2002-05-20,494.047
2002-05-21,491.382
2002-05-22,487.218
2002-05-23,486.181
2002-05-24,479.1
2002-05-27,470.55
2002-05-28,468.478
2002-05-29,469.295
2002-05-30,462.252
2002-05-31,462.942
2002-06-03,462.452
2002-06-04,462.974
2002-06-05,451.655
2002-06-06,448.0
2002-06-07,447.828
2002-06-10,453.62
2002-06-11,453.134
2002-06-12,447.694
2002-06-13,440.384
2002-06-14,431.461
2002-06-17,447.37
2002-06-18,443.48
2002-06-19,440.183
2002-06-20,435.739
2002-06-21,438.875
2002-06-24,433.224
2002-06-25,441.547
2002-06-26,439.544
2002-06-27,442.397
2002-06-28,452.682
2002-07-01,454.595
2002-07-02,438.535
2002-07-03,418.901
2002-07-04,429.299
2002-07-05,444.185
2002-07-08,446.63
2002-07-09,445.109
2002-07-10,427.247
2002-07-11,409.124
2002-07-12,415.072
2002-07-15,398.468
2002-07-16,402.612
2002-07-17,418.24
2002-07-18,430.085
2002-07-19,408.152
2002-07-22,386.536
2002-07-23,380.124
2002-07-24,376.718
2002-07-25,401.656
2002-07-26,408.113
2002-07-29,425.303
2002-07-30,426.05
2002-07-31,426.12
2002-08-01,404.069
2002-08-02,414.539
2002-08-05,407.064
2002-08-06,411.352
2002-08-07,402.652
2002-08-08,422.306
2002-08-09,428.679
2002-08-12,419.96
2002-08-13,423.806
2002-08-14,416.405
2002-08-15,428.37
2002-08-16,431.051
2002-08-19,436.954
2002-08-20,426.54
2002-08-21,427.625
2002-08-22,431.894
2002-08-23,427.575
2002-08-26,428.362
2002-08-27,433.232
2002-08-28,418.496
2002-08-29,418.264
2002-08-30,416.477
2002-09-02,413.013
2002-09-03,403.17
2002-09-04,407.605
2002-09-05,409.133
2002-09-06,416.628
2002-09-09,411.129
2002-09-10,419.761
2002-09-11,425.055
2002-09-12,411.473
2002-09-13,406.566
2002-09-16,405.042
2002-09-17,400.908
2002-09-18,390.939
2002-09-19,386.038
2002-09-20,392.939
2002-09-23,380.494
2002-09-24,373.882
2002-09-25,380.005
2002-09-26,396.034
2002-09-27,401.777
2002-09-30,387.487
2002-10-01,394.471
2002-10-02,411.512
2002-10-03,415.613
2002-10-04,405.659
2002-10-07,398.336
2002-10-08,389.616
2002-10-09,392.267
2002-10-10,398.044
2002-10-11,416.119
2002-10-14,416.68
2002-10-15,436.008
2002-10-16,422.782
2002-10-17,433.586
2002-10-18,427.165
2002-10-21,424.616
2002-10-22,427.212
2002-10-23,414.692
2002-10-24,425.076
2002-10-25,423.043
2002-10-28,427.036
2002-10-29,413.002
2002-10-30,419.877
2002-10-31,423.484
2002-11-01,414.769
2002-11-04,428.209
2002-11-05,428.768
2002-11-06,425.144
2002-11-07,431.052
2002-11-08,428.586
2002-11-11,426.605
2002-11-12,440.722
2002-11-13,436.87
2002-11-14,440.209
2002-11-15,442.423
2002-11-18,442.807
2002-11-19,443.346
2002-11-20,441.883
2002-11-21,453.611
2002-11-22,452.224
2002-11-25,442.612
2002-11-26,436.522
2002-11-27,438.043
2002-11-28,443.384
2002-11-29,440.361
2002-12-02,437.75
2002-12-03,432.455
2002-12-04,432.721
2002-12-05,431.549
2002-12-06,431.277
2002-12-09,425.093
2002-12-10,424.048
2002-12-11,432.322
2002-12-12,429.183
2002-12-13,427.041
2002-12-16,437.463
2002-12-17,429.785
2002-12-18,423.78
2002-12-19,425.146
2002-12-20,431.159
2002-12-23,433.586
2002-12-24,435.378
2002-12-25,435.378
2002-12-26,435.297
2002-12-27,423.808
2002-12-30,433.159
2002-12-31,441.982
2003-01-01,441.982
2003-01-02,444.381
2003-01-03,446.038
2003-01-06,444.929
2003-01-07,439.867
2003-01-08,437.323
2003-01-09,438.819
2003-01-10,441.62
2003-01-13,436.202
2003-01-14,438.809
2003-01-15,431.825
2003-01-16,429.991
2003-01-17,427.039
