Date,UNITED KINGDOM LARGE VALUE Large Cap
2001-01-01,527.236
2001-01-02,526.539
2001-01-03,524.641
2001-01-04,529.298
2001-01-05,531.496
2001-01-08,531.847
2001-01-09,523.529
2001-01-10,520.549
2001-01-11,525.624
2001-01-12,521.182
2001-01-15,523.656
2001-01-16,515.389
2001-01-17,523.015
2001-01-18,523.949
2001-01-19,516.742
2001-01-22,519.051
2001-01-23,524.082
2001-01-24,521.474
2001-01-25,521.413
2001-01-26,524.206
2001-01-29,526.313
2001-01-30,527.594
2001-01-31,524.623
2001-02-01,527.45
2001-02-02,527.687
2001-02-05,534.077
2001-02-06,532.584
2001-02-07,529.412
2001-02-08,522.066
2001-02-09,523.087
2001-02-12,529.624
2001-02-13,528.129
2001-02-14,530.214
2001-02-15,524.343
2001-02-16,519.685
2001-02-19,520.603
2001-02-20,511.288
2001-02-21,513.095
2001-02-22,514.06
2001-02-23,512.139
2001-02-26,503.511
2001-02-27,504.473
2001-02-28,505.82
2001-03-01,512.577
2001-03-02,514.865
2001-03-05,517.802
2001-03-06,518.102
2001-03-07,519.01
2001-03-08,519.981
2001-03-09,513.833
2001-03-12,507.063
2001-03-13,493.715
2001-03-14,484.776
2001-03-15,492.175
2001-03-16,475.569
2001-03-19,473.987
2001-03-20,481.897
2001-03-21,474.509
2001-03-22,455.296
2001-03-23,463.029
2001-03-26,476.774
2001-03-27,491.542
2001-03-28,484.444
2001-03-29,486.426
2001-03-30,487.938
2001-04-02,487.004
2001-04-03,478.509
2001-04-04,486.332
2001-04-05,491.195
2001-04-06,492.989
2001-04-09,503.922
2001-04-10,509.034
2001-04-11,505.255
2001-04-12,506.039
2001-04-13,506.039
2001-04-16,503.913
2001-04-17,503.611
2001-04-18,506.622
2001-04-19,510.976
2001-04-20,514.171
2001-04-23,513.924
2001-04-24,512.006
2001-04-25,513.166
2001-04-26,516.475
2001-04-27,521.459
2001-04-30,517.939
2001-05-01,516.346
2001-05-02,514.312
2001-05-03,502.456
2001-05-04,514.225
2001-05-07,515.209
2001-05-08,513.356
2001-05-09,512.555
2001-05-10,518.085
2001-05-11,511.997
2001-05-14,494.103
2001-05-15,508.286
2001-05-16,514.766
2001-05-17,516.151
2001-05-18,517.867
2001-05-21,520.551
2001-05-22,518.285
2001-05-23,512.007
2001-05-24,509.768
2001-05-25,511.567
2001-05-28,511.477
2001-05-29,509.776
2001-05-30,508.223
2001-05-31,506.866
2001-06-01,507.414
2001-06-04,511.658
2001-06-05,514.314
2001-06-06,507.011
2001-06-07,510.383
2001-06-08,507.697
2001-06-11,497.716
2001-06-12,496.096
2001-06-13,499.956
2001-06-14,499.599
2001-06-15,499.033
2001-06-18,495.003
2001-06-19,495.811
2001-06-20,495.504
2001-06-21,495.583
2001-06-22,496.952
2001-06-25,499.132
2001-06-26,490.711
2001-06-27,494.835
2001-06-28,492.773
2001-06-29,491.581
2001-07-02,500.607
2001-07-03,492.654
2001-07-04,490.209
2001-07-05,486.344
2001-07-06,480.901
2001-07-09,480.79
2001-07-10,480.572
2001-07-11,475.488
2001-07-12,480.303
2001-07-13,482.237
2001-07-16,481.843
2001-07-17,474.051
2001-07-18,475.309
2001-07-19,479.937
2001-07-20,479.423
2001-07-23,480.086
2001-07-24,473.291
2001-07-25,470.158
2001-07-26,470.877
2001-07-27,478.717
2001-07-30,482.454
2001-07-31,491.135
2001-08-01,494.911
2001-08-02,497.449
2001-08-03,494.86
2001-08-06,490.36
2001-08-07,491.144
2001-08-08,487.557
2001-08-09,484.405
2001-08-10,487.366
2001-08-13,488.411
2001-08-14,495.32
2001-08-15,499.885
2001-08-16,497.11
2001-08-17,493.989
2001-08-20,495.013
2001-08-21,501.167
2001-08-22,504.016
2001-08-23,499.512
2001-08-24,506.217
2001-08-27,504.992
2001-08-28,503.032
2001-08-29,502.812
2001-08-30,493.589
2001-08-31,494.592
2001-09-03,492.013
2001-09-04,496.917
2001-09-05,494.759
2001-09-06,485.33
2001-09-07,473.587
2001-09-10,468.16
2001-09-11,448.402
2001-09-12,451.95
2001-09-13,460.039
2001-09-14,444.199
2001-09-17,458.528
2001-09-18,455.602
2001-09-19,442.525
2001-09-20,423.653
2001-09-21,410.344
2001-09-24,429.28
2001-09-25,435.223
2001-09-26,441.672
2001-09-27,445.975
2001-09-28,458.834
2001-10-01,448.994
2001-10-02,450.797
2001-10-03,459.059
2001-10-04,474.086
2001-10-05,476.249
2001-10-08,472.429
2001-10-09,468.636
2001-10-10,477.104
2001-10-11,476.03
2001-10-12,476.812
2001-10-15,467.847
2001-10-16,469.544
2001-10-17,482.803
2001-10-18,470.69
2001-10-19,457.498
2001-10-22,459.278
2001-10-23,470.664
2001-10-24,469.429
2001-10-25,464.029
2001-10-26,475.665
2001-10-29,472.391
2001-10-30,464.204
2001-10-31,467.206
2001-11-01,470.812
2001-11-02,475.204
2001-11-05,481.323
2001-11-06,481.216
2001-11-07,485.029
2001-11-08,487.139
2001-11-09,484.714
2001-11-12,474.38
2001-11-13,482.52
2001-11-14,477.782
2001-11-15,471.499
2001-11-16,476.584
2001-11-19,478.778
2001-11-20,479.276
2001-11-21,479.493
2001-11-22,481.81
2001-11-23,475.72
2001-11-26,476.766
2001-11-27,475.582
2001-11-28,472.295
2001-11-29,474.646
2001-11-30,475.34
2001-12-03,469.297
2001-12-04,471.211
2001-12-05,480.217
2001-12-06,485.661
2001-12-07,478.434
2001-12-10,472.724
2001-12-11,470.685
2001-12-12,470.693
2001-12-13,468.014
2001-12-14,469.025
2001-12-17,479.234
2001-12-18,479.413
2001-12-19,474.926
2001-12-20,469.859
2001-12-21,475.508
2001-12-24,478.186
2001-12-25,478.186
2001-12-26,480.976
2001-12-27,487.129
2001-12-28,488.358
2001-12-31,487.203
2002-01-01,487.203
2002-01-02,485.408
2002-01-03,491.098
2002-01-04,492.252
2002-01-07,488.617
2002-01-08,485.039
2002-01-09,483.34
2002-01-10,483.837
2002-01-11,482.447
2002-01-14,477.415
2002-01-15,480.487
2002-01-16,475.991
2002-01-17,477.793
2002-01-18,473.978
2002-01-21,476.956
2002-01-22,475.132
2002-01-23,479.691
2002-01-24,483.504
2002-01-25,477.614
2002-01-28,483.483
2002-01-29,476.056
2002-01-30,474.109
2002-01-31,479.727
2002-02-01,481.671
2002-02-04,481.479
2002-02-05,476.071
2002-02-06,474.038
2002-02-07,476.964
2002-02-08,477.937
2002-02-11,483.64
2002-02-12,484.883
2002-02-13,488.262
2002-02-14,494.463
2002-02-15,491.931
2002-02-18,488.577
2002-02-19,483.315
2002-02-20,475.439
2002-02-21,478.765
2002-02-22,479.507
2002-02-25,485.491
2002-02-26,487.936
2002-02-27,484.068
2002-02-28,476.707
2002-03-01,484.835
2002-03-04,496.162
2002-03-05,494.408
2002-03-06,497.561
2002-03-07,502.011
2002-03-08,498.906
2002-03-11,498.828
2002-03-12,494.876
2002-03-13,498.013
2002-03-14,500.139
2002-03-15,506.856
2002-03-18,506.707
2002-03-19,509.977
2002-03-20,507.09
2002-03-21,505.309
2002-03-22,504.81
2002-03-25,500.638
2002-03-26,500.154
2002-03-27,501.173
2002-03-28,507.353
2002-03-29,507.353
2002-04-01,512.483
2002-04-02,510.476
2002-04-03,509.69
2002-04-04,506.229
2002-04-05,506.185
2002-04-08,501.897
2002-04-09,503.324
2002-04-10,510.505
2002-04-11,503.657
2002-04-12,505.96
2002-04-15,510.057
2002-04-16,516.425
2002-04-17,517.886
2002-04-18,519.266
2002-04-19,521.617
2002-04-22,521.975
2002-04-23,518.613
2002-04-24,521.67
2002-04-25,521.275
2002-04-26,517.538
2002-04-29,518.736
2002-04-30,522.594
2002-05-01,519.706
2002-05-02,526.434
2002-05-03,538.38
2002-05-06,538.087
2002-05-07,527.106
2002-05-08,531.053
2002-05-09,527.736
2002-05-10,529.62
2002-05-13,534.561
2002-05-14,532.147
2002-05-15,535.364
2002-05-16,535.204
2002-05-17,535.625
2002-05-20,531.88
2002-05-21,529.983
2002-05-22,526.571
2002-05-23,527.839
2002-05-24,533.211
2002-05-27,532.141
2002-05-28,526.046
2002-05-29,526.2
2002-05-30,526.556
2002-05-31,532.28
2002-06-03,531.716
2002-06-04,532.317
2002-06-05,519.249
2002-06-06,517.785
2002-06-07,512.175
2002-06-10,509.127
2002-06-11,513.295
2002-06-12,505.093
2002-06-13,497.031
2002-06-14,482.1
2002-06-17,494.372
2002-06-18,492.151
2002-06-19,486.837
2002-06-20,483.91
2002-06-21,486.548
2002-06-24,481.99
2002-06-25,491.398
2002-06-26,489.236
2002-06-27,487.12
2002-06-28,502.355
2002-07-01,508.648
2002-07-02,495.044
2002-07-03,479.05
2002-07-04,485.247
2002-07-05,499.678
2002-07-08,502.192
2002-07-09,499.343
2002-07-10,489.36
2002-07-11,468.063
2002-07-12,462.693
2002-07-15,438.336
2002-07-16,444.839
2002-07-17,464.688
2002-07-18,476.279
2002-07-19,456.884
2002-07-22,431.79
2002-07-23,424.339
2002-07-24,418.386
2002-07-25,439.137
2002-07-26,443.792
2002-07-29,463.844
2002-07-30,464.68
2002-07-31,474.09
2002-08-01,448.955
2002-08-02,454.243
2002-08-05,446.225
2002-08-06,455.203
2002-08-07,451.633
2002-08-08,463.862
2002-08-09,472.045
2002-08-12,461.751
2002-08-13,469.804
2002-08-14,464.755
2002-08-15,481.397
2002-08-16,482.413
2002-08-19,490.152
2002-08-20,484.812
2002-08-21,486.319
2002-08-22,491.316
2002-08-23,483.41
2002-08-26,484.3
2002-08-27,495.884
2002-08-28,477.503
2002-08-29,470.965
2002-08-30,473.909
2002-09-02,470.091
2002-09-03,453.648
2002-09-04,449.568
2002-09-05,447.846
2002-09-06,457.716
2002-09-09,452.002
2002-09-10,463.553
2002-09-11,463.874
2002-09-12,452.745
2002-09-13,444.304
2002-09-16,445.325
2002-09-17,439.165
2002-09-18,423.346
2002-09-19,419.673
2002-09-20,422.81
2002-09-23,411.601
2002-09-24,403.337
2002-09-25,404.348
2002-09-26,421.84
2002-09-27,425.35
2002-09-30,406.865
2002-10-01,417.934
2002-10-02,426.655
2002-10-03,420.44
2002-10-04,412.471
2002-10-07,412.706
2002-10-08,403.917
2002-10-09,406.783
2002-10-10,412.662
2002-10-11,432.461
2002-10-14,427.89
2002-10-15,451.29
2002-10-16,445.586
2002-10-17,458.168
2002-10-18,452.92
2002-10-21,452.879
2002-10-22,447.554
2002-10-23,435.329
2002-10-24,444.516
2002-10-25,440.305
2002-10-28,443.645
2002-10-29,425.712
2002-10-30,433.833
