Date,UNITED KINGDOM MID VALUE Mid Cap
1994-05-31,190.626
1994-06-30,189.807
1994-07-29,200.798
1994-08-31,213.997
1994-09-30,201.14
1994-10-31,211.783
1994-11-30,200.964
1994-12-30,203.444
1995-01-31,200.129
1995-02-28,202.962
1995-03-31,216.989
1995-04-28,222.448
1995-05-31,228.675
1995-06-30,225.476
1995-07-31,243.098
1995-08-31,239.821
1995-09-29,247.951
1995-10-31,242.033
1995-11-30,234.761
1995-12-29,245.93
1996-01-31,249.015
1996-02-29,254.264
1996-03-29,262.221
1996-04-30,268.96
1996-05-31,273.514
1996-06-28,268.249
1996-07-31,264.946
1996-08-30,276.867
1996-09-30,274.441
1996-10-31,285.306
1996-11-29,298.613
1996-12-31,312.065
1997-01-31,295.783
1997-02-28,305.671
1997-03-31,304.077
1997-04-30,302.874
1997-05-30,306.037
1997-06-30,309.031
1997-07-31,307.121
1997-08-29,313.587
1997-09-30,334.345
1997-10-31,333.731
1997-11-28,335.118
1997-12-31,335.161
1998-01-30,329.441
1998-02-27,350.023
1998-03-31,384.166
1998-04-30,392.869
1998-05-29,400.321
1998-06-30,370.271
1998-07-31,352.449
1998-08-31,318.981
1998-09-30,300.588
1998-10-30,319.424
1998-11-30,317.498
1998-12-31,309.084
1999-01-29,311.902
1999-02-26,319.721
1999-03-31,330.185
1999-04-30,362.886
1999-05-31,350.458
1999-06-30,358.588
1999-07-30,374.807
1999-08-31,371.118
1999-09-30,352.928
1999-10-29,334.138
1999-11-30,332.536
1999-12-31,338.494
2000-01-31,308.296
2000-02-29,286.461
2000-03-31,311.194
2000-04-28,311.147
2000-05-31,310.083
2000-06-30,333.795
2000-07-31,332.362
2000-08-31,327.954
2000-09-29,318.729
2000-10-31,320.189
2000-11-30,327.982
2000-12-29,352.078
2001-01-31,352.485
2001-02-28,351.88
2001-03-30,326.654
2001-04-30,346.586
2001-05-31,354.386
2001-06-29,343.299
2001-07-31,342.485
2001-08-31,348.697
2001-09-28,296.056
2001-10-31,306.803
2001-11-30,321.709
2001-12-31,335.286
2002-01-31,322.249
2002-02-28,324.671
2002-03-29,357.081
2002-04-30,367.405
2002-05-31,370.411
2002-06-28,357.238
2002-07-31,330.715
2002-08-30,329.276
2002-09-30,306.56
2002-10-31,318.651
2002-11-29,314.924
2002-12-31,315.754
2003-01-31,297.398
2003-02-28,286.888
2003-03-31,283.292
2003-04-30,313.782
2003-05-30,342.291
2003-06-30,347.784
2003-07-31,356.873
2003-08-29,359.076
2003-09-30,363.654
2003-10-31,399.638
2003-11-28,411.783
2003-12-31,438.067
2004-01-30,452.594
2004-02-27,491.343
2004-03-31,478.479
2004-04-30,462.865
2004-05-31,485.751
