Date,UNITED KINGDOM SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.141
2001-01-03,100.041
2001-01-04,101.175
2001-01-05,101.669
2001-01-08,101.899
2001-01-09,101.762
2001-01-10,102.612
2001-01-11,103.132
2001-01-12,102.684
2001-01-15,102.885
2001-01-16,102.352
2001-01-17,103.463
2001-01-18,104.0
2001-01-19,105.042
2001-01-22,104.657
2001-01-23,105.138
2001-01-24,104.587
2001-01-25,105.114
2001-01-26,104.824
2001-01-29,104.855
2001-01-30,104.92
2001-01-31,105.071
2001-02-01,106.219
2001-02-02,105.373
2001-02-05,105.684
2001-02-06,105.342
2001-02-07,105.618
2001-02-08,104.465
2001-02-09,103.97
2001-02-12,104.137
2001-02-13,104.121
2001-02-14,103.739
2001-02-15,103.113
2001-02-16,102.649
2001-02-19,102.394
2001-02-20,102.179
2001-02-21,101.628
2001-02-22,101.614
2001-02-23,101.868
2001-02-26,101.191
2001-02-27,101.74
2001-02-28,101.41
2001-03-01,102.09
2001-03-02,103.393
2001-03-05,103.509
2001-03-06,104.487
2001-03-07,104.546
2001-03-08,104.961
2001-03-09,103.731
2001-03-12,102.047
2001-03-13,99.622
2001-03-14,98.457
2001-03-15,98.401
2001-03-16,97.457
2001-03-19,96.263
2001-03-20,96.306
2001-03-21,94.565
2001-03-22,90.95
2001-03-23,91.621
2001-03-26,92.777
2001-03-27,93.067
2001-03-28,93.377
2001-03-29,93.171
2001-03-30,92.627
2001-04-02,93.008
2001-04-03,91.952
2001-04-04,91.793
2001-04-05,92.958
2001-04-06,94.475
2001-04-09,94.655
2001-04-10,94.269
2001-04-11,95.599
2001-04-12,96.226
2001-04-13,96.226
2001-04-16,95.821
2001-04-17,95.204
2001-04-18,95.347
2001-04-19,97.117
2001-04-20,98.147
2001-04-23,98.357
2001-04-24,98.989
2001-04-25,99.452
2001-04-26,100.086
2001-04-27,100.59
2001-04-30,101.031
2001-05-01,101.392
2001-05-02,101.872
2001-05-03,102.306
2001-05-04,103.263
2001-05-07,103.46
2001-05-08,103.175
2001-05-09,102.191
2001-05-10,102.348
2001-05-11,102.245
2001-05-14,102.403
2001-05-15,102.576
2001-05-16,102.34
2001-05-17,103.326
2001-05-18,103.517
2001-05-21,103.998
2001-05-22,103.953
2001-05-23,103.908
2001-05-24,102.961
2001-05-25,103.968
2001-05-28,103.949
2001-05-29,103.717
2001-05-30,104.071
2001-05-31,103.753
2001-06-01,103.706
2001-06-04,104.246
2001-06-05,104.561
2001-06-06,104.117
2001-06-07,103.962
2001-06-08,103.227
2001-06-11,102.244
2001-06-12,101.785
2001-06-13,102.344
2001-06-14,102.59
2001-06-15,101.741
2001-06-18,101.775
2001-06-19,101.672
2001-06-20,100.854
2001-06-21,101.966
2001-06-22,101.615
2001-06-25,101.696
2001-06-26,100.531
2001-06-27,100.009
2001-06-28,99.459
2001-06-29,99.609
2001-07-02,100.244
2001-07-03,99.859
2001-07-04,99.669
2001-07-05,98.192
2001-07-06,97.04
2001-07-09,96.965
2001-07-10,97.901
2001-07-11,97.599
2001-07-12,97.591
2001-07-13,97.404
2001-07-16,97.232
2001-07-17,96.719
2001-07-18,97.537
2001-07-19,97.7
2001-07-20,98.434
2001-07-23,97.861
2001-07-24,97.217
2001-07-25,96.486
2001-07-26,96.324
2001-07-27,95.829
2001-07-30,95.904
2001-07-31,96.45
2001-08-01,97.772
2001-08-02,98.357
2001-08-03,98.224
2001-08-06,97.488
2001-08-07,96.638
2001-08-08,96.522
2001-08-09,96.384
2001-08-10,97.166
2001-08-13,96.833
2001-08-14,97.918
2001-08-15,99.38
2001-08-16,99.794
2001-08-17,99.808
2001-08-20,100.324
2001-08-21,101.073
2001-08-22,101.792
2001-08-23,100.559
2001-08-24,100.652
2001-08-27,100.408
2001-08-28,100.758
2001-08-29,101.118
2001-08-30,100.802
2001-08-31,100.648
2001-09-03,100.158
2001-09-04,100.062
2001-09-05,100.165
2001-09-06,98.894
2001-09-07,98.458
2001-09-10,95.545
2001-09-11,93.405
2001-09-12,91.449
2001-09-13,92.889
2001-09-14,91.337
2001-09-17,88.66
2001-09-18,85.943
2001-09-19,84.423
2001-09-20,80.364
2001-09-21,75.763
2001-09-24,78.593
2001-09-25,79.911
2001-09-26,80.698
2001-09-27,80.294
2001-09-28,80.214
2001-10-01,80.177
2001-10-02,78.93
2001-10-03,79.397
2001-10-04,81.708
2001-10-05,82.506
2001-10-08,80.777
2001-10-09,81.124
2001-10-10,81.893
2001-10-11,84.246
2001-10-12,85.341
2001-10-15,85.203
2001-10-16,85.831
2001-10-17,87.38
2001-10-18,85.925
2001-10-19,85.091
2001-10-22,83.765
2001-10-23,84.163
2001-10-24,84.465
2001-10-25,85.35
2001-10-26,85.511
2001-10-29,86.159
2001-10-30,84.86
2001-10-31,85.341
2001-11-01,85.912
2001-11-02,86.609
2001-11-05,86.819
2001-11-06,88.019
2001-11-07,88.948
2001-11-08,90.688
2001-11-09,91.633
2001-11-12,90.816
2001-11-13,91.657
2001-11-14,93.028
2001-11-15,94.021
2001-11-16,93.719
2001-11-19,94.293
2001-11-20,93.683
2001-11-21,92.637
2001-11-22,92.647
2001-11-23,92.498
2001-11-26,93.494
2001-11-27,93.116
2001-11-28,93.294
2001-11-29,92.66
2001-11-30,93.335
2001-12-03,92.637
2001-12-04,93.184
2001-12-05,94.285
2001-12-06,96.616
2001-12-07,97.23
2001-12-10,97.123
2001-12-11,96.514
2001-12-12,95.871
2001-12-13,94.997
2001-12-14,95.198
2001-12-17,95.55
2001-12-18,95.52
2001-12-19,94.802
2001-12-20,94.505
2001-12-21,93.901
2001-12-24,94.082
2001-12-25,94.082
2001-12-26,94.631
2001-12-27,95.389
2001-12-28,95.273
2001-12-31,96.465
2002-01-01,96.465
2002-01-02,96.076
2002-01-03,97.156
2002-01-04,98.3
2002-01-07,98.477
2002-01-08,98.166
2002-01-09,97.046
2002-01-10,96.716
2002-01-11,96.959
2002-01-14,96.884
2002-01-15,96.652
2002-01-16,95.234
2002-01-17,95.1
2002-01-18,95.145
2002-01-21,95.215
2002-01-22,95.0
2002-01-23,94.126
2002-01-24,94.162
2002-01-25,92.706
2002-01-28,92.052
2002-01-29,91.812
2002-01-30,90.881
