Date,UNITED KINGDOM SMALL GROWTH Small Cap
1994-05-31,244.308
1994-06-30,238.924
1994-07-29,247.174
1994-08-31,255.29
1994-09-30,251.237
1994-10-31,258.835
1994-11-30,246.641
1994-12-30,247.814
1995-01-31,244.296
1995-02-28,240.809
1995-03-31,253.97
1995-04-28,257.49
1995-05-31,262.172
1995-06-30,259.798
1995-07-31,275.327
1995-08-31,277.802
1995-09-29,291.883
1995-10-31,290.444
1995-11-30,283.686
1995-12-29,291.528
1996-01-31,293.298
1996-02-29,306.94
1996-03-29,316.055
1996-04-30,331.11
1996-05-31,345.209
1996-06-28,338.751
1996-07-31,326.363
1996-08-30,342.804
1996-09-30,345.75
1996-10-31,367.882
1996-11-29,380.216
1996-12-31,392.489
1997-01-31,388.4
1997-02-28,399.393
1997-03-31,398.845
1997-04-30,388.115
1997-05-30,391.713
1997-06-30,386.272
1997-07-31,373.387
1997-08-29,386.859
1997-09-30,402.043
1997-10-31,412.916
1997-11-28,409.328
1997-12-31,411.26
1998-01-30,420.272
1998-02-27,450.296
1998-03-31,493.118
1998-04-30,499.515
1998-05-29,513.713
1998-06-30,496.706
1998-07-31,476.934
1998-08-31,417.793
1998-09-30,388.985
1998-10-30,390.462
1998-11-30,396.624
1998-12-31,401.764
1999-01-29,418.233
1999-02-26,428.91
1999-03-31,453.173
1999-04-30,466.932
1999-05-31,454.265
1999-06-30,460.915
1999-07-30,490.247
1999-08-31,502.458
1999-09-30,502.933
1999-10-29,522.805
1999-11-30,600.572
1999-12-31,690.635
2000-01-31,749.277
2000-02-29,849.057
2000-03-31,775.289
2000-04-28,660.847
2000-05-31,582.041
2000-06-30,643.107
2000-07-31,651.587
2000-08-31,681.282
2000-09-29,660.061
2000-10-31,604.789
2000-11-30,514.733
2000-12-29,555.791
2001-01-31,557.114
2001-02-28,508.301
2001-03-30,438.465
2001-04-30,465.457
2001-05-31,464.897
2001-06-29,421.821
2001-07-31,402.349
2001-08-31,405.334
2001-09-28,317.732
2001-10-31,343.536
2001-11-30,375.626
2001-12-31,393.025
2002-01-31,372.321
2002-02-28,361.612
2002-03-29,377.14
2002-04-30,383.537
2002-05-31,377.635
2002-06-28,348.481
2002-07-31,307.271
2002-08-30,302.324
2002-09-30,270.353
2002-10-31,278.55
2002-11-29,292.898
2002-12-31,283.633
2003-01-31,266.78
2003-02-28,256.713
2003-03-31,254.886
2003-04-30,285.574
2003-05-30,319.063
2003-06-30,331.321
2003-07-31,345.473
2003-08-29,356.739
2003-09-30,368.217
2003-10-31,400.153
2003-11-28,400.707
2003-12-31,421.148
2004-01-30,450.032
2004-02-27,476.682
2004-03-31,466.245
2004-04-30,446.572
2004-05-31,451.298
2004-06-30,465.759
2004-07-30,444.827
2004-08-31,438.434
2004-09-30,459.128
2004-10-29,472.685
2004-11-30,506.928
2004-12-31,536.488
2005-01-31,547.737
2005-02-28,564.913
2005-03-31,542.226
2005-04-29,517.206
2005-05-31,516.789
2005-06-30,529.795
2005-07-29,542.917
2005-08-31,570.22
2005-09-30,571.714
2005-10-31,551.23
2005-11-30,580.155
2005-12-30,606.045
2006-01-31,661.457
2006-02-28,667.311
2006-03-31,688.838
2006-04-28,740.499
2006-05-31,718.855
2006-06-30,717.236
2006-07-31,713.137
2006-08-31,745.377
2006-09-29,764.101
2006-10-31,799.63
2006-11-30,842.839
2006-12-29,886.833
2007-01-31,880.546
2007-02-28,898.64
2007-03-30,948.835
2007-04-30,993.828
2007-05-31,1000.0
2007-06-29,991.276
2007-07-31,984.123
2007-08-31,964.375
2007-09-28,964.98
2007-10-31,1068.316
2007-11-30,975.98
2007-12-31,941.943
2008-01-31,847.694
2008-02-29,894.351
2008-03-31,885.185
2008-04-30,916.594
2008-05-30,944.653
2008-06-30,925.864
2008-07-31,885.793
2008-08-29,843.51
2008-09-30,687.449
2008-10-31,498.597
2008-11-28,452.381
2008-12-31,434.41
2009-01-30,442.229
2009-02-27,430.859
2009-03-31,453.104
2009-04-30,531.968
2009-05-29,592.926
2009-06-30,602.883
2009-07-31,641.93
2009-08-31,683.62
2009-09-30,705.213
2009-10-30,715.77
2009-11-30,715.817
2009-12-31,734.576
2010-01-29,730.197
2010-02-26,700.841
2010-03-31,758.336
2010-04-30,788.451
2010-05-31,698.723
2010-06-30,705.451
2010-07-30,805.985
2010-08-31,790.472
2010-09-30,884.703
2010-10-29,925.217
2010-11-30,897.589
2010-12-31,984.336
2011-01-31,985.916
2011-02-28,1006.427
2011-03-31,998.167
2011-04-29,1088.447
2011-05-31,1062.266
2011-06-30,1022.459
2011-07-29,1026.942
2011-08-31,918.676
2011-09-30,815.028
2011-10-31,901.501
2011-11-30,868.605
2011-12-30,840.904
2012-01-31,925.466
2012-02-29,1008.33
2012-03-30,1001.462
2012-04-30,1028.088
2012-05-31,899.116
2012-06-29,930.383
2012-07-31,951.396
2012-08-31,994.968
2012-09-28,1041.881
2012-10-31,1049.911
2012-11-30,1046.744
2012-12-31,1087.359
2013-01-31,1108.06
2013-02-28,1106.074
2013-03-29,1131.338
2013-04-30,1142.386
2013-05-31,1155.562
2013-06-28,1113.481
2013-07-31,1205.296
2013-08-30,1215.086
2013-09-30,1302.639
2013-10-31,1339.067
2013-11-29,1381.246
2013-12-31,1445.317
2014-01-31,1415.028
2014-02-28,1552.795
2014-03-31,1492.329
2014-04-30,1452.783
2014-05-30,1460.673
2014-06-30,1452.345
2014-07-31,1405.547
2014-08-29,1432.63
2014-09-30,1349.013
2014-10-31,1339.048
2014-11-28,1342.252
2014-12-31,1363.379
2015-01-30,1317.354
2015-02-27,1442.993
2015-03-31,1383.673
2015-04-30,1472.981
2015-05-29,1554.818
2015-06-30,1551.281
2015-07-31,1580.344
2015-08-31,1520.655
2015-09-30,1463.195
2015-10-30,1526.839
2015-11-30,1527.067
2015-12-31,1509.218
2016-01-29,1345.911
2016-02-29,1323.976
2016-03-31,1421.235
2016-04-29,1427.752
2016-05-31,1484.116
2016-06-30,1259.233
2016-07-29,1337.245
2016-08-31,1354.683
2016-09-30,1371.917
2016-10-31,1264.683
2016-11-30,1294.718
2016-12-30,1322.042
2017-01-31,1354.391
2017-02-28,1379.1
2017-03-31,1405.938
2017-04-28,1532.323
2017-05-31,1575.746
2017-06-30,1539.597
2017-07-31,1602.263
2017-08-31,1592.806
2017-09-29,1667.788
2017-10-31,1713.952
2017-11-30,1724.69
2017-12-29,1788.502
2018-01-31,1864.329
2018-02-28,1763.378
2018-03-30,1761.353
2018-04-30,1817.879
2018-05-31,1852.305
2018-06-29,1853.748
2018-07-31,1851.105
2018-08-31,1835.202
2018-09-28,1790.135
2018-10-31,1602.878
2018-11-30,1542.141
2018-12-31,1456.525
2019-01-31,1612.593
2019-02-28,1681.777
2019-03-29,1702.345
2019-04-30,1818.084
2019-05-31,1711.501
2019-06-28,1732.345
2019-07-31,1684.534
2019-08-30,1622.608
2019-09-30,1684.005
2019-10-31,1790.03
2019-11-29,1853.883
2019-12-31,1992.193
2020-01-31,1923.109
2020-02-28,1716.241
2020-03-31,1340.327
2020-04-30,1527.581
2020-05-29,1611.147
2020-06-30,1600.265
2020-07-31,1701.586
2020-08-31,1828.789
2020-09-30,1747.189
2020-10-30,1714.994
2020-11-30,1922.933
2020-12-31,2097.22
2021-01-29,2080.837
2021-02-26,2163.223
2021-03-31,2175.901
2021-04-30,2318.144
2021-05-31,2351.832
2021-06-30,2260.476
2021-07-30,2338.206
2021-08-31,2421.294
2021-09-30,2272.242
2021-10-29,2304.163
2021-11-30,2144.938
2021-12-31,2274.715
2022-01-31,2001.058
2022-02-28,1930.235
2022-03-31,1860.551
2022-04-29,1719.947
2022-05-31,1693.279
2022-06-30,1486.085
2022-07-29,1632.039
2022-08-31,1459.932
2022-09-30,1263.138
2022-10-31,1339.042
2022-11-30,1487.704
2022-12-30,1460.216
2023-01-31,1574.426
2023-02-28,1553.242
2023-03-31,1528.138
2023-04-28,1613.636
2023-05-31,1537.203
2023-06-30,1582.921
2023-07-31,1663.732
2023-08-31,1604.074
2023-09-29,1518.128
2023-10-31,1408.936
2023-11-30,1563.655
2023-12-29,1676.552
2024-01-31,1654.249
2024-02-29,1636.558
2024-03-29,1694.14
2024-04-30,1655.886
2024-05-31,1791.185
2024-06-28,1728.498
2024-07-31,1866.461
2024-08-30,1878.585
2024-09-30,1915.0
2024-10-31,1780.61
2024-11-29,1800.816
2024-12-31,1739.799
2025-01-31,1787.085
2025-02-28,1764.019
2025-03-31,1727.513
2025-04-30,1842.236
2025-05-30,2015.671
2025-06-30,2100.381
2025-07-31,2058.373
2025-08-29,2055.882
2025-09-30,2117.416
2025-10-31,2074.576
2025-11-28,2082.077
