Date,UNITED KINGDOM SMALL GROWTH Small Cap
2001-01-01,556.219
2001-01-02,557.812
2001-01-03,552.151
2001-01-04,555.915
2001-01-05,556.257
2001-01-08,554.677
2001-01-09,552.234
2001-01-10,549.588
2001-01-11,550.499
2001-01-12,549.204
2001-01-15,551.007
2001-01-16,547.653
2001-01-17,553.385
2001-01-18,557.203
2001-01-19,561.826
2001-01-22,557.964
2001-01-23,561.495
2001-01-24,558.244
2001-01-25,559.032
2001-01-26,555.239
2001-01-29,555.231
2001-01-30,557.694
2001-01-31,557.115
2001-02-01,559.985
2001-02-02,557.359
2001-02-05,558.402
2001-02-06,554.919
2001-02-07,553.802
2001-02-08,547.654
2001-02-09,546.234
2001-02-12,547.782
2001-02-13,547.114
2001-02-14,543.679
2001-02-15,538.643
2001-02-16,532.87
2001-02-19,527.849
2001-02-20,525.205
2001-02-21,517.428
2001-02-22,511.366
2001-02-23,511.055
2001-02-26,510.782
2001-02-27,511.944
2001-02-28,508.303
2001-03-01,506.43
2001-03-02,510.231
2001-03-05,509.589
2001-03-06,515.691
2001-03-07,517.837
2001-03-08,518.723
2001-03-09,511.826
2001-03-12,500.702
2001-03-13,482.925
2001-03-14,473.224
2001-03-15,474.252
2001-03-16,468.862
2001-03-19,462.217
2001-03-20,463.349
2001-03-21,454.158
2001-03-22,434.051
2001-03-23,439.765
2001-03-26,444.017
2001-03-27,446.488
2001-03-28,445.327
2001-03-29,443.219
2001-03-30,438.466
2001-04-02,439.355
2001-04-03,429.835
2001-04-04,424.037
2001-04-05,429.273
2001-04-06,432.819
2001-04-09,431.955
2001-04-10,432.618
2001-04-11,436.48
2001-04-12,441.419
2001-04-13,440.869
2001-04-16,439.525
2001-04-17,438.633
2001-04-18,442.876
2001-04-19,453.431
2001-04-20,459.627
2001-04-23,458.991
2001-04-24,458.006
2001-04-25,459.946
2001-04-26,461.008
2001-04-27,462.12
2001-04-30,465.458
2001-05-01,466.686
2001-05-02,471.217
2001-05-03,470.675
2001-05-04,473.017
2001-05-07,473.918
2001-05-08,473.679
2001-05-09,468.154
2001-05-10,466.846
2001-05-11,465.885
2001-05-14,465.016
2001-05-15,466.31
2001-05-16,464.452
2001-05-17,469.087
2001-05-18,469.566
2001-05-21,472.462
2001-05-22,474.688
2001-05-23,473.069
2001-05-24,467.669
2001-05-25,470.846
2001-05-28,470.349
2001-05-29,469.263
2001-05-30,468.203
2001-05-31,464.898
2001-06-01,463.427
2001-06-04,465.219
2001-06-05,466.029
2001-06-06,461.582
2001-06-07,460.443
2001-06-08,457.68
2001-06-11,454.103
2001-06-12,451.589
2001-06-13,453.867
2001-06-14,453.002
2001-06-15,447.589
2001-06-18,446.368
2001-06-19,444.302
2001-06-20,437.967
2001-06-21,441.787
2001-06-22,439.813
2001-06-25,439.276
2001-06-26,430.98
2001-06-27,426.645
2001-06-28,421.572
2001-06-29,421.822
2001-07-02,424.669
2001-07-03,422.013
2001-07-04,419.129
2001-07-05,411.302
2001-07-06,405.827
2001-07-09,404.228
2001-07-10,405.491
2001-07-11,402.813
2001-07-12,403.585
2001-07-13,401.762
2001-07-16,401.738
2001-07-17,398.378
2001-07-18,401.62
2001-07-19,402.548
2001-07-20,405.425
2001-07-23,403.212
2001-07-24,399.984
2001-07-25,397.382
2001-07-26,398.61
2001-07-27,397.883
2001-07-30,399.744
2001-07-31,402.35
2001-08-01,408.075
2001-08-02,411.308
2001-08-03,411.076
2001-08-06,406.62
2001-08-07,404.277
2001-08-08,401.973
2001-08-09,398.905
2001-08-10,401.488
2001-08-13,400.04
2001-08-14,402.213
2001-08-15,407.044
2001-08-16,408.128
2001-08-17,407.791
2001-08-20,407.794
2001-08-21,409.505
2001-08-22,411.335
2001-08-23,407.909
2001-08-24,409.088
2001-08-27,408.098
2001-08-28,409.77
2001-08-29,409.255
2001-08-30,406.686
2001-08-31,405.335
2001-09-03,403.514
2001-09-04,401.625
2001-09-05,399.466
2001-09-06,390.47
2001-09-07,386.767
2001-09-10,374.876
2001-09-11,367.474
2001-09-12,356.364
2001-09-13,360.575
2001-09-14,357.118
2001-09-17,350.041
2001-09-18,341.286
2001-09-19,335.478
2001-09-20,319.522
2001-09-21,302.489
2001-09-24,312.48
2001-09-25,317.071
2001-09-26,320.439
2001-09-27,318.081
2001-09-28,317.733
2001-10-01,318.096
2001-10-02,314.142
2001-10-03,316.491
2001-10-04,322.629
2001-10-05,325.24
2001-10-08,320.964
2001-10-09,322.293
2001-10-10,324.451
2001-10-11,332.475
2001-10-12,337.211
2001-10-15,337.639
2001-10-16,341.595
2001-10-17,347.292
2001-10-18,342.146
2001-10-19,338.532
2001-10-22,335.975
2001-10-23,337.89
2001-10-24,338.768
2001-10-25,341.646
2001-10-26,344.879
2001-10-29,348.357
2001-10-30,343.396
2001-10-31,343.537
2001-11-01,344.93
2001-11-02,346.545
2001-11-05,347.464
2001-11-06,351.646
2001-11-07,355.638
2001-11-08,360.544
2001-11-09,363.807
2001-11-12,362.005
2001-11-13,364.161
2001-11-14,371.6
2001-11-15,376.853
2001-11-16,377.257
2001-11-19,378.994
2001-11-20,376.421
2001-11-21,372.516
2001-11-22,372.552
2001-11-23,372.88
2001-11-26,377.426
2001-11-27,376.618
2001-11-28,375.775
2001-11-29,373.443
2001-11-30,375.627
2001-12-03,373.283
2001-12-04,374.319
2001-12-05,379.235
2001-12-06,386.818
2001-12-07,389.778
2001-12-10,389.89
2001-12-11,388.152
2001-12-12,387.635
2001-12-13,384.348
2001-12-14,385.127
2001-12-17,386.707
2001-12-18,387.868
2001-12-19,385.598
2001-12-20,384.702
2001-12-21,382.688
2001-12-24,383.224
2001-12-25,383.04
2001-12-26,385.46
2001-12-27,388.068
2001-12-28,387.215
2001-12-31,393.026
2002-01-01,392.849
2002-01-02,390.547
2002-01-03,392.907
2002-01-04,395.532
2002-01-07,395.841
2002-01-08,394.192
2002-01-09,391.189
2002-01-10,389.975
2002-01-11,390.508
2002-01-14,391.269
2002-01-15,388.561
2002-01-16,384.617
2002-01-17,384.732
2002-01-18,385.153
2002-01-21,385.495
2002-01-22,383.505
2002-01-23,380.813
2002-01-24,380.692
2002-01-25,376.197
2002-01-28,374.547
2002-01-29,374.107
2002-01-30,370.243
2002-01-31,372.323
2002-02-01,373.396
2002-02-04,372.877
2002-02-05,369.141
2002-02-06,365.79
2002-02-07,364.839
2002-02-08,366.613
2002-02-11,369.873
2002-02-12,372.032
2002-02-13,371.084
2002-02-14,369.982
2002-02-15,370.589
2002-02-18,368.952
2002-02-19,366.44
2002-02-20,363.507
2002-02-21,362.722
2002-02-22,361.485
2002-02-25,361.433
2002-02-26,363.954
2002-02-27,362.65
2002-02-28,361.613
2002-03-01,363.62
2002-03-04,369.004
2002-03-05,370.041
2002-03-06,370.93
2002-03-07,375.947
2002-03-08,374.004
2002-03-11,374.578
2002-03-12,370.369
2002-03-13,371.038
2002-03-14,372.453
2002-03-15,373.367
2002-03-18,373.96
2002-03-19,372.52
2002-03-20,373.967
2002-03-21,375.259
2002-03-22,375.697
2002-03-25,376.179
2002-03-26,373.735
2002-03-27,375.287
2002-03-28,377.275
2002-03-29,377.141
2002-04-01,381.555
2002-04-02,383.74
2002-04-03,382.718
2002-04-04,381.324
2002-04-05,382.461
2002-04-08,380.114
2002-04-09,379.782
2002-04-10,380.666
2002-04-11,381.394
2002-04-12,379.188
2002-04-15,379.8
2002-04-16,381.295
2002-04-17,383.968
2002-04-18,384.54
2002-04-19,385.778
2002-04-22,387.581
2002-04-23,386.443
2002-04-24,386.153
2002-04-25,385.693
2002-04-26,384.996
2002-04-29,384.703
2002-04-30,383.538
2002-05-01,385.727
2002-05-02,388.014
2002-05-03,389.758
2002-05-06,390.033
2002-05-07,386.724
2002-05-08,386.932
2002-05-09,387.59
2002-05-10,387.222
2002-05-13,385.922
2002-05-14,383.367
2002-05-15,386.47
2002-05-16,386.037
2002-05-17,388.459
2002-05-20,389.418
2002-05-21,387.656
2002-05-22,385.965
2002-05-23,382.174
2002-05-24,383.066
2002-05-27,384.089
2002-05-28,383.455
2002-05-29,379.937
2002-05-30,378.996
2002-05-31,377.636
2002-06-03,377.447
2002-06-04,377.917
2002-06-05,371.845
2002-06-06,372.554
2002-06-07,369.736
2002-06-10,369.741
2002-06-11,371.673
2002-06-12,367.886
2002-06-13,364.2
2002-06-14,354.355
2002-06-17,358.357
2002-06-18,358.533
2002-06-19,353.604
2002-06-20,350.696
2002-06-21,351.189
2002-06-24,346.334
2002-06-25,347.585
2002-06-26,344.603
2002-06-27,346.491
2002-06-28,348.482
2002-07-01,350.106
2002-07-02,341.478
2002-07-03,330.245
2002-07-04,332.718
2002-07-05,337.439
2002-07-08,339.79
2002-07-09,337.082
2002-07-10,331.226
2002-07-11,319.24
2002-07-12,320.585
2002-07-15,313.525
2002-07-16,309.82
2002-07-17,313.919
2002-07-18,322.122
2002-07-19,316.865
2002-07-22,309.898
2002-07-23,304.833
2002-07-24,297.347
2002-07-25,303.546
2002-07-26,298.116
2002-07-29,304.703
2002-07-30,307.476
2002-07-31,307.272
2002-08-01,300.821
2002-08-02,298.812
2002-08-05,291.385
2002-08-06,285.363
2002-08-07,287.442
2002-08-08,289.273
2002-08-09,292.364
2002-08-12,290.963
2002-08-13,291.688
2002-08-14,292.294
2002-08-15,295.013
2002-08-16,295.683
2002-08-19,299.956
2002-08-20,300.691
2002-08-21,303.565
2002-08-22,306.912
2002-08-23,307.157
2002-08-26,307.955
2002-08-27,310.779
2002-08-28,305.628
2002-08-29,303.28
2002-08-30,302.324
2002-09-02,302.48
2002-09-03,300.053
2002-09-04,296.841
2002-09-05,293.54
2002-09-06,294.533
2002-09-09,292.582
2002-09-10,296.112
2002-09-11,296.576
2002-09-12,293.906
2002-09-13,291.528
2002-09-16,288.511
2002-09-17,285.884
2002-09-18,281.176
2002-09-19,277.553
2002-09-20,277.557
2002-09-23,274.402
2002-09-24,268.587
2002-09-25,270.342
2002-09-26,274.254
2002-09-27,275.417
2002-09-30,270.354
2002-10-01,268.201
2002-10-02,264.112
2002-10-03,263.518
2002-10-04,261.718
2002-10-07,258.981
2002-10-08,257.384
2002-10-09,255.825
2002-10-10,254.08
2002-10-11,260.602
2002-10-14,258.398
2002-10-15,267.383
2002-10-16,267.518
2002-10-17,273.549
2002-10-18,273.359
2002-10-21,274.091
2002-10-22,275.293
2002-10-23,273.137
