Date,UNITED KINGDOM SMID CAP SMID (Small+Mid Cap)
1994-05-31,175.202
1994-06-30,171.797
1994-07-29,180.088
1994-08-31,188.702
1994-09-30,180.293
1994-10-31,187.964
1994-11-30,179.261
1994-12-30,181.144
1995-01-31,179.0
1995-02-28,178.214
1995-03-31,187.638
1995-04-28,192.094
1995-05-31,197.145
1995-06-30,195.397
1995-07-31,208.883
1995-08-31,208.561
1995-09-29,216.543
1995-10-31,214.503
1995-11-30,210.209
1995-12-29,216.624
1996-01-31,217.462
1996-02-29,225.823
1996-03-29,233.336
1996-04-30,243.832
1996-05-31,251.309
1996-06-28,246.064
1996-07-31,238.741
1996-08-30,250.201
1996-09-30,251.803
1996-10-31,266.011
1996-11-29,275.674
1996-12-31,286.744
1997-01-31,278.923
1997-02-28,288.759
1997-03-31,287.495
1997-04-30,282.794
1997-05-30,286.643
1997-06-30,288.406
1997-07-31,283.712
1997-08-29,290.051
1997-09-30,302.588
1997-10-31,306.072
1997-11-28,306.022
1997-12-31,306.502
1998-01-30,309.861
1998-02-27,330.555
1998-03-31,361.533
1998-04-30,367.38
1998-05-29,379.767
1998-06-30,363.958
1998-07-31,351.516
1998-08-31,311.211
1998-09-30,293.084
1998-10-30,303.808
1998-11-30,308.317
1998-12-31,310.659
1999-01-29,322.41
1999-02-26,330.668
1999-03-31,346.553
1999-04-30,365.979
1999-05-31,354.526
1999-06-30,361.471
1999-07-30,380.913
1999-08-31,382.393
1999-09-30,371.23
1999-10-29,369.413
1999-11-30,405.471
1999-12-31,435.889
2000-01-31,430.99
2000-02-29,447.257
2000-03-31,442.805
2000-04-28,409.923
2000-05-31,388.129
2000-06-30,419.789
2000-07-31,421.956
2000-08-31,429.361
2000-09-29,415.002
2000-10-31,399.367
2000-11-30,375.057
2000-12-29,406.397
2001-01-31,410.447
2001-02-28,395.369
2001-03-30,358.408
2001-04-30,382.578
2001-05-31,386.464
2001-06-29,365.489
2001-07-31,356.311
2001-08-31,360.791
2001-09-28,302.77
2001-10-31,318.562
2001-11-30,335.887
2001-12-31,349.137
2002-01-31,333.229
2002-02-28,330.813
2002-03-29,354.616
2002-04-30,359.975
2002-05-31,359.587
2002-06-28,340.587
2002-07-31,310.277
2002-08-30,310.859
2002-09-30,284.013
2002-10-31,294.603
2002-11-29,300.024
2002-12-31,292.924
2003-01-31,274.249
2003-02-28,261.616
2003-03-31,259.987
2003-04-30,291.832
2003-05-30,323.609
2003-06-30,331.407
2003-07-31,343.794
2003-08-29,350.299
2003-09-30,358.754
2003-10-31,391.738
2003-11-28,399.137
2003-12-31,422.427
2004-01-30,445.899
2004-02-27,477.088
2004-03-31,469.644
2004-04-30,452.758
2004-05-31,463.543
2004-06-30,474.552
2004-07-30,459.355
2004-08-31,457.174
2004-09-30,473.218
2004-10-29,487.681
2004-11-30,526.833
2004-12-31,553.569
2005-01-31,558.775
2005-02-28,581.279
2005-03-31,563.861
2005-04-29,547.266
2005-05-31,547.775
2005-06-30,557.304
2005-07-29,566.489
2005-08-31,586.405
2005-09-30,591.231
2005-10-31,572.013
2005-11-30,599.727
2005-12-30,626.949
2006-01-31,677.274
2006-02-28,682.987
2006-03-31,703.48
2006-04-28,737.629
2006-05-31,721.357
2006-06-30,725.215
2006-07-31,737.342
2006-08-31,768.101
2006-09-29,782.233
2006-10-31,824.632
2006-11-30,865.809
2006-12-29,904.979
2007-01-31,899.857
2007-02-28,900.524
2007-03-30,942.622
2007-04-30,980.583
2007-05-31,1000.0
2007-06-29,973.181
2007-07-31,954.788
2007-08-31,942.378
2007-09-28,926.189
2007-10-31,996.977
2007-11-30,901.458
2007-12-31,861.55
2008-01-31,799.457
2008-02-29,801.921
2008-03-31,790.48
2008-04-30,803.755
2008-05-30,802.487
2008-06-30,739.86
2008-07-31,713.949
2008-08-29,704.801
2008-09-30,590.123
2008-10-31,436.612
