Date,UNITED KINGDOM Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,99.261
1970-02-27,93.941
1970-03-31,96.238
1970-04-30,86.394
1970-05-29,82.043
1970-06-30,85.738
1970-07-31,88.914
1970-08-31,88.69
1970-09-30,93.865
1970-10-30,93.629
1970-11-30,87.21
1970-12-31,92.641
1971-01-29,92.9
1971-02-26,91.188
1971-03-31,99.019
1971-04-30,109.98
1971-05-31,114.024
1971-06-30,115.974
1971-07-30,123.751
1971-08-31,125.443
1971-09-30,125.565
1971-10-29,122.306
1971-11-30,125.493
1971-12-31,135.246
1972-01-31,142.7
1972-02-29,151.433
1972-03-31,151.615
1972-04-28,156.637
1972-05-31,153.59
1972-06-30,139.452
1972-07-31,147.304
1972-08-31,148.208
1972-09-29,131.942
1972-10-31,131.565
1972-11-30,140.831
1972-12-29,138.769
1973-01-31,129.902
1973-02-28,131.689
1973-03-30,131.533
1973-04-30,133.073
1973-05-31,137.221
1973-06-29,136.577
1973-07-31,126.526
1973-08-31,119.513
1973-09-28,121.389
1973-10-31,125.702
1973-11-30,106.971
1973-12-31,101.118
1974-01-31,96.842
1974-02-28,103.559
1974-03-29,86.949
1974-04-30,93.952
1974-05-31,84.405
1974-06-28,76.376
1974-07-31,71.511
1974-08-30,61.083
1974-09-30,53.922
1974-10-31,55.922
1974-11-29,47.355
1974-12-31,48.441
1975-01-31,75.59
1975-02-28,95.753
1975-03-31,87.791
1975-04-30,101.38
1975-05-30,104.75
1975-06-30,88.385
1975-07-31,84.358
1975-08-29,95.31
1975-09-30,93.995
1975-10-31,99.483
1975-11-28,97.642
1975-12-31,102.242
1976-01-30,112.267
1976-02-27,108.603
1976-03-31,102.069
1976-04-30,102.106
1976-05-31,91.433
1976-06-30,91.534
1976-07-30,88.542
1976-08-31,84.147
1976-09-30,74.52
1976-10-29,64.723
1976-11-30,71.398
1976-12-31,87.404
1977-01-31,95.735
1977-02-28,98.004
1977-03-31,101.223
1977-04-29,104.667
1977-05-31,107.317
1977-06-30,110.632
1977-07-29,108.912
1977-08-31,121.856
1977-09-30,132.039
1977-10-31,134.228
1977-11-30,127.151
1977-12-30,135.595
1978-01-31,131.939
1978-02-28,124.745
1978-03-31,128.042
1978-04-28,127.734
1978-05-31,133.037
1978-06-30,131.468
1978-07-31,145.015
1978-08-31,148.969
1978-09-29,150.899
1978-10-31,155.011
1978-11-30,147.563
1978-12-29,152.249
1979-01-31,151.305
1979-02-28,164.319
1979-03-30,189.198
1979-04-30,198.446
1979-05-31,184.482
1979-06-29,185.335
1979-07-31,186.937
1979-08-31,191.591
1979-09-28,195.077
1979-10-31,174.812
1979-11-30,182.42
1979-12-31,182.129
1980-01-31,201.57
1980-02-29,213.132
1980-03-31,184.804
1980-04-30,199.654
1980-05-30,201.368
1980-06-30,226.715
1980-07-31,233.29
1980-08-29,238.81
1980-09-30,245.53
1980-10-31,266.863
1980-11-28,261.805
1980-12-31,249.844
1981-01-30,248.211
1981-02-27,240.034
1981-03-31,243.191
1981-04-30,249.215
1981-05-29,229.063
1981-06-30,219.538
1981-07-31,211.567
1981-08-31,220.724
1981-09-30,181.001
1981-10-30,191.034
1981-11-30,227.728
1981-12-31,218.189
