Date,UNITED KINGDOM GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,156.47
1975-02-28,193.836
1975-03-31,183.484
1975-04-30,208.066
1975-05-30,213.438
1975-06-30,176.379
1975-07-31,169.659
1975-08-29,190.222
1975-09-30,186.749
1975-10-31,195.589
1975-11-28,191.938
1975-12-31,200.91
1976-01-30,220.265
1976-02-27,213.894
1976-03-31,201.795
1976-04-30,198.671
1976-05-31,174.977
1976-06-30,176.998
1976-07-30,172.083
1976-08-31,162.473
1976-09-30,142.1
1976-10-29,122.658
1976-11-30,135.798
1976-12-31,168.033
1977-01-31,182.655
1977-02-28,187.107
1977-03-31,186.259
1977-04-29,198.417
1977-05-31,201.642
1977-06-30,210.755
1977-07-29,207.745
1977-08-31,234.106
1977-09-30,252.482
1977-10-31,256.553
1977-11-30,240.84
1977-12-30,256.861
1978-01-31,248.209
1978-02-28,232.398
1978-03-31,238.393
1978-04-28,234.718
1978-05-31,244.501
1978-06-30,244.167
1978-07-31,272.38
1978-08-31,280.915
1978-09-29,284.676
1978-10-31,287.519
1978-11-30,272.247
1978-12-29,281.255
1979-01-31,275.665
1979-02-28,296.499
1979-03-30,351.476
1979-04-30,366.314
1979-05-31,335.733
1979-06-29,340.78
1979-07-31,349.294
1979-08-31,353.986
1979-09-28,362.564
1979-10-31,331.669
1979-11-30,344.672
1979-12-31,336.144
1980-01-31,372.334
1980-02-29,400.254
1980-03-31,339.313
1980-04-30,360.395
1980-05-30,371.726
1980-06-30,422.655
1980-07-31,436.297
1980-08-29,449.692
1980-09-30,471.82
1980-10-31,531.497
1980-11-28,530.169
1980-12-31,495.878
1981-01-30,489.786
1981-02-27,469.892
1981-03-31,476.395
1981-04-30,476.717
1981-05-29,444.22
1981-06-30,418.801
1981-07-31,407.4
1981-08-31,431.169
1981-09-30,348.426
1981-10-30,357.718
1981-11-30,426.053
1981-12-31,413.348
1982-01-29,440.091
1982-02-26,408.063
1982-03-31,414.401
1982-04-30,424.73
1982-05-31,440.563
1982-06-30,418.384
1982-07-30,445.604
1982-08-31,452.806
1982-09-30,495.566
1982-10-29,488.358
1982-11-30,486.013
1982-12-31,490.133
1983-01-31,470.538
1983-02-28,479.063
1983-03-31,475.052
1983-04-29,536.484
1983-05-31,550.174
1983-06-30,538.033
1983-07-29,526.996
1983-08-31,510.952
1983-09-30,506.269
1983-10-31,503.471
1983-11-30,522.772
1983-12-30,517.038
1984-01-31,518.02
1984-02-29,539.116
1984-03-30,563.366
1984-04-30,555.616
1984-05-31,491.826
1984-06-29,500.79
1984-07-31,473.399
1984-08-31,522.95
1984-09-28,509.686
1984-10-31,508.724
1984-11-30,519.33
1984-12-31,554.861
1985-01-31,560.905
1985-02-28,528.755
1985-03-29,620.802
1985-04-30,639.326
1985-05-31,671.08
1985-06-28,635.826
1985-07-31,726.016
1985-08-30,764.574
1985-09-30,737.591
1985-10-31,811.113
1985-11-29,877.048
1985-12-31,826.65
1986-01-31,817.115
1986-02-28,921.188
1986-03-31,987.058
1986-04-30,1042.316
1986-05-30,957.396
1986-06-30,1021.691
1986-07-31,922.097
1986-08-29,978.454
1986-09-30,867.633
1986-10-31,878.004
1986-11-28,908.864
1986-12-31,954.363
1987-01-30,1056.627
1987-02-27,1213.44
1987-03-31,1243.705
